CASRN,EPA_RF_ecfp6bits-1,EPA_RF_ecfp6bits-2,EPA_RF_ecfp6bits-3,EPA_RF_ecfp6bits-4
23233-88-7,0.11421048552327498,0.2311496549753503,0.5168806191237358,0.13775924037763942
87-12-7,0.02990024295281579,0.2879062808681458,0.4046471714859468,0.27754630469309144
31810-89-6,0.08373549141987965,0.2169937478201053,0.5244738968220891,0.17479686393792593
60012-87-5,0.03919370698004556,0.14658011027949105,0.634368299094517,0.17985788364594643
15435-29-7,0.0653467557727186,0.16428902774089532,0.6093500056470198,0.1610142108393669
629-03-8,0.043769503541258574,0.26312100211126455,0.5644072633202084,0.12870223102726905
488-41-5,0.0529996492419391,0.22820277066606073,0.5185847455881921,0.20021283450380845
84-59-3,0.07482447711149758,0.21847752308202603,0.5760492859728858,0.13064871383359025
26846-51-5,0.04643908171534225,0.16318804843119725,0.48184792782864333,0.3085249420248164
55916-20-6,0.044129101445609775,0.1761090396691196,0.5767773784531044,0.2029844804321664
1324-11-4,0.03978860991253828,0.11604911463078202,0.41319612758845875,0.4309661478682218
4228-97-1,0.75792146161936,0.15624727130773564,0.06741504315508905,0.018416223917815534
41035-29-4,0.8400592312738007,0.09158640896444166,0.047814154393018594,0.02054020536874004
87-10-5,0.02237170457892634,0.29773173088937105,0.4377369297840706,0.24215963474763172
25327-89-3,0.03722469262573713,0.1815994243705633,0.6135613267499673,0.16761455625373328
21466-07-9,0.09873135153364761,0.15487057871708645,0.4902681650996897,0.2561299046495764
25637-99-4,0.13957156462127634,0.3385991317617891,0.3569347609708729,0.16489454264606093
25713-60-4,0.05579370812274485,0.20456631848981138,0.536145910447428,0.2034940629400156
19186-97-1,0.1692540879977607,0.1671710195321702,0.4961822248911516,0.167392667578918
63333-35-7,0.39290815118405636,0.26857664317003166,0.2386453549532786,0.09986985069263299
1522-92-5,0.06828908607759891,0.14701382089567855,0.5870304809193625,0.1976666121073605
57729-86-9,0.2607772170738973,0.2597611886609788,0.31698935414561186,0.162472240119511
118-79-6,0.06517369821311089,0.21920017999069233,0.5404087723787088,0.1752173494174884
25333-96-4,0.049358648907019624,0.25905105420346414,0.5028930707159293,0.1886972261735873
1689-99-2,0.04947326148665479,0.3440776610422789,0.38793186976429656,0.21851720770676897
3562-84-3,0.03710447881360453,0.14171024066919186,0.5557629225194447,0.2654223579977595
611-75-6,0.10154998727798083,0.23669787051937924,0.5486071269440717,0.11314501525856815
3296-90-0,0.05215294965449589,0.15506728981624532,0.5852251747197441,0.20755458580951505
13181-17-4,0.12575739061910637,0.18792367940494234,0.47871267264994305,0.20760625732600885
615-58-7,0.03877490838139365,0.2194446952076435,0.6123116950522312,0.12946870135873245
6609-53-6,0.7559346086030891,0.2092015652702714,0.026751682426482282,0.008112143700155972
53615-23-9,0.8508881537191529,0.11770308191588152,0.027851907057381515,0.0035568573075845235
89427-28-1,0.8827499104555859,0.08789466941253941,0.01946419367427558,0.009891226457599264
89427-33-8,0.8882603670184246,0.0688647316474441,0.03481960686185113,0.008055294472281321
14689-56-6,0.8649757376001842,0.08985989307516047,0.03341982845819715,0.01174454086645914
3393-60-0,0.8541981988654765,0.10346017789194382,0.030591794223062792,0.011749829019516714
89427-29-2,0.8023194561947687,0.11752443292368658,0.05310369799358797,0.027052412887957098
15287-51-1,0.03966526231798722,0.09669467028998348,0.5107674173829585,0.3528726500090711
94847-66-2,0.0867666835676662,0.20399597960176985,0.5707947555493478,0.13844258128121642
2034-22-2,0.06891913322260228,0.2641496989151981,0.5077941067200865,0.1591370611421136
52907-07-0,0.09319613067377883,0.1793182206970084,0.5227752315180298,0.20471041711118304
50585-41-6,0.1188143230215685,0.21467319921528683,0.5106506150840686,0.1558618626790762
3322-93-8,0.04943884422137925,0.292496006555748,0.4930443543234252,0.16502079489944668
21850-44-2,0.061055703091931014,0.1823003445644592,0.46846974087143683,0.28817421147217326
7682-32-8,0.7725523078015277,0.1813839751000977,0.028389486620857576,0.01767423047751735
89427-35-0,0.8538387543683525,0.07686931544350226,0.05461232004675901,0.01467961014138693
126-72-7,0.11745802405078977,0.17844866244564045,0.29567869088945953,0.4084146226141099
3194-55-6,0.05706053758434111,0.357911464763431,0.4177299401381519,0.16729805751407573
20566-35-2,0.027914947320903626,0.14063199751690617,0.532259852464496,0.29919320269769445
2338-30-9,0.8264517998531883,0.12375663920765957,0.035678056730278525,0.014113504208874953
87-84-3,0.06856977878563059,0.31024878628064595,0.44486497863873237,0.1763164562949915
608-71-9,0.10030406341421097,0.1860115237128389,0.47202341834640665,0.24166099452654355
32588-76-4,0.03453472565235488,0.1588438449537044,0.46041161350387483,0.3462098158900662
32536-52-0,0.07636326369095144,0.2018097157050716,0.4974516728200234,0.2243753477839532
27858-07-7,0.03869635454112584,0.23589725181904767,0.4950678931286587,0.2303385005111684
61262-53-1,0.04082372777720502,0.1617422479925806,0.49651815909425956,0.30091586513595536
84852-53-9,0.05251818340765715,0.24501574936014645,0.3915168964532314,0.3109491707789646
13654-09-6,0.04838394617118893,0.17955858575917943,0.39446863813708605,0.37758882993254567
3674-13-3,0.020014567357554698,0.2825959045092479,0.4791047950269523,0.21828473310624505
78-75-1,0.033976566397304196,0.24795225378925276,0.5676074484057507,0.15046373140769334
89427-38-3,0.7878773679700943,0.18670621152493053,0.01857337444452722,0.006843046060447449
10474-14-3,0.06263400319044418,0.2690066101515618,0.5542550934963774,0.11410429316161733
300-76-5,0.334541525700308,0.29394271972874153,0.2980343674830679,0.07348138708788218
2872-96-0,0.25269910205851415,0.32789635318104404,0.294557659303791,0.12484688545665036
106-93-4,0.05341847518576059,0.34462907115755376,0.4540798454731108,0.147872608183574
1947-58-6,0.04959797949682116,0.17153582844238194,0.5122506966759562,0.2666154953848412
96-13-9,0.050674334028978106,0.1739273381701873,0.49511278369465805,0.2802855441061769
96-12-8,0.0994558149622266,0.3957803860896385,0.38987385235206967,0.11488994659606674
18791-02-1,0.0484155574071754,0.3338454573673079,0.48060157161036665,0.13713741361514953
75-81-0,0.1198740743129131,0.30274985548036365,0.45732913320171154,0.12004693700501133
590-12-5,0.059690103468962176,0.373361474248376,0.40527522887879425,0.1616731934038678
2302-30-9,0.08586944759378497,0.23369978623683713,0.5480547080101827,0.132376058159195
14689-59-9,0.9201529151116968,0.06282951828663734,0.013080325731330682,0.003937240870336354
79-27-6,0.05642909481517799,0.3407689579787103,0.4402768017285717,0.1625251454775404
63867-08-3,0.046532283944835676,0.1501421245585868,0.5728066615067207,0.2305189299898565
64047-47-8,0.02267869517723881,0.08676824222229312,0.7359424019735672,0.1546106606269007
63938-47-6,0.025345445472728087,0.1626327455400069,0.6872783316009086,0.12474347738635777
613-53-6,0.04621243282108026,0.2318562351003264,0.5779255875723434,0.14400574450625056
115-17-3,0.0485873843981974,0.252957196196624,0.5731519521388941,0.12530346726628447
75-25-2,0.0545425098818336,0.33450379324963764,0.45948441312821764,0.1514692837403108
42136-31-2,0.581523079016268,0.15095485250821775,0.21427861147220464,0.05324345700330876
64050-72-2,0.19439139974418637,0.4529641758185256,0.28033026093715957,0.07231416350012855
42136-30-1,0.08470549228831187,0.5531381114009445,0.3202586439635709,0.04189775234717029
26637-71-8,0.05461401278056733,0.24043641994582063,0.4947292709922379,0.2102202962813744
69094-18-4,0.05698083043915642,0.18933000043987985,0.5944254950814166,0.1592636740395473
74-95-3,0.05383159004824887,0.3179467554312339,0.47625755868880415,0.15196409583171178
3252-43-5,0.10788284659815929,0.4507043475687852,0.3401638605219594,0.10124894531109624
598-91-4,0.06935463047461315,0.3527039539436183,0.4328000585133679,0.14514135706840045
124-48-1,0.04566571536917416,0.3144175207166434,0.5086580695832794,0.13125869433090287
25497-30-7,0.0584348940911056,0.25041374509921216,0.4963409068841012,0.19481045392558125
83447-96-5,0.06350386061809644,0.26865753343034016,0.5366916840958245,0.1311469218557386
473-49-4,0.08657828530499896,0.29990139423753026,0.4369096933999628,0.17661062705750752
117900-35-3,0.06278951042400867,0.20411841936098574,0.5158953248648024,0.217196745350202
4460-32-6,0.1647798674637985,0.19121339596841014,0.460285211320802,0.18372152524698954
2260-08-4,0.04541990724116282,0.17692510779004483,0.585924251376812,0.1917307335919799
386-17-4,0.06442111173422503,0.15444397162602194,0.619262739679196,0.16187217696055722
67-30-1,0.0833045788405386,0.188436635625928,0.4936291162942817,0.23462966923925133
16423-68-0,0.054829337462265926,0.17594795766457483,0.5347696449870007,0.2344530598861586
10397-75-8,0.07551318776123236,0.17874835952884052,0.41029363729424534,0.33544481541568194
59017-64-0,0.07387268491070637,0.1297757524794899,0.3004728179495265,0.4958787446602771
79770-24-4,0.0634691253746727,0.14135450941452074,0.46593735918187396,0.3292390060289332
7246-21-1,0.033651544522428495,0.12980558382510093,0.6113386619135533,0.22520420973891833
96-84-4,0.05035210406065825,0.12079056659158219,0.48406616052307594,0.34479116882468447
59939-17-2,0.06183606053622669,0.15571125067480726,0.4512703351326396,0.3311823536563276
16034-77-8,0.040057012616742764,0.12344714341533877,0.5711984700121719,0.2652973739557461
22730-89-8,0.04149708905869099,0.1451542960683196,0.4765652623815728,0.3367833524914165
