CASRN,EPA_RF_ecfp6counts-1,EPA_RF_ecfp6counts-2,EPA_RF_ecfp6counts-3,EPA_RF_ecfp6counts-4
23233-88-7,0.10693213801117353,0.23136124879435926,0.5355633559131017,0.12614325728136558
87-12-7,0.0491630108090893,0.3607410073886206,0.40968155259299743,0.18041442920929293
31810-89-6,0.09330919554039255,0.1849221723201034,0.517948220850697,0.2038204112888068
60012-87-5,0.0958143738551852,0.1752986189529765,0.6028433645496054,0.1260436426422332
15435-29-7,0.19159863803780186,0.13394605745418434,0.42671614530120694,0.24773915920680603
629-03-8,0.020910722920037077,0.24783100935593536,0.5959717991713458,0.1352864685526813
488-41-5,0.056604200512819926,0.1664188183558949,0.419194582413782,0.3577823987175033
84-59-3,0.07254082622644006,0.2308121597093802,0.5242654106033393,0.17238160346084105
26846-51-5,0.07179510983250535,0.16305696788472337,0.4989806767020213,0.2661672455807501
55916-20-6,0.05043028384870491,0.1849420359453642,0.5432564703728794,0.2213712098330518
1324-11-4,0.03285309320309323,0.15688221929142987,0.44183119921014696,0.36843348829533024
4228-97-1,0.710365224314306,0.13556532543334157,0.11414792015766247,0.03992153009468994
41035-29-4,0.8854108171782172,0.06405935855386517,0.03394391808053288,0.016585906187385712
87-10-5,0.046633688192898745,0.36999446417779774,0.4168051498209387,0.16656669780836464
25327-89-3,0.07439166391008498,0.1305375612788668,0.5258042899282325,0.26926648488281607
21466-07-9,0.11272102945615912,0.18449965207843386,0.46611702916644904,0.23666228929895775
25637-99-4,0.051577180351446414,0.2489132168965951,0.39829787320770305,0.301211729544255
25713-60-4,0.09332769258420595,0.15556778568527493,0.4265986858819303,0.32450583584858883
19186-97-1,0.11987711967879992,0.16275877002375738,0.5341140663519653,0.18325004394547717
63333-35-7,0.3833057494844319,0.21876699069496947,0.243211843976648,0.15471541584395043
1522-92-5,0.06396995627655871,0.22878153008506535,0.526727629074882,0.18052088456349474
57729-86-9,0.27727954072408956,0.19823803450847644,0.31019394476531115,0.21428848000212247
118-79-6,0.0912917453091865,0.34182853092659365,0.46240900503394866,0.10447071873027149
25333-96-4,0.04777688879604518,0.3346785145324232,0.466779686372566,0.1507649102989661
1689-99-2,0.04593705635470055,0.36923370157149227,0.3978952498382951,0.18693399223551163
