CASRN,EPA_RF_maccs-1,EPA_RF_maccs-2,EPA_RF_maccs-3,EPA_RF_maccs-4
23233-88-7,0.08430539851292246,0.18479263385578618,0.5450463985248504,0.18585556910644083
87-12-7,0.006663435268011925,0.46160100225315764,0.29182850351289114,0.23990705896593761
31810-89-6,0.029580000569919933,0.07965863873283224,0.3300649461860085,0.5606964145112386
60012-87-5,0.07121852228730839,0.19995081947135426,0.45208303863308236,0.27674761960825467
15435-29-7,0.04722083036270747,0.4354085505610042,0.4365659724069624,0.08080464666932598
629-03-8,0.10345716447377246,0.32994358793044415,0.46098185972869016,0.10561738786709315
488-41-5,0.10676339031859938,0.1496936392011523,0.35416049684346596,0.3893824736367819
84-59-3,0.11408470462981404,0.21595655803339642,0.48941570426063885,0.1805430330761507
26846-51-5,0.024817723601934124,0.20512460929484969,0.4001788909004583,0.3698787762027585
55916-20-6,0.07345843351712643,0.45347285108096774,0.3672081672110937,0.10586054819081134
1324-11-4,0.0569021012395199,0.27243403009158024,0.5550115046780668,0.11565236399083352
4228-97-1,0.8875934776115244,0.09310688879636107,0.018304107398421317,0.0009955261936938204
41035-29-4,0.9277071392887307,0.05145826813850723,0.01983348076814045,0.0010011118046247983
87-10-5,0.005564314722393034,0.29076996415287176,0.38214178297418644,0.3215239381505452
25327-89-3,0.014170745105511074,0.14260343585604168,0.6671044676394325,0.1761213513990144
21466-07-9,0.06136560452303809,0.15160362217291673,0.572498776698317,0.2145319966057286
25637-99-4,0.03363213371447933,0.3223495241497481,0.48376249596434817,0.16025584617142388
25713-60-4,0.04070502573251488,0.10891791368165478,0.6065576885405001,0.24381937204533075
19186-97-1,0.1354201976286699,0.22982930267963642,0.5770675604390888,0.057682939252604315
63333-35-7,0.6386404658169462,0.2594873299286965,0.08313010575421072,0.01874209850014196
1522-92-5,0.15402815740811449,0.18862779257790566,0.5824607908338101,0.07488325918017026
57729-86-9,0.4906288742558479,0.19826950140277677,0.26643155710072775,0.044670067240646615
118-79-6,0.2699716479919503,0.387643884479361,0.27318422569672207,0.06920024183196447
25333-96-4,0.011353439153439155,0.7194359546499245,0.2379301658036949,0.03128044039294041
1689-99-2,0.01924725853686121,0.5628583655292956,0.28171070937044695,0.13618366656339576
3562-84-3,0.15410262709923972,0.20907390113014587,0.3690677931363368,0.26775567863427624
611-75-6,0.03733059938298867,0.351732989451757,0.5456240608973868,0.06531235026786746
3296-90-0,0.06254043347046136,0.1744230968579941,0.5528180589890427,0.21021841068250155
13181-17-4,0.30810288727963914,0.12546105038599656,0.2689123705655442,0.2975236917688201
615-58-7,0.06078270301968715,0.3944195824012332,0.4950272821896894,0.04977043238938982
6609-53-6,0.8692589756192568,0.1115441404007374,0.01747926169473625,0.0017176222852717177
53615-23-9,0.9349081958125189,0.04478476496267198,0.019584803534948847,0.0007222356898652021
89427-28-1,0.8941592785420888,0.08831172888575475,0.016405515171283205,0.0011234774008728856
89427-33-8,0.9277071392887307,0.05145826813850723,0.01983348076814045,0.0010011118046247983
14689-56-6,0.9277071392887307,0.05145826813850723,0.01983348076814045,0.0010011118046247983
3393-60-0,0.9232228427005376,0.06012445176295102,0.015400839112385127,0.001251866424127155
89427-29-2,0.8941592785420888,0.08831172888575475,0.016405515171283205,0.0011234774008728856
15287-51-1,0.08491655603655598,0.21668363867069748,0.5715332164349811,0.12686658885776542
94847-66-2,0.11355280296701345,0.23191396580677265,0.5701674332327841,0.08436579799342957
2034-22-2,0.2829763137292778,0.40135943605493835,0.28632387042161384,0.02934037979416668
52907-07-0,0.03130154132360016,0.05273203526493003,0.37824838367686675,0.5377180397346029
50585-41-6,0.7219202845250132,0.0494553130506005,0.16771419990067887,0.06091020252370987
3322-93-8,0.02397162021063323,0.22361934507743342,0.5264760960401945,0.2259329386717383
21850-44-2,0.021512517778070735,0.13501476667937193,0.39684779744279364,0.4466249180997641
