CASRN,EPA_RF_mordred-1,EPA_RF_mordred-2,EPA_RF_mordred-3,EPA_RF_mordred-4
23233-88-7,0.09041693121693133,0.2757309523809523,0.4013753968253966,0.2324767195767195
87-12-7,0.04705052910052914,0.3540095238095238,0.4223970899470901,0.17654285714285695
31810-89-6,0.0928727513227514,0.132892328042328,0.3362291005291004,0.43800582010582034
60012-87-5,0.11427089947089955,0.2360732804232805,0.49447751322751365,0.15517830687830686
15435-29-7,0.18328597883597883,0.298277513227513,0.3618402116402112,0.1565962962962963
629-03-8,0.05037301587301591,0.2514179894179894,0.5948021164021161,0.10340687830687839
488-41-5,0.09262460317460333,0.22184021164021162,0.47373095238095253,0.2118042328042327
84-59-3,0.08685079365079379,0.2166650793650793,0.569484656084656,0.1269994708994709
26846-51-5,0.07066164021164022,0.1979862433862434,0.46076481481481474,0.2705873015873013
55916-20-6,0.0950037037037038,0.24048650793650772,0.44384179894179904,0.2206679894179892
1324-11-4,0.10619365079365081,0.1490817460317461,0.38940211640211614,0.3553224867724867
4228-97-1,0.9306227513227512,0.040884126984126974,0.01948544973544973,0.009007671957671956
41035-29-4,0.9847084656084659,0.007033068783068784,0.005732275132275132,0.002526190476190476
87-10-5,0.08658095238095247,0.31956005291005307,0.4534346560846561,0.14042433862433842
25327-89-3,0.06134312169312177,0.14220634920634928,0.5233407407407404,0.273109788359788
21466-07-9,0.1368883597883598,0.18383862433862422,0.3927888888888886,0.2864841269841271
25637-99-4,0.04947936507936512,0.20762936507936505,0.41603518518518523,0.3268560846560847
25713-60-4,0.1524230158730159,0.1426582010582011,0.2784333333333329,0.4264854497354491
19186-97-1,0.13346772486772485,0.19734470899470902,0.448972486772487,0.22021507936507934
63333-35-7,0.5883320105820108,0.16782539682539688,0.14855476190476188,0.09528783068783078
1522-92-5,0.08071349206349215,0.2559047619047619,0.5691462962962965,0.09423544973544974
57729-86-9,0.4989050264550263,0.20936164021164025,0.17022539682539686,0.12150793650793652
118-79-6,0.22284973544973535,0.35373465608465593,0.32158492063492033,0.10183068783068785
25333-96-4,0.06271296296296301,0.47497592592592597,0.34184365079365103,0.12046746031746036
1689-99-2,0.055525396825396894,0.4841410052910049,0.3025343915343914,0.15779920634920636
3562-84-3,0.08324417989417998,0.20408042328042333,0.4779791005291005,0.23469629629629624
611-75-6,0.08025476190476195,0.3661058201058202,0.4516746031746029,0.10196481481481483
3296-90-0,0.059735185185185266,0.21867910052910047,0.6461883597883604,0.07539735449735456
13181-17-4,0.14914656084656094,0.1775396825396824,0.3980275132275133,0.27528624338624325
615-58-7,0.06663174603174617,0.19502989417989416,0.7035902116402123,0.0347481481481482
6609-53-6,0.9640767195767198,0.02162328042328042,0.011109259259259261,0.003190740740740741
53615-23-9,0.9936362433862437,0.0028240740740740743,0.0031230158730158734,0.0004166666666666667
89427-28-1,0.9180317460317462,0.03621825396825397,0.03124708994708995,0.014502910052910047
89427-33-8,0.9837552910052911,0.007119047619047618,0.004995238095238094,0.004130423280423281
14689-56-6,0.9944888888888889,0.0033243386243386242,0.0012915343915343915,0.0008952380952380952
3393-60-0,0.9771854497354496,0.01164206349206349,0.007528835978835979,0.0036436507936507935
