CASRN,EPA_RF_rdkit2d-1,EPA_RF_rdkit2d-2,EPA_RF_rdkit2d-3,EPA_RF_rdkit2d-4
23233-88-7,0.054999999999999986,0.21583333333333335,0.4871666666666667,0.24200000000000002
87-12-7,0.021666666666666667,0.368,0.40266666666666673,0.20766666666666664
31810-89-6,0.0976666666666667,0.11800000000000001,0.3496666666666666,0.43466666666666676
60012-87-5,0.06266666666666666,0.2566666666666666,0.5416666666666667,0.139
15435-29-7,0.306,0.19600000000000004,0.3343333333333333,0.16366666666666665
629-03-8,0.06249999999999999,0.2126370091896408,0.6365171261487049,0.08834586466165414
488-41-5,0.11040000000000004,0.19800000000000004,0.4247666666666666,0.2668333333333333
84-59-3,0.12650000000000003,0.11295238095238094,0.5867857142857145,0.17376190476190476
26846-51-5,0.035,0.25816666666666666,0.491,0.21583333333333332
55916-20-6,0.04083333333333334,0.22513333333333332,0.5076666666666667,0.2263666666666666
1324-11-4,0.053,0.1256666666666667,0.5063333333333333,0.31500000000000006
4228-97-1,0.96747311827957,0.02746236559139785,0.002064516129032258,0.003
41035-29-4,0.9878827886710241,0.0018507625272331154,0.01026644880174292,0.0
87-10-5,0.04533333333333334,0.3483333333333333,0.3983333333333335,0.20799999999999996
25327-89-3,0.09700000000000003,0.1733333333333333,0.43466666666666665,0.2949999999999999
21466-07-9,0.13349999999999998,0.18783333333333324,0.4676666666666667,0.21099999999999994
25637-99-4,0.03512500000000001,0.1630555555555555,0.42620000000000013,0.37561944444444456
25713-60-4,0.1681666666666667,0.1115438596491228,0.267938596491228,0.45235087719298245
19186-97-1,0.10646753246753247,0.09764935064935065,0.607582251082251,0.18830086580086575
63333-35-7,0.7047666666666668,0.1286666666666667,0.1259,0.04066666666666667
1522-92-5,0.09102857142857143,0.19935238095238095,0.658952380952381,0.05066666666666666
57729-86-9,0.6433333333333333,0.1693333333333333,0.133,0.054333333333333324
118-79-6,0.20099999999999996,0.30500000000000005,0.4043333333333333,0.08966666666666667
25333-96-4,0.04833333333333332,0.6399999999999998,0.25633333333333336,0.05533333333333334
1689-99-2,0.043666666666666666,0.5693333333333332,0.28036363636363626,0.10663636363636361
3562-84-3,0.047,0.17099999999999999,0.5100000000000001,0.27199999999999996
611-75-6,0.08966666666666669,0.3681666666666669,0.49183333333333334,0.05033333333333332
3296-90-0,0.067,0.1486666666666666,0.6941666666666668,0.09016666666666667
13181-17-4,0.17866666666666658,0.167,0.38666666666666677,0.26766666666666666
615-58-7,0.05723333333333332,0.17733333333333332,0.7427666666666669,0.022666666666666665
6609-53-6,0.8737166666666669,0.10803333333333336,0.012583333333333332,0.005666666666666666
53615-23-9,0.9916666666666667,0.0006666666666666666,0.007666666666666667,0.0
89427-28-1,0.95,0.03233333333333333,0.010666666666666668,0.007
89427-33-8,0.9948827886710241,0.0018507625272331154,0.00226644880174292,0.001
14689-56-6,0.9972161220043573,0.0018507625272331154,0.0009331154684095861,0.0
3393-60-0,0.9976190476190476,0.001380952380952381,0.001,0.0
89427-29-2,0.9856666666666667,0.007666666666666667,0.002333333333333333,0.004333333333333333
15287-51-1,0.21133333333333326,0.2780000000000001,0.4066666666666667,0.10399999999999997
94847-66-2,0.12200000000000001,0.26033333333333325,0.4850000000000001,0.13266666666666668
2034-22-2,0.12193333333333335,0.49293333333333367,0.3269666666666666,0.058166666666666665
52907-07-0,0.11333333333333334,0.1451929824561404,0.38726315789473686,0.3542105263157895
50585-41-6,0.43319444444444444,0.12533333333333335,0.21758333333333324,0.2238888888888889
3322-93-8,0.06166666666666665,0.2945666666666667,0.4156000000000002,0.22816666666666657
21850-44-2,0.08766666666666666,0.18499999999999997,0.330888888888889,0.3964444444444444
7682-32-8,0.9925999999999999,0.006066666666666666,0.0006666666666666666,0.0006666666666666666
89427-35-0,0.9736666666666667,0.014666666666666666,0.009333333333333332,0.002333333333333333
126-72-7,0.15533333333333324,0.1917222222222222,0.3388888888888891,0.31405555555555553
