CASRN,EPA_knn_ecfp6bits-1,EPA_knn_ecfp6bits-2,EPA_knn_ecfp6bits-3,EPA_knn_ecfp6bits-4
23233-88-7,0.22676546899464656,0.23554693127103782,0.5376875997343156,0.0
87-12-7,0.22162120208171315,0.26560148013856383,0.11450428774221846,0.3982730300375045
31810-89-6,0.10553821597469872,0.32627173958191175,0.5681900444433895,0.0
60012-87-5,0.0,0.08922657295194128,0.6326496761508555,0.27812375089720315
15435-29-7,0.0,0.3149042571017509,0.5769743471624452,0.1081213957358039
629-03-8,0.0,0.2514342058085335,0.6749432293534121,0.07362256483805425
488-41-5,0.10159711259255082,0.1075734133332891,0.5599537167623925,0.23087575731176765
84-59-3,0.11702636233043542,0.5431060844251818,0.2316803182024775,0.10818723504190529
26846-51-5,0.0,0.11368016152028179,0.327715251812154,0.5586045866675642
55916-20-6,0.0,0.11448212484894235,0.777781330049107,0.1077365451019508
1324-11-4,0.0,0.10933331348886821,0.21747690113376125,0.6731897853773705
4228-97-1,1.0,0.0,0.0,0.0
41035-29-4,1.0,0.0,0.0,0.0
87-10-5,0.0,0.27945490356955743,0.5230103498383765,0.19753474659206616
25327-89-3,0.0,0.0,0.7939337353381414,0.2060662646618586
21466-07-9,0.1050349040371509,0.3224727807872325,0.46724457445348655,0.10524774072212995
25637-99-4,0.0,0.4403006762371389,0.10273401013333665,0.4569653136295244
25713-60-4,0.3205922586428034,0.2360807103389132,0.23500422957243147,0.208322801445852
19186-97-1,0.0,0.10468818094279186,0.7833409820488308,0.11197083700837737
63333-35-7,0.5123920911404451,0.228028315535948,0.2595795933236069,0.0
1522-92-5,0.1520634064360852,0.06789841691391581,0.5184970018880843,0.26154117476191463
57729-86-9,0.4793465011195892,0.20701754285343235,0.20857563578148813,0.10506032024549032
118-79-6,0.12061689491664565,0.3620349890036296,0.41260186523105885,0.10474625084866597
25333-96-4,0.0,0.41446320704107786,0.5855367929589221,0.0
1689-99-2,0.0,0.2992167020380146,0.2127524051864238,0.4880308927755618
3562-84-3,0.0,0.3812032831219387,0.4024935132783507,0.21630320359971067
611-75-6,0.12063194343801084,0.3393918585304812,0.539976198031508,0.0
3296-90-0,0.06624497587877931,0.07119431315707891,0.5291031909628364,0.33345752000130535
13181-17-4,0.23049685290726965,0.3389126253031726,0.3203902497310185,0.11020027205853924
615-58-7,0.10560767640401486,0.3366997104852717,0.5576926131107134,0.0
6609-53-6,0.8702847959111217,0.1297152040888782,0.0,0.0
53615-23-9,0.9180379956873923,0.0819620043126077,0.0,0.0
89427-28-1,1.0,0.0,0.0,0.0
89427-33-8,1.0,0.0,0.0,0.0
14689-56-6,1.0,0.0,0.0,0.0
3393-60-0,1.0,0.0,0.0,0.0
89427-29-2,1.0,0.0,0.0,0.0
15287-51-1,0.12658462330324813,0.0,0.3289004105073552,0.5445149661893968
94847-66-2,0.48606051486503415,0.305035594717888,0.20890389041707788,0.0
2034-22-2,0.6468752197690351,0.21925936749083635,0.1338654127401287,0.0
52907-07-0,0.0,0.10616530186547657,0.549900554338973,0.3439341437955504
50585-41-6,0.47241962029845486,0.3120785604588565,0.11288190531759879,0.10261991392508982
3322-93-8,0.0,0.22033260772136498,0.779667392278635,0.0
21850-44-2,0.0,0.2987807983784229,0.5015259706240229,0.1996932309975542
7682-32-8,0.8045874260087246,0.1954125739912754,0.0,0.0
89427-35-0,1.0,0.0,0.0,0.0
126-72-7,0.0,0.21225260559345985,0.40194015012714984,0.3858072442793903
3194-55-6,0.0,0.3612254339559082,0.41973005104334266,0.21904451500074917
20566-35-2,0.0,0.1073077029157543,0.33929166631107405,0.5534006307731717
2338-30-9,1.0,0.0,0.0,0.0
87-84-3,0.0,0.22052448830173377,0.3291771636207745,0.45029834807749164
608-71-9,0.10320140770543916,0.10909863100289283,0.34349793266371864,0.44420202862794933
32588-76-4,0.10457047410367666,0.0,0.4323193286316605,0.46311019726466285
32536-52-0,0.2264115286939876,0.10674749045503568,0.4406118278997864,0.22622915295119037
27858-07-7,0.0,0.2188585517812105,0.20918083083023606,0.5719606173885534
61262-53-1,0.0,0.11789758172886837,0.3147644421826582,0.5673379760884735
84852-53-9,0.10180446266328716,0.12725557832910897,0.19651323643955138,0.5744267225680525
13654-09-6,0.09520487092303505,0.0,0.290301553978959,0.614493575098006
3674-13-3,0.0,0.49629389227161197,0.29714241881345704,0.2065636889149311
78-75-1,0.0,0.4372270463215816,0.45939062931484154,0.10338232436357686
89427-38-3,1.0,0.0,0.0,0.0
10474-14-3,0.0,0.13945094607896755,0.6442928175401106,0.21625623638092192
300-76-5,0.2507490355226147,0.35985920111776837,0.2983160199436429,0.09107574341597392
2872-96-0,0.0,0.4558153612470752,0.23104910390323516,0.3131355348496896
106-93-4,0.0919263107917448,0.3661731379871168,0.4205578209760352,0.12134273024510316
1947-58-6,0.10285981454063742,0.11000285721707058,0.3640094547910336,0.42312787345125846
96-13-9,0.0,0.14447625092289157,0.6588992655725814,0.19662448350452702
96-12-8,0.0,0.20134469924360668,0.68003361748109,0.11862168327530315
18791-02-1,0.0,0.7776768778098069,0.2223231221901931,0.0
75-81-0,0.10895992796037822,0.21746960828455653,0.45204862674470964,0.22152183701035572
590-12-5,0.10777126099706744,0.7932551319648093,0.0,0.09897360703812316
2302-30-9,0.12586165619608197,0.11111422981351077,0.7630241139904073,0.0
14689-59-9,1.0,0.0,0.0,0.0
79-27-6,0.0,0.4118792599805258,0.4946445959104187,0.0934761441090555
63867-08-3,0.0,0.10080530668090389,0.6582454236915697,0.24094926962752636
64047-47-8,0.0,0.0,1.0,0.0
63938-47-6,0.0,0.3693719395313299,0.5192260595453269,0.11140200092334308
613-53-6,0.0,0.44732374256926316,0.311114214645766,0.24156204278497073
115-17-3,0.09917584961570516,0.2566904342994722,0.32799333271599224,0.31614038336883044
75-25-2,0.0,0.41631162507608027,0.4899573950091296,0.09373097991479001
42136-31-2,0.4743547084119255,0.33997516461796606,0.18567012697010832,0.0
64050-72-2,0.1979231961632185,0.5833689657428403,0.21870783809394115,0.0
42136-30-1,0.10149639192169427,0.5806716482066632,0.31783195987164264,0.0
26637-71-8,0.21095907695327287,0.21904134363302444,0.21581918527761035,0.35418039413609237
69094-18-4,0.11438047308524844,0.20810891630788259,0.6775106106068688,0.0
74-95-3,0.0,0.5713710218880086,0.28763260373304683,0.14099637437894455
3252-43-5,0.12255617157864021,0.5542748759848264,0.3231689524365334,0.0
598-91-4,0.23093447905477982,0.4564983888292159,0.20784103114930183,0.10472610096670247
124-48-1,0.0,0.09430496019595837,0.801592161665646,0.1041028781383956
25497-30-7,0.0,0.10196940917724683,0.2342297310806758,0.6638008597420774
83447-96-5,0.10527526519557631,0.10742373999548605,0.671088039722912,0.1162129550860258
473-49-4,0.10916741109906877,0.36538098412690273,0.30629641555743314,0.2191551892165954
117900-35-3,0.10942443960989758,0.33272196911309915,0.2310826674991626,0.3267709237778406
4460-32-6,0.2620123474485489,0.0,0.41986789742999575,0.3181197551214554
2260-08-4,0.12970398611039652,0.33157782039843403,0.5387181934911695,0.0
386-17-4,0.0,0.11327801395261983,0.8867219860473802,0.0
67-30-1,0.0,0.10769865449062342,0.8923013455093766,0.0
16423-68-0,0.0,0.0,0.6657212398321797,0.3342787601678203
10397-75-8,0.0,0.0,0.40970071480210707,0.590299285197893
59017-64-0,0.0,0.0,0.2890846405792625,0.7109153594207375
79770-24-4,0.0,0.10007669179534794,0.32601473027695466,0.5739085779276974
7246-21-1,0.0,0.0,0.7903280559225712,0.2096719440774289
96-84-4,0.09564809781625035,0.0,0.4193336630733591,0.48501823911039066
59939-17-2,0.11178897576878502,0.21514534786082173,0.332682087226456,0.3403835891439372
16034-77-8,0.0,0.10477122183139517,0.44635047680816425,0.4488783013604406
22730-89-8,0.10524751868652191,0.1104399958892725,0.32405145768456217,0.46026102773964345
31112-62-6,0.0,0.0,0.2050757732005301,0.7949242267994698
440-58-4,0.0,0.0,0.3177537755539827,0.6822462244460173
66108-95-0,0.0,0.0,0.2653158948537158,0.734684105146284
3115-05-7,0.11185965392510382,0.0,0.7648875792500133,0.12325276682488291
111453-32-8,0.0,0.0,0.20652818235053783,0.7934718176494622
19403-92-0,0.10461247588276229,0.23350803879309512,0.6618794853241426,0.0
37441-29-5,0.0,0.0,1.0,0.0
19774-82-4,0.0,0.1361927987986354,0.7364415424468983,0.12736565875446623
3861-47-0,0.0,0.2955668741656978,0.2135701055628644,0.49086302027143786
57808-65-8,0.0,0.0,0.33758920612471915,0.6624107938752808
577-91-3,0.10916128189732388,0.0,0.7750616009388476,0.11577711716382837
14689-57-7,1.0,0.0,0.0,0.0
17601-49-9,0.0,0.22014479195799472,0.5590295844591794,0.2208256235828259
1746-25-4,0.7758872995495575,0.11653860423423006,0.10757409621621235,0.0
29717-26-8,0.0,0.10919282782799057,0.10666640553706844,0.784140766634941
75-47-8,0.0,0.33829337546166816,0.549625328238082,0.11208129630024978
68439-50-9,0.0,0.0,1.0,0.0
9004-95-9,0.0,0.0,1.0,0.0
65-29-2,0.0,0.0,0.8903188524842334,0.10968114751576662
63869-27-2,0.7540492490815601,0.24595075091843988,0.0,0.0
