CASRN,EPA_knn_ecfp6counts-1,EPA_knn_ecfp6counts-2,EPA_knn_ecfp6counts-3,EPA_knn_ecfp6counts-4
23233-88-7,0.12203332157362216,0.24201566163638122,0.6359510167899968,0.0
87-12-7,0.21982483108033307,0.4843998381144151,0.19272674487809818,0.10304858592715357
31810-89-6,0.10452396251774802,0.3296899661073485,0.5657860713749034,0.0
60012-87-5,0.0,0.2824024948339138,0.6259523684690248,0.09164513669706154
15435-29-7,0.32985539551779514,0.11299005407700313,0.33014989444004944,0.2270046559651523
629-03-8,0.0,0.2072676581370583,0.6182596333064415,0.17447270855650018
488-41-5,0.0,0.0,0.7473577434796266,0.2526422565203734
84-59-3,0.11300417038939067,0.11150290643187687,0.6648283869771963,0.1106645362015361
26846-51-5,0.0,0.2227242539209131,0.5480204234537936,0.22925532262529322
55916-20-6,0.0,0.11701291693002353,0.45710681904611966,0.4258802640238568
1324-11-4,0.0,0.0,0.22785319498745213,0.772146805012548
4228-97-1,1.0,0.0,0.0,0.0
41035-29-4,1.0,0.0,0.0,0.0
87-10-5,0.0,0.20388045865583704,0.6982108462671044,0.09790869507705861
25327-89-3,0.0988299269064002,0.0,0.5070990659927297,0.39407100710087006
21466-07-9,0.10648634958420106,0.33169363690041903,0.4595872536273016,0.1022327598880784
25637-99-4,0.0,0.10966699582388366,0.427524055948821,0.46280894822729546
25713-60-4,0.31539661983008993,0.23425520949985118,0.22822282637884966,0.22212534429120917
19186-97-1,0.0,0.10393115531255248,0.7901026728914943,0.1059661717959532
63333-35-7,0.6058145833733949,0.21958072965468772,0.17460468697191736,0.0
1522-92-5,0.16873203782561275,0.25337124830665675,0.49583365360435117,0.08206306026337937
57729-86-9,0.59510213276158,0.20630266960490967,0.19859519763351044,0.0
118-79-6,0.2185115614209366,0.3912698715497251,0.29617271648403465,0.09404585054530369
25333-96-4,0.0,0.41466596364122515,0.4937107792693117,0.09162325708946303
1689-99-2,0.0,0.28564799433843896,0.41522501321127153,0.29912699245028945
3562-84-3,0.09833312461793935,0.3189339560544127,0.3964856015923099,0.18624731773533795
611-75-6,0.2309294380941153,0.44513664214820803,0.3239339197576767,0.0
3296-90-0,0.0,0.0,0.5711549793286639,0.4288450206713361
13181-17-4,0.45333097350360174,0.21679607965508657,0.10854793554233362,0.22132501129897808
615-58-7,0.11002517802951492,0.22000319233666407,0.6699716296338211,0.0
6609-53-6,0.8796627793129056,0.12033722068709436,0.0,0.0
53615-23-9,1.0,0.0,0.0,0.0
89427-28-1,1.0,0.0,0.0,0.0
89427-33-8,1.0,0.0,0.0,0.0
14689-56-6,1.0,0.0,0.0,0.0
3393-60-0,1.0,0.0,0.0,0.0
89427-29-2,1.0,0.0,0.0,0.0
15287-51-1,0.13590997336141233,0.0,0.32318154473139926,0.5409084819071883
94847-66-2,0.48472693064779343,0.20809303588018987,0.3071800334720167,0.0
2034-22-2,0.8535133834912659,0.0,0.14648661650873412,0.0
52907-07-0,0.0,0.0,0.7697206011042771,0.2302793988957228
50585-41-6,0.24197328948275826,0.10471971127847748,0.43835600826194204,0.21495099097682205
3322-93-8,0.0,0.21920705893972955,0.7807929410602704,0.0
21850-44-2,0.09781976450977925,0.0973267241488831,0.5962223026199424,0.2086312087213954
7682-32-8,0.9021125213093426,0.09788747869065743,0.0,0.0
89427-35-0,1.0,0.0,0.0,0.0
126-72-7,0.0,0.31191739942511637,0.22109299028770585,0.46698961028717767
3194-55-6,0.0,0.12456902963917468,0.6538629124011869,0.2215680579596385
20566-35-2,0.10845888070296786,0.1087431739683465,0.6719225439839042,0.1108754013447816
2338-30-9,1.0,0.0,0.0,0.0
