CASRN,EPA_knn_rdkit2d-1,EPA_knn_rdkit2d-2,EPA_knn_rdkit2d-3,EPA_knn_rdkit2d-4
23233-88-7,0.1376523265829549,0.23421035190823633,0.4220940294263229,0.20604329208248595
87-12-7,0.0,0.45559305350821605,0.19047610439804705,0.3539308420937368
31810-89-6,0.11902201935114709,0.09918214273366917,0.4214972127098691,0.3602986252053145
60012-87-5,0.0,0.09753126467952998,0.6955502077324235,0.20691852758804663
15435-29-7,0.26073350694696296,0.24770452800111062,0.39315615653417807,0.0984058085177484
629-03-8,0.0,0.36734074819813656,0.5344122373026401,0.09824701449922338
488-41-5,0.09990398532133245,0.10875904797862801,0.3716369923079381,0.4196999743921014
84-59-3,0.30343017746314177,0.0,0.6052400665132714,0.09132975602358678
26846-51-5,0.0,0.10845534663761947,0.8915446533623805,0.0
55916-20-6,0.08724135917846804,0.4722001612775907,0.32863575113774224,0.11192272840619907
1324-11-4,0.09165072680672075,0.1863291734240242,0.6285361309645442,0.09348396880471088
4228-97-1,0.9243091938481979,0.07569080615180208,0.0,0.0
41035-29-4,1.0,0.0,0.0,0.0
87-10-5,0.0,0.3038324283049934,0.514229736796461,0.1819378348985455
25327-89-3,0.10565206019067981,0.20842004060936034,0.5686306920636175,0.11729720713634242
21466-07-9,0.21311040670242848,0.560364296951174,0.11267497340323969,0.11385032294315783
25637-99-4,0.0,0.10451260779066586,0.6191400960330214,0.27634729617631265
25713-60-4,0.3052374236719009,0.0,0.12010724800370069,0.5746553283243986
19186-97-1,0.09699536103187621,0.19765569346176062,0.6049755604103295,0.10037338509603352
63333-35-7,0.619211693590899,0.1350531165257547,0.18509838907644552,0.06063680080690085
1522-92-5,0.11201833175736241,0.1748235186781496,0.713158149564488,0.0
57729-86-9,0.6201412392625044,0.14086057793956608,0.1833998749501938,0.05559830784773566
118-79-6,0.2797096634074456,0.30388267982962397,0.41640765676293046,0.0
25333-96-4,0.0,0.5625979152187903,0.4374020847812097,0.0
1689-99-2,0.0,0.49417369300750613,0.5058263069924939,0.0
3562-84-3,0.09305995385544126,0.2917839808232182,0.18364600737056305,0.43151005795077735
611-75-6,0.0,0.6712021768973421,0.328797823102658,0.0
3296-90-0,0.0,0.24700077676633547,0.5105962196838134,0.2424030035498512
13181-17-4,0.4253061588202395,0.0,0.32636910022964555,0.24832474095011509
615-58-7,0.118696356514015,0.19390963142047088,0.6873940120655141,0.0
6609-53-6,0.9247487279954376,0.07525127200456241,0.0,0.0
53615-23-9,1.0,0.0,0.0,0.0
89427-28-1,1.0,0.0,0.0,0.0
89427-33-8,1.0,0.0,0.0,0.0
14689-56-6,1.0,0.0,0.0,0.0
3393-60-0,1.0,0.0,0.0,0.0
89427-29-2,1.0,0.0,0.0,0.0
15287-51-1,0.48349215964803943,0.19997425934112031,0.2117903106383225,0.10474327037251761
94847-66-2,0.605342602961896,0.09835559564352923,0.29630180139457474,0.0
2034-22-2,0.20367727783269432,0.5288078299787311,0.26751489218857455,0.0
52907-07-0,0.2182022016284776,0.10794439736556931,0.4454156017551949,0.22843779925075822
50585-41-6,0.7010297852310776,0.10042165220608285,0.0,0.19854856256283934
3322-93-8,0.0,0.31838928101560604,0.5742998018980237,0.10731091708637028
21850-44-2,0.09643470620338823,0.19896230002148652,0.19255627959928331,0.5120467141758419
7682-32-8,1.0,0.0,0.0,0.0
89427-35-0,1.0,0.0,0.0,0.0
126-72-7,0.11722480289429588,0.2432395700547741,0.3244579189180372,0.3150777081328927
3194-55-6,0.0,0.10234049749023795,0.6118505166243636,0.2858089858853985
20566-35-2,0.0,0.4465300595438632,0.33300460600558984,0.22046533445054683
2338-30-9,1.0,0.0,0.0,0.0
87-84-3,0.0,0.2893740636477308,0.4182196627068295,0.29240627364543986
608-71-9,0.2279138015216256,0.29895927084379376,0.3494261565172415,0.12370077111733911
32588-76-4,0.0,0.0,0.4206674056014644,0.5793325943985356
32536-52-0,0.2713545011942216,0.1156284349503262,0.08038038992217018,0.532636673933282
27858-07-7,0.0,0.07099694157048993,0.2253440788321343,0.7036589795973757
61262-53-1,0.1751603306582235,0.09738089006710325,0.09341538138806807,0.6340433978866051
84852-53-9,0.0,0.0,0.06861556340936723,0.9313844365906327
13654-09-6,0.0,0.0,0.1733944798569066,0.8266055201430935
3674-13-3,0.1019385187036687,0.4416586571178036,0.3615338172117491,0.09486900696677869
78-75-1,0.0,0.34895562102349686,0.5368866357387945,0.11415774323770869
89427-38-3,1.0,0.0,0.0,0.0
10474-14-3,0.0,0.11389691270718091,0.6810042253037899,0.20509886198902927
300-76-5,0.6782287012215391,0.14349446388378645,0.1263239523416406,0.05195288255303381
2872-96-0,0.3385350902828072,0.5599690658337174,0.10149584388347546,0.0
106-93-4,0.0,0.48783276883086996,0.51216723116913,0.0
1947-58-6,0.10275478146968565,0.09615453355902205,0.7148681995926781,0.08622248537861409
96-13-9,0.25845047065834353,0.4269198157506431,0.31462971359101344,0.0
96-12-8,0.0,0.2123149077245437,0.6728119505166515,0.11487314175880466
18791-02-1,0.0,0.44628839306702556,0.5537116069329744,0.0
75-81-0,0.0,0.48576372087393704,0.2907921584168023,0.22344412070926076
590-12-5,0.0,0.5545036669096342,0.3170413737365848,0.12845495935378098
2302-30-9,0.30197171615991053,0.32774398456157827,0.37028429927851114,0.0
14689-59-9,1.0,0.0,0.0,0.0
79-27-6,0.0,0.7420553260906524,0.25794467390934767,0.0
63867-08-3,0.0,0.15605186961553386,0.5993624531239441,0.24458567726052213
64047-47-8,0.0,0.07377957115443481,0.9262204288455652,0.0
63938-47-6,0.0,0.3458143805688702,0.6541856194311299,0.0
613-53-6,0.0,0.44675767004739686,0.5532423299526031,0.0
115-17-3,0.08922447736128129,0.4039857880436384,0.5067897345950804,0.0
75-25-2,0.0,0.532677706775919,0.389607880732907,0.07771441249117418
42136-31-2,0.5553781442936802,0.281076489569197,0.16354536613712284,0.0
64050-72-2,0.10493942710013514,0.7703816294346438,0.12467894346522093,0.0
42136-30-1,0.1678861847408271,0.5801310074352194,0.25198280782395355,0.0
26637-71-8,0.0,0.21618969160953166,0.4722526106978655,0.31155769769260283
69094-18-4,0.19270954654499303,0.6137907672411578,0.19349968621384903,0.0
74-95-3,0.0,0.5061276787361886,0.4040738347795612,0.08979848648425018
3252-43-5,0.2898904545818926,0.6106035628858234,0.09950598253228385,0.0
598-91-4,0.32762568078857734,0.39228068009422473,0.10099258342195631,0.17910105569524168
124-48-1,0.0,0.19743121520248277,0.711360892613129,0.09120789218438827
25497-30-7,0.0,0.0,0.4056753797668009,0.5943246202331991
83447-96-5,0.0,0.34938070516102493,0.4340658054355406,0.21655348940343438
473-49-4,0.10000500947515105,0.4601170795676562,0.2143920422764522,0.2254858686807405
117900-35-3,0.0,0.3087934855802381,0.3321987370016916,0.3590077774180703
4460-32-6,0.6010272728289846,0.2015251619074181,0.1974475652635973,0.0
2260-08-4,0.14089307885348848,0.11519024487530428,0.6386825499495877,0.10523412632161949
386-17-4,0.11988444615852131,0.19748966058903192,0.6826258932524468,0.0
67-30-1,0.0,0.30120962403278956,0.5932898644675686,0.1055005114996419
16423-68-0,0.1156619973457406,0.19527085721547593,0.595125661713525,0.09394148372525851
10397-75-8,0.0,0.0,0.08580275956121498,0.9141972404387849
59017-64-0,0.0,0.0,0.1684593262665148,0.8315406737334853
79770-24-4,0.09929430975173101,0.0,0.20239924376223542,0.6983064464860336
7246-21-1,0.0,0.0,0.5138990299874708,0.4861009700125292
96-84-4,0.09776051064707986,0.09250608982205069,0.4197491115655724,0.38998428796529705
59939-17-2,0.0,0.19499547938665698,0.2967470292827994,0.5082574913305437
16034-77-8,0.0,0.162480818055282,0.45568988950777656,0.3818292924369415
22730-89-8,0.0,0.091591240006353,0.422881217756834,0.48552754223681294
31112-62-6,0.2982351912147901,0.09686206846566901,0.10224489124002785,0.5026578490795132
440-58-4,0.0,0.0,0.5590067712873205,0.4409932287126796
66108-95-0,0.0,0.09022675939182273,0.29837873669529724,0.61139450391288
3115-05-7,0.09836675362423192,0.09665451802329605,0.4169411453037173,0.3880375830487548
111453-32-8,0.0,0.0,0.5201123525585953,0.4798876474414046
19403-92-0,0.0,0.5499588568428285,0.4500411431571714,0.0
37441-29-5,0.0,0.11078949557583143,0.6638279922804119,0.22538251214375665
19774-82-4,0.0,0.13867765004300636,0.7525391542879919,0.10878319566900178
3861-47-0,0.0,0.44136614827351767,0.5586338517264823,0.0
57808-65-8,0.0,0.2897591530341484,0.3718847983109292,0.33835604865492236
577-91-3,0.0,0.33354584199757453,0.6664541580024255,0.0
14689-57-7,0.7934240028330918,0.20657599716690828,0.0,0.0
17601-49-9,0.10210274323708246,0.22778196206581547,0.5655999929884602,0.10451530170864175
1746-25-4,0.47701463456917503,0.22822147680752441,0.2947638886233004,0.0
29717-26-8,0.13094848426405192,0.32252893841563784,0.3348962829703196,0.21162629434999058
75-47-8,0.0,0.3061326351604076,0.616173656721425,0.07769370811816739
68439-50-9,0.0,0.0,0.6587988337883623,0.34120116621163754
9004-95-9,0.0,0.0,0.7141246968052277,0.2858753031947723
65-29-2,0.0,0.5507439645960329,0.33948129724370385,0.10977473816026329
63869-27-2,0.5040660046658025,0.0,0.4959339953341974,0.0
3247-33-4,0.799652090965713,0.0,0.10040771842539888,0.09994019060888801
70682-61-0,0.0,0.0,0.5565615390941178,0.4434384609058822
3319-31-1,0.0,0.0,0.21138196319659666,0.7886180368034034
301-13-3,0.0,0.0,0.06743070620116912,0.932569293798831
78-42-2,0.0,0.0,0.5112864663446923,0.4887135336553077
56706-10-6,0.20639231183263518,0.10232553260767766,0.48249756909434116,0.208784586465346
160194-28-5,0.0,0.0,0.3325193800401132,0.6674806199598867
15458-87-4,0.0,0.41085222030734275,0.4857733586469436,0.10337442104571361
105084-66-0,0.7921581317899676,0.20784186821003237,0.0,0.0
13080-06-3,0.0,0.1085573704060764,0.41778161058573227,0.4736610190081914
15180-47-9,0.0,0.0,0.7351149403956692,0.2648850596043309
35077-00-0,0.0,0.0,0.7961306683743126,0.2038693316256875
63869-22-7,0.6714350413662793,0.10869368779125047,0.2198712708424702,0.0
139-60-6,0.0,0.1500278569466618,0.6907451356663636,0.15922700738697465
34206-40-1,0.0,0.0,0.9097695878890613,0.09023041211093877
752-56-7,0.0,0.0,0.5559377706819716,0.4440622293180284
74758-25-1,0.0,0.0850571445599373,0.9149428554400627,0.0
23505-41-1,0.14242880013854434,0.5123227195146512,0.2690811997119563,0.07616728063484823
154702-15-5,0.0,0.22593220275394812,0.5625727952310712,0.2114950020149807
3857-80-5,0.0,0.28721462218030647,0.628407669802026,0.08437770801766759
3687-16-9,0.0,0.20365760418737555,0.527794264921636,0.26854813089098845
141-94-6,0.0,0.20390545946268956,0.6089428132107615,0.18715172732654886
68289-21-4,0.0,0.0,0.7825329761008372,0.21746702389916278
67762-53-2,0.0,0.0,0.2048801664579552,0.7951198335420447
4559-86-8,0.0,0.0,0.898446109840316,0.10155389015968394
10254-57-6,0.10868180425290694,0.22414302983955872,0.4369934994721671,0.23018166643536736
53306-54-0,0.0,0.0,0.30860559556415357,0.6913944044358465
1941-30-6,0.0,0.5429104625915423,0.4570895374084577,0.0
682-01-9,0.0,0.0,0.6045699196803521,0.3954300803196479
486455-65-6,0.0,0.0,0.7818253712725068,0.21817462872749305
126-57-8,0.0,0.0,0.6625208213000684,0.33747917869993166
11138-60-6,0.0,0.0,0.6054804058370463,0.39451959416295374
78-16-0,0.0,0.0,0.5298471493346265,0.47015285066537355
106-20-7,0.0,0.31712469341400623,0.29979758219862057,0.38307772438737325
295800-70-3,0.0,0.0,0.45235143052187754,0.5476485694781223
10143-60-9,0.0,0.09399539173852335,0.3937033458505323,0.5123012624109444
22174-70-5,0.0,0.0,0.41402548176624454,0.5859745182337553
19074-24-9,0.0,0.0,0.6501761306612299,0.34982386933877013
122-62-3,0.0,0.0,0.548392625579664,0.45160737442033605
103-24-2,0.0,0.0,0.5386900011693934,0.46130999883060664
103-23-1,0.0,0.0,0.628945213523626,0.371054786476374
2915-57-3,0.0,0.0,0.6076837487597981,0.392316251240202
84731-70-4,0.0,0.0,0.31901614223996444,0.6809838577600354
117-81-7,0.0,0.0,0.2938275387640392,0.7061724612359608
14858-73-2,0.0,0.0,0.219688104968126,0.780311895031874
3658-48-8,0.0,0.0,0.7248337939504724,0.2751662060495276
298-07-7,0.0,0.0,0.638475516760436,0.36152448323956404
63449-80-9,0.0,0.08683463298471392,0.44335666525601125,0.46980870175927486
7425-14-1,0.0,0.0,0.10032045949852024,0.8996795405014797
18268-70-7,0.0,0.0,0.4528212849182873,0.5471787150817127
94-28-0,0.0,0.0,0.5723199590250482,0.4276800409749518
3282-85-7,0.0,0.0,0.7822518457044747,0.21774815429552533
7790-07-0,0.0,0.0,0.4745678193401961,0.525432180659804
25724-60-1,0.0,0.0,0.49957595625537465,0.5004240437446253
10022-60-3,0.0,0.0,0.6401417889926021,0.35985821100739795
468-61-1,0.0,0.07264240175018777,0.7772894616823849,0.15006813656742723
4551-59-1,0.0,0.14098926341801907,0.6749227620691707,0.18408797451281025
57647-13-9,0.0,0.07204582742240459,0.8572862060140265,0.07066796656356891
27591-69-1,0.0,0.3384981440755173,0.5535279228154566,0.10797393310902613
589-32-2,0.0,0.3247441695905576,0.6752558304094425,0.0
60012-88-6,0.0,0.0,0.5485440886722804,0.4514559113277195
78-53-5,0.6926507749321975,0.30734922506780243,0.0,0.0
115-79-7,0.0,0.22111741649202143,0.7788825835079787,0.0
122-31-6,0.0,0.12234218564940194,0.6476071607739824,0.23005065357661564
78-10-4,0.0,0.0,0.8583461822451403,0.14165381775485972
17356-42-2,0.8985039442636243,0.0,0.1014960557363756,0.0
3689-24-5,0.3637691100961802,0.0,0.43710012331242926,0.1991307665913907
563-12-2,0.6854758284520382,0.0,0.21612262309231933,0.09840154845564239
6926-73-4,0.7884694754664089,0.0751847889532604,0.0,0.13634573558033067
78-07-9,0.0,0.0,0.7727944335702684,0.22720556642973158
20395-17-9,0.5628466163815202,0.3225820156997388,0.1145713679187409,0.0
18300-10-2,0.899859556181787,0.0,0.10014044381821305,0.0
2667-40-5,0.5534334469601225,0.12617815025022944,0.3203884027896479,0.0
55134-13-9,0.20592605557927127,0.1015835198807431,0.4623584341775381,0.23013199036244741
33446-90-1,0.0,0.0,0.3028059456958027,0.6971940543041973
27879-29-4,0.0,0.19465692530785064,0.8053430746921494,0.0
35435-21-3,0.0,0.0,0.7800578955537727,0.21994210444622725
55934-93-5,0.0,0.0,0.5682099071976519,0.4317900928023481
52030-05-4,0.0,0.0,0.5673149319591879,0.4326850680408119
74051-80-2,0.0,0.0,0.37762957649990436,0.6223704235000957
2224-33-1,0.0,0.0,0.836834474096432,0.16316552590356798
34036-80-1,0.0,0.0,1.0,0.0
6104-58-1,0.08555241932981195,0.0,0.553990703209574,0.360456877460614
77-90-7,0.0,0.0931439469417726,0.521673089649759,0.3851829634084683
21327-31-1,0.36240258446731993,0.1535809723767009,0.0,0.48401644315597914
5826-91-5,0.32634598750859933,0.37141844946039443,0.21290755203496503,0.08932801099604128
22787-59-3,0.8647145790852385,0.0,0.0,0.1352854209147615
22787-58-2,0.9026661115749269,0.09733388842507314,0.0,0.0
5675-57-0,0.5913743850577821,0.31013523678598814,0.09849037815622982,0.0
3730-54-9,0.23325063098196008,0.3327802238140522,0.4339691452039878,0.0
655-35-6,0.10688272954943441,0.1111941679901949,0.7819231024603708,0.0
77-89-4,0.0,0.30457091264753056,0.18976186541760073,0.5056672219348686
24748-23-0,0.0,0.24053625482571242,0.4324205154939453,0.3270432296803423
70833-40-8,0.0,0.0,0.2033537605651771,0.7966462394348229
14504-73-5,0.11279706366768136,0.0,0.6701637471237955,0.2170391892085232
67239-04-7,0.0,0.09811380297779168,0.6990579145934553,0.2028282824287531
2595-54-2,0.21644176344209018,0.33992428742821235,0.44363394912969756,0.0
5137-55-3,0.0,0.4088506614366989,0.39952891487453807,0.19162042368876311
1421-14-3,0.0,0.2122699542183267,0.5642837298524644,0.22344631592920883
2031-67-6,0.0,0.0,0.31643885342293093,0.6835611465770692
64036-99-3,0.7055319595760491,0.29446804042395097,0.0,0.0
26523-78-4,0.0,0.0,0.5831819008499988,0.4168180991500013
68814-95-9,0.0,0.3400746349279264,0.39096409191894094,0.2689612731531325
538-23-8,0.0,0.0,0.41990357497565317,0.5800964250243468
68130-53-0,0.0,0.0,0.41375311931431524,0.5862468806856848
2528-38-3,0.0,0.0,0.7455128535243186,0.2544871464756813
5343-44-2,0.0,0.0,0.47751573401660863,0.5224842659833914
5831-80-1,0.0,0.0,0.7338328974052145,0.26616710259478554
51249-05-9,0.0,0.10281198564248856,0.6666633158306431,0.23052469852686833
102-85-2,0.0,0.0,0.6742733430007344,0.3257266569992657
126-73-8,0.0,0.0,0.5656674906455716,0.43433250935442846
998-40-3,0.0,0.10360476868022206,0.3299670131994515,0.5664282181203264
115-78-6,0.0,0.6721375507128858,0.2303382429177237,0.09752420636939037
33060-84-3,0.10631501980137562,0.3969460183992328,0.39290793961839804,0.10383102218099358
150-50-5,0.21749572887615276,0.2777591682370244,0.5047451028868228,0.0
78-48-8,0.20715491371360273,0.3934901695686737,0.2971263450394343,0.10222857167828929
60-01-5,0.0,0.0,0.20881145285932298,0.7911885471406771
74125-01-2,0.6363637760474212,0.2649313122268622,0.0987049117257165,0.0
1496-94-2,0.327618458094162,0.10977083730414691,0.4548510805377786,0.10775962406391251
21270-07-5,0.0,1.0,0.0,0.0
29806-73-3,0.0,0.0,0.4611409783311278,0.5388590216688722
7346-61-4,0.0,0.437426839220112,0.23639683706803608,0.32617632371185196
59130-69-7,0.0,0.0,0.19223295575116459,0.8077670442488354
63907-12-0,0.0,0.0,0.3307100192231982,0.6692899807768019
1114-71-2,0.14272687212421484,0.25655816538945436,0.5317931662936183,0.06892179619271252
64058-98-6,0.0,1.0,0.0,0.0
64059-01-4,0.0,0.5697453876722199,0.43025461232778,0.0
13194-48-4,0.7200617031216927,0.2799382968783074,0.0,0.0
2511-15-1,0.7117001215094849,0.28829987849051497,0.0,0.0
90220-15-8,0.8134719432567897,0.1865280567432104,0.0,0.0
759-94-4,0.06560924456923424,0.350647916650877,0.5837428387798888,0.0
23184-66-9,0.0,0.0,1.0,0.0
51218-49-6,0.0,0.0,1.0,0.0
109965-82-4,0.0,0.4538748558092482,0.5461251441907518,0.0
20954-13-6,0.0,0.0,0.8416974541099863,0.1583025458900136
102579-43-1,0.0,0.22764070826141203,0.772359291738588,0.0
168152-77-0,0.0,1.0,0.0,0.0
168152-89-4,0.0,1.0,0.0,0.0
92953-10-1,0.0,0.6187215673081198,0.3812784326918802,0.0
17088-72-1,0.0,0.0,0.5217890144553888,0.47821098554461117
60763-41-9,0.0,0.38756050432951206,0.0,0.6124394956704879
35850-79-4,0.0,0.0,0.7471427959339224,0.2528572040660776
3309-68-0,0.808873522635611,0.19112647736438906,0.0,0.0
18109-81-4,0.0,0.22118022565662335,0.5634798671915872,0.21533990715178947
52736-14-8,0.0,0.0,0.2391655678701735,0.7608344321298265
3862-08-6,0.0,0.0,0.25053403313716377,0.7494659668628362
139-45-7,0.0,0.0,0.47160641502238104,0.528393584977619
38727-55-8,0.0,0.0,1.0,0.0
80472-88-4,0.0,0.0,1.0,0.0
51356-13-9,0.6307187927942203,0.30746310446251285,0.06181810274326693,0.0
33210-44-5,0.0,0.753527847495628,0.24647215250437216,0.0
33210-40-1,0.0,0.8876033386876195,0.11239666131238041,0.0
33210-43-4,0.0,0.8422075637383759,0.157792436261624,0.0
1912-26-1,0.0,0.0,1.0,0.0
7779-27-3,0.09975309663284687,0.220483926437199,0.572557904346681,0.10720507258327315
78816-48-5,0.0,0.23358392479110598,0.6564233436482093,0.10999273156068462
2941-55-1,0.15011272523410293,0.17853584840719017,0.6713514263587069,0.0
4740-11-8,0.0,0.7330144498614589,0.26698555013854114,0.0
