CASRN,EPA_svm_ecfp6bits-1,EPA_svm_ecfp6bits-2,EPA_svm_ecfp6bits-3,EPA_svm_ecfp6bits-4
23233-88-7,0.09561388721499493,0.4279698026256602,0.41495978336783107,0.061456526791513436
87-12-7,0.06974760998388715,0.3166260311460513,0.5181823305385852,0.09544402833147597
31810-89-6,0.041340718209202876,0.1844420158486338,0.39538956945144355,0.37882769649071985
60012-87-5,0.03595234953299314,0.15772597208683356,0.6322857601887921,0.17403591819138117
15435-29-7,0.0771521081324615,0.13328975425307238,0.6287486963012312,0.16080944131323488
629-03-8,0.03841327285682452,0.10664439274289579,0.7263201855052966,0.12862214889498286
488-41-5,0.036862173733343884,0.2783983524019138,0.47276571300071,0.21197376086403244
84-59-3,0.12640354653426505,0.28336293706019555,0.46504988841670786,0.12518362798883137
26846-51-5,0.009434669654713377,0.10699450529617609,0.32687141809706644,0.5566994069520441
55916-20-6,0.041085776254934245,0.20697493038328607,0.3751228033703987,0.37681648999138084
1324-11-4,0.08424375628051309,0.36522061760961605,0.3806067655159532,0.16992886059391765
4228-97-1,0.5428381212313939,0.33972438390512044,0.09658796475546129,0.020849530108024546
41035-29-4,0.8087315170825563,0.11831208336302416,0.03594719204073217,0.03700920751368737
87-10-5,0.020655857919542067,0.40289961184952994,0.48690934757622883,0.08953518265469934
25327-89-3,0.019787491739146117,0.3353680576859739,0.5096295860739346,0.1352148645009457
21466-07-9,0.0619383590994754,0.09833585259397672,0.5072581143615223,0.3324676739450255
25637-99-4,0.13164885668357418,0.3319800849976311,0.29018083706176834,0.24619022125702625
25713-60-4,0.0223185527345881,0.11244009038679802,0.4960461687907494,0.36919518808786417
19186-97-1,0.13292148236457377,0.08361471729712276,0.5774648058649648,0.2059989944733387
63333-35-7,0.4314153473359354,0.3248054147298948,0.16828262144272332,0.075496616491446
1522-92-5,0.04710497712219068,0.11829114236665665,0.6916387546183346,0.14296512589281807
57729-86-9,0.45045556069185794,0.41734648759744786,0.0715468287818167,0.060651122928877636
118-79-6,0.09095017379906123,0.23402287070733896,0.5347878256176104,0.1402391298759892
25333-96-4,0.02484099085507535,0.314905989940755,0.44359277120457485,0.2166602479995948
1689-99-2,0.10876133136639046,0.3683596398831324,0.33119814923417373,0.19168087951630353
3562-84-3,0.037073635289853225,0.15136450115602015,0.5674515764757432,0.24411028707838348
611-75-6,0.07684527701200855,0.09240187213760252,0.7989328382707369,0.03182001257965205
3296-90-0,0.01731319055218332,0.1541516512259103,0.677260771152242,0.15127438706966437
13181-17-4,0.40206757677824534,0.1959799571111769,0.24207848714591354,0.159873978964664
615-58-7,0.04903503614142807,0.32491837322624734,0.5555308516814877,0.07051573895083718
6609-53-6,0.678668846699568,0.18148403644516692,0.08514854313496688,0.05469857372029825
53615-23-9,0.7829986175997429,0.14052873666241586,0.045884996553796804,0.030587649184044573
89427-28-1,0.7481321182105585,0.19955557817678832,0.03502255640635173,0.0172897472063014
89427-33-8,0.8193702596413217,0.1408862791426816,0.025201614449184614,0.014541846766812111
14689-56-6,0.7770143280583067,0.18917674647788688,0.01793070342999402,0.0158782220338123
3393-60-0,0.6796598387104129,0.25153650680567685,0.0537394521472313,0.015064202336678975
89427-29-2,0.7763972572718808,0.15576983084695648,0.042980036116381314,0.024852875764781568
15287-51-1,0.02643808737966329,0.06548765049082711,0.7333511626501183,0.17472309947939083
94847-66-2,0.46346980950343913,0.21079512843333434,0.2826841877327457,0.04305087433048111
2034-22-2,0.10521778379085084,0.21736934983812575,0.46068465116687635,0.21672821520414748
52907-07-0,0.3006785088911462,0.08482310863795244,0.459709562904703,0.15478881956619803
50585-41-6,0.22212366991013904,0.19252927674519668,0.386257655979873,0.19908939736479134
3322-93-8,0.01907129257533452,0.18405767873325157,0.5280679968286779,0.2688030318627363
21850-44-2,0.008061543040380547,0.06627255071660389,0.6984715769913481,0.22719432925166755
7682-32-8,0.5489689912736057,0.1963505242082718,0.06622257560706121,0.18845790891106107
89427-35-0,0.7387248019832717,0.1932101686249613,0.04934520955176186,0.018719819840004884
126-72-7,0.0329112606471995,0.2556665945097278,0.22946227255035062,0.48195987229272186
3194-55-6,0.030959460592436806,0.25393705779433323,0.35680562864937204,0.3582978529638581
20566-35-2,0.0035801299946569875,0.03896382623786967,0.29737482953323585,0.6600812142342375
2338-30-9,0.7483480643277298,0.16547781790994187,0.05640356454508475,0.02977055321724338
87-84-3,0.03917808826915119,0.33219936851173065,0.3632850238933727,0.26533751932574545
608-71-9,0.09513610334105169,0.22451610437244687,0.3562645955351343,0.32408319675136743
32588-76-4,0.04948946999680647,0.060182766664311445,0.4914616311812184,0.39886613215766364
32536-52-0,0.07802226319430876,0.21644011891969014,0.3970890076620608,0.3084486102239403
27858-07-7,0.05562709503806542,0.14248377201683407,0.3607941404533634,0.44109499249173734
61262-53-1,0.03661448554938438,0.11986611240134923,0.5735362130939161,0.2699831889553502
84852-53-9,0.07057677652259031,0.2996306998831743,0.40291483476629547,0.22687768882793988
13654-09-6,0.02435955659950893,0.04256870069757786,0.2918334650962324,0.6412382776066807
3674-13-3,0.0036939998460025244,0.14237412882610428,0.7468690254050259,0.10706284592286705
78-75-1,0.01784380221033727,0.195203192481438,0.7065093239568193,0.0804436813514054
89427-38-3,0.643957998190285,0.3232329297419188,0.022490209285088852,0.010318862782707687
10474-14-3,0.04205567252917888,0.5959202514510492,0.3182974126203454,0.043726663399426255
300-76-5,0.2145368149938579,0.3069991625189762,0.3073222819902522,0.1711417404969138
2872-96-0,0.09995292039971011,0.5246342111831334,0.25520691553574804,0.1202059528814082
106-93-4,0.03272978546154505,0.27488217852460456,0.5899309300195267,0.10245710599432398
1947-58-6,0.016733768603974842,0.16541229383814587,0.5401675913121814,0.2776863462456981
96-13-9,0.01965037235066169,0.18336411515683318,0.5956763481782252,0.2013091643142797
96-12-8,0.03648283339038115,0.48734743667911057,0.4387620715329842,0.037407658397523795
18791-02-1,0.014693621974518312,0.4476629091014105,0.48270156549606025,0.05494190342801099
75-81-0,0.07539967988886723,0.3069376041956987,0.5278462019652052,0.08981651395022895
590-12-5,0.08039234165873439,0.2646886810970295,0.5364625802731003,0.11845639697113586
2302-30-9,0.11368519267439943,0.18768054898414704,0.5636510155984109,0.1349832427430422
14689-59-9,0.8280533623994347,0.1240224065559688,0.028825515933806466,0.01909871511078981
79-27-6,0.019214718811296296,0.3265062232848719,0.5448639702638346,0.10941508763999754
63867-08-3,0.049953250114215426,0.11040391114519439,0.5565705064217141,0.2830723323188761
64047-47-8,0.02451958125111491,0.08343663852353725,0.738136191858344,0.15390758836700397
