CASRN,EPA_svm_ecfp6counts-1,EPA_svm_ecfp6counts-2,EPA_svm_ecfp6counts-3,EPA_svm_ecfp6counts-4
23233-88-7,0.07525455818482125,0.2408020014760789,0.6077267683919443,0.07621667194715544
87-12-7,0.06283803894446605,0.23005432655166225,0.5101021497253769,0.19700548477849478
31810-89-6,0.1920025982984765,0.22297581815976283,0.41704156522157576,0.16798001832018475
60012-87-5,0.08582779104420665,0.08958015986274241,0.5308657560930344,0.29372629300001685
15435-29-7,0.05818068719105698,0.0641822330730735,0.48087567817346727,0.3967614015624027
629-03-8,0.04680510158172595,0.3240136070498121,0.4857452550290759,0.14343603633938606
488-41-5,0.047556777054372563,0.19904401800027896,0.42941519795442123,0.32398400699092716
84-59-3,0.09430050239020149,0.43738013601501885,0.2815136170498451,0.18680574454493434
26846-51-5,0.038548374882273105,0.08672162464582463,0.3477250302993292,0.5270049701725732
55916-20-6,0.0632944590109349,0.2503486813361709,0.5036201157207699,0.18273674393212458
1324-11-4,0.0162393269041531,0.47860605415112967,0.4026839759690506,0.10247064297566673
4228-97-1,0.6080633760817629,0.26886193735224223,0.10305266210843865,0.020022024457556197
41035-29-4,0.7325686276156137,0.1761529080169904,0.058726197126245806,0.032552267241150026
87-10-5,0.038030859485606396,0.47800098714580985,0.4065532103968121,0.0774149429717716
25327-89-3,0.052437679930697645,0.12733945674896735,0.3186652758635675,0.5015575874567675
21466-07-9,0.2988634987202098,0.10825107074369192,0.4071620467765008,0.1857233837595975
25637-99-4,0.14721657178383316,0.28018219877550293,0.23390252263004488,0.338698706810619
25713-60-4,0.030382812696565585,0.12706875496270945,0.3298822903801479,0.5126661419605772
19186-97-1,0.08494523763571427,0.17089037642371113,0.5101732019088362,0.23399118403173846
63333-35-7,0.44175480093336766,0.2739602463068985,0.1917886446704707,0.09249630808926343
1522-92-5,0.06490845977770356,0.1420974211145316,0.6480509661641193,0.1449431529436455
57729-86-9,0.6441984109094876,0.18212220173156063,0.07384027612081136,0.09983911123814003
118-79-6,0.12034545308190635,0.268182477518546,0.5111169017166217,0.10035516768292557
