CASRN,EPA_svm_maccs-1,EPA_svm_maccs-2,EPA_svm_maccs-3,EPA_svm_maccs-4
23233-88-7,0.03541167148073121,0.08770024740699602,0.6241297885627595,0.2527582925495134
87-12-7,0.02914872509207209,0.6692773599945998,0.2054951239801382,0.09607879093318952
31810-89-6,0.021069895362214035,0.06471849996974383,0.31752124304252505,0.5966903616255167
60012-87-5,0.05808021432794534,0.12622802729289084,0.6010336971666728,0.2146580612124907
15435-29-7,0.04785188170964693,0.5375363346950547,0.3587656300302348,0.05584615356506335
629-03-8,0.03554297203529466,0.413397204861024,0.5103172872798324,0.040742535823849124
488-41-5,0.06869458945058333,0.08906184107500667,0.5469769133296772,0.29526665614473274
84-59-3,0.10970267494792982,0.15776493182640225,0.532651741398965,0.19988065182670287
26846-51-5,0.024749780505358785,0.11356169785843695,0.5399276910412869,0.32176083059491717
55916-20-6,0.0639124102150057,0.380385354968076,0.4935775823109405,0.06212465250597814
1324-11-4,0.03429407109955701,0.12898099478766437,0.7788770779960463,0.057847856116732335
4228-97-1,0.7528057784750999,0.18658286522760464,0.05183743557169076,0.008773920725604876
41035-29-4,0.9231067722435324,0.0284152972315318,0.0368501037772505,0.01162782674768502
87-10-5,0.03220770341537271,0.6814571880397925,0.1891344145531865,0.09720069399164853
25327-89-3,0.008145337117782578,0.10208550984473339,0.723976140628192,0.16579301240929215
21466-07-9,0.03040339701754581,0.13156210912662766,0.648410184107625,0.18962430974820166
25637-99-4,0.007449874505687344,0.4599494697871248,0.49277271058405886,0.03982794512312899
25713-60-4,0.01806044603129758,0.07053152392650508,0.5727509201882586,0.3386571098539387
19186-97-1,0.020489618560162463,0.11250646860661175,0.8379097201917991,0.029094192641426556
63333-35-7,0.1797493496172963,0.6070515093402162,0.15307490732865528,0.06012423371383257
1522-92-5,0.08555640657348568,0.07700162313090773,0.7910902783854817,0.046351691910125004
57729-86-9,0.6802318296376991,0.1490909915462215,0.14571107731050062,0.024966101505578903
118-79-6,0.4275593583284425,0.48000849304581594,0.08325334393128135,0.009178804694460344
25333-96-4,0.03617729812455778,0.6607035977723082,0.2438166172000375,0.05930248690309715
1689-99-2,0.0286599962785188,0.6520144929652871,0.27878550692691045,0.040540003829283584
3562-84-3,0.08987748417792793,0.12700903762225707,0.42956800492879216,0.3535454732710231
611-75-6,0.04218780484323903,0.3156504533673795,0.5624429186996738,0.07971882308970776
3296-90-0,0.04334216205807298,0.14865184409978707,0.5961571888637464,0.2118488049783935
13181-17-4,0.48939193135310777,0.13040317158245354,0.15803616928147501,0.2221687277829637
615-58-7,0.022925603131956285,0.2629810580488062,0.690669950866215,0.023423387953022675
6609-53-6,0.726559198846862,0.2179654020801981,0.04525553873243372,0.010219860340506223
53615-23-9,0.9175750908911231,0.03535729605246559,0.03814882443380931,0.008918788622601977
89427-28-1,0.7502045083543339,0.18784476141800957,0.0510582814558524,0.010892448771804175
89427-33-8,0.9231067722435324,0.0284152972315318,0.0368501037772505,0.01162782674768502
14689-56-6,0.9231067722435324,0.0284152972315318,0.0368501037772505,0.01162782674768502
3393-60-0,0.7500402590072455,0.1839815180904736,0.05141496369978153,0.014563259202499443
89427-29-2,0.7502045083543339,0.18784476141800957,0.0510582814558524,0.010892448771804175
15287-51-1,0.08315859323287832,0.2081449744425323,0.5772895559511209,0.13140687637346843
94847-66-2,0.17181481748884828,0.2300197191571754,0.5344833628751089,0.06368210047886727
2034-22-2,0.2349113742070523,0.3143576648870473,0.4168663010521688,0.03386465985373146
52907-07-0,0.016526560752621225,0.045226341961771874,0.4427659837553955,0.49548111353021135
50585-41-6,0.6451632894907996,0.11219267436151366,0.19418251809793446,0.048461518049752336
3322-93-8,0.0034244152422215563,0.07995921579880236,0.666906314159455,0.2497100547995211
21850-44-2,0.004726722026911886,0.05259557557296614,0.4168637751121217,0.5258139272880002
7682-32-8,0.722130507038681,0.23432652237743698,0.03419355495599109,0.009349415627891065
89427-35-0,0.9267392845126599,0.028897424630137475,0.034998489337110014,0.009364801520092668
126-72-7,0.0728149261336488,0.33370487257924736,0.17089336011724457,0.4225868411698592
3194-55-6,0.006744504655661017,0.27144736184998286,0.5502325375018505,0.17157559599250555
20566-35-2,0.028883910462964728,0.3919489688353617,0.38904579196221784,0.19012132873945617
2338-30-9,0.7734429517578704,0.17496452379834973,0.042196711529174,0.009395812914606038
87-84-3,0.007483248420213132,0.4650667671942252,0.37839737715528754,0.14905260723027428
608-71-9,0.612946672960004,0.1210818088604719,0.25153744844738213,0.014434069732141985
32588-76-4,0.012193918830774433,0.05846646657627654,0.45662354297915625,0.4727160716137927
32536-52-0,0.053471164147283284,0.05912396392976823,0.5590397006823575,0.32836517124059095
27858-07-7,0.0020680811836658653,0.03708770193924483,0.34055229325061265,0.6202919236264764
61262-53-1,0.016770221102790302,0.0428046236506135,0.5163753634263601,0.4240497918202364
84852-53-9,0.012080867913387824,0.14189078707061575,0.5029971111005653,0.34303123391543106
13654-09-6,0.004011506007079985,0.02648690937748486,0.35068174079743425,0.6188198438180009
3674-13-3,0.010001789481619536,0.8711332947475144,0.09518165476714789,0.023683261003718183
78-75-1,0.0017849821116067836,0.031953314979504106,0.9397693835434633,0.02649231936542577
89427-38-3,0.727885009861109,0.21047772894565003,0.05002051408387755,0.011616747109363374
10474-14-3,0.02176066930869641,0.7169944818017137,0.18394201158912007,0.07730283730046987
300-76-5,0.7646190295213726,0.12891038986125145,0.0748212322674558,0.03164934834991994
2872-96-0,0.12413983673968147,0.5089491995792789,0.2959734171573269,0.07093754652371277
106-93-4,0.019271114572191148,0.08913547445155347,0.8704594385361251,0.02113397244013034
1947-58-6,0.026695316413855252,0.17430529345653384,0.6982505688106011,0.1007488213190097
96-13-9,0.06993689275613485,0.3814423962212756,0.5130511970755119,0.035569513947077754
96-12-8,0.021484547377531117,0.7655293096353888,0.15316422032615576,0.05982192266092426
18791-02-1,0.019194915577011692,0.8919574745098706,0.06282331750441857,0.026024292408699138
75-81-0,0.01567818327492455,0.4972973086248372,0.27210436592215964,0.2149201421780783
590-12-5,0.034365615042637764,0.6287746552594179,0.3136021981677173,0.023257531530227134
2302-30-9,0.5614579918121197,0.3545015404624599,0.07000051789657227,0.014039949828847804
14689-59-9,0.9175750908911231,0.03535729605246559,0.03814882443380931,0.008918788622601977
79-27-6,0.003017273542158241,0.3360483615960606,0.6037847711844424,0.057149593677338795
63867-08-3,0.013314329515914759,0.13208520915574695,0.5297194901876389,0.32488097114069964
64047-47-8,0.010534904150940444,0.27948813338756373,0.6101965436887685,0.09978041877272718
63938-47-6,0.015813251271573465,0.18659055128965324,0.6035524498068459,0.19404374763192744
613-53-6,0.05474985964998222,0.33781887571810576,0.46092346757847025,0.14650779705344166
115-17-3,0.008107521164756283,0.3830921203917016,0.5525642776063835,0.05623608083715834
75-25-2,0.005659125082635727,0.20891132204959292,0.7017739775181151,0.08365557534965633
42136-31-2,0.7351420133692044,0.18991686615413977,0.05650266820508527,0.018438452271570566
64050-72-2,0.04732185650756425,0.6581423178064236,0.2583049444836788,0.036230881202333275
42136-30-1,0.09410500093675227,0.650038740119237,0.22826799004471257,0.027588268899298107
26637-71-8,0.0039673867670702466,0.2540618163878618,0.3487850222032984,0.3931857746417696
69094-18-4,0.11789285672015709,0.31067967415003883,0.48172904250715637,0.08969842662264761
74-95-3,0.0683048974960275,0.15902664274667785,0.300373365237161,0.47229509452013363
3252-43-5,0.008966252897510733,0.21841196394384665,0.74986159208857,0.022760191070072495
598-91-4,0.5571459661617602,0.2823732298884771,0.1335673415888543,0.026913462360908462
124-48-1,0.0018821944322811397,0.14368017342898948,0.7454912800871384,0.10894635205159083
25497-30-7,0.0062599483246515274,0.1274114201259323,0.25080850082795647,0.6155201307214597
83447-96-5,0.05469268180034162,0.08391786432751788,0.7512538456147204,0.11013560825742
473-49-4,0.14741451050608245,0.32913196201757067,0.45792941526851977,0.06552411220782704
117900-35-3,0.1930420396083273,0.20768130805555773,0.5046137219164625,0.09466293041965275
4460-32-6,0.40803867718231984,0.20309458742304812,0.2987229096242555,0.09014382577037673
2260-08-4,0.06536130864848481,0.24115013756084297,0.5429064908544317,0.15058206293624085
386-17-4,0.08153147766407584,0.14694733468007162,0.5191841993209464,0.25233698833490564
67-30-1,0.008359508314111976,0.10484720989169359,0.6953965042843936,0.19139677750980086
16423-68-0,0.18096149476004583,0.2233503139161231,0.5293501070142802,0.06633808430955078
10397-75-8,0.04746548547131019,0.11333913837032086,0.41841566496453203,0.42077971119383656
59017-64-0,0.022430948472751334,0.0454372736312757,0.5082545060511185,0.42387727184485446
79770-24-4,0.0312251361355406,0.07101794288667067,0.44174269473807476,0.4560142262397139
7246-21-1,0.03496901534909443,0.12417733216510135,0.4668647233310652,0.37398892915473897
96-84-4,0.04775290077130579,0.16358868511651478,0.7065221855795931,0.0821362285325861
59939-17-2,0.029571128876722322,0.1263053362968477,0.5315135294320643,0.31261000539436545
16034-77-8,0.01338032086415471,0.0733970501372685,0.6095586133352483,0.3036640156633286
22730-89-8,0.016448556877752287,0.0643092657671855,0.5382967231922501,0.38094545416281206
31112-62-6,0.02974656854398104,0.08345365713239511,0.4235064968145694,0.4632932775090549
440-58-4,0.019896216560417384,0.08470461958216072,0.45743600105566623,0.4379631628017558
66108-95-0,0.01376831827032346,0.044870611365622814,0.5921596152030957,0.3492014551609581
3115-05-7,0.023714965024232988,0.09527374081707526,0.5942737459711717,0.28673754818751995
111453-32-8,0.01262225983123103,0.038981485557190644,0.3953412406908141,0.5530550139207643
19403-92-0,0.048898244645549815,0.7156799727932739,0.22405365664160753,0.01136812591956858
37441-29-5,0.005090762595605096,0.03161317471795711,0.786144299794638,0.17715176289179943
19774-82-4,0.04342660183403609,0.2660624472709583,0.5424813523400862,0.14802959855491932
3861-47-0,0.043908237231675515,0.43920627309181265,0.3652682811818004,0.15161720849471147
57808-65-8,0.015427289717513195,0.07639941111426439,0.454076799591894,0.4540964995763282
577-91-3,0.0975643949065715,0.09423803459646186,0.734255763555861,0.07394180694110612
14689-57-7,0.13705924399124578,0.7233964036202307,0.11500322298184704,0.024541129406676652
17601-49-9,0.037994583219271724,0.12124112184920267,0.7898728537869687,0.050891441144557015
1746-25-4,0.6803387962605417,0.19446771020084955,0.10049314713241976,0.02470034640618888
29717-26-8,0.19433423210261858,0.11953564724683453,0.45731441075055634,0.22881570989999023
75-47-8,0.024924864330107734,0.07518902378273315,0.7872963453575361,0.11258976652962306
68439-50-9,0.002000322573293015,0.028590454981561094,0.8018764599557369,0.16753276248940888
9004-95-9,0.0032181656380546385,0.025906588450177032,0.8052925692012206,0.165582676710548
65-29-2,0.03688155558266127,0.4161868339957594,0.4608312684677027,0.08610034195387652
63869-27-2,0.7578367482131074,0.20678572213530802,0.029298874343569932,0.0060786553080145935
3247-33-4,0.6930096642741429,0.23543731331960238,0.05596574081429641,0.015587281591958371
70682-61-0,0.04273926058104388,0.10246037939199415,0.6014847429022481,0.2533156171247136
