CASRN,EPA_svm_mordred-1,EPA_svm_mordred-2,EPA_svm_mordred-3,EPA_svm_mordred-4
23233-88-7,0.1715765840336419,0.3505450460444275,0.3820049474620904,0.09587342245984025
87-12-7,0.04001577273748799,0.5080911926082801,0.3693764721654593,0.08251656248877233
31810-89-6,0.06332329497111884,0.16600654890998398,0.5070840833702055,0.2635860727486918
60012-87-5,0.0587168239186079,0.2277718922488568,0.6019468374549928,0.11156444637754266
15435-29-7,0.2630725114285873,0.24820986522929644,0.4281437487784851,0.06057387456363135
629-03-8,0.037311681666786,0.1358927173711247,0.7430926052185172,0.08370299574357237
488-41-5,0.05522673526226325,0.18522354750347217,0.5939437096104282,0.16560600762383637
84-59-3,0.09013175242160837,0.2060405876230912,0.5769234987245567,0.12690416123074377
26846-51-5,0.03890467576440404,0.13443144145450786,0.631070161403551,0.1955937213775372
55916-20-6,0.06797445293787735,0.2925657601300967,0.4311679933402948,0.20829179359173144
1324-11-4,0.04690448119775,0.13123723319664576,0.533520502385641,0.2883377832199629
4228-97-1,0.9359042716106055,0.03617782828322965,0.02265558696520862,0.005262313140955955
41035-29-4,0.9087456473376082,0.05062906593431784,0.03142136446998582,0.009203922258088196
87-10-5,0.04746352548953331,0.7180439651515205,0.20198544225596182,0.032507067102984274
25327-89-3,0.03932803976851785,0.1738605390186189,0.5253072101661334,0.2615042110467296
21466-07-9,0.07220170577084745,0.18983984585494307,0.557936914479286,0.18002153389492384
25637-99-4,0.05608288255097534,0.19265138717870472,0.5092262796049354,0.2420394506653848
25713-60-4,0.058195645359147306,0.18961856578830333,0.5123818354006413,0.23980395345190778
19186-97-1,0.06211469140444155,0.19474203255590555,0.5187747233661539,0.22436855267349934
63333-35-7,0.7010926903483965,0.15565619223928215,0.09466983030624086,0.04858128710608053
1522-92-5,0.04342184566327808,0.1397498156177805,0.7283607590338707,0.08846757968507105
57729-86-9,0.6093545731005076,0.183356904012932,0.15030032003128108,0.056988202855279516
118-79-6,0.5486234816459552,0.2966476403729233,0.12551830052347634,0.029210577457645246
25333-96-4,0.03739238317769334,0.7307560064572031,0.16526155238708906,0.06659005797801462
1689-99-2,0.03370181001756723,0.5591502038504614,0.3354921276490377,0.0716558584829337
3562-84-3,0.03992883216070515,0.3545206946292175,0.2979438508525931,0.30760662235748465
611-75-6,0.05815051751743016,0.4006784233184179,0.4836581989000277,0.05751286026412402
3296-90-0,0.03792294271116688,0.1228652485212466,0.7728834415206055,0.06632836724698084
13181-17-4,0.09916400915882877,0.13442925449195414,0.5309531052384665,0.23545363111075052
615-58-7,0.04271634727328064,0.17301450654821887,0.7565559752593682,0.02771317091913221
6609-53-6,0.8549497676586291,0.10959766425963849,0.029304056038939156,0.00614851204279315
53615-23-9,0.9392137085814044,0.03574217056597873,0.020781700081750964,0.00426242077086598
89427-28-1,0.8320871684899529,0.08566181404956236,0.06176958183378539,0.020481435626699036
89427-33-8,0.88672378148574,0.0703481192729863,0.033323458888539235,0.009604640352734352
14689-56-6,0.9116581087009209,0.04928552966463912,0.030330980965487683,0.008725380668952233
3393-60-0,0.9265463867914018,0.04733488095371991,0.019621641163358582,0.00649709109151968
89427-29-2,0.9003673449960466,0.05605084901407642,0.03282669221560967,0.010755113774266965
15287-51-1,0.15896617431839075,0.29942712502057944,0.45640802701528993,0.08519867364573985
94847-66-2,0.21979074045480476,0.19397576761607419,0.46446475259905684,0.12176873933006416
2034-22-2,0.06572801063607678,0.1504058545702041,0.6434361564500767,0.14042997834364257
52907-07-0,0.058722440257776,0.19176077772801559,0.5149906685178892,0.23452611349631952
50585-41-6,0.11239182178525653,0.18749581375958307,0.4726122766757128,0.22750008777944752
3322-93-8,0.036155147542543085,0.18961985783050225,0.5288007557266212,0.24542423890033344
21850-44-2,0.049523050516802294,0.16016977568382965,0.46624063804610644,0.3240665357532612
7682-32-8,0.9256336797210057,0.04800155049826742,0.020009614240919873,0.006355155539807059
89427-35-0,0.9021106397498425,0.056059430581992135,0.029752183266432128,0.012077746401733187
126-72-7,0.06967921902630111,0.21726616242089264,0.4871008741065675,0.22595374444623892
3194-55-6,0.05428380900838526,0.1876023644933667,0.5054483447128753,0.2526654817853729
20566-35-2,0.045210702570547476,0.22665523302209686,0.47865765915032427,0.24947640525703169
2338-30-9,0.6299936621547245,0.18768764077555394,0.1260433680385632,0.056275329031158214
87-84-3,0.051084712318505136,0.18670998733899025,0.5609323419290925,0.2012729584134124
608-71-9,0.047568445297090235,0.15653228319171617,0.5634972439030974,0.23240202760809606
32588-76-4,0.05719800656965807,0.19458136038990356,0.5093840607215879,0.2388365723188503
32536-52-0,0.054866585283583735,0.20355649298493547,0.45852721497549237,0.2830497067559884
27858-07-7,0.035006009507816,0.09105229925444858,0.35029118429074374,0.523650506946992
61262-53-1,0.05668043466720027,0.18064329703686766,0.4879908446094328,0.27468542368649945
84852-53-9,0.043672404920548594,0.11690740074505179,0.397845151461761,0.44157504287263843
13654-09-6,0.04332111523498875,0.12543027745142413,0.4270715089606865,0.4041770983529004
3674-13-3,0.015204472206441918,0.18562201786844743,0.7698042993865275,0.029369210538583258
78-75-1,0.037004631122088356,0.3528506658308538,0.540130210893432,0.07001449215362579
89427-38-3,0.9250618596471869,0.04232121501710826,0.026675474718046377,0.005941450617658344
10474-14-3,0.03802516195448432,0.242815470837047,0.62521863651074,0.09394073069772879
300-76-5,0.688691202873895,0.1926704243989871,0.08257032613313114,0.036068046593986554
2872-96-0,0.1188014291296012,0.6796835050550956,0.15689974803964155,0.04461531777566213
106-93-4,0.04759562738377633,0.48108368751931824,0.38863535441397146,0.08268533068293378
1947-58-6,0.039395720366916756,0.19828162757332535,0.7158131920990336,0.046509459960724496
96-13-9,0.08017199610293166,0.2591949440150639,0.6155210836270725,0.04511197625493201
96-12-8,0.05398702068956384,0.30405963131278585,0.5413119145052272,0.10064143349242326
18791-02-1,0.04888010388388662,0.575189085026246,0.3176674303630197,0.05826338072684741
75-81-0,0.04226646325783436,0.3281304728723151,0.4865536138897298,0.14304944998012042
590-12-5,0.07081990417316462,0.44321856646642543,0.3521492183842503,0.13381231097615978
2302-30-9,0.46679976336712514,0.26110780313088466,0.21448040089527767,0.05761203260671242
14689-59-9,0.9274461601561143,0.03849712960671714,0.02699339848392482,0.007063311753243843
79-27-6,0.05271530013244361,0.24558470293685647,0.5015644917721975,0.20013550515850265
63867-08-3,0.03425472869094676,0.07334578178057959,0.31651866245013704,0.575880827078337
64047-47-8,0.03785951533686818,0.12249987601960875,0.7151525775325319,0.12448803111099122
63938-47-6,0.0642529186780165,0.18444313950359084,0.4861761760274699,0.2651277657909227
613-53-6,0.05798601797843782,0.204777693781858,0.49003720565617687,0.24719908258352713
115-17-3,0.06298375074772215,0.2178010768630523,0.49645880168757706,0.22275637070164833
75-25-2,0.054977840736268484,0.4423749060643202,0.38134675562128323,0.12130049757812802
42136-31-2,0.6805893749894394,0.2205626983035582,0.0795517700775866,0.019296156629415754
64050-72-2,0.05799159753913261,0.6103744831860614,0.2597472658202542,0.07188665345455211
42136-30-1,0.04027254900932475,0.7593164594737868,0.17306482046933003,0.027346171047558605
26637-71-8,0.04963397664335563,0.1778708088731413,0.5038010260633577,0.26869418842014503
69094-18-4,0.06066528213290525,0.3249960085069837,0.4460497484448705,0.16828896091524023
74-95-3,0.04147506197170231,0.3954799151329055,0.3297183350904721,0.23332668780492008
3252-43-5,0.07148816058647252,0.34342930939546,0.4665625123344555,0.1185200176836121
598-91-4,0.18909686038764895,0.22250731970628418,0.42233152250734246,0.1660642973987243
124-48-1,0.029993082563126598,0.158679219540336,0.6683198054961961,0.14300789240034129
25497-30-7,0.04284354162028695,0.13016842844714152,0.41642075096048764,0.4105672789720841
83447-96-5,0.05491648246362035,0.17728815441372395,0.5830924645448687,0.18470289857778707
473-49-4,0.06916461369290547,0.21913782386510075,0.5590585401998285,0.15263902224216547
117900-35-3,0.07363861060177085,0.1929769237274005,0.5589701594114475,0.1744143062593808
4460-32-6,0.07392672003260746,0.20287283598687975,0.4998195416837398,0.22338090229677296
2260-08-4,0.17090359287914092,0.17799709330073427,0.4875078749973691,0.16359143882275595
386-17-4,0.05043984151360309,0.17378129360560263,0.5899006717539569,0.18587819312683734
67-30-1,0.038578615390340326,0.14834481236893185,0.6131255277592519,0.19995104448147594
16423-68-0,0.059339774336279565,0.18835930724176575,0.5181582640565872,0.23414265436536735
10397-75-8,0.03644395652507265,0.09561311064140507,0.3766222217713971,0.491320711062125
59017-64-0,0.038067207568412115,0.10009357573631891,0.3696851217083608,0.49215409498690793
79770-24-4,0.0627021915980367,0.1941924794977092,0.5087604968971978,0.23434483200705647
7246-21-1,0.023873419983580224,0.10192434221944312,0.41019708974660996,0.46400514805036736
96-84-4,0.0304227998323639,0.10146139911633599,0.42104352308606524,0.4470722779652351
59939-17-2,0.029002385843299183,0.08404424944711567,0.3886239429522516,0.4983294217573336
16034-77-8,0.02736667950775222,0.08128987787554572,0.5957085472713937,0.29563489534530846
22730-89-8,0.040150643842924515,0.08222311918891233,0.45602209087701534,0.4216041460911476
31112-62-6,0.031775530317986786,0.08045614717217973,0.3587181745941296,0.5290501479157038
440-58-4,0.029428622341871675,0.09508497676887431,0.6363795021689205,0.2391068987203338
66108-95-0,0.0386481881540868,0.11976729790906883,0.42165744328175864,0.41992707065508567
3115-05-7,0.022877455029910145,0.12140912218343444,0.5269974481662361,0.32871597462041935
111453-32-8,0.029488922990636362,0.07588200209453647,0.4276304520713334,0.46699862284349414
19403-92-0,0.04820791558099374,0.25236221409533605,0.5614621066975567,0.13796776362611424
37441-29-5,0.05126074305137415,0.20042585562576523,0.47525225200921045,0.27306114931365055
19774-82-4,0.05024344035753175,0.23231236270575994,0.4825019640304614,0.23494223290624697
3861-47-0,0.027453978847279646,0.1786877389218232,0.5066282134912521,0.2872300687396447
57808-65-8,0.05124815382463146,0.14294751571082195,0.6343784280360201,0.17142590242852587
577-91-3,0.05250711607666315,0.27112199676348386,0.562343434099289,0.1140274530605638
14689-57-7,0.46476090428710654,0.3179525342717165,0.1619064431899048,0.05538011825127231
17601-49-9,0.04882299634111595,0.27969082155411656,0.43100995869668374,0.2404762234080839
1746-25-4,0.0675339635309641,0.19102369408702705,0.5042484131520664,0.23719392922994265
29717-26-8,0.0625710308857405,0.193286387631043,0.5125193160150747,0.2316232654681419
75-47-8,0.055242509607855234,0.19682382965909712,0.5081048606529783,0.23982880008006877
68439-50-9,0.03605050139400008,0.12818053267135418,0.6793051997252638,0.15646376620938185
9004-95-9,0.036360127098621325,0.1327010257208487,0.67572300722718,0.15521583995335003
65-29-2,0.07359887863310133,0.20785672118795845,0.49851002748998613,0.22003437268895423
63869-27-2,0.07432244194375888,0.19345633037224946,0.4986609825935917,0.23356024509039983
3247-33-4,0.09572678160161383,0.18760893590116012,0.48776773306500953,0.22889654943221666
70682-61-0,0.04424879241779954,0.18571916809793707,0.5416505246998871,0.22838151478437593
3319-31-1,0.01962113387986445,0.037592928004484494,0.21039114055115782,0.7323947975644933
301-13-3,0.010986727644405203,0.027648321911992485,0.2125970720100795,0.748767878433523
78-42-2,0.013878217114849024,0.07695804850005114,0.6318230458776377,0.27734068850746185
56706-10-6,0.04798184025246192,0.19264384149062747,0.5418203555315124,0.2175539627253984
160194-28-5,0.050263880912845844,0.1784914458382201,0.5131361976221624,0.2581084756267717
15458-87-4,0.05954685637197389,0.20597731279913792,0.5030866598381257,0.23138917099076262
105084-66-0,0.18824704080507068,0.4262601670068555,0.33520362456790515,0.050289167620168405
13080-06-3,0.013105504075648458,0.1058049011737169,0.7413576855090341,0.13973190924160048
15180-47-9,0.015791068987830885,0.08238076225413478,0.7558119770381373,0.1460161917198964
35077-00-0,0.020450498875189065,0.0513741920605008,0.3300141089327389,0.598161200131571
