CASRN,EPA_svm_rdkit2d-1,EPA_svm_rdkit2d-2,EPA_svm_rdkit2d-3,EPA_svm_rdkit2d-4
23233-88-7,0.10526684192848251,0.07712456208181762,0.4942077841039821,0.32340081188571806
87-12-7,0.03159467544981491,0.27079755585553467,0.4617738228756971,0.2358339458189532
31810-89-6,0.22751806465588809,0.09631983098299984,0.32359528551649236,0.3525668188446199
60012-87-5,0.048760521291265076,0.4398291539981654,0.44534727356961923,0.06606305114095003
15435-29-7,0.3229525320161802,0.14320082892946087,0.4754358989480742,0.058410740106284526
629-03-8,0.026375187784606558,0.34149463842779143,0.5620071357030885,0.07012303808451334
488-41-5,0.026172452678322383,0.19362916023939247,0.5694377889729444,0.21076059810934086
84-59-3,0.09810100899194935,0.15563821446308584,0.6242216638392994,0.1220391127056654
26846-51-5,0.014486271077892606,0.14883233771874552,0.6887216409165933,0.1479597502867686
55916-20-6,0.045009871848595964,0.2990167593006146,0.38775723885232083,0.2682161299984687
1324-11-4,0.043626203295730324,0.03411715945799272,0.6664225112847711,0.25583412596150557
4228-97-1,0.7849625609979468,0.19117858775160154,0.020316757451963968,0.003542093798487725
41035-29-4,0.7898620442745866,0.14348195924254104,0.03877073246372545,0.027885264019146563
87-10-5,0.04069504243258198,0.18302340624697833,0.5502733563616362,0.22600819495880334
25327-89-3,0.05779151842414788,0.2080362358249502,0.42740543814685167,0.30676680760405023
21466-07-9,0.08905978960368936,0.4349310800762364,0.33071526381516336,0.14529386650491133
25637-99-4,0.0050857850138892125,0.05448614629541224,0.6289199118570786,0.3115081568336203
25713-60-4,0.10046544722427472,0.12418256512080487,0.41533746039090214,0.3600145272640183
19186-97-1,0.032950234637899964,0.09482789124563912,0.6003131369212982,0.2719087371951625
63333-35-7,0.5975953975964692,0.2940494686685084,0.08932021090669347,0.01903492282832909
1522-92-5,0.04629569257913728,0.20554274727810123,0.672241491635865,0.07592006850689674
57729-86-9,0.6464772363830251,0.2139373469598447,0.08784898613378207,0.05173643052334832
118-79-6,0.10123930238981473,0.5873143673893961,0.2888715333128662,0.022574796907922915
25333-96-4,0.022914955806744384,0.3698017575109055,0.5658011962664984,0.041482090415851665
1689-99-2,0.022894672181677324,0.6713101614277179,0.2682480417997171,0.037547124590887916
3562-84-3,0.03939831807505241,0.10278825286270823,0.48247637027654294,0.3753370587856963
611-75-6,0.03193300148403092,0.7635089926616847,0.19784361954892704,0.006714386305357382
3296-90-0,0.02265468529753554,0.15300617382506526,0.7302947097088891,0.0940444311685099
13181-17-4,0.158548017614007,0.16785746430716006,0.34239042454304164,0.3312040935357914
615-58-7,0.016428032156741715,0.23280709698004604,0.7315730797400954,0.01919179112311659
6609-53-6,0.5986192817568285,0.35278360899132816,0.042419195958701396,0.006177913293141709
