CASRN,EPA_xgboost_ecfp6bits-1,EPA_xgboost_ecfp6bits-2,EPA_xgboost_ecfp6bits-3,EPA_xgboost_ecfp6bits-4
23233-88-7,0.053320535,0.5417529,0.37243766,0.032488946
87-12-7,0.049180023,0.2592715,0.4222398,0.2693087
31810-89-6,0.058419455,0.18121964,0.26051995,0.49984097
60012-87-5,0.0553515,0.15477137,0.64783376,0.14204332
15435-29-7,0.057437483,0.061747324,0.7530612,0.12775408
629-03-8,0.06372536,0.23963572,0.49783233,0.19880658
488-41-5,0.03792868,0.19104816,0.58255094,0.18847226
84-59-3,0.07001488,0.23922162,0.5684656,0.1222979
26846-51-5,0.015892826,0.092547566,0.34588486,0.54567474
55916-20-6,0.016794004,0.219802,0.22506112,0.5383429
1324-11-4,0.0035233607,0.12768325,0.20778847,0.6610049
4228-97-1,0.88464296,0.08554265,0.021280248,0.0085342135
41035-29-4,0.9584196,0.015651852,0.019810142,0.0061183586
87-10-5,0.01771497,0.4374316,0.45408574,0.09076774
25327-89-3,0.0066482555,0.49152428,0.39473194,0.10709558
21466-07-9,0.031245312,0.04048369,0.6638109,0.26446006
25637-99-4,0.090346254,0.38654473,0.30891973,0.21418928
25713-60-4,0.04934422,0.20244089,0.5142866,0.23392835
19186-97-1,0.18703261,0.20145158,0.45734358,0.15417226
63333-35-7,0.7764828,0.14003325,0.05341579,0.030068124
1522-92-5,0.067064285,0.19752464,0.53587675,0.19953433
57729-86-9,0.5400757,0.3015368,0.10779556,0.05059194
118-79-6,0.10202252,0.21895413,0.55730116,0.12172221
25333-96-4,0.028512593,0.52798104,0.28345257,0.1600538
1689-99-2,0.027577428,0.49093303,0.22320233,0.2582872
3562-84-3,0.028848886,0.08914442,0.7355182,0.14648847
611-75-6,0.02403901,0.09449935,0.87126446,0.010197164
3296-90-0,0.021133509,0.15250772,0.6255304,0.20082834
13181-17-4,0.33884788,0.118207,0.16450188,0.37844324
615-58-7,0.03882114,0.30736053,0.57671046,0.07710792
6609-53-6,0.8424439,0.10681001,0.02852164,0.02222442
53615-23-9,0.8965154,0.07337837,0.00996389,0.02014229
89427-28-1,0.9812816,0.011762167,0.005555469,0.0014007746
89427-33-8,0.9596253,0.028221777,0.010089867,0.00206307
14689-56-6,0.93356144,0.046463832,0.013756604,0.0062181065
3393-60-0,0.9056568,0.06853238,0.021508027,0.004302819
89427-29-2,0.98255795,0.0071371133,0.008024503,0.0022804525
15287-51-1,0.0069502136,0.19051456,0.6041898,0.19834542
94847-66-2,0.15310302,0.17706777,0.6180146,0.051814634
2034-22-2,0.061361574,0.28363293,0.5054043,0.14960118
52907-07-0,0.07889379,0.23586263,0.61227286,0.07297069
50585-41-6,0.12325393,0.13571785,0.4604997,0.28052855
3322-93-8,0.03771569,0.16541667,0.64000994,0.15685773
21850-44-2,0.013867302,0.21055157,0.42234027,0.35324088
7682-32-8,0.8388614,0.0706102,0.013243899,0.077284485
89427-35-0,0.8098031,0.13844761,0.025521904,0.026227389
126-72-7,0.07494909,0.2813227,0.17051613,0.4732121
3194-55-6,0.04069987,0.3140468,0.3507083,0.29454505
20566-35-2,0.0031610935,0.046709623,0.5327698,0.41735947
2338-30-9,0.9449999,0.017479021,0.018548124,0.018972978
87-84-3,0.093266055,0.41651365,0.28101295,0.20920731
608-71-9,0.17979524,0.12759645,0.26434636,0.42826197
32588-76-4,0.03190396,0.050461017,0.43756935,0.48006567
