CASRN,EPA_xgboost_ecfp6counts-1,EPA_xgboost_ecfp6counts-2,EPA_xgboost_ecfp6counts-3,EPA_xgboost_ecfp6counts-4
23233-88-7,0.023041658,0.06470715,0.9108969,0.001354256
87-12-7,0.046184324,0.3578389,0.35767272,0.23830402
31810-89-6,0.1801505,0.12110075,0.5284949,0.17025384
60012-87-5,0.0021454627,0.011952008,0.95790994,0.0279926
15435-29-7,0.081598796,0.015120266,0.41988212,0.4833988
629-03-8,0.00053874514,0.2119837,0.75429773,0.033179764
488-41-5,0.0150430715,0.024317896,0.19535622,0.7652828
84-59-3,0.0029951776,0.6424967,0.26271576,0.09179235
26846-51-5,0.00035991197,0.0046962597,0.06720397,0.92773986
55916-20-6,0.00039819287,0.043735415,0.92143744,0.03442894
1324-11-4,0.0002997305,0.15359238,0.7171698,0.128938
4228-97-1,0.98221546,0.011122866,0.0046433043,0.0020183958
41035-29-4,0.9911607,0.007935231,0.00041621827,0.0004879177
87-10-5,0.00030948393,0.84143794,0.14517596,0.013076548
25327-89-3,0.0012413217,0.028993754,0.27663368,0.69313127
21466-07-9,0.071810596,0.008799508,0.89028615,0.029103782
25637-99-4,0.0022130464,0.052135862,0.017612806,0.9280383
25713-60-4,0.0037900123,0.025171101,0.16921332,0.8018255
19186-97-1,0.0007025639,0.0058859857,0.9827853,0.010626118
63333-35-7,0.67727953,0.30038947,0.014826356,0.0075046723
1522-92-5,0.018576335,0.07816404,0.8445371,0.058722537
57729-86-9,0.8744422,0.074360885,0.009564473,0.041632447
118-79-6,0.03273365,0.41048622,0.54131085,0.015469228
25333-96-4,0.00032788754,0.38184354,0.50000364,0.11782491
1689-99-2,0.005076279,0.807624,0.17874557,0.008554163
3562-84-3,0.0009247155,0.026931552,0.46503147,0.50711226
611-75-6,0.19461887,0.045262184,0.75110346,0.009015536
3296-90-0,0.0062492318,0.032322448,0.5533019,0.4081264
13181-17-4,0.26699802,0.029511975,0.52385324,0.17963673
615-58-7,0.020912176,0.33471823,0.64118874,0.003180893
6609-53-6,0.93647075,0.06022556,0.0019451822,0.0013584904
53615-23-9,0.9969891,0.00198489,0.00023239321,0.00079366035
89427-28-1,0.99954647,0.00034292188,2.0682432e-05,8.987621e-05
89427-33-8,0.9984378,0.00016805893,0.00012456819,0.0012695019
14689-56-6,0.9986089,0.00084733655,0.00022502858,0.0003188078
3393-60-0,0.99451435,0.004949396,0.00029235054,0.00024387115
89427-29-2,0.99954623,0.00026809768,4.2060095e-05,0.00014355135
15287-51-1,0.0043339226,0.01124118,0.9619259,0.02249898
94847-66-2,0.20082027,0.017987274,0.7786464,0.0025460524
2034-22-2,0.4870841,0.07555547,0.40950358,0.027856816
52907-07-0,0.022844952,0.00039818164,0.96911633,0.007640521
50585-41-6,0.26149988,0.0035076719,0.41420543,0.32078698
3322-93-8,0.04403675,0.2389,0.61004937,0.10701384
21850-44-2,0.0012978361,0.04753367,0.41925254,0.53191596
7682-32-8,0.99035966,0.0030277674,0.00038015065,0.006232446
89427-35-0,0.99742305,0.0004122891,0.0012838469,0.0008808382
126-72-7,0.0007938953,0.52459097,0.080498114,0.39411703
3194-55-6,0.0034711384,0.42620885,0.030590199,0.53972983
20566-35-2,0.00015983339,0.004190983,0.110187225,0.8854619
2338-30-9,0.97530115,0.0044594514,0.0032437444,0.01699564
87-84-3,0.0007499374,0.66746986,0.029920155,0.30186006
608-71-9,0.0308603,0.075311765,0.30202046,0.5918075
32588-76-4,0.00068274897,6.2252475e-05,0.016402423,0.9828525
32536-52-0,0.040832028,0.12410511,0.14966688,0.68539596
27858-07-7,0.07787221,0.11834449,0.43031916,0.37346414
