CASRN,EPA_xgboost_maccs-1,EPA_xgboost_maccs-2,EPA_xgboost_maccs-3,EPA_xgboost_maccs-4
23233-88-7,0.025212979,0.1190002,0.46303037,0.39275652
87-12-7,0.010547639,0.2258841,0.39435053,0.36921775
31810-89-6,0.019765986,0.07409273,0.19426678,0.7118745
60012-87-5,0.10240012,0.2233476,0.51990306,0.15434922
15435-29-7,0.09024059,0.2976275,0.49283063,0.119301334
629-03-8,0.100600556,0.3904451,0.39724922,0.11170511
488-41-5,0.11644631,0.11202557,0.37668234,0.3948458
84-59-3,0.18084158,0.23161516,0.3944464,0.19309689
26846-51-5,0.020957327,0.21628025,0.36531666,0.39744577
55916-20-6,0.094767906,0.37268493,0.3264778,0.20606935
1324-11-4,0.058440495,0.17195706,0.56298745,0.20661502
4228-97-1,0.9150326,0.063876554,0.014904021,0.006186869
41035-29-4,0.93368894,0.04869256,0.011226963,0.006391534
87-10-5,0.009452131,0.17733264,0.4579346,0.3552807
25327-89-3,0.012037181,0.2263325,0.50802135,0.25360897
21466-07-9,0.0242481,0.10268457,0.55409366,0.31897366
25637-99-4,0.050516434,0.29884952,0.46435013,0.18628395
25713-60-4,0.01818809,0.063536905,0.536941,0.38133398
19186-97-1,0.21759182,0.20317903,0.53720045,0.042028688
63333-35-7,0.66728646,0.15623727,0.107774965,0.06870134
1522-92-5,0.10670212,0.1949313,0.6353428,0.06302383
57729-86-9,0.48100612,0.16863275,0.21758209,0.132779
118-79-6,0.13576578,0.32857132,0.49021322,0.045449693
25333-96-4,0.017905759,0.5778834,0.37082735,0.03338344
1689-99-2,0.01312756,0.7010196,0.19982825,0.086024575
3562-84-3,0.1521218,0.36905804,0.3611917,0.11762849
611-75-6,0.02206021,0.33687487,0.6058782,0.035186768
3296-90-0,0.031325992,0.1830312,0.59604675,0.18959604
13181-17-4,0.22879033,0.102991946,0.3043471,0.36387062
615-58-7,0.06916792,0.35712913,0.5372812,0.036421727
6609-53-6,0.8968707,0.0774973,0.017411163,0.0082208235
53615-23-9,0.9387814,0.044555355,0.010565017,0.0060982225
89427-28-1,0.905957,0.07133035,0.015380336,0.0073323473
89427-33-8,0.93368894,0.04869256,0.011226963,0.006391534
14689-56-6,0.93368894,0.04869256,0.011226963,0.006391534
3393-60-0,0.92403805,0.055044625,0.013039615,0.007877727
89427-29-2,0.905957,0.07133035,0.015380336,0.0073323473
15287-51-1,0.055385042,0.2370139,0.64770687,0.059894223
94847-66-2,0.10673497,0.16728657,0.6738949,0.052083574
2034-22-2,0.23587061,0.4155996,0.30622712,0.042302653
52907-07-0,0.02455872,0.061767455,0.43105328,0.48262054
50585-41-6,0.7107702,0.049302552,0.17942347,0.060503796
3322-93-8,0.030200882,0.18647674,0.604594,0.17872837
21850-44-2,0.012565523,0.16696696,0.42998102,0.39048654
7682-32-8,0.91688734,0.06668004,0.009597425,0.0068352083
89427-35-0,0.9356684,0.046086196,0.011450341,0.006795068
126-72-7,0.22764227,0.408722,0.19749436,0.16614138
3194-55-6,0.047801375,0.22115417,0.4460813,0.2849631
20566-35-2,0.013049416,0.173871,0.49184856,0.32123098
2338-30-9,0.90561986,0.072043106,0.013934823,0.008402275
87-84-3,0.038133085,0.31305566,0.49459803,0.15421316
608-71-9,0.12101352,0.26633373,0.56881565,0.043837097
32588-76-4,0.026399802,0.078481615,0.44268274,0.45243588
32536-52-0,0.05916579,0.11343226,0.50814945,0.31925246
27858-07-7,0.015604692,0.12248039,0.37503973,0.48687518
61262-53-1,0.033415344,0.12426552,0.62404126,0.21827786
84852-53-9,0.016716365,0.089852266,0.54418707,0.34924427
13654-09-6,0.017849313,0.12594838,0.3993903,0.45681202
3674-13-3,0.015483304,0.32386604,0.53529745,0.12535325
78-75-1,0.02293451,0.32310185,0.54755545,0.106408186
89427-38-3,0.76164734,0.19851588,0.025864724,0.013972047
10474-14-3,0.022128798,0.3345362,0.54888886,0.094446145
300-76-5,0.26233202,0.37415656,0.30581203,0.05769941
2872-96-0,0.13469614,0.6001336,0.22714801,0.03802227
106-93-4,0.1168515,0.3569862,0.45438772,0.07177457
1947-58-6,0.045027334,0.2825605,0.49700487,0.17540729
96-13-9,0.07217235,0.35837707,0.49058878,0.078861825
96-12-8,0.05607504,0.4874324,0.3694302,0.08706235
18791-02-1,0.045950856,0.5228778,0.3545909,0.07658049
75-81-0,0.047691803,0.35266384,0.45344862,0.14619568
590-12-5,0.08936947,0.52154535,0.2518285,0.1372567
2302-30-9,0.24621226,0.49729082,0.21361695,0.042880002
14689-59-9,0.9387814,0.044555355,0.010565017,0.0060982225
79-27-6,0.039160915,0.47072086,0.30665445,0.18346378
63867-08-3,0.023489857,0.24064137,0.5170246,0.21884419
