CASRN,EPA_xgboost_mordred-1,EPA_xgboost_mordred-2,EPA_xgboost_mordred-3,EPA_xgboost_mordred-4
23233-88-7,0.027062945,0.17753151,0.63085866,0.16454689
87-12-7,0.002940556,0.33691043,0.65646356,0.0036854215
31810-89-6,0.001495527,0.0011522592,0.06363938,0.93371284
60012-87-5,0.016581781,0.046155483,0.91693455,0.020328114
15435-29-7,0.2626928,0.11391634,0.5872477,0.036143113
629-03-8,0.00015565091,0.038715925,0.9571586,0.0039698193
488-41-5,0.0037331774,0.032624926,0.89148414,0.072157726
84-59-3,0.0025895075,0.036217816,0.9564933,0.0046993424
26846-51-5,0.0036687457,0.008344291,0.54735154,0.44063538
55916-20-6,0.010211709,0.123886906,0.8233684,0.04253303
1324-11-4,0.0018109404,0.006933559,0.23806287,0.7531926
4228-97-1,0.99917585,0.0006049016,0.00020322663,1.6023305e-05
41035-29-4,0.99995005,2.4856634e-05,2.3036338e-05,2.0218604e-06
87-10-5,0.01151384,0.16209127,0.8114004,0.014994529
25327-89-3,0.00076526974,0.011327419,0.84409153,0.14381577
21466-07-9,0.03346161,0.05569144,0.7912623,0.11958461
25637-99-4,0.00028803095,0.0046543223,0.9021302,0.092927456
25713-60-4,0.0028673068,0.0008225967,0.025578314,0.9707318
19186-97-1,0.020885115,0.049143277,0.8702543,0.059717324
63333-35-7,0.9946509,0.0015608385,0.002429775,0.0013585278
1522-92-5,0.0017418487,0.046402,0.9477392,0.0041169794
57729-86-9,0.8379793,0.034754246,0.12468685,0.0025796061
118-79-6,0.43933934,0.11402144,0.4412779,0.005361309
25333-96-4,0.000602396,0.95108914,0.048037194,0.00027130617
1689-99-2,0.0001826427,0.9505492,0.01396462,0.03530354
3562-84-3,0.012731599,0.055906437,0.6407433,0.29061866
611-75-6,0.0016229835,0.6695085,0.3249812,0.0038872764
3296-90-0,0.002613785,0.015028432,0.9775654,0.0047924076
13181-17-4,0.12558404,0.036110885,0.45782608,0.38047898
615-58-7,0.013530841,0.014651146,0.9716119,0.00020604125
6609-53-6,0.99952114,0.00043838646,3.860224e-05,1.8839883e-06
53615-23-9,0.99994075,4.3164244e-05,1.1593647e-05,4.511659e-06
89427-28-1,0.9997588,0.00015014311,8.4566804e-05,6.541809e-06
89427-33-8,0.9999502,3.3702338e-05,1.3369235e-05,2.7935569e-06
14689-56-6,0.99997187,1.6852186e-05,9.713068e-06,1.5428086e-06
3393-60-0,0.9998871,5.5088247e-05,5.4112978e-05,3.638332e-06
89427-29-2,0.9998609,4.1512954e-05,9.1984024e-05,5.5452574e-06
15287-51-1,0.024597567,0.3223328,0.58768046,0.065389186
94847-66-2,0.04672433,0.44370103,0.37450713,0.13506746
2034-22-2,0.1346658,0.7913433,0.07117282,0.0028181735
52907-07-0,0.01574387,0.025211725,0.044338986,0.91470546
50585-41-6,0.7959825,0.033230476,0.07155818,0.09922881
3322-93-8,0.00031437227,0.004968031,0.96993333,0.024784299
21850-44-2,0.002133302,0.0052811615,0.15224583,0.8403397
7682-32-8,0.999881,9.011815e-05,1.5142112e-05,1.3730812e-05
89427-35-0,0.9999368,2.03321e-05,2.789541e-05,1.4929187e-05
126-72-7,0.1122758,0.43067396,0.23591699,0.22113328
3194-55-6,0.001367399,0.017886618,0.71611106,0.26463494
20566-35-2,0.0036841251,0.0577185,0.5731875,0.36540997
2338-30-9,0.9996929,0.00016423025,0.00011299152,2.988198e-05
87-84-3,0.0010932608,0.0451883,0.9492732,0.0044451924
608-71-9,0.07546425,0.013381499,0.88223076,0.028923554
32588-76-4,0.03140703,0.017584424,0.055140484,0.8958681
32536-52-0,0.18325005,0.025985057,0.06573173,0.72503316
27858-07-7,5.641979e-05,0.00039552024,0.0053177555,0.9942303
61262-53-1,0.011021636,0.0362565,0.04389755,0.90882427
84852-53-9,5.9677506e-05,0.00080292043,0.014020686,0.9851167
13654-09-6,0.0002899168,0.0007220671,0.01761473,0.98137325
3674-13-3,0.0005938357,0.26397836,0.7259018,0.00952606
78-75-1,0.00080824003,0.33092874,0.66156644,0.00669661
89427-38-3,0.9989085,0.00067855715,0.0003678948,4.5053966e-05
10474-14-3,0.00048188178,0.02987471,0.96837115,0.0012722462
300-76-5,0.982754,0.011715218,0.0047894046,0.000741457
2872-96-0,0.040823173,0.928457,0.029040627,0.0016792009
106-93-4,0.013843835,0.8470872,0.13595831,0.0031106505
1947-58-6,0.0024930253,0.03158153,0.965327,0.0005984561
96-13-9,0.013229546,0.8012426,0.18504567,0.00048218248
96-12-8,0.0059194863,0.8307581,0.15585862,0.0074638133
18791-02-1,0.00021372325,0.9977271,0.0016743789,0.00038480092
75-81-0,0.00031681298,0.9722435,0.025518367,0.0019213782
590-12-5,0.00082671194,0.9958845,0.0028945263,0.00039426438
2302-30-9,0.26623875,0.43830577,0.29394695,0.0015085451
14689-59-9,0.99993277,3.9831397e-05,1.790935e-05,9.467817e-06
79-27-6,0.0003347521,0.93778735,0.055740196,0.0061377343
63867-08-3,0.00062648655,0.00626699,0.72090805,0.27219847
64047-47-8,3.3211294e-05,0.0007964199,0.99720925,0.001961064
63938-47-6,0.016687904,0.121547855,0.72066605,0.14109826
613-53-6,0.006303295,0.08160472,0.4230427,0.48904932
115-17-3,0.001846974,0.39653346,0.5885835,0.013036078
75-25-2,1.9563287e-05,0.9929431,0.006859865,0.0001773786
42136-31-2,0.9882804,0.0071862387,0.0042016176,0.0003317386
64050-72-2,0.0007844536,0.9977034,0.0013190096,0.00019321607
42136-30-1,0.0006027042,0.9955433,0.003503612,0.00035042784
26637-71-8,0.0012244846,0.033028547,0.918304,0.047442988
69094-18-4,0.09579963,0.56836176,0.28881162,0.04702698
74-95-3,0.0017747211,0.9641895,0.008213321,0.025822459
3252-43-5,0.0011207375,0.9979552,0.00085978874,6.430777e-05
598-91-4,0.22777553,0.765143,0.006535576,0.00054593483
124-48-1,6.013257e-05,0.0054259547,0.99332845,0.0011855133
25497-30-7,0.026402164,0.022950677,0.026816456,0.9238307
83447-96-5,0.00033451442,0.022575075,0.9746036,0.0024868166
473-49-4,0.038815655,0.5814501,0.2787602,0.10097405
117900-35-3,0.022025527,0.03576278,0.8826952,0.05951647
4460-32-6,0.83604026,0.08430495,0.07454698,0.0051077753
2260-08-4,0.11722206,0.06154573,0.59930676,0.22192542
386-17-4,0.014009472,0.0011626633,0.93871945,0.046108443
67-30-1,0.0012542868,0.06913099,0.92125684,0.008357954
16423-68-0,0.01948905,0.017676894,0.93225026,0.030583782
10397-75-8,0.00064928824,0.0005175106,0.0056893174,0.9931439
59017-64-0,0.00053349626,0.0003194782,0.0043226117,0.9948244
79770-24-4,0.00048808297,0.00013304778,0.014562582,0.9848163
7246-21-1,0.0019556696,0.009562799,0.9484581,0.040023502
96-84-4,0.016756106,0.09662927,0.51466155,0.3719531
59939-17-2,0.0030972396,0.017958352,0.25510645,0.723838
16034-77-8,0.00510654,0.01614335,0.8580716,0.1206785
22730-89-8,0.0031503795,0.008281351,0.8426819,0.14588645
31112-62-6,0.0011743085,0.0005548016,0.021957265,0.97631365
440-58-4,0.0034458924,0.003313012,0.2392847,0.75395644
66108-95-0,0.0002852223,0.00026317238,0.0075030453,0.9919485
3115-05-7,0.007055394,0.004722172,0.22579826,0.7624242
111453-32-8,0.0004431423,0.000673467,0.12517147,0.87371194
19403-92-0,0.00868224,0.0461906,0.9439126,0.0012145885
37441-29-5,0.001687691,0.031499896,0.63945377,0.32735863
19774-82-4,0.0026746055,0.115766756,0.7048015,0.17675713
3861-47-0,0.00016293785,0.9649506,0.02269427,0.012192198
57808-65-8,0.0064168517,0.0117869135,0.875471,0.106325254
577-91-3,0.04100082,0.29049078,0.6580069,0.010501551
14689-57-7,0.99434245,0.0041700266,0.0013938458,9.365494e-05
17601-49-9,0.002580799,0.09779918,0.8802632,0.019356871
1746-25-4,0.63563526,0.29191238,0.064160004,0.008292393
29717-26-8,0.06803494,0.01022452,0.75312203,0.16861857
75-47-8,0.00023530291,0.012288687,0.98688436,0.0005916756
68439-50-9,2.7254571e-05,0.00021039773,0.9940392,0.0057232357
9004-95-9,2.2408243e-05,0.00010087822,0.9951137,0.0047630556
65-29-2,0.0024275004,0.025261084,0.969829,0.0024823984
