CASRN,EPA_xgboost_rdkit2d-1,EPA_xgboost_rdkit2d-2,EPA_xgboost_rdkit2d-3,EPA_xgboost_rdkit2d-4
23233-88-7,0.015477364,0.20529881,0.5207232,0.2585006
87-12-7,0.0013789732,0.33559495,0.19698001,0.466046
31810-89-6,0.006823667,0.015396667,0.15526861,0.8225111
60012-87-5,0.0070048044,0.115168266,0.86163116,0.016195823
15435-29-7,0.4336839,0.2498427,0.23962264,0.076850735
629-03-8,0.00014221866,0.033732936,0.9648139,0.0013109959
488-41-5,0.005314647,0.019250384,0.93456125,0.040873725
84-59-3,0.09972081,0.09171665,0.7646812,0.043881293
26846-51-5,0.010743505,0.036624923,0.9052385,0.04739302
55916-20-6,0.0031211937,0.13587663,0.8155289,0.04547322
1324-11-4,0.0021510702,0.004264681,0.25153932,0.7420449
4228-97-1,0.998698,0.00120214,7.97429e-05,2.0091067e-05
41035-29-4,0.9998994,7.399908e-05,1.8659202e-05,7.9257825e-06
87-10-5,0.009611932,0.12840718,0.43195757,0.43002334
25327-89-3,0.00067247596,0.02156087,0.80766684,0.17009982
21466-07-9,0.03430585,0.12004519,0.7963261,0.049322866
25637-99-4,0.0003348317,0.007093399,0.7196441,0.27292767
25713-60-4,0.0010238142,0.00018209463,0.013682703,0.9851114
19186-97-1,0.009254493,0.007939568,0.70396584,0.27884015
63333-35-7,0.9509372,0.034174506,0.014147035,0.0007412074
1522-92-5,0.011309211,0.022519436,0.9617162,0.004455106
57729-86-9,0.9681226,0.014767063,0.014976596,0.0021337161
118-79-6,0.30223912,0.3023981,0.38590458,0.009458178
25333-96-4,0.000325395,0.9709245,0.028309308,0.00044083205
1689-99-2,0.0023921453,0.956715,0.032953717,0.00793913
3562-84-3,0.00077342126,0.05633471,0.7050794,0.23781243
611-75-6,0.0054359687,0.6082811,0.38545206,0.0008308687
3296-90-0,0.009323854,0.0069003664,0.97224134,0.011534437
13181-17-4,0.05733159,0.24780837,0.15192959,0.5429304
615-58-7,0.00161065,0.035670828,0.9626271,9.135115e-05
6609-53-6,0.9972699,0.0026376718,5.828329e-05,3.404235e-05
53615-23-9,0.99991834,6.6723354e-05,9.337188e-06,5.6055324e-06
89427-28-1,0.9968201,0.0031470621,1.8591434e-05,1.4251313e-05
