CASRN,LD50_RF_ecfp6bits
23233-88-7,0.16511321980586652
87-12-7,0.47484431351911055
15435-29-7,0.39806354678596956
629-03-8,0.6334583641307774
488-41-5,0.7070555189318734
26846-51-5,0.5324010974861608
1324-11-4,0.49365325207141214
4228-97-1,-1.2762265856897974
41035-29-4,-1.4545496198930692
87-10-5,0.4589554160447181
21466-07-9,0.3999119739633949
63333-35-7,-0.5176665418350407
57729-86-9,-0.28348343487447875
118-79-6,0.36262322072305075
25333-96-4,0.3141450049443912
1689-99-2,0.3710219522884696
3562-84-3,0.3385275381325275
611-75-6,0.3608551154713282
3296-90-0,0.7769082891821482
13181-17-4,0.16474272114070254
615-58-7,0.546279541075728
6609-53-6,-1.1752962501946003
53615-23-9,-1.362418467723362
89427-28-1,-1.553485653496464
89427-33-8,-1.5239779542174623
14689-56-6,-1.5422898651803059
3393-60-0,-1.413532865020341
89427-29-2,-1.3757471310562812
15287-51-1,0.6415035904939879
94847-66-2,0.4136333414162247
2034-22-2,0.5091694623267561
50585-41-6,0.2989018966693904
3322-93-8,0.5727148293935338
7682-32-8,-1.1700012951473853
89427-35-0,-1.5083100904178133
126-72-7,0.3444108689053066
2338-30-9,-1.2972767338951223
608-71-9,0.4567091193621711
3674-13-3,0.85380674615708
78-75-1,0.6009322403458147
89427-38-3,-1.314053841966961
10474-14-3,0.5676629314371309
300-76-5,-0.1876973617814813
2872-96-0,-0.07395877990750574
106-93-4,0.5881078912598342
1947-58-6,0.8336351747213324
96-13-9,0.8794020537270075
96-12-8,0.48818433156085755
18791-02-1,0.49728076235245355
75-81-0,0.37960804522259095
590-12-5,0.5462300560694254
14689-59-9,-1.4044229357998501
79-27-6,0.6173717171321957
63867-08-3,0.6000577088003038
64047-47-8,0.6594403163949077
63938-47-6,0.5709927324190665
613-53-6,0.5815556557405689
115-17-3,0.7292438379817401
75-25-2,0.6345668804647848
42136-31-2,-0.5256285521336115
64050-72-2,-0.06719343188336674
42136-30-1,0.0041399079700627514
26637-71-8,0.6861707704131591
69094-18-4,0.7114581046306894
74-95-3,0.5900215397633467
3252-43-5,0.5126374395569482
598-91-4,0.5392914717492707
124-48-1,0.5827260429461113
25497-30-7,0.4433597592262879
473-49-4,0.5624838089821416
117900-35-3,0.7564582243548482
4460-32-6,0.3341444512663703
2260-08-4,0.5870227164926316
386-17-4,0.4423837145890221
67-30-1,0.45647103428059793
16423-68-0,0.47650395892820113
59017-64-0,0.4660934464665208
7246-21-1,0.7003884822886838
96-84-4,0.695413713264547
59939-17-2,0.4409239514489791
16034-77-8,0.5930477649585549
22730-89-8,0.664127675758347
3115-05-7,0.683109314981217
19403-92-0,0.6793274346099828
3861-47-0,0.49067741286263195
57808-65-8,0.23219064743585052
577-91-3,0.45117338821218195
14689-57-7,-1.2184886645171695
17601-49-9,0.6400119404980905
1746-25-4,0.5785755235598011
29717-26-8,0.6252625850726325
75-47-8,0.6909909518795898
9004-95-9,1.0216830265120675
63869-27-2,-0.8560580554170362
3247-33-4,-0.6630088242453107
70682-61-0,1.1336680843422495
301-13-3,1.1041952179131223
78-42-2,0.6867937164486939
15458-87-4,0.8518703973818209
105084-66-0,-0.2836955876169559
