CASRN,LD50_RF_ecfp6counts
23233-88-7,0.22445143553119923
87-12-7,0.3239415476519934
15435-29-7,0.30305359717556646
629-03-8,0.5082455732098127
488-41-5,0.8291116928728757
26846-51-5,0.4814615091434818
1324-11-4,0.4132610423928922
4228-97-1,-1.2796352906763162
41035-29-4,-1.572090973592992
87-10-5,0.27850025615546486
21466-07-9,0.27961180812599024
63333-35-7,-0.7768144913587527
57729-86-9,-0.4399472592793406
118-79-6,0.15174707389202277
25333-96-4,0.28518319630778677
1689-99-2,0.25158588648818414
3562-84-3,0.30721668415057435
611-75-6,0.3051834866911647
3296-90-0,0.8001214590128434
13181-17-4,0.11288517801538969
615-58-7,0.5249098464925369
6609-53-6,-1.2259428470511466
53615-23-9,-1.4822295760987447
89427-28-1,-1.5266886483554007
89427-33-8,-1.676532005906307
14689-56-6,-1.6951074152457728
3393-60-0,-1.5073826447777647
89427-29-2,-1.4940909639256696
15287-51-1,0.5083800301615606
94847-66-2,0.30644283284603346
2034-22-2,0.4451141618584016
50585-41-6,0.01717981259788806
3322-93-8,0.4875626893723553
7682-32-8,-1.2531014559165075
89427-35-0,-1.6394010904369665
126-72-7,0.2974827488049614
2338-30-9,-1.4763309264302475
608-71-9,0.34203872294075877
3674-13-3,0.7788816721217571
78-75-1,0.47311509054951983
89427-38-3,-1.3654614666744862
10474-14-3,0.5622867832946138
300-76-5,-0.1118339769974997
2872-96-0,0.19409097646802842
106-93-4,0.3215620700235202
1947-58-6,0.7623196374843967
96-13-9,0.5467579806187564
96-12-8,0.40603161521535935
18791-02-1,0.3765843102853359
75-81-0,0.44708893372978425
590-12-5,0.3644171969862983
14689-59-9,-1.4882814295016469
79-27-6,0.43531773978276844
63867-08-3,0.6777399295344397
64047-47-8,0.6191052893298767
63938-47-6,0.5725136117052194
613-53-6,0.5449409008005931
115-17-3,0.6175732805418533
75-25-2,0.4377141856693053
42136-31-2,-0.7220152248987405
64050-72-2,-0.020407065107931794
42136-30-1,0.07916867388697933
26637-71-8,0.6445651975494071
69094-18-4,0.5839755741463661
74-95-3,0.3499640659468222
3252-43-5,0.3644754166076715
598-91-4,0.35738525414967837
124-48-1,0.4519290354399913
25497-30-7,0.4077305886447424
473-49-4,0.4997211525814459
117900-35-3,0.7022640627850341
4460-32-6,0.14370735334240486
2260-08-4,0.535160539644481
386-17-4,0.4324555935543176
67-30-1,0.4978573457344137
16423-68-0,0.4568606033144577
59017-64-0,0.35624289631303807
7246-21-1,0.6425583884956593
96-84-4,0.6281012476483708
59939-17-2,0.4318192613540075
16034-77-8,0.5393949997335606
22730-89-8,0.6245936293077587
3115-05-7,0.5572760538964728
19403-92-0,0.5302889120149512
3861-47-0,0.3436610453783766
57808-65-8,0.20106558032438412
577-91-3,0.4241595580943659
14689-57-7,-1.3377017234033168
17601-49-9,0.5181107865135396
1746-25-4,0.5144415393639848
29717-26-8,0.4870747776537661
75-47-8,0.5090347422430006
9004-95-9,0.7498269263597711
63869-27-2,-1.0379457608877278
3247-33-4,-0.940761362899028
70682-61-0,1.146348287679945
301-13-3,1.1811009422878225
78-42-2,0.8624701134774049
15458-87-4,0.9070282165059986
105084-66-0,-0.5264576348638219
13080-06-3,0.8904592593631833
63869-22-7,-0.8422225683139509
139-60-6,0.37505937922798693
34206-40-1,0.4231349775386259
23505-41-1,-0.46609634796938965
3857-80-5,0.5863321359572907
3687-16-9,0.7504370336352125
68289-21-4,0.3330452647435092
4559-86-8,0.798463633365863
1941-30-6,1.066346549784466
106-20-7,1.0116062553694332
10143-60-9,1.154527094648068
