CASRN,LD50_RF_mordred
23233-88-7,0.15145401670405845
87-12-7,0.3914369500962228
15435-29-7,-0.37854566404309353
629-03-8,0.5332480669297825
488-41-5,0.4163249972523301
26846-51-5,0.2938748424590666
1324-11-4,-0.01603827336553035
4228-97-1,-1.4927235557805791
41035-29-4,-1.9113126886522822
87-10-5,0.14776167451702416
21466-07-9,0.33776526156231734
63333-35-7,-1.540385405922896
57729-86-9,-1.3667788568094916
118-79-6,-0.15613468457640292
25333-96-4,0.13931615442935819
1689-99-2,-0.011032933363775001
3562-84-3,0.21423243168307846
611-75-6,0.16380570361671892
3296-90-0,0.29524575621871957
13181-17-4,0.06541262331756975
615-58-7,0.42629904696133075
6609-53-6,-1.3704020136336037
53615-23-9,-1.8720046984769432
89427-28-1,-1.7834035629582592
89427-33-8,-1.745626495307819
14689-56-6,-2.027537619906363
3393-60-0,-1.647534959832446
89427-29-2,-1.8271960391176998
15287-51-1,-0.05722529731856449
94847-66-2,0.11100144543861103
2034-22-2,0.17977587670625295
50585-41-6,-1.0018194075474316
3322-93-8,0.22085161915811458
7682-32-8,-1.6515319714296692
89427-35-0,-1.97372371922088
126-72-7,0.09654428043966069
2338-30-9,-1.6920670440829344
608-71-9,0.06025792053407287
3674-13-3,0.4267651942404378
78-75-1,0.4027027134509216
89427-38-3,-1.141163007091255
10474-14-3,0.48275188872784724
300-76-5,-0.6903113156931943
2872-96-0,-0.3056512874323821
106-93-4,-0.045131325103448104
1947-58-6,0.3961949731777412
96-13-9,0.18730503977437127
96-12-8,0.19601662313002688
18791-02-1,0.10435424215163085
75-81-0,0.4284617219493118
590-12-5,-0.08639551781464515
14689-59-9,-1.9859401972665933
79-27-6,0.0649574792475752
63867-08-3,0.5365351330050351
64047-47-8,0.5272896869580619
63938-47-6,0.3201342098907936
613-53-6,0.2514825188825446
115-17-3,0.37932498566941614
75-25-2,0.22538710559253636
42136-31-2,-1.0114610049537631
64050-72-2,-0.15245867927063336
42136-30-1,-0.14208958461579213
26637-71-8,0.5883019570033834
69094-18-4,0.26304656190722936
74-95-3,0.3264587280754251
3252-43-5,0.0014681860030369908
598-91-4,-0.039857871292687454
124-48-1,0.4992731830414427
25497-30-7,0.2337755700350607
473-49-4,0.1271349297475115
117900-35-3,0.20087067599873748
4460-32-6,-0.29551715620246544
2260-08-4,0.3956835216780593
386-17-4,0.011759446960851754
67-30-1,0.305776694978481
16423-68-0,-0.16597374434912965
59017-64-0,-0.0021612568820132743
7246-21-1,0.4921117920595637
96-84-4,0.38720193081865656
59939-17-2,0.4265097679015238
16034-77-8,0.5647006919653778
22730-89-8,0.4336386779997333
3115-05-7,0.502683300243076
19403-92-0,-0.17689667187324243
3861-47-0,0.11694477919655187
57808-65-8,0.23598508421994946
577-91-3,0.05133907587862588
14689-57-7,-1.3504885115022947
17601-49-9,0.3169885598115623
1746-25-4,-0.2758976588428862
29717-26-8,-0.11037427791267215
75-47-8,0.24444701115474562
9004-95-9,0.7051280945052935
63869-27-2,-0.8517567634976264
3247-33-4,-0.9017696517130139
70682-61-0,0.5416763674650951
301-13-3,1.2783631132094644
78-42-2,0.9358862437588186
15458-87-4,0.38433940039772313
105084-66-0,-0.32083330598021853
13080-06-3,0.8130234826291076
63869-22-7,-0.5652220174030154
139-60-6,0.45844333766933565
34206-40-1,0.24949313625670888
23505-41-1,-0.10837414224418887
3857-80-5,0.4043383852069953
3687-16-9,0.4196422688979504
68289-21-4,0.3378879168899506
4559-86-8,0.7632364901485645
1941-30-6,0.5210967932417854
106-20-7,0.6252485432560974
10143-60-9,1.1660286820054533
19074-24-9,1.440861238875854
103-23-1,1.452830509383741
117-81-7,1.38194401993278
3658-48-8,1.1154542806471412
298-07-7,0.9440242026953117
63449-80-9,0.6259299276273854
7425-14-1,1.4558857565234367
18268-70-7,1.515549933338063
94-28-0,1.3439101183102509
3282-85-7,0.8587851290120694
7790-07-0,1.1991394570376512
25724-60-1,1.1586156323389705
10022-60-3,1.3391196329196895
468-61-1,0.4473576285945119
4551-59-1,0.44873334399095965
57647-13-9,0.307481578111574
27591-69-1,0.24274288187142357
589-32-2,0.4689713989041189
78-53-5,-0.8622126582899223
115-79-7,0.15318928710125315
122-31-6,1.1134187969390603
78-10-4,0.8187711580452767
17356-42-2,-1.3348785438995787
3689-24-5,-0.9196388416060481
563-12-2,-1.1107853735432973
78-07-9,1.1216416355360033
20395-17-9,-1.4360275223867365
18300-10-2,-1.495322940229157
2667-40-5,-0.7308022466518017
55134-13-9,-0.14719780741448094
33446-90-1,0.944507257558958
27879-29-4,0.3640957901451397
55934-93-5,1.2446871481608441
52030-05-4,0.9239149768689804
74051-80-2,0.6289745994778763
2224-33-1,0.3433100232711244
77-90-7,0.8871340558611688
21327-31-1,0.037433406354827496
5826-91-5,-0.4783055277761301
22787-59-3,-0.9492741535729099
22787-58-2,-1.2844071819702376
5675-57-0,-0.9375759536517102
3730-54-9,-0.11374689417441529
655-35-6,0.2895610713658627
77-89-4,0.8611293403585428
70833-40-8,0.9562484690101193
67239-04-7,0.6313622213886059
2595-54-2,-0.608559095981948
5137-55-3,0.3069560865616175
64036-99-3,-1.451569000596551
26523-78-4,0.48624092815222947
68814-95-9,0.5993534854404758
538-23-8,1.2908430145733223
2528-38-3,0.9522454472305752
51249-05-9,0.5993281596672585
102-85-2,1.0756243751470973
126-73-8,1.0317889035648715
998-40-3,1.0085373724343378
115-78-6,0.31489206797703073
33060-84-3,0.1286929745404797
150-50-5,-0.11554591837184766
78-48-8,-0.2960144718275695
60-01-5,1.1450668569697886
74125-01-2,-0.9644588146345293
1496-94-2,0.9284599105159699
21270-07-5,-0.02437130053222355
7346-61-4,1.007591025666169
63907-12-0,0.9412948326010744
1114-71-2,0.6136259507261393
64058-98-6,0.12104049318400657
64059-01-4,0.2650695108644214
