CASRN,LD50_RF_rdkit2d
23233-88-7,0.21640443997763797
87-12-7,0.4511309851742237
15435-29-7,-0.44280640100205954
629-03-8,0.5282998272285739
488-41-5,0.510562807134236
26846-51-5,0.46759056581319003
1324-11-4,0.2884900456023882
4228-97-1,-1.5469871885707736
41035-29-4,-1.9448325510125548
87-10-5,0.3046083480465299
21466-07-9,0.20100988039355888
63333-35-7,-1.5221113850739558
57729-86-9,-1.2570549998440297
118-79-6,0.0075348947042176515
25333-96-4,0.0013441042476132984
1689-99-2,0.00963283183584406
3562-84-3,0.27323861546282363
611-75-6,0.222049695077851
3296-90-0,0.3007589466541969
13181-17-4,0.20572226951385744
615-58-7,0.5209779321463319
6609-53-6,-1.2354627270789402
53615-23-9,-1.7230569494872208
89427-28-1,-1.895243322735672
89427-33-8,-1.7650458700363383
14689-56-6,-1.9764991205461002
3393-60-0,-1.6886270532545298
89427-29-2,-1.86078392844551
15287-51-1,-0.020569246345993115
94847-66-2,0.15418642330906893
2034-22-2,0.10368404958022691
50585-41-6,-1.304617133203504
3322-93-8,0.29613487727374516
7682-32-8,-1.5449446986795314
89427-35-0,-1.8737939828853039
126-72-7,0.15882344971342555
2338-30-9,-1.5663037764470031
608-71-9,0.12651361652817242
3674-13-3,0.543398601729868
78-75-1,0.46567773858135814
89427-38-3,-1.4065440713745307
10474-14-3,0.4631281409989831
300-76-5,-0.6233224009084882
2872-96-0,-0.20934419606080285
106-93-4,0.08130657267582896
1947-58-6,0.4823346247197984
96-13-9,0.22507888859700015
96-12-8,0.3814204470833187
18791-02-1,0.3268757790389574
75-81-0,0.4585397146898434
590-12-5,0.4775057815437946
14689-59-9,-1.9030414877013455
79-27-6,0.26793547238596804
63867-08-3,0.5585292256688479
64047-47-8,0.5654713656473234
63938-47-6,0.4424978617914954
613-53-6,0.4959195694242976
115-17-3,0.4071985109172236
75-25-2,0.16496981593078258
42136-31-2,-0.9478122573578017
64050-72-2,-0.18308532575582823
42136-30-1,-0.20849107298551156
26637-71-8,0.793656789139437
69094-18-4,0.22770087505959535
74-95-3,0.2651305030935621
3252-43-5,0.24872418128976542
598-91-4,0.06968323600781041
124-48-1,0.501422796708236
25497-30-7,0.4331558972777158
473-49-4,-0.01841751950777483
117900-35-3,0.3795677196438676
4460-32-6,-0.18250341098640033
