CASRN,LD50_knn_ecfp6bits
23233-88-7,0.4369002078414762
87-12-7,0.39950527050671053
15435-29-7,-0.08277020986267973
629-03-8,0.6636783272331302
488-41-5,0.9668669979784349
26846-51-5,0.7649196172250197
1324-11-4,0.8696284430387666
4228-97-1,-1.7372707309740734
41035-29-4,-1.8150212836255888
87-10-5,0.4907288289789841
21466-07-9,0.4951163054658905
63333-35-7,-0.7508134671906097
57729-86-9,-0.6865270328236815
118-79-6,-0.15658569862540264
25333-96-4,0.5474691948054212
1689-99-2,1.067509690576607
3562-84-3,-0.08848609924239426
611-75-6,0.4322358973593063
3296-90-0,0.8549148086588282
13181-17-4,0.15248156158609433
615-58-7,0.45126120953121196
6609-53-6,-1.3944766565117275
53615-23-9,-1.3279421398354478
89427-28-1,-1.869589447602045
89427-33-8,-1.682083777710184
14689-56-6,-1.8453515727018694
3393-60-0,-1.783178279873642
89427-29-2,-1.8217438234292698
15287-51-1,1.2678087265554192
94847-66-2,0.20073795415212034
2034-22-2,-1.3912777412183983
50585-41-6,-0.9563675245421407
3322-93-8,0.48865378688392064
7682-32-8,-1.404078164142232
89427-35-0,-1.8552941149309203
126-72-7,0.6782970295435897
2338-30-9,-1.625003036120725
608-71-9,0.35812586855086576
3674-13-3,1.1083464826192047
78-75-1,0.6384907190464736
89427-38-3,-1.5983624727806223
10474-14-3,0.590310696097879
300-76-5,-0.2346870062173452
2872-96-0,0.3438123347497768
106-93-4,0.3609159894962216
1947-58-6,1.259285847101299
96-13-9,1.0634434514275144
96-12-8,0.4884657776408979
18791-02-1,0.26058706749711497
75-81-0,0.5564608548826696
590-12-5,0.2004315000686538
14689-59-9,-1.5923593013676947
79-27-6,0.38479048110406266
63867-08-3,1.0048924231422287
64047-47-8,0.8671164685612267
63938-47-6,0.6849846039257437
613-53-6,0.7677271213769763
115-17-3,0.8718562711827116
75-25-2,0.48231327212715197
42136-31-2,-0.42435206953155513
64050-72-2,-0.2773073137533279
42136-30-1,0.22681905061177043
26637-71-8,0.8324750552231144
69094-18-4,0.7306396847490498
74-95-3,0.40764464172201553
3252-43-5,0.48053381658839395
598-91-4,0.4707110176283071
124-48-1,0.6164268631861021
25497-30-7,0.6627297652724234
473-49-4,0.69139939358011
117900-35-3,0.7858104322847678
4460-32-6,0.43433244646807667
2260-08-4,0.729136258872335
386-17-4,0.8257811006934395
67-30-1,0.5228643432893294
16423-68-0,0.9783548341277112
59017-64-0,1.0937540210510808
7246-21-1,0.8511875017018898
96-84-4,0.5246586560618325
59939-17-2,0.32371844111596354
16034-77-8,0.8115967303811131
22730-89-8,0.7580956967107756
3115-05-7,0.7251151004206934
19403-92-0,0.1955230287603282
3861-47-0,1.0146318488504693
57808-65-8,0.47636934748804244
577-91-3,0.6706138811390284
14689-57-7,-1.7054860335790814
17601-49-9,0.9946310412398047
1746-25-4,-1.2770340909037612
29717-26-8,0.7750767508046854
75-47-8,0.605458920681591
9004-95-9,0.5878189960866979
63869-27-2,-1.1236203833133287
3247-33-4,-0.5473547939412692
70682-61-0,1.4678035838303056
301-13-3,1.189313443559316
78-42-2,1.2715867023303946
15458-87-4,1.2328284293582226
105084-66-0,-0.0018734815628902459
13080-06-3,1.0398871709296853
63869-22-7,-0.530284075816375
139-60-6,0.7052510376067861
34206-40-1,1.425847506507817
23505-41-1,-0.5198698235592524
3857-80-5,1.0878808944459237
3687-16-9,1.1303747013710035
68289-21-4,0.339970441582895
4559-86-8,0.9022382409843894
1941-30-6,0.8700508973488483
106-20-7,1.2702738321426417
10143-60-9,1.2960000559834732
19074-24-9,1.3106674877880715
103-23-1,1.3317211248196061
117-81-7,1.3525521206304931
3658-48-8,1.2580932294848186
298-07-7,1.269319760307134
63449-80-9,1.3659633087413727
7425-14-1,1.3283110880685207
18268-70-7,1.8865181286178836
94-28-0,1.6053294758928094
3282-85-7,1.1372558565932573
7790-07-0,1.2841369004379268
25724-60-1,1.278029370564773
10022-60-3,1.2426800024431468
468-61-1,0.7124270183444066
4551-59-1,0.4267706338502988
57647-13-9,0.43818630318169355
27591-69-1,0.4917007307320381
589-32-2,0.3857035011583762
78-53-5,-1.1551499665007332
115-79-7,0.5876150547369963
122-31-6,1.2298248037312285
78-10-4,1.3011378364837622
17356-42-2,-1.4627032998113125
3689-24-5,-0.5069936677127587
563-12-2,-1.4490373008507647
78-07-9,1.1070467474679413
20395-17-9,-1.122511283738496
18300-10-2,-1.4245659617411068
2667-40-5,-0.684723088891084
55134-13-9,0.09169065512987286
33446-90-1,1.2978550714730501
27879-29-4,0.7068693733625719
55934-93-5,1.0436329837367255
52030-05-4,1.2659320755202355
74051-80-2,0.3637834471312346
2224-33-1,0.9460552002447582
77-90-7,1.4931850200862846
21327-31-1,-0.6993090541207891
5826-91-5,-0.6665662853726176
22787-59-3,-0.7275385354016106
22787-58-2,-1.2692985149448497
5675-57-0,-0.4008829470956734
3730-54-9,0.6366004838899996
655-35-6,0.1923823431467637
77-89-4,1.3800055783471965
70833-40-8,1.3668124496025469
67239-04-7,0.872335851315343
2595-54-2,-0.8428090291682085
5137-55-3,0.4546586618031539
64036-99-3,-1.2417148752728464
26523-78-4,0.6777212661161659
68814-95-9,0.9392878149804411
538-23-8,1.2869553338608237
2528-38-3,0.8029824853164506
51249-05-9,0.7714394905887557
102-85-2,1.102793942798372
126-73-8,0.9379094527222408
998-40-3,1.047564175987572
115-78-6,0.49951816056255094
33060-84-3,0.6117246072649567
150-50-5,0.4043994834870468
