CASRN,LD50_knn_ecfp6counts
23233-88-7,0.42912212103016206
87-12-7,0.11163290397990489
15435-29-7,-0.14201189906384293
629-03-8,0.8588702258166746
488-41-5,1.1937041781638005
26846-51-5,0.6251857333609383
1324-11-4,0.9435467729763662
4228-97-1,-1.7005990448924713
41035-29-4,-1.749768483835275
87-10-5,0.41728510811738856
21466-07-9,-0.3319097111503532
63333-35-7,-0.9419194260654546
57729-86-9,-1.1247756596129186
118-79-6,-0.11601536524490262
25333-96-4,0.4428117864754824
1689-99-2,0.8864339461063845
3562-84-3,-0.11583126522364462
611-75-6,-0.09705961195884504
3296-90-0,1.0739502796609255
13181-17-4,0.0188379619541197
615-58-7,0.561818068821909
6609-53-6,-1.4210810162045047
53615-23-9,-1.713740629674953
89427-28-1,-1.8208816478273608
89427-33-8,-1.8636818980641117
14689-56-6,-1.768967578996678
3393-60-0,-1.7449991867544403
89427-29-2,-1.7975874885892011
15287-51-1,1.1605861679825495
94847-66-2,-0.158918069764415
2034-22-2,-1.3576433468963804
50585-41-6,-1.2971366398679012
3322-93-8,0.48989180696481127
7682-32-8,-1.495566839164994
89427-35-0,-1.8561011374730185
126-72-7,0.2669865206267456
2338-30-9,-1.7493244866100157
608-71-9,-0.5135906970366708
3674-13-3,0.9814534300928207
78-75-1,0.25432100275409003
89427-38-3,-1.6870769970537922
10474-14-3,1.1391285648118912
300-76-5,-0.30211379270312755
2872-96-0,0.46717269670978095
106-93-4,0.3538279441357184
1947-58-6,1.3560537371037582
96-13-9,0.6332243781738225
96-12-8,0.35307810292894115
18791-02-1,0.22535902237168684
75-81-0,1.0734910780806421
590-12-5,0.08937511259267328
14689-59-9,-1.713241873774922
79-27-6,0.3098685834338195
63867-08-3,1.2090395815396684
64047-47-8,0.7310222958952683
63938-47-6,0.5932259882371169
613-53-6,0.8131276405236788
115-17-3,0.7980617869234775
75-25-2,0.32104152955057425
42136-31-2,-0.6745682647421272
64050-72-2,-0.029224705415676223
42136-30-1,0.04384985413704975
26637-71-8,1.1925308888667847
69094-18-4,0.6182801424387799
74-95-3,0.31828568708670935
3252-43-5,0.3105489403775722
598-91-4,0.30481000875655767
124-48-1,0.4879161707453589
25497-30-7,0.35990455151657486
473-49-4,0.47964549185342203
117900-35-3,0.981968999722447
4460-32-6,0.28829748468199456
2260-08-4,0.5846204850780973
386-17-4,0.8328815811164978
67-30-1,0.3632273543271164
16423-68-0,0.7175483797352372
59017-64-0,0.5989137252961532
7246-21-1,1.0469929250637484
96-84-4,0.799783926500895
59939-17-2,0.8629680349674085
16034-77-8,0.5572859308827997
22730-89-8,0.9282944192325261
3115-05-7,0.8915157476526199
19403-92-0,0.2389712456596574
3861-47-0,0.5744845117977367
57808-65-8,0.5132707211086808
577-91-3,0.5436629229177808
14689-57-7,-1.5449257415367161
17601-49-9,0.5555437236209171
1746-25-4,-0.8002428646945731
29717-26-8,0.8726211420549208
75-47-8,0.6164147587097513
9004-95-9,0.8048417783859997
63869-27-2,-1.272575130299562
3247-33-4,-0.9826764498476195
70682-61-0,1.648307427294779
301-13-3,1.3857468049347408
78-42-2,1.48950225283643
15458-87-4,0.8643728995305258
105084-66-0,-0.4877984036962386
13080-06-3,0.49629587982828505
63869-22-7,-1.321222607945569
139-60-6,0.5341518216947838
34206-40-1,0.6749101916920796
23505-41-1,-0.2663365567577491
3857-80-5,1.0254886673695152
3687-16-9,1.240953228854716
68289-21-4,0.34360277085294055
4559-86-8,0.717814196211486
1941-30-6,0.8647810676951132
106-20-7,1.3207332996054644
10143-60-9,1.2656101861236306
19074-24-9,1.4433854117133114
103-23-1,1.5298855616508895
117-81-7,1.5054010105304403
3658-48-8,1.3897599271622485
298-07-7,1.4983596386371294
63449-80-9,1.5913449376542186
7425-14-1,1.2375061067849404
18268-70-7,1.7750164637696404
94-28-0,1.5782500250642992
3282-85-7,1.2617394876485961
7790-07-0,1.1757318206314678
25724-60-1,1.1626597511007042
10022-60-3,1.2996659897515206
468-61-1,0.6763178707417793
4551-59-1,0.24829447769176796
57647-13-9,0.3623749268023956
27591-69-1,0.40596153957153924
589-32-2,0.38626109032600386
78-53-5,-1.569287978808658
115-79-7,0.3016575085812477
122-31-6,1.1718662787403948
78-10-4,1.1091134021252218
17356-42-2,-1.757920334347352
3689-24-5,-0.9312412803552352
563-12-2,-1.6828550381077265
78-07-9,1.097698258587193
20395-17-9,-1.935802982599623
18300-10-2,-1.9814120019063672
2667-40-5,-0.5723803043984734
55134-13-9,-0.28536544899007066
33446-90-1,0.9247832735620631
27879-29-4,0.7497888203282213
