CASRN,LD50_knn_maccs
23233-88-7,0.5326378590484516
87-12-7,-0.0403553033486215
15435-29-7,-0.07560254982544085
629-03-8,0.20285133322075388
488-41-5,1.5680914429705122
26846-51-5,0.8124926772910828
1324-11-4,0.18430682949138863
4228-97-1,-1.4787089895994008
41035-29-4,-1.805688271878485
87-10-5,0.0433771713994626
21466-07-9,0.7191699147944306
63333-35-7,-1.1017994378902323
57729-86-9,-0.826463363920153
118-79-6,-0.5450920141981082
25333-96-4,-0.1575927472039281
1689-99-2,0.11195690386789711
3562-84-3,-0.4966123907271438
611-75-6,0.4432618599429715
3296-90-0,0.19057971059668216
13181-17-4,0.2678706566670078
615-58-7,0.13226737536997812
6609-53-6,-1.3187190265642827
53615-23-9,-1.8667865732649598
89427-28-1,-1.737498234251071
89427-33-8,-1.805688271878485
14689-56-6,-1.83679852237963
3393-60-0,-1.7875725320097409
89427-29-2,-1.7467733301660353
15287-51-1,0.22860757876349913
94847-66-2,0.21240502219339868
2034-22-2,-1.3442660960690802
50585-41-6,-2.805872931967978
3322-93-8,0.7887054725657469
7682-32-8,-1.7467733301660353
89427-35-0,-1.8434570159048453
126-72-7,0.09399351822810174
2338-30-9,-1.6675688897288112
608-71-9,-0.024907393883245255
3674-13-3,0.8569465508731208
78-75-1,0.6944678248259977
89427-38-3,-1.4133146567867392
10474-14-3,0.8832759644504955
300-76-5,-0.8904826116332512
2872-96-0,0.04790796625195829
106-93-4,0.34228327502639444
1947-58-6,0.8383971696537391
96-13-9,0.278895544277902
96-12-8,0.38218996009650713
18791-02-1,0.34741557726696226
75-81-0,0.8650097224111565
590-12-5,0.7373017876273711
14689-59-9,-1.805688271878485
79-27-6,0.42641186815704585
63867-08-3,0.8662481068462923
64047-47-8,0.6316707278577537
63938-47-6,0.7423571914403185
613-53-6,0.5962256024234974
115-17-3,0.5382462717908897
75-25-2,0.5403491160557062
42136-31-2,-1.3563815849203904
64050-72-2,-0.1827386829897272
42136-30-1,-0.06196239864211866
26637-71-8,1.2627252415362804
69094-18-4,0.6390678805882325
74-95-3,0.5607676496583587
3252-43-5,0.5502693931332849
598-91-4,0.24181281814021915
124-48-1,0.7475046933056883
25497-30-7,0.7475998341645884
473-49-4,0.48997951937226897
117900-35-3,0.10984679253643741
4460-32-6,-0.20671648610926122
2260-08-4,0.5701053127794238
386-17-4,0.26457602588302176
67-30-1,0.14225948247820075
16423-68-0,-0.4748608270419908
59017-64-0,0.8522342073106489
7246-21-1,0.9364833031844351
96-84-4,0.23439852791873342
59939-17-2,0.8080055785956787
16034-77-8,0.9935445131434815
22730-89-8,0.8231909996709338
3115-05-7,0.9333256565790454
19403-92-0,0.23092469835730867
3861-47-0,0.21886599586210473
57808-65-8,0.32422257981957564
577-91-3,-0.09785929848771005
14689-57-7,-0.5119279017185578
17601-49-9,0.6278701755597776
1746-25-4,-1.397095619350062
29717-26-8,-0.5246376709041408
75-47-8,0.732264560874681
9004-95-9,0.5878189960866979
63869-27-2,-1.204056854025199
3247-33-4,-0.9543665072285193
70682-61-0,0.8217578888383992
301-13-3,1.4114103400126459
78-42-2,1.4189321184915122
15458-87-4,0.5983498219409232
105084-66-0,-0.9597672870367631
13080-06-3,0.7460891930985721
63869-22-7,-1.119440757243857
139-60-6,0.3982201842030168
34206-40-1,1.131297719678732
23505-41-1,-0.09905309876070116
3857-80-5,0.5549714159184134
3687-16-9,0.5836469706339054
68289-21-4,0.5224489438874315
4559-86-8,0.9690419706913053
1941-30-6,0.4191513311979871
106-20-7,0.5309095462780072
10143-60-9,1.2499934568614721
19074-24-9,1.2974123937522593
103-23-1,1.6746791226393258
117-81-7,1.5987377994290048
3658-48-8,1.3341665960257596
298-07-7,1.3627168532588905
63449-80-9,1.3665991674329032
7425-14-1,1.802122462953247
18268-70-7,1.8865181286178836
94-28-0,1.6053294758928094
3282-85-7,0.666456637406432
7790-07-0,0.9450412443769424
25724-60-1,0.9070397957624852
10022-60-3,1.2725879950845227
468-61-1,0.6718642289912553
4551-59-1,0.7600968030374775
57647-13-9,0.3879903491526005
27591-69-1,0.3772606373584899
589-32-2,0.20908827700952498
78-53-5,-1.7589964742592825
115-79-7,0.3519608586238921
122-31-6,1.4501949260349443
78-10-4,0.13026155693381128
17356-42-2,-0.9511156942127255
3689-24-5,-0.8630255053586646
563-12-2,-1.1154826238239082
78-07-9,0.9013177873697394
20395-17-9,-1.032537706222026
18300-10-2,-1.9661980184198375
2667-40-5,-0.9400577129739852
55134-13-9,-1.2313083477279456
33446-90-1,1.2508936950893406
27879-29-4,0.7223196197327586
55934-93-5,1.427215528684776
52030-05-4,0.6359711888375421
74051-80-2,0.774458783432142
2224-33-1,1.120432444441388
77-90-7,1.5353802296711423
21327-31-1,-0.6111580471965498
5826-91-5,-0.7021913218467397
22787-59-3,-1.028235885213216
22787-58-2,-1.619907584049975
5675-57-0,-0.9470464419676426
3730-54-9,-0.5810447860438988
655-35-6,0.28169617502547534
77-89-4,1.511409825070037
70833-40-8,1.6244391898540351
67239-04-7,1.4298737453134414
2595-54-2,-0.5324990884987211
5137-55-3,0.49365332957195823
64036-99-3,-1.4757377648301564
26523-78-4,0.8959637644889962
68814-95-9,0.41732291277440847
538-23-8,1.518954526555114
2528-38-3,1.3840349300541541
51249-05-9,1.1834819232298097
102-85-2,1.1886796276106257
126-73-8,1.4077779821520382
998-40-3,1.224786953640693
115-78-6,0.4337137642240148
33060-84-3,0.5258449951676338
150-50-5,-0.7603063682438642
78-48-8,-1.1148967802885146
60-01-5,1.2699715506964584
74125-01-2,-1.2434763570490697
1496-94-2,0.6476165651600313
21270-07-5,-0.1266890562650834
7346-61-4,1.1031199678911503
63907-12-0,1.38112685546461
1114-71-2,0.8478610515925417
64058-98-6,-0.06970429591533622
64059-01-4,0.180188860939805
13194-48-4,-0.7339199863745912
2511-15-1,-1.6076108755047689
90220-15-8,-1.3872844423230757
759-94-4,0.8730050319391395
23184-66-9,0.7335369770451436
51218-49-6,0.6672852724006312
109965-82-4,0.1838196297908265
92953-10-1,0.41518686447614767
17088-72-1,0.43820811014345723
35850-79-4,0.47507450231135384
3309-68-0,-1.7734274790868443
18109-81-4,0.27953565203247355
139-45-7,1.5453155142697514
38727-55-8,0.7685874269391433
51356-13-9,-1.2134307538585118
33210-44-5,-0.11852817596463448
33210-40-1,-0.4483591389940954
33210-43-4,0.0842794435753984
1912-26-1,0.4626975910530786
7779-27-3,0.9604130955575994
78816-48-5,0.2669056488405202
2941-55-1,0.826263442284607
4740-11-8,0.5756092850518604
125-99-5,0.6535241740190707
5957-17-5,0.8350782611725821
2001-81-2,0.430450091090272
56-37-1,0.5053493901453329
7789-92-6,1.2232867023549465
10140-99-5,0.9252820160826455
122-51-0,1.170691666582941
63869-26-1,-1.150126570492041
2425-25-4,-0.3340214296466746
5823-25-6,-0.2974271454013199
919-54-0,-0.10129247835094901
1067-47-6,1.1944186742019463
919-30-2,1.0446888501127876
14814-09-6,1.1594460817485213
34708-08-2,1.3295827573977228
15129-36-9,0.9162196576304455
15267-95-5,1.0007381448964856
122-52-1,1.0615391468015245
78-40-0,0.22282081436222043
78-38-6,0.7700305856077369
126-75-0,-1.312795941852208
298-03-3,-1.7009287874662968
298-04-4,-1.712821948596675
298-02-2,-1.5866966909151774
1186-09-0,-0.7789292971439993
2524-09-6,-0.9387316726260627
2497-07-6,-1.491817128033303
2588-03-6,-1.5521434953517372
2496-91-5,-1.0064380373799784
4891-54-7,-1.441233064271542
2497-06-5,-1.5156320936202539
2511-11-7,-1.0446323481998843
2404-78-6,-0.7548586824980328
688-62-0,-0.5752944988024965
87310-56-3,0.7442483232965531
