CASRN,LD50_knn_mordred
23233-88-7,-0.016933982098722655
87-12-7,0.24081213450926317
15435-29-7,-0.527374908917695
629-03-8,0.7942147712696402
488-41-5,0.6970249483730128
26846-51-5,0.5434106117556394
1324-11-4,0.08673055351421467
4228-97-1,-1.5735326468101776
41035-29-4,-1.9350052724364146
87-10-5,0.3137546218727572
21466-07-9,0.11910403046022748
63333-35-7,-0.9158893764063224
57729-86-9,-0.9020930545221223
118-79-6,-0.24136068714230025
25333-96-4,0.18892017420510898
1689-99-2,0.12808982258413207
3562-84-3,0.3436657253023471
611-75-6,0.12621916125538696
3296-90-0,0.46262367288627676
13181-17-4,0.8332241936385945
615-58-7,0.5722985725519321
6609-53-6,-1.558288114750027
53615-23-9,-1.8561647654996534
89427-28-1,-2.038168471683725
89427-33-8,-1.7917737205575728
14689-56-6,-1.9922780945038572
3393-60-0,-1.7897344368975163
89427-29-2,-1.8875740747156107
15287-51-1,0.2215585233252921
94847-66-2,0.09393705006036356
2034-22-2,0.48506838698611326
50585-41-6,-2.819012849771084
3322-93-8,0.2618837000954338
7682-32-8,-1.7885870729293765
89427-35-0,-1.902315812591329
126-72-7,-0.11858932564572512
2338-30-9,-1.8166125893285852
608-71-9,0.05642665001391976
3674-13-3,0.5406661067735157
78-75-1,0.20987059442238207
89427-38-3,-1.7178187991509757
10474-14-3,0.4453982898777765
300-76-5,-0.7255615130938764
2872-96-0,-0.40334843865405107
106-93-4,0.2513214538694579
1947-58-6,0.2910918024378229
96-13-9,0.2780574427456001
96-12-8,0.2666632782271204
18791-02-1,0.13455927606654638
75-81-0,0.7143857057418779
590-12-5,-0.1374722473685241
14689-59-9,-1.929627756731154
79-27-6,0.03680454415347761
63867-08-3,0.7535786022678401
64047-47-8,0.6396181822884516
63938-47-6,0.7183225228419418
613-53-6,0.5733090027227239
115-17-3,0.30686638097300356
75-25-2,0.2827076680790852
42136-31-2,-0.781228511637964
64050-72-2,-0.3815266288802168
42136-30-1,-0.19196573413929977
26637-71-8,1.119619357332372
69094-18-4,0.4659224678247168
74-95-3,0.36238289531390055
3252-43-5,0.23996983266244623
598-91-4,0.002825908394904385
124-48-1,0.5081119985270424
25497-30-7,0.8742425233229246
473-49-4,0.41963563680591887
117900-35-3,0.390322319006645
4460-32-6,0.07880161604438614
2260-08-4,0.5440116961267215
386-17-4,0.061896695654586185
67-30-1,0.537861308648452
16423-68-0,0.06419171975880385
59017-64-0,0.4708278780717089
7246-21-1,0.5920604255780428
96-84-4,0.3371226703520016
59939-17-2,0.6179426456008867
16034-77-8,0.42561469967435556
22730-89-8,0.3729548118955017
3115-05-7,0.37478597545415626
19403-92-0,-0.09148836002043687
3861-47-0,0.47694070634016705
57808-65-8,0.6011971677213446
577-91-3,0.2118311078802682
14689-57-7,-1.5261620858989184
17601-49-9,0.2688243867495003
1746-25-4,0.047356332869183906
29717-26-8,0.08551058348721348
75-47-8,-0.014251965388486316
9004-95-9,1.0804034374711582
63869-27-2,-0.8346903856882346
3247-33-4,-1.09712920439572
70682-61-0,1.1657653330146618
301-13-3,1.254299786541332
78-42-2,1.0245387275577578
15458-87-4,1.1672757978307098
105084-66-0,-0.7560117890176238
13080-06-3,1.1303283679634784
63869-22-7,-0.7623586429112472
139-60-6,0.7366404910804053
34206-40-1,0.8961866219149547
23505-41-1,-0.17485222722749724
3857-80-5,0.6173508373781997
3687-16-9,0.5393394206593917
68289-21-4,0.14884756010200773
4559-86-8,1.2070841017010627
1941-30-6,0.5403272166332191
106-20-7,1.0046293610606136
10143-60-9,1.0716100954240941
19074-24-9,1.485472604238121
103-23-1,1.4177557686536653
117-81-7,1.6907657528732745
3658-48-8,1.2717732045462298
298-07-7,1.0115992034939123
63449-80-9,1.110893469253915
7425-14-1,1.541317680321793
18268-70-7,1.355040410553103
94-28-0,1.260829197401579
3282-85-7,0.9742506344838312
7790-07-0,1.3406365432846163
25724-60-1,1.3031927843678401
10022-60-3,1.3206245112335084
468-61-1,0.48708118108744153
4551-59-1,0.37036324262767084
57647-13-9,0.418611196038947
27591-69-1,0.41662840237616533
589-32-2,0.6667889370089526
78-53-5,-1.054691557910802
115-79-7,0.14966271866791014
122-31-6,1.3050192799548832
78-10-4,1.1054164652933804
17356-42-2,-1.360784535498757
3689-24-5,-0.8628450945721805
563-12-2,-1.6950032377888922
78-07-9,1.2237427546549349
20395-17-9,-1.7553823768867218
18300-10-2,-1.8839464695740105
2667-40-5,-1.0786799922609074
55134-13-9,-0.5796069108275037
33446-90-1,1.171142518381906
27879-29-4,0.5811834212362245
55934-93-5,1.3812810430423361
52030-05-4,1.372580400383583
74051-80-2,0.7245625175906754
2224-33-1,1.0808325650018955
77-90-7,0.923350476131428
21327-31-1,-0.1650403305872706
5826-91-5,-0.49594030083662316
22787-59-3,-1.1427324021372758
22787-58-2,-1.0057633179856984
5675-57-0,-1.5416797340617212
3730-54-9,-0.6397871233528108
655-35-6,0.23257336622043778
77-89-4,1.261747012788322
70833-40-8,1.2668421692788532
67239-04-7,1.2011875058517354
2595-54-2,-0.2417020961627107
5137-55-3,0.36683849523749384
64036-99-3,-1.8141113566630334
26523-78-4,1.0379952099662284
68814-95-9,0.5694274440260678
538-23-8,1.1866608427069734
2528-38-3,0.9386354335580265
51249-05-9,1.163492229766076
102-85-2,1.1817456936401753
126-73-8,1.1899896854161316
998-40-3,0.9667532731660914
115-78-6,0.05322851444411939
33060-84-3,0.025966165049270396
150-50-5,-0.15727346274948537
78-48-8,-1.3982640550447725
60-01-5,1.4842413439867042
74125-01-2,-1.535431109836775
1496-94-2,-1.0322954101457353
21270-07-5,-0.1574414009682321
7346-61-4,1.4184295811330654
63907-12-0,1.3785526845963052
1114-71-2,0.6729196477688071
64058-98-6,-0.02553059063689636
64059-01-4,0.08793526121368139
13194-48-4,-1.2551204286782454
2511-15-1,-1.4561801583210172
90220-15-8,-1.3253147178182911
759-94-4,0.6939794880245215
23184-66-9,0.7848533948880488
51218-49-6,0.6147113470452512
109965-82-4,0.25637512617647834
92953-10-1,0.2526352563178003
17088-72-1,1.0908495889287055
35850-79-4,0.8563261996945936
3309-68-0,-1.784305241541138
18109-81-4,0.2792421288425877
139-45-7,1.399587451486406
38727-55-8,0.7865437730019201
51356-13-9,-0.8586939839991291
33210-44-5,0.039416059429481044
33210-40-1,-0.2441956066916747
33210-43-4,0.12079156521773868
1912-26-1,0.8250662954407733
7779-27-3,0.800253064900194
78816-48-5,-0.012120942055233596
2941-55-1,0.8628922482737652
4740-11-8,0.28947617933546244
125-99-5,0.3098122523015147
5957-17-5,0.9626917826831034
2001-81-2,0.8716094794030191
56-37-1,0.19482828028278765
7789-92-6,1.337924470839689
10140-99-5,1.0549864482483395
122-51-0,1.3518365254487656
63869-26-1,-1.611142297720268
2425-25-4,-0.33308938323354664
5823-25-6,-0.5552995380656619
919-54-0,-0.5732420979683398
1067-47-6,1.1839324854992497
919-30-2,1.122766454773348
14814-09-6,1.1412556418137463
34708-08-2,1.0850222017189193
15129-36-9,1.0665087991372646
15267-95-5,1.4441948055540077
122-52-1,1.0627329262475231
78-40-0,0.19930578994764467
78-38-6,0.16438735640672092
126-75-0,-1.3962218027221829
298-03-3,-1.4334749387184305
298-04-4,-1.7924342598637222
298-02-2,-1.5711200834321233
1186-09-0,-0.14341272312975306
2524-09-6,-1.411451830809821
2497-07-6,-1.7567979229385489
2588-03-6,-1.5318895116537772
2496-91-5,-0.9145535799087346
4891-54-7,-1.075676482742026
2497-06-5,-1.3047888594016503
2511-11-7,-1.2222682757126906
2404-78-6,-0.8835303309417969
688-62-0,-0.534525094622042
87310-56-3,0.7799318796038542
79451-10-8,-0.5179813425970243
66996-10-9,-0.6951970365269952
55297-95-5,0.4608411569248481
3004-70-4,0.6520650709997574
53521-41-8,1.2815220501221034
139-88-8,0.8932641053072432
1912-25-0,0.8026192843233504
2275-18-5,-1.0443256057757575
63873-23-4,-0.3097553492301275
78-52-4,-1.570478762845607
63873-21-2,-0.0366762174463735
26818-53-1,0.5726201638824945
27891-14-1,0.7979363043662719
36756-79-3,0.7517373781395434
19072-57-2,0.6433656391139031
27591-74-8,-0.9628407407020471
66734-13-2,-0.025518591482170973
27778-88-7,0.2615613287212167
27778-86-5,0.38499264555179674
27778-84-3,0.30199976356813196
27778-80-9,0.34578637113024635
27778-82-1,0.2804652336806288
