CASRN,LD50_knn_rdkit2d
23233-88-7,-0.07199365573789927
87-12-7,0.6221473152393867
15435-29-7,-0.2167836140679755
629-03-8,0.8893391813426658
488-41-5,1.0637022614963756
26846-51-5,0.6605680137768609
1324-11-4,0.2087826439193077
4228-97-1,-1.5409272008081643
41035-29-4,-1.9976406388459325
87-10-5,0.5416947925239753
21466-07-9,-0.24110391556243096
63333-35-7,-1.0849692013708934
57729-86-9,-1.144937633921733
118-79-6,-0.04202168270466941
25333-96-4,0.16664260167994593
1689-99-2,0.1482142013991431
3562-84-3,0.045408469627845956
611-75-6,0.19081039030574015
3296-90-0,0.8891774128474627
13181-17-4,-0.23285029457104178
615-58-7,0.5370142222286781
6609-53-6,-1.3921864546011717
53615-23-9,-1.6761228092390819
89427-28-1,-2.008901838591978
89427-33-8,-1.8501356475019974
14689-56-6,-2.0210614160381954
3393-60-0,-1.6874663846184732
89427-29-2,-1.876366371724083
15287-51-1,-0.3960026919313408
94847-66-2,-0.5902224316197116
2034-22-2,0.2791540382002071
50585-41-6,-2.4062125297731725
3322-93-8,0.4907710914438177
7682-32-8,-1.5440597176496091
89427-35-0,-1.905478698446667
126-72-7,0.28749862713524377
2338-30-9,-1.7501831523367872
608-71-9,0.16835395492596678
3674-13-3,0.9311886949106729
78-75-1,0.6190031269927029
89427-38-3,-1.710556077233052
10474-14-3,0.7238133997523812
300-76-5,-0.6978522067123819
2872-96-0,-0.39131383359719835
106-93-4,0.26288214642913044
1947-58-6,0.894654567419415
96-13-9,-0.030811253728276294
96-12-8,0.6985136603558898
18791-02-1,0.5463948255653303
75-81-0,0.8176999889345814
590-12-5,0.6020183443350074
14689-59-9,-1.9946848997294753
79-27-6,0.2202410989825715
63867-08-3,0.9703836557881442
64047-47-8,0.6755103074869603
63938-47-6,0.5562960277708521
613-53-6,0.6250245538018819
115-17-3,0.43044079362349064
75-25-2,0.28637244174410237
42136-31-2,-0.6456576124974592
64050-72-2,-0.2544229005844338
42136-30-1,-0.3148838431254742
26637-71-8,0.4123591742430207
69094-18-4,0.2336736790356001
74-95-3,0.30938376854005634
3252-43-5,0.23050038381634683
598-91-4,0.18587460094799704
124-48-1,0.6687075713421654
25497-30-7,0.820860411472028
473-49-4,0.4066034785437419
117900-35-3,0.7370642547287406
4460-32-6,-0.5263796530248197
2260-08-4,0.45214209340202427
386-17-4,-0.08623358919774174
67-30-1,0.41812522348284203
16423-68-0,0.02688317704267703
59017-64-0,0.3979667635688196
7246-21-1,0.6429545759661274
96-84-4,0.32628808653256614
59939-17-2,0.5893988001750109
16034-77-8,0.5865022359821794
22730-89-8,0.3141360534671147
3115-05-7,0.2860989959881036
19403-92-0,0.2443729331268645
3861-47-0,0.31810072021105795
57808-65-8,0.27235194691719977
577-91-3,0.3351032369180963
14689-57-7,-1.4212330780656892
17601-49-9,0.650326632523167
1746-25-4,-0.20818645245978956
29717-26-8,-0.12051420931634534
