CASRN,LD50_svm_ecfp6bits
23233-88-7,0.143480995699373
87-12-7,0.3110826534481209
15435-29-7,0.19110119533584646
629-03-8,0.7699586329110678
488-41-5,0.8144932100950052
26846-51-5,0.6961877986764597
1324-11-4,0.25213772817558355
4228-97-1,-1.5094696456924288
41035-29-4,-1.4442889841211861
87-10-5,0.2900362387887395
21466-07-9,0.3660581355972333
63333-35-7,-0.883418360243169
57729-86-9,-0.7871896655117765
118-79-6,0.41068488972807704
25333-96-4,0.09186626447157287
1689-99-2,0.15476489866719823
3562-84-3,0.2492353417770904
611-75-6,0.34605435118799066
3296-90-0,0.7752617329669416
13181-17-4,-0.15896215083642895
615-58-7,0.6322709744263214
6609-53-6,-1.0533768569089323
53615-23-9,-1.3599844843473052
89427-28-1,-1.6208554209807369
89427-33-8,-1.9667717118671488
14689-56-6,-1.8544434351153978
3393-60-0,-1.3615053508966635
89427-29-2,-1.604134722007689
15287-51-1,0.7059319952467094
94847-66-2,0.5240015682214376
2034-22-2,0.3518496331002877
50585-41-6,0.506801090406815
3322-93-8,0.4613511599128878
7682-32-8,-1.1851445243261443
89427-35-0,-1.7547915027492913
126-72-7,0.09291866415772387
2338-30-9,-1.1538888294994216
608-71-9,0.11930380303481913
3674-13-3,1.13712017195019
78-75-1,0.5891256521737338
89427-38-3,-1.631495885958841
10474-14-3,0.22918336379669035
300-76-5,-0.30517734461829127
2872-96-0,-0.5414182181998597
106-93-4,0.5141184139243057
1947-58-6,1.0617487021658643
96-13-9,0.9505120944161096
96-12-8,0.27143667502894864
18791-02-1,0.4340945671825138
75-81-0,0.25537865329903553
590-12-5,0.5606588208313349
14689-59-9,-1.7242172920405496
79-27-6,0.6087303475485809
63867-08-3,0.7343099352988793
64047-47-8,0.5929765986822583
63938-47-6,0.3993086295343816
613-53-6,0.8570652399401874
115-17-3,0.8005280607466844
75-25-2,0.6787085320774194
42136-31-2,-0.7426484760713874
64050-72-2,-0.29290708446390146
42136-30-1,-0.4805610807325361
26637-71-8,0.6821660380330901
69094-18-4,0.7685234016120757
74-95-3,0.5173168864820049
3252-43-5,0.25794281246303774
598-91-4,0.4473528903891846
124-48-1,0.5331998096204887
25497-30-7,0.2086168347970302
473-49-4,0.8522188548098896
117900-35-3,0.9282414822793279
4460-32-6,0.24081909375337274
2260-08-4,0.7868111393665019
386-17-4,0.6178699700093125
67-30-1,0.5120512634169169
16423-68-0,0.4555302312077193
59017-64-0,0.16521053695824262
7246-21-1,0.7412702821105276
96-84-4,0.7267998430184366
59939-17-2,0.3565077267990534
16034-77-8,0.5554218913014974
22730-89-8,0.7547186011388495
3115-05-7,1.0238852399472465
19403-92-0,0.7768553214759504
3861-47-0,0.5201305220698081
57808-65-8,-0.22395254170177903
577-91-3,0.5593518730300232
14689-57-7,-1.0492001364458985
17601-49-9,0.30775739473061137
1746-25-4,0.3037998705488735
29717-26-8,0.5299559382733839
75-47-8,0.8787030164735004
9004-95-9,1.0449709555253057
63869-27-2,-0.8432774914271504
3247-33-4,-0.6607229947235592
70682-61-0,1.6792617892264001
301-13-3,1.0683264744602272
78-42-2,0.8445918594021978
15458-87-4,0.7645378862080935
105084-66-0,-0.31608355340614436
13080-06-3,0.7376730462538822
63869-22-7,-0.20384120068483114
139-60-6,0.7218049210926252
34206-40-1,0.8554575334812787
23505-41-1,-0.4695193691692623
3857-80-5,0.4244260759105134
3687-16-9,1.000068235073679
68289-21-4,0.4601376747725854
4559-86-8,1.0233386950994126
1941-30-6,0.9672833798395221
106-20-7,1.086011520431018
10143-60-9,1.1658748679712398
19074-24-9,1.2569707432313841
103-23-1,1.434071088309032
117-81-7,1.214114354438117
3658-48-8,1.1280244003835953
298-07-7,1.0616302929808508
63449-80-9,0.7111969552471206
7425-14-1,1.2763698007816242
18268-70-7,1.4567878814538173
94-28-0,1.5054567371043954
3282-85-7,0.7741448351914308
7790-07-0,1.0923805295671278
25724-60-1,1.150868307780624
10022-60-3,1.207330588285359
468-61-1,0.4543172628611889
4551-59-1,0.4856396240353825
57647-13-9,0.33308435127331193
27591-69-1,0.793353395143077
589-32-2,0.5143750283662893
78-53-5,-1.0262366633458926
115-79-7,0.06442244277942544
122-31-6,0.8888325307212648
78-10-4,1.064360448968648
17356-42-2,-1.8111954994860557
3689-24-5,-0.3148736831072779
563-12-2,-1.2743641256571558
78-07-9,1.045915083157754
20395-17-9,-1.1071926848361824
18300-10-2,-1.390179070628701
2667-40-5,-0.353721641535252
55134-13-9,0.14465269695929273
33446-90-1,0.5194998278293698
27879-29-4,0.48234446576478884
55934-93-5,1.0137475286064586
52030-05-4,1.110546462347719
74051-80-2,0.3693328855425392
2224-33-1,0.6522740826178152
77-90-7,1.0760357253372
21327-31-1,-0.48553249820362676
5826-91-5,-0.5590031071739903
22787-59-3,-0.5271823364382485
22787-58-2,-0.7597318194272183
5675-57-0,-0.33863748706101593
