CASRN,LD50_xgboost_ecfp6bits
23233-88-7,0.21423173
87-12-7,0.36542806
15435-29-7,0.08146611
629-03-8,0.55125284
488-41-5,0.4651962
26846-51-5,0.45264757
1324-11-4,0.26702815
4228-97-1,-1.4021856
41035-29-4,-1.4802831
87-10-5,0.30381322
21466-07-9,0.7268482
63333-35-7,-1.6895195
57729-86-9,-1.156397
118-79-6,0.3795735
25333-96-4,0.22598812
1689-99-2,-0.03506674
3562-84-3,-0.04273781
611-75-6,0.26180458
3296-90-0,0.82699174
13181-17-4,-0.57240474
615-58-7,0.5957711
6609-53-6,-1.4346002
53615-23-9,-1.6598259
89427-28-1,-1.8698288
89427-33-8,-1.9106395
14689-56-6,-1.8750972
3393-60-0,-1.6592157
89427-29-2,-1.7552195
15287-51-1,0.2901622
94847-66-2,-0.09219831
2034-22-2,0.46593934
50585-41-6,-0.19706397
3322-93-8,0.40210885
7682-32-8,-1.4130554
89427-35-0,-1.8557146
126-72-7,0.49562037
2338-30-9,-1.4972943
608-71-9,0.17226191
3674-13-3,0.8923194
78-75-1,0.41415283
89427-38-3,-1.4631326
10474-14-3,0.64912325
300-76-5,-0.7348532
2872-96-0,-0.26122808
106-93-4,0.4739685
1947-58-6,0.80743176
96-13-9,0.87767583
96-12-8,0.32995304
18791-02-1,0.37479848
75-81-0,0.23265596
590-12-5,0.20761518
14689-59-9,-1.8023322
79-27-6,0.5052794
63867-08-3,0.46335006
64047-47-8,0.52497935
63938-47-6,0.08888978
613-53-6,0.458986
115-17-3,0.6610713
75-25-2,0.5429883
42136-31-2,-1.0374088
64050-72-2,-0.18992949
42136-30-1,-0.37234265
26637-71-8,0.4662161
69094-18-4,0.6673442
74-95-3,0.38468918
3252-43-5,0.13616665
598-91-4,0.19538797
124-48-1,0.47235838
25497-30-7,0.13062994
473-49-4,0.48937258
117900-35-3,0.58546686
4460-32-6,-0.0840822
2260-08-4,0.9956031
386-17-4,0.6734102
67-30-1,0.8405171
16423-68-0,0.40480614
59017-64-0,0.47190017
7246-21-1,0.77342296
96-84-4,0.67808133
59939-17-2,0.37337673
16034-77-8,0.55543524
22730-89-8,0.69398016
3115-05-7,0.7469298
19403-92-0,0.6019743
3861-47-0,0.1385872
57808-65-8,-0.12564081
577-91-3,0.30155683
14689-57-7,-1.6122512
17601-49-9,0.62733
1746-25-4,0.56532913
29717-26-8,0.6237314
75-47-8,0.6613494
9004-95-9,1.0796502
63869-27-2,-1.3873804
3247-33-4,-1.1715373
70682-61-0,1.4297274
301-13-3,1.2010734
78-42-2,0.8889974
15458-87-4,0.9883848
105084-66-0,-0.5367383
13080-06-3,0.7544227
63869-22-7,-0.89782006
139-60-6,0.79556465
34206-40-1,0.7993226
23505-41-1,-0.6855558
3857-80-5,0.50488174
3687-16-9,0.8802224
68289-21-4,0.45053667
4559-86-8,1.0143715
1941-30-6,1.0771666
106-20-7,1.0206249
10143-60-9,1.1869214
19074-24-9,1.3333691
103-23-1,1.349631
117-81-7,1.230686
3658-48-8,1.0460511
298-07-7,1.2826527
63449-80-9,1.0594383
7425-14-1,1.373034
18268-70-7,1.4704566
94-28-0,1.3837495
3282-85-7,0.85352415
7790-07-0,1.2804627
25724-60-1,1.2359972
10022-60-3,1.2387322
468-61-1,0.60637194
4551-59-1,0.4339801
57647-13-9,0.34582534
27591-69-1,0.5065445
589-32-2,0.71568954
78-53-5,-1.5805626
115-79-7,0.34974912
122-31-6,1.0107324
78-10-4,1.1449294
17356-42-2,-1.8076872
3689-24-5,-0.42086348
563-12-2,-1.5549392
78-07-9,1.1731809
20395-17-9,-1.942636
18300-10-2,-1.9307878
2667-40-5,-0.88410765
55134-13-9,-0.092402756
33446-90-1,0.5404458
27879-29-4,0.5647892
55934-93-5,0.9256716
52030-05-4,1.1430045
74051-80-2,0.27888674
2224-33-1,0.583406
77-90-7,1.0082749
21327-31-1,-0.35837314
5826-91-5,-0.67396504
22787-59-3,-0.13682428
22787-58-2,-1.450356
5675-57-0,-0.7751296
3730-54-9,-0.5588888
655-35-6,0.56877965
77-89-4,0.9580894
70833-40-8,1.2499337
67239-04-7,0.9047142
2595-54-2,-0.7571925
5137-55-3,0.74177873
64036-99-3,-1.6437409
26523-78-4,0.8377826
68814-95-9,0.8339901
538-23-8,1.2484223
2528-38-3,0.64177656
51249-05-9,0.41066185
102-85-2,0.997892
126-73-8,0.73229885
998-40-3,0.786412
115-78-6,0.58057654
33060-84-3,0.46622393
150-50-5,0.582576
78-48-8,-0.47869754
60-01-5,1.3683668
74125-01-2,-0.6654444
1496-94-2,0.7871325
21270-07-5,-0.017051883
7346-61-4,0.8271186
63907-12-0,0.8411322
1114-71-2,0.7125155
64058-98-6,-0.16039997
64059-01-4,0.29426605
13194-48-4,-0.7930529
2511-15-1,-1.1447269
90220-15-8,-1.2716916
759-94-4,0.8686088
23184-66-9,0.50527835
51218-49-6,0.666053
109965-82-4,0.16798301
92953-10-1,0.53903085
17088-72-1,0.80238074
35850-79-4,0.75366753
3309-68-0,-1.7746698
18109-81-4,0.44744435
139-45-7,1.073332
38727-55-8,0.730746
51356-13-9,-1.0500367
33210-44-5,0.3508388
33210-40-1,-0.1762403
33210-43-4,0.14229275
1912-26-1,0.81789374
7779-27-3,0.9590588
78816-48-5,0.090163775
2941-55-1,0.6484456
4740-11-8,0.66474503
125-99-5,0.31263116
5957-17-5,1.0396615
2001-81-2,0.58184016
56-37-1,0.3387083
7789-92-6,1.2703661
10140-99-5,0.8120136
122-51-0,1.0802288
63869-26-1,-0.41444996
2425-25-4,-0.81373644
5823-25-6,-0.65156436
919-54-0,-0.6859678
1067-47-6,1.2013372
919-30-2,0.9319632
14814-09-6,1.0730524
34708-08-2,0.11979532
15129-36-9,0.86459196
15267-95-5,0.84042853
122-52-1,1.0845934
78-40-0,-0.74485284
78-38-6,-0.26440918
126-75-0,-1.7964323
298-03-3,-1.0374607
298-04-4,-1.3216153
298-02-2,-1.7405272
1186-09-0,-1.5498372
2524-09-6,-1.3377559
2497-07-6,-1.2139542
2588-03-6,-1.331728
2496-91-5,-1.6445
4891-54-7,-0.6192383
2497-06-5,-1.0316044
2511-11-7,-1.5792421
2404-78-6,-1.0145417
688-62-0,0.5914101
87310-56-3,0.54774886
79451-10-8,-0.4343131
66996-10-9,-0.89649653
55297-95-5,-0.03182328
3004-70-4,0.668265
53521-41-8,0.76761353
139-88-8,0.89567274
1912-25-0,0.64661276
2275-18-5,-0.9993842
63873-23-4,-0.54368126
78-52-4,-1.149732
63873-21-2,-0.915405
26818-53-1,0.52278006
27891-14-1,0.5932078
36756-79-3,0.44267148
19072-57-2,1.044124
27591-74-8,-0.7092664
66734-13-2,-0.07787853
27778-88-7,0.30349776
27778-86-5,0.38229263
27778-84-3,0.21339452
27778-80-9,0.20720246
27778-82-1,0.29110548
27684-92-0,0.28514242
26259-45-0,0.5680099
40618-52-8,0.18434086
69-05-6,0.5770764
9050-04-8,0.18537103
60735-64-0,0.6381045
24151-93-7,-0.37812883
2109-64-0,1.0523647
22457-23-4,0.9893218
541-85-5,1.0204786
14355-07-8,-0.17717022
14355-12-5,-0.27481827
10024-78-9,0.97150296
32838-28-1,0.984899
57-33-0,-0.025612436
71-73-8,-0.09652042
871-22-7,1.0197866
29122-60-9,0.34342596
7286-69-3,0.41921628
98886-44-3,-0.63310945
125-64-4,0.16251148
730-07-4,0.45113656
33499-11-5,0.6301799
110429-62-4,0.43350008
67050-64-0,0.23988454
54-05-7,0.40935257
1094-08-2,0.57623136
30238-41-6,0.56810266
64241-34-5,0.49882746
33499-13-7,0.4355728
63867-07-2,0.79204035
4630-95-9,0.8073954
66968-39-6,0.35888046
105-57-7,1.1455697
87820-88-0,0.63909227
103890-78-4,0.8522546
52-60-8,-0.999152
50765-89-4,-0.23873241
15763-48-1,0.21466465
22609-73-0,0.4746856
88045-99-2,0.93060386
17702-79-3,-0.56313014
137-58-6,0.5555008
333-40-4,-0.64523673
31775-20-9,0.48049682
105779-78-0,0.25777996
23191-75-5,0.55149305
88045-98-1,0.75000465
57470-78-7,0.69096935
68227-46-3,0.66268486
5221-49-8,-0.7880126
21409-78-9,-0.7428427
40374-14-9,-0.39101234
29232-93-7,0.11652908
13171-21-6,-0.8155594
73521-00-3,-0.22811952
73512-92-2,-0.26652017
73520-99-7,-0.30148512
128606-48-4,-0.8887928
57846-34-1,-0.41154897
74639-40-0,0.48582953
1716-09-2,-0.7321976
14143-09-0,-1.0459919
10097-26-4,1.2291096
105-16-8,1.2399966
1918-08-7,0.64825815
14663-66-2,0.11160632
14663-67-3,-0.044836536
10137-90-3,1.1273646
78193-97-2,0.576286
58458-55-2,0.82090664
103-09-3,1.4270785
23947-60-6,0.79952884
6946-94-7,1.1458867
274671-61-3,0.7418432
2728-05-4,0.91211015
134-62-3,0.39863214
52406-01-6,-0.29930648
953-32-2,-0.37349325
60090-47-3,0.80149823
15386-51-3,0.37127513
2728-04-3,0.73645335
299-45-6,-1.3298229
2425-15-2,-0.7810781
51356-23-1,-0.9479743
51356-21-9,-0.5298605
3099-88-5,-1.2508136
1942-78-5,-0.60519636
108-35-0,-0.9084684
15421-84-8,0.51832694
51356-11-7,-1.4196974
51356-09-3,-1.2372836
22439-40-3,-0.93529975
5633-16-9,0.24216676
26662-09-9,-1.0156307
63979-26-0,0.48977885
2544-52-7,-1.2529737
120-95-6,0.7394565
51959-14-9,0.47337916
79-74-3,0.6548754
10508-09-5,1.1435262
329-21-5,-1.1155005
7795-74-6,-1.0328861
69784-43-6,-1.4456856
55285-14-8,-0.9513623
3489-84-7,0.89266795
3734-95-0,-1.339291
129927-33-9,0.6673072
72590-77-3,0.6171576
13472-08-7,0.4753704
78-66-0,1.0653948
1338-23-4,1.2356474
154619-86-0,-1.2059296
154619-76-8,-1.1911596
4268-36-4,0.7411763
5340-36-3,0.85887194
33236-05-4,0.20203982
33210-49-0,0.25984123
17091-21-3,1.159352
82560-06-3,0.85227853
77-74-7,1.1464008
55937-99-0,0.7461397
1081-95-4,-1.7421771
103446-98-6,0.70078534
30087-47-9,-0.26860198
40373-31-7,-0.28314057
2631-26-7,-0.27009892
3772-48-3,-1.4350715
1474-80-2,-1.1427628
28616-48-0,-0.86989915
55769-64-7,0.4082411
89591-51-5,0.1027686
63580-68-7,-1.9430654
60244-63-5,-1.0965822
60244-60-2,-1.0742458
63039-90-7,0.0333096
18886-42-5,0.44200516
