CASRN,LD50_xgboost_ecfp6counts
23233-88-7,0.21946327
87-12-7,0.41210362
15435-29-7,-0.049128145
629-03-8,0.41894257
488-41-5,0.8015097
26846-51-5,0.5823333
1324-11-4,0.38220763
4228-97-1,-1.7533295
41035-29-4,-1.741186
87-10-5,0.25695422
21466-07-9,0.35649762
63333-35-7,-1.1673818
57729-86-9,-0.80732363
118-79-6,-0.12573664
25333-96-4,0.24507125
1689-99-2,0.1382967
3562-84-3,0.31028324
611-75-6,0.005491588
3296-90-0,0.87838846
13181-17-4,-0.4412688
615-58-7,0.65370214
6609-53-6,-1.3770092
53615-23-9,-1.7029574
89427-28-1,-1.86791
89427-33-8,-1.8144681
14689-56-6,-1.8749669
3393-60-0,-1.7608579
89427-29-2,-1.7347353
15287-51-1,0.37854838
94847-66-2,0.021617755
2034-22-2,0.41864187
50585-41-6,0.002018298
3322-93-8,0.26866296
7682-32-8,-1.4774379
89427-35-0,-1.8475001
126-72-7,0.24908756
2338-30-9,-1.6499678
608-71-9,0.23728761
3674-13-3,0.8253193
78-75-1,0.49189955
89427-38-3,-1.2752885
10474-14-3,0.3639068
300-76-5,-0.40131032
2872-96-0,0.02229385
106-93-4,0.28433752
1947-58-6,0.8619293
96-13-9,0.62535167
96-12-8,0.101136215
18791-02-1,0.30134368
75-81-0,0.33916786
590-12-5,0.3244506
14689-59-9,-1.7159504
79-27-6,0.3739889
63867-08-3,0.81250554
64047-47-8,0.7190008
63938-47-6,0.54126626
613-53-6,0.5136604
115-17-3,0.6929947
75-25-2,0.54325205
42136-31-2,-0.79367644
64050-72-2,-0.25533485
42136-30-1,-0.06945992
26637-71-8,0.6437757
69094-18-4,0.50964504
74-95-3,0.4273136
3252-43-5,0.109023035
598-91-4,0.17637122
124-48-1,0.33743745
25497-30-7,0.26697254
473-49-4,0.3088069
117900-35-3,0.54214597
4460-32-6,-0.40488243
2260-08-4,0.7923377
386-17-4,0.33568013
67-30-1,0.6195257
16423-68-0,0.47592995
59017-64-0,-0.02044197
7246-21-1,0.7447084
96-84-4,0.7729374
59939-17-2,0.567057
16034-77-8,0.48741683
22730-89-8,0.8143911
3115-05-7,0.57732916
19403-92-0,0.45993474
3861-47-0,0.38063908
57808-65-8,0.118524924
577-91-3,-0.00877829
14689-57-7,-1.6528866
17601-49-9,0.54827404
1746-25-4,0.6258181
29717-26-8,0.53360003
75-47-8,0.6824923
9004-95-9,0.8558287
63869-27-2,-1.1470159
3247-33-4,-1.3462051
70682-61-0,1.5714375
301-13-3,1.4127297
78-42-2,1.2361403
15458-87-4,0.9560694
105084-66-0,-0.71177864
13080-06-3,0.93397963
63869-22-7,-1.3347063
139-60-6,0.18272552
34206-40-1,-0.046567447
23505-41-1,-0.40969136
3857-80-5,0.41578084
3687-16-9,0.67464334
68289-21-4,0.29909587
4559-86-8,1.0259644
1941-30-6,1.4015677
106-20-7,0.9364216
10143-60-9,1.3192136
19074-24-9,1.5076568
103-23-1,1.440322
117-81-7,1.3367256
3658-48-8,1.2946453
298-07-7,1.270273
63449-80-9,1.4677556
7425-14-1,0.5378291
18268-70-7,1.7283951
94-28-0,1.5010706
3282-85-7,0.8564337
7790-07-0,1.170339
25724-60-1,1.1373032
10022-60-3,1.0660862
468-61-1,0.74552965
4551-59-1,0.49304214
57647-13-9,0.35197765
27591-69-1,-0.027132425
589-32-2,0.3092165
78-53-5,-1.6134928
115-79-7,0.114579186
122-31-6,1.0143557
78-10-4,1.1829535
17356-42-2,-1.7951295
3689-24-5,-0.85769886
563-12-2,-1.4963189
78-07-9,1.1511747
20395-17-9,-2.3043272
18300-10-2,-1.9103082
2667-40-5,-0.8476605
55134-13-9,-0.35425103
33446-90-1,1.2552762
27879-29-4,0.61512107
55934-93-5,1.0581152
52030-05-4,0.7856869
74051-80-2,0.30578572
2224-33-1,0.008408878
77-90-7,0.90290517
21327-31-1,0.104017675
5826-91-5,-0.5927736
22787-59-3,-0.46570334
22787-58-2,-1.4580903
5675-57-0,-0.87254345
3730-54-9,-0.15767145
655-35-6,0.17474185
77-89-4,1.2788452
70833-40-8,0.94826245
67239-04-7,0.18357085
2595-54-2,-0.8644714
5137-55-3,0.68495303
64036-99-3,-1.5707188
26523-78-4,0.8993995
68814-95-9,0.8036074
538-23-8,1.2500807
2528-38-3,0.847879
51249-05-9,-0.21122043
102-85-2,0.88055366
126-73-8,0.7870888
998-40-3,1.1477232
115-78-6,0.53304553
33060-84-3,0.6852124
150-50-5,0.06568659
78-48-8,-0.0742892
60-01-5,1.3401974
74125-01-2,-0.8060232
1496-94-2,0.60426503
21270-07-5,0.052052278
7346-61-4,0.94341904
63907-12-0,0.8869583
1114-71-2,0.6395139
64058-98-6,0.107653834
64059-01-4,0.3004321
13194-48-4,-0.7182126
2511-15-1,-1.1304725
90220-15-8,-1.4067646
759-94-4,0.7499321
23184-66-9,0.76865226
51218-49-6,0.6841562
109965-82-4,0.09192724
92953-10-1,0.23877801
17088-72-1,0.22665304
35850-79-4,0.71544296
3309-68-0,-1.8345413
18109-81-4,0.47439396
139-45-7,1.2003279
38727-55-8,0.6666947
51356-13-9,-1.0069828
33210-44-5,0.17397021
33210-40-1,-0.25073057
33210-43-4,0.10411972
1912-26-1,0.48219806
7779-27-3,0.92826635
78816-48-5,0.23049065
2941-55-1,0.8188698
4740-11-8,0.4837023
125-99-5,0.50870836
5957-17-5,0.7726639
2001-81-2,0.5737521
56-37-1,0.22643958
7789-92-6,1.2735246
10140-99-5,1.0491513
122-51-0,0.86509633
63869-26-1,-0.9484583
2425-25-4,-0.9839265
5823-25-6,-0.8374685
919-54-0,-0.9002336
1067-47-6,0.93348706
919-30-2,0.77790457
14814-09-6,0.9700663
34708-08-2,0.40613583
15129-36-9,0.83420396
15267-95-5,0.862065
122-52-1,1.0901194
78-40-0,-0.82272166
78-38-6,-0.06191979
126-75-0,-1.9069543
298-03-3,-1.1421982
298-04-4,-1.6351668
298-02-2,-1.7325854
1186-09-0,-1.47515
2524-09-6,-1.2949986
2497-07-6,-1.3889551
2588-03-6,-1.3780963
2496-91-5,-1.9214284
4891-54-7,-0.54618555
2497-06-5,-1.4618572
2511-11-7,-1.2493693
2404-78-6,-0.7341769
688-62-0,0.5867992
87310-56-3,0.5982788
79451-10-8,-0.77337605
66996-10-9,-0.6612903
55297-95-5,-0.07005141
3004-70-4,0.60905075
53521-41-8,0.8938445
139-88-8,1.1282918
1912-25-0,0.4692402
2275-18-5,-0.87044233
63873-23-4,-0.7208778
78-52-4,-0.86423206
63873-21-2,-1.2631227
26818-53-1,0.77135104
27891-14-1,0.618061
36756-79-3,0.6360457
19072-57-2,1.1196195
27591-74-8,-0.531508
66734-13-2,0.13922048
27778-88-7,0.18227535
27778-86-5,0.39557678
27778-84-3,0.21708697
27778-80-9,0.37160587
27778-82-1,0.20156866
27684-92-0,0.14922738
26259-45-0,0.6804663
40618-52-8,-0.21149291
69-05-6,0.40493095
9050-04-8,0.15832026
60735-64-0,0.5722888
24151-93-7,-0.41555703
2109-64-0,0.87420124
22457-23-4,0.7770272
541-85-5,1.3116937
14355-07-8,-0.011738485
14355-12-5,-0.26619077
10024-78-9,1.0413829
32838-28-1,1.0300806
57-33-0,0.12115646
71-73-8,0.3915297
871-22-7,1.0246711
29122-60-9,0.40982834
7286-69-3,0.37641418
98886-44-3,-0.400274
125-64-4,0.36785683
730-07-4,0.46726233
33499-11-5,0.58168477
110429-62-4,0.5016559
67050-64-0,0.15829884
54-05-7,0.31059635
1094-08-2,0.40640357
30238-41-6,0.6880881
64241-34-5,0.45196393
33499-13-7,0.6606892
63867-07-2,0.99432003
4630-95-9,0.7175603
66968-39-6,-0.031686656
105-57-7,1.230969
87820-88-0,0.6966625
103890-78-4,0.74991196
52-60-8,-0.8987997
50765-89-4,-0.38503945
15763-48-1,0.32208654
22609-73-0,0.35820773
88045-99-2,0.84391063
17702-79-3,-0.44738984
137-58-6,0.4941419
333-40-4,-1.0504646
31775-20-9,0.59298635
105779-78-0,0.3386319
23191-75-5,0.17116798
88045-98-1,0.7270777
57470-78-7,0.44830778
68227-46-3,0.56854624
5221-49-8,-0.8574438
21409-78-9,-0.784319
40374-14-9,-0.31029356
29232-93-7,0.09102838
13171-21-6,-0.34653497
73521-00-3,-0.13383
73512-92-2,-0.3303559
73520-99-7,-0.21454988
128606-48-4,-0.85324305
57846-34-1,-0.41875517
