CASRN,LD50_xgboost_maccs
23233-88-7,0.23947755
87-12-7,0.5327188
15435-29-7,-0.12967168
629-03-8,0.18325749
488-41-5,0.3541255
26846-51-5,0.44025573
1324-11-4,0.49112174
4228-97-1,-1.4631526
41035-29-4,-1.70013
87-10-5,0.42154858
21466-07-9,0.3741878
63333-35-7,-1.3841326
57729-86-9,-0.7939249
118-79-6,-0.07977092
25333-96-4,0.05753433
1689-99-2,-0.33666843
3562-84-3,-1.2885456
611-75-6,0.43885785
3296-90-0,0.44398096
13181-17-4,0.026140004
615-58-7,0.18561183
6609-53-6,-1.442603
53615-23-9,-1.7966932
89427-28-1,-1.6732329
89427-33-8,-1.70013
14689-56-6,-1.7741555
3393-60-0,-1.710795
89427-29-2,-1.613541
15287-51-1,0.104762666
94847-66-2,0.3698375
2034-22-2,-0.08174539
50585-41-6,-2.4813242
3322-93-8,0.5484878
7682-32-8,-1.613541
89427-35-0,-1.789077
126-72-7,-0.44021052
2338-30-9,-1.5845984
608-71-9,0.08310332
3674-13-3,0.5943482
78-75-1,0.6876496
89427-38-3,-1.4217086
10474-14-3,0.9341012
300-76-5,-0.24494205
2872-96-0,-0.060495634
106-93-4,0.23250036
1947-58-6,0.22347948
96-13-9,0.3486218
96-12-8,0.4158271
18791-02-1,0.3996874
75-81-0,0.76356906
590-12-5,0.2336841
14689-59-9,-1.70013
79-27-6,0.5106539
63867-08-3,0.8721471
64047-47-8,0.6254117
63938-47-6,0.42713445
613-53-6,-0.031493604
115-17-3,0.6754256
75-25-2,0.5672697
42136-31-2,-1.094008
64050-72-2,0.036714748
42136-30-1,-0.31384513
26637-71-8,0.8064169
69094-18-4,0.21272391
74-95-3,0.5133963
3252-43-5,0.25804165
598-91-4,-0.14252114
124-48-1,0.5080446
25497-30-7,0.52474266
473-49-4,-0.067915365
117900-35-3,0.12579495
4460-32-6,-0.4649108
2260-08-4,0.752226
386-17-4,0.46608976
67-30-1,0.46200544
16423-68-0,-1.392625
59017-64-0,0.47225606
7246-21-1,0.50328773
96-84-4,0.22360218
59939-17-2,0.68130755
16034-77-8,1.0604926
22730-89-8,0.78930444
3115-05-7,0.61310214
19403-92-0,0.047204368
