CASRN,LD50_xgboost_mordred
23233-88-7,0.1382066
87-12-7,0.53033864
15435-29-7,-0.90726906
629-03-8,0.50263757
488-41-5,0.48067105
26846-51-5,0.50717276
1324-11-4,0.3019777
4228-97-1,-1.3911659
41035-29-4,-1.8833231
87-10-5,0.032262087
21466-07-9,0.5772232
63333-35-7,-1.7259527
57729-86-9,-1.748335
118-79-6,-0.31440437
25333-96-4,-0.016923983
1689-99-2,0.19849743
3562-84-3,0.066288784
611-75-6,0.16576716
3296-90-0,-0.021142585
13181-17-4,-0.18503612
615-58-7,0.35292906
6609-53-6,-1.5649778
53615-23-9,-1.8644484
89427-28-1,-1.9273474
89427-33-8,-1.8008773
14689-56-6,-2.0619977
3393-60-0,-1.7653333
89427-29-2,-1.8213266
15287-51-1,-0.10232877
94847-66-2,0.06803741
2034-22-2,0.23374134
50585-41-6,-1.9602624
3322-93-8,0.26247558
7682-32-8,-1.7143736
89427-35-0,-1.994865
126-72-7,0.18875442
2338-30-9,-1.7454913
608-71-9,-0.24964255
3674-13-3,0.4025986
78-75-1,0.4050611
89427-38-3,-1.3056272
10474-14-3,0.41235554
300-76-5,-0.56945723
2872-96-0,-0.24573132
106-93-4,0.017161937
1947-58-6,0.28456083
96-13-9,0.14125124
96-12-8,0.0072206766
18791-02-1,-0.068114325
75-81-0,0.27583364
590-12-5,-0.093857735
14689-59-9,-1.9585333
79-27-6,0.004759442
63867-08-3,0.5895384
64047-47-8,0.53392106
63938-47-6,0.3363477
613-53-6,0.441629
115-17-3,0.4178336
75-25-2,0.21292928
42136-31-2,-0.9376636
64050-72-2,-0.10335943
42136-30-1,-0.017252859
26637-71-8,0.628465
69094-18-4,0.21570918
74-95-3,0.4750579
3252-43-5,-0.13218068
598-91-4,-0.21791482
124-48-1,0.4486219
25497-30-7,0.29899752
473-49-4,0.06603092
117900-35-3,0.2618605
4460-32-6,-0.32359728
2260-08-4,0.55740243
386-17-4,0.14175993
67-30-1,0.27432346
16423-68-0,-0.33462495
59017-64-0,0.187887
7246-21-1,0.3957018
96-84-4,0.30332842
59939-17-2,0.43859968
16034-77-8,0.6785681
22730-89-8,0.56811136
3115-05-7,0.4291376
19403-92-0,-0.26996604
3861-47-0,0.28881517
57808-65-8,-0.30204943
577-91-3,-0.33479634
14689-57-7,-1.4054886
17601-49-9,0.4917412
1746-25-4,-0.5072693
29717-26-8,-0.107106596
75-47-8,0.2935565
9004-95-9,0.6575308
63869-27-2,-0.87871236
3247-33-4,-1.2113415
70682-61-0,0.85713893
301-13-3,1.5184778
78-42-2,1.1038132
15458-87-4,0.2739369
105084-66-0,-0.31569454
13080-06-3,0.75286454
63869-22-7,-0.7053321
139-60-6,0.53045154
34206-40-1,0.3527563
23505-41-1,-0.101788744
3857-80-5,0.33209866
3687-16-9,0.40744233
68289-21-4,0.47971866
4559-86-8,0.8272175
1941-30-6,0.5469488
106-20-7,0.7425056
10143-60-9,1.2311457
19074-24-9,1.5867834
