CASRN,LD50_xgboost_rdkit2d
23233-88-7,0.12782215
87-12-7,0.50602794
15435-29-7,-0.87627095
629-03-8,0.44822058
488-41-5,0.5684197
26846-51-5,0.43982863
1324-11-4,0.42277586
4228-97-1,-1.5330578
41035-29-4,-1.9653926
87-10-5,0.33970413
21466-07-9,0.20518826
63333-35-7,-1.607318
57729-86-9,-1.6950759
118-79-6,-0.11424938
25333-96-4,0.000686749
1689-99-2,-0.010498639
3562-84-3,0.2586924
611-75-6,0.04733369
3296-90-0,0.18151681
13181-17-4,0.078792386
615-58-7,0.43874234
6609-53-6,-1.2737697
53615-23-9,-1.775617
89427-28-1,-2.0138474
89427-33-8,-1.8637503
14689-56-6,-1.9614822
3393-60-0,-1.6109616
89427-29-2,-1.8476436
15287-51-1,-0.34496537
94847-66-2,-0.004781421
2034-22-2,0.056172196
50585-41-6,-2.1544836
3322-93-8,0.34303343
7682-32-8,-1.5013058
89427-35-0,-1.9188986
126-72-7,0.26661208
2338-30-9,-1.6085434
608-71-9,-0.39372557
3674-13-3,0.57682717
78-75-1,0.40190393
89427-38-3,-1.347063
10474-14-3,0.46843064
300-76-5,-0.78626585
2872-96-0,-0.3330561
106-93-4,-0.31518564
1947-58-6,0.48717707
96-13-9,0.062419258
96-12-8,0.27000862
18791-02-1,0.28061402
75-81-0,0.4248618
590-12-5,0.66651917
14689-59-9,-1.9113882
79-27-6,0.15437831
63867-08-3,0.5976419
64047-47-8,0.5941829
63938-47-6,0.16334409
613-53-6,0.51831996
115-17-3,0.31016582
75-25-2,-0.027808778
42136-31-2,-1.0848342
64050-72-2,-0.18554187
42136-30-1,-0.18878189
26637-71-8,0.7420962
69094-18-4,-0.07663442
74-95-3,0.23043212
3252-43-5,0.08715676
598-91-4,0.04323655
124-48-1,0.4534695
25497-30-7,0.4242955
473-49-4,-0.08472069
117900-35-3,0.33325055
4460-32-6,-0.49346006
2260-08-4,0.0857464
386-17-4,0.4230243
67-30-1,0.12888822
16423-68-0,0.09901236
59017-64-0,0.24038157
7246-21-1,0.38466135
96-84-4,0.09045234
59939-17-2,0.27699456
16034-77-8,0.6954105
22730-89-8,0.41681406
3115-05-7,0.33587173
19403-92-0,-0.24217117
3861-47-0,0.00805918
57808-65-8,0.103991665
577-91-3,-0.005392544
14689-57-7,-1.2947645
17601-49-9,0.4842514
1746-25-4,-0.46601826
29717-26-8,-0.19664589
75-47-8,0.51648164
9004-95-9,0.7714065
63869-27-2,-0.6253937
3247-33-4,-0.7297516
70682-61-0,0.6711816
301-13-3,1.3107169
78-42-2,1.0828619
15458-87-4,0.2672077
105084-66-0,-0.20377009
13080-06-3,0.8990242
63869-22-7,-0.880688
139-60-6,0.52429616
34206-40-1,0.3656123
23505-41-1,0.13657802
3857-80-5,0.3193692
3687-16-9,0.49560916
68289-21-4,0.3624508
4559-86-8,0.7448239
1941-30-6,0.6696925
106-20-7,0.8788424
10143-60-9,1.1308692
19074-24-9,1.5295985
103-23-1,1.3737255
117-81-7,1.3241242
3658-48-8,1.1455185
298-07-7,1.1758902
63449-80-9,0.512538
7425-14-1,1.4636537
18268-70-7,1.4510034
94-28-0,1.3814367
3282-85-7,0.97873604
7790-07-0,1.2707955
25724-60-1,1.2127465
10022-60-3,1.3687472
468-61-1,0.6175108
4551-59-1,0.5617328
57647-13-9,0.5039329
27591-69-1,0.30421734
589-32-2,0.22534008
78-53-5,-1.2624358
115-79-7,0.35802478
122-31-6,1.0855178
78-10-4,1.0678223
17356-42-2,-1.3364947
3689-24-5,-0.760757
563-12-2,-1.1947159
78-07-9,1.3510286
20395-17-9,-1.123991
18300-10-2,-1.7520679
2667-40-5,-0.94406307
55134-13-9,-0.35648465
33446-90-1,1.2039998
27879-29-4,0.6526117
55934-93-5,1.1748841
52030-05-4,1.1106288
74051-80-2,0.764288
2224-33-1,0.4554134
77-90-7,0.78762734
21327-31-1,0.4328993
5826-91-5,-0.46907705
22787-59-3,-0.98766506
22787-58-2,-1.5131444
5675-57-0,-1.4338567
3730-54-9,0.28107974
655-35-6,0.46715316
77-89-4,1.0401407
70833-40-8,0.8428713
67239-04-7,0.8408561
2595-54-2,-0.80190474
5137-55-3,0.5179433
64036-99-3,-1.8595567
26523-78-4,0.48486575
68814-95-9,0.5252856
538-23-8,1.1874274
2528-38-3,1.1426007
51249-05-9,0.5060808
102-85-2,1.164628
126-73-8,1.4751035
998-40-3,0.91687
115-78-6,0.28808716
33060-84-3,-0.1351455
150-50-5,-0.06095631
78-48-8,-0.2631085
60-01-5,1.2528409
74125-01-2,-0.7257377
1496-94-2,0.64380896
21270-07-5,-0.07108331
7346-61-4,0.8345177
63907-12-0,1.072682
1114-71-2,0.6616692
64058-98-6,-0.013116436
64059-01-4,0.2838023
13194-48-4,-0.540705
2511-15-1,-1.167667
90220-15-8,-1.5083869
759-94-4,0.71049654
23184-66-9,0.6182952
51218-49-6,0.70047134
109965-82-4,0.21799228
92953-10-1,0.49659663
17088-72-1,0.61375934
35850-79-4,0.8848589
3309-68-0,-2.1416788
18109-81-4,0.43202567
139-45-7,1.2965807
38727-55-8,0.7103417
51356-13-9,-0.7925429
33210-44-5,-0.097104125
33210-40-1,-0.26979628
33210-43-4,0.022427687
1912-26-1,0.5915557
7779-27-3,0.56289494
78816-48-5,0.077056944
2941-55-1,0.7369032
4740-11-8,0.42517075
125-99-5,0.3848659
5957-17-5,0.90748185
2001-81-2,0.75446767
56-37-1,0.42260176
7789-92-6,1.4515458
10140-99-5,0.3948037
122-51-0,1.2163298
63869-26-1,-0.7380622
2425-25-4,-0.9297865
5823-25-6,-0.038797736
919-54-0,-0.07598623
1067-47-6,1.0680208
919-30-2,1.2386621
14814-09-6,0.4224968
34708-08-2,0.025880633
15129-36-9,0.61346734
15267-95-5,0.9867942
122-52-1,1.0616981
78-40-0,0.5373769
78-38-6,0.8127688
126-75-0,-1.4111897
298-03-3,-0.9339314
298-04-4,-2.1322088
298-02-2,-1.9459269
1186-09-0,-0.857193
2524-09-6,-1.4502834
2497-07-6,-1.5078347
2588-03-6,-1.7670649
2496-91-5,-1.3375956
4891-54-7,-0.3243424
2497-06-5,-1.1966066
2511-11-7,-1.5655708
2404-78-6,-0.6851074
688-62-0,-0.57387525
87310-56-3,0.6493925
79451-10-8,-0.784794
66996-10-9,-0.44454488
55297-95-5,-0.038349546
3004-70-4,0.72119635
53521-41-8,1.059345
139-88-8,0.8310659
1912-25-0,0.5002955
2275-18-5,-0.87375355
63873-23-4,0.37276384
78-52-4,-1.4653404
63873-21-2,-0.7392328
26818-53-1,0.52838373
27891-14-1,0.56857604
36756-79-3,0.62642324
19072-57-2,0.6732945
27591-74-8,-0.27374005
66734-13-2,-0.64498824
27778-88-7,0.28849518
27778-86-5,0.3594893
27778-84-3,0.33897436
27778-80-9,0.3328968
27778-82-1,0.20483911
27684-92-0,0.25599355
26259-45-0,0.61096704
40618-52-8,-0.10825007
69-05-6,0.7953395
9050-04-8,0.23942646
60735-64-0,0.6010854
24151-93-7,-0.9766921
2109-64-0,0.98179275
22457-23-4,0.9922004
541-85-5,1.2258611
14355-07-8,0.13352998
14355-12-5,-0.29097655
10024-78-9,0.5489526
32838-28-1,0.7970783
57-33-0,-0.062290948
71-73-8,0.16542652
871-22-7,1.1612552
29122-60-9,0.2721895
7286-69-3,0.45541057
98886-44-3,-0.98712415
125-64-4,0.59639764
730-07-4,0.7231544
33499-11-5,0.72389835
110429-62-4,0.060761306
67050-64-0,0.30393243
54-05-7,0.29857406
1094-08-2,0.3457708
30238-41-6,0.5877854
64241-34-5,0.23301575
33499-13-7,0.32350478
63867-07-2,0.6755284
4630-95-9,0.39527747
66968-39-6,0.0018711528
105-57-7,1.4227015
87820-88-0,0.65316826
103890-78-4,0.65864706
52-60-8,-0.6486601
50765-89-4,-0.4706188
15763-48-1,0.3328606
22609-73-0,0.40629756
88045-99-2,0.61173505
17702-79-3,-0.41177273
137-58-6,0.6531747
333-40-4,-0.36559793
31775-20-9,0.37208813
105779-78-0,0.19222942
23191-75-5,0.6182931
88045-98-1,0.7677117
57470-78-7,0.6901447
68227-46-3,0.058122065
5221-49-8,-0.039321575
21409-78-9,-0.8247072
40374-14-9,0.111843854
29232-93-7,-0.41044965
13171-21-6,-0.7048278
73521-00-3,-0.024119062
73512-92-2,-0.23223661
73520-99-7,-0.21866247
128606-48-4,-0.6543164
57846-34-1,-0.45126393
74639-40-0,0.3087664
1716-09-2,-0.5964504
14143-09-0,-1.4735976
10097-26-4,1.36054
105-16-8,0.9017501
1918-08-7,0.45763472
14663-66-2,-0.24478494
14663-67-3,-0.28418988
10137-90-3,1.2586823
78193-97-2,0.63136524
58458-55-2,0.8176996
103-09-3,1.6412865
23947-60-6,0.74032146
6946-94-7,1.108145
274671-61-3,0.69931966
2728-05-4,0.97947454
134-62-3,0.9107017
52406-01-6,-0.01117616
953-32-2,-0.62950456
60090-47-3,0.7316307
15386-51-3,0.04743695
2728-04-3,1.0300204
299-45-6,-1.0896367
2425-15-2,-0.8579553
51356-23-1,-1.2580484
51356-21-9,-0.70054066
3099-88-5,-0.3570888
1942-78-5,-0.63297856
108-35-0,-1.1601672
15421-84-8,0.44874346
51356-11-7,-1.6316261
51356-09-3,-1.2648557
22439-40-3,-0.84085274
5633-16-9,0.38220644
26662-09-9,-1.1367114
63979-26-0,0.48037967
2544-52-7,-1.1247782
120-95-6,0.76361006
51959-14-9,0.2982234
79-74-3,0.715589
10508-09-5,1.3329605
329-21-5,-0.30752465
7795-74-6,-0.5359303
69784-43-6,-0.71428657
55285-14-8,-0.59355325
3489-84-7,0.80173784
3734-95-0,-1.2090094
129927-33-9,0.11369373
72590-77-3,-0.5643598
13472-08-7,0.25677052
78-66-0,0.7330139
1338-23-4,1.0250374
154619-86-0,-1.2812427
154619-76-8,-1.2894644
4268-36-4,0.6247545
5340-36-3,1.3564098
33236-05-4,-0.03349379
33210-49-0,0.19025566
17091-21-3,0.9030759
82560-06-3,0.57248366
77-74-7,1.2617694
55937-99-0,0.5303412
1081-95-4,-1.5435095
103446-98-6,0.27598417
30087-47-9,-0.058111154
40373-31-7,-0.8309186
2631-26-7,-0.46728075
3772-48-3,-0.92242193
1474-80-2,-0.85930014
28616-48-0,-1.0034975
55769-64-7,0.5483762
89591-51-5,0.4908317
63580-68-7,-1.2837154
60244-63-5,-1.3983301
60244-60-2,-0.95230615
63039-90-7,-0.07580301
18886-42-5,-0.06134807
37686-84-3,0.19462372
63717-17-9,-0.26119068
57647-36-6,0.40632313
104907-82-6,0.51382494
76597-98-3,0.7405994
513-10-0,-1.1901067
107-64-2,0.36550084
68391-05-9,0.6764768
7173-51-5,0.2422457
37335-68-5,0.25206506
124-03-8,0.19132482
6458-13-5,0.27620655
70206-24-5,0.5783438
53-46-3,0.19973479
50-10-2,0.34553123
24789-78-4,0.5806709
3700-98-9,0.020947365
3700-97-8,-0.058690112
63917-07-7,0.15860121
38260-54-7,-0.06570011
2830-87-7,-0.19927694
21410-51-5,-0.3459351
1634-78-2,-0.37094286
121-75-5,0.2134016
18300-07-7,-0.82442737
3344-12-5,-0.23087345
51012-33-0,0.63971114
4104-03-4,-0.6579903
15972-60-8,0.8147012
117666-91-8,0.4283951
117683-18-8,0.4646951
90220-16-9,-1.0532336
673-04-1,0.7968647
64-96-0,0.2765979
109410-00-6,0.19062611
364-62-5,0.3582847
4093-35-0,0.2188876
19351-21-4,0.20446573
304-84-7,0.88081926
19351-20-3,0.53548574
55619-22-2,0.54001296
919-53-9,-0.35237494
90245-33-3,-1.2415208
22082-34-4,-0.64212745
78-62-6,1.3524902
1067-99-8,0.7847875
999-34-8,-0.018527042
90220-14-7,-1.533702
996-04-3,-1.060427
996-05-4,-0.8049115
63906-39-8,-0.5266211
32744-43-7,-0.12382954
7292-16-2,-0.6817923
1014-70-6,0.63899195
21923-23-9,-0.8314695
2404-05-9,-1.0303895
51528-03-1,0.11743122
3254-62-4,-1.2740923
115-90-2,-1.2520636
6587-45-7,-0.6923865
6132-17-8,-1.414631
101526-62-9,0.7699689
109-66-0,2.0545871
110-54-3,1.16363
84-76-4,2.0027044
50602-85-2,0.5499256
119-07-3,0.96736574
123-79-5,1.4953157
1639-66-3,1.057985
2915-53-9,1.4673641
117-84-0,1.9312739
70729-68-9,1.1962703
110-32-7,1.2713306
10058-20-5,1.271486
3006-15-3,0.7678102
84-75-3,1.6183978
2050-92-2,0.42784053
13256-06-9,0.7160713
3913-02-8,1.4413396
17810-51-4,-0.1500793
21270-08-6,-0.11307038
123-95-5,1.4802874
111-92-2,0.26924998
109-46-6,0.48253983
