CASRN,Toxic_RF_ecfp6bits-0,Toxic_RF_ecfp6bits-1
23233-88-7,0.4427253064883863,0.5572746935116141
87-12-7,0.48263319803966903,0.5173668019603309
31810-89-6,0.42019861182058177,0.5798013881794184
60012-87-5,0.5996963652452875,0.40030363475471253
15435-29-7,0.4386087346209082,0.5613912653790919
629-03-8,0.46617303777249963,0.5338269622275006
488-41-5,0.4253441245157553,0.5746558754842447
84-59-3,0.4018812286305028,0.5981187713694964
26846-51-5,0.5393929051713544,0.46060709482864615
55916-20-6,0.5669011240002273,0.4330988759997728
1324-11-4,0.6519822254246637,0.34801777457533617
4228-97-1,0.046336067603619274,0.9536639323963809
41035-29-4,0.08034270413214119,0.9196572958678588
87-10-5,0.42116185411828605,0.5788381458817136
25327-89-3,0.5200185985378812,0.4799814014621187
21466-07-9,0.559517071901511,0.44048292809848916
25637-99-4,0.41815428019663103,0.5818457198033692
25713-60-4,0.48161687649446794,0.518383123505532
19186-97-1,0.3037597615867399,0.6962402384132609
63333-35-7,0.23214816179509382,0.7678518382049059
1522-92-5,0.4849001900330463,0.5150998099669538
57729-86-9,0.358047025909806,0.6419529740901936
118-79-6,0.44383670666042013,0.5561632933395803
25333-96-4,0.3759739971748845,0.6240260028251153
1689-99-2,0.5852910131230504,0.41470898687694957
3562-84-3,0.5802198985877018,0.4197801014122979
611-75-6,0.28922784627715564,0.710772153722845
3296-90-0,0.6355848517242692,0.36441514827573107
13181-17-4,0.4129610702340485,0.5870389297659515
615-58-7,0.4100362643566729,0.5899637356433279
6609-53-6,0.03853723311093427,0.9614627668890662
53615-23-9,0.041528591871375455,0.9584714081286246
89427-28-1,0.030521723054789188,0.969478276945211
89427-33-8,0.03935183472480879,0.9606481652751916
14689-56-6,0.041946222366242285,0.958053777633758
3393-60-0,0.035167195340140324,0.9648328046598603
89427-29-2,0.057767067465436,0.9422329325345636
15287-51-1,0.5783993491999563,0.4216006508000438
94847-66-2,0.27061687001722823,0.7293831299827719
2034-22-2,0.37613831780282986,0.6238616821971701
52907-07-0,0.44343140735646075,0.5565685926435389
50585-41-6,0.43809403343695136,0.5619059665630485
3322-93-8,0.4046068748857338,0.5953931251142659
21850-44-2,0.5407136177364235,0.4592863822635767
7682-32-8,0.05852138415637467,0.9414786158436269
89427-35-0,0.06293253347928017,0.9370674665207198
126-72-7,0.3841612003308249,0.6158387996691753
3194-55-6,0.378584064359719,0.6214159356402812
20566-35-2,0.5682186627093163,0.43178133729068385
2338-30-9,0.06827779750919413,0.9317222024908058
87-84-3,0.3296260810141773,0.6703739189858232
608-71-9,0.4759983526713565,0.5240016473286435
32588-76-4,0.5060378074235623,0.49396219257643775
32536-52-0,0.4658484949356702,0.5341515050643298
27858-07-7,0.5467583151643476,0.4532416848356529
61262-53-1,0.523116197729749,0.47688380227025096
84852-53-9,0.4851040390980643,0.5148959609019356
13654-09-6,0.5905865602943494,0.4094134397056511
3674-13-3,0.4676704172163562,0.532329582783644
78-75-1,0.4116376245167972,0.5883623754832029
89427-38-3,0.02924356822507993,0.9707564317749202
10474-14-3,0.3722720635792203,0.6277279364207796
300-76-5,0.21430596824916176,0.7856940317508379
2872-96-0,0.29340914382798583,0.7065908561720146
106-93-4,0.31808954773853626,0.6819104522614636
1947-58-6,0.5201784385356829,0.47982156146431704
96-13-9,0.6028397892276339,0.3971602107723658
96-12-8,0.21034503596173562,0.7896549640382643
18791-02-1,0.2968421520826043,0.7031578479173958
75-81-0,0.3308598461572253,0.6691401538427743
590-12-5,0.3372149689976028,0.6627850310023976
2302-30-9,0.2609354959616122,0.739064504038389
14689-59-9,0.026382400133356635,0.973617599866644
79-27-6,0.31667266190576854,0.683327338094232
63867-08-3,0.5618830467725294,0.4381169532274703
64047-47-8,0.5156943549805706,0.48430564501942963
63938-47-6,0.4515085706840054,0.5484914293159944
613-53-6,0.4039061349712751,0.596093865028725
115-17-3,0.36842523826095525,0.6315747617390444
75-25-2,0.3385842276452202,0.6614157723547801
42136-31-2,0.12262675694816218,0.8773732430518381
64050-72-2,0.2019928233208962,0.798007176679104
42136-30-1,0.2051908110252998,0.7948091889747008
26637-71-8,0.536847457074891,0.4631525429251091
69094-18-4,0.46075516506045955,0.5392448349395402
74-95-3,0.3033937141312161,0.6966062858687837
3252-43-5,0.28572674453635044,0.7142732554636502
598-91-4,0.2477547787190825,0.7522452212809179
124-48-1,0.2816770606179276,0.7183229393820726
25497-30-7,0.4086516338346264,0.5913483661653741
83447-96-5,0.38301288659426713,0.6169871134057332
473-49-4,0.328675718035457,0.6713242819645435
117900-35-3,0.4623255169200672,0.5376744830799332
4460-32-6,0.3810566507390465,0.6189433492609536
2260-08-4,0.5404581758407491,0.4595418241592508
386-17-4,0.5167194952153913,0.48328050478460877
67-30-1,0.4658023128957875,0.5341976871042124
16423-68-0,0.5024123939265819,0.497587606073418
10397-75-8,0.5641576804959904,0.43584231950400953
59017-64-0,0.5379218281987814,0.4620781718012186
79770-24-4,0.513706879529878,0.4862931204701219
7246-21-1,0.6913843715680547,0.3086156284319445
96-84-4,0.6489420085952069,0.3510579914047932
59939-17-2,0.48572674977639535,0.5142732502236048
16034-77-8,0.6040384346729715,0.39596156532702903
22730-89-8,0.6062271860596291,0.3937728139403707
31112-62-6,0.5448241330209947,0.45517586697900525
440-58-4,0.47572194537127394,0.5242780546287262
66108-95-0,0.6781848055107395,0.3218151944892606
3115-05-7,0.5814110817756897,0.4185889182243106
111453-32-8,0.7495296414208502,0.25047035857915
19403-92-0,0.42427177469484595,0.5757282253051541
35453-19-1,0.6479593531825986,0.35204064681740116
37441-29-5,0.5297080332340075,0.47029196676599255
19774-82-4,0.40165384966689943,0.5983461503331006
3861-47-0,0.5852497381296355,0.4147502618703645
57808-65-8,0.4800069104853004,0.5199930895146995
577-91-3,0.4703431206458039,0.529656879354196
14689-57-7,0.06408852437057418,0.9359114756294266
17601-49-9,0.4992910108359424,0.5007089891640575
1746-25-4,0.3235341169868841,0.6764658830131155
29717-26-8,0.5045364728372822,0.49546352716271774
75-47-8,0.32325079391635403,0.6767492060836457
68439-50-9,0.7308129166760854,0.2691870833239144
9004-95-9,0.7967520585654393,0.20324794143456099
65-29-2,0.4482221654916007,0.5517778345083993
63869-27-2,0.10836324607645378,0.8916367539235469
3247-33-4,0.12177956059828157,0.8782204394017197
70682-61-0,0.7777005482219405,0.2222994517780592
3319-31-1,0.7583664873175174,0.2416335126824829
301-13-3,0.6955663454890763,0.30443365451092325
78-42-2,0.5540893000016782,0.4459106999983219
56706-10-6,0.5970084625825044,0.4029915374174957
160194-28-5,0.4442517471200104,0.5557482528799895
15458-87-4,0.3997578150439736,0.6002421849560272
105084-66-0,0.21063225682210696,0.7893677431778933
13080-06-3,0.5315330191104789,0.468466980889521
15180-47-9,0.3846054925475839,0.6153945074524163
35077-00-0,0.44453545130944777,0.555464548690552
63869-22-7,0.2058863906700218,0.7941136093299792
139-60-6,0.4540768434649893,0.5459231565350103
34206-40-1,0.57879971950722,0.4212002804927795
752-56-7,0.5901637750358459,0.4098362249641543
74758-25-1,0.304669176624485,0.6953308233755151
23505-41-1,0.06717607436032302,0.9328239256396766
154702-15-5,0.7402243063186467,0.25977569368135306
3857-80-5,0.382846419892444,0.617153580107556
3687-16-9,0.449759281255004,0.5502407187449957
141-94-6,0.41753500134861016,0.5824649986513898
68289-21-4,0.3471902945477255,0.6528097054522749
67762-53-2,0.6920167308251549,0.3079832691748445
4559-86-8,0.4644815353823083,0.5355184646176917
10254-57-6,0.24308180859267248,0.7569181914073276
53306-54-0,0.7359530843990603,0.2640469156009393
1941-30-6,0.4379860486651967,0.5620139513348033
682-01-9,0.6568989010127494,0.34310109898725055
486455-65-6,0.6839236751044417,0.3160763248955585
126-57-8,0.8749650070747913,0.12503499292520928
11138-60-6,0.856684318017765,0.1433156819822356
78-16-0,0.8146349791757734,0.1853650208242276
106-20-7,0.5313449851613234,0.4686550148386764
295800-70-3,0.607145259032169,0.3928547409678303
10143-60-9,0.6813582777129481,0.31864172228705284
22174-70-5,0.6795854705909791,0.32041452940902176
19074-24-9,0.9302255948925695,0.0697744051074311
122-62-3,0.9214631182263677,0.07853688177363186
103-24-2,0.9106083611658365,0.08939163883416361
103-23-1,0.8624463902754278,0.1375536097245725
2915-57-3,0.9021594702787374,0.09784052972126231
84731-70-4,0.8586458698644885,0.141354130135512
117-81-7,0.7890164949770484,0.21098350502295224
14858-73-2,0.9049723984420213,0.09502760155797874
3658-48-8,0.7007386602929062,0.29926133970709384
298-07-7,0.7209227455879933,0.27907725441200737
63449-80-9,0.5291333938010389,0.47086660619896137
7425-14-1,0.8780306651929062,0.12196933480709454
18268-70-7,0.859780350268146,0.14021964973185488
94-28-0,0.8871065339081557,0.11289346609184552
3282-85-7,0.4955071452615372,0.5044928547384628
7790-07-0,0.8194955955030583,0.18050440449694216
25724-60-1,0.8063025106630546,0.19369748933694556
10022-60-3,0.7961088660049966,0.20389113399500353
468-61-1,0.3070027290525407,0.6929972709474599
4551-59-1,0.34966819546727723,0.6503318045327231
57647-13-9,0.24403472993200032,0.7559652700680002
27591-69-1,0.3826714846575491,0.6173285153424503
589-32-2,0.33273417240155967,0.6672658275984406
60012-88-6,0.4462578831771075,0.5537421168228924
78-53-5,0.1675353706592276,0.8324646293407723
115-79-7,0.3377947175242252,0.662205282475774
122-31-6,0.5846667227759638,0.41533327722403635
78-10-4,0.6612813539290712,0.33871864607092855
17356-42-2,0.025975434869470272,0.97402456513053
3689-24-5,0.12775471436864222,0.8722452856313584
563-12-2,0.023653510707425676,0.9763464892925741
6926-73-4,0.05785161602675121,0.9421483839732488
78-07-9,0.597033590782878,0.4029664092171213
20395-17-9,0.09721318202019465,0.902786817979806
18300-10-2,0.052753997212309785,0.9472460027876901
2667-40-5,0.22791801099665784,0.7720819890033422
55134-13-9,0.6012310125514972,0.39876898744850225
33446-90-1,0.6840250043638304,0.31597499563616976
17980-47-1,0.6824141400443299,0.31758585995567057
27879-29-4,0.4546079758459921,0.5453920241540077
35435-21-3,0.7320392218847808,0.2679607781152197
55934-93-5,0.665858166416749,0.3341418335832514
52030-05-4,0.6439888867125291,0.35601111328747115
74051-80-2,0.449168714954231,0.5508312850457691
2224-33-1,0.522689609366635,0.47731039063336494
34036-80-1,0.4840773669739845,0.5159226330260153
6104-58-1,0.7476515160978717,0.2523484839021288
77-90-7,0.7926760171079535,0.20732398289204657
21327-31-1,0.2075943974245805,0.7924056025754196
5826-91-5,0.11199960457802943,0.8880003954219711
22787-59-3,0.1753868870452686,0.8246131129547317
22787-58-2,0.061492408243325365,0.9385075917566744
5675-57-0,0.27196923712506244,0.7280307628749382
3730-54-9,0.3093295556065572,0.6906704443934435
655-35-6,0.4799977294456124,0.5200022705543875
77-89-4,0.6993270714670579,0.3006729285329421
24748-23-0,0.4497055791267814,0.5502944208732189
70833-40-8,0.7757800886598385,0.224219911340162
14504-73-5,0.2951959027134404,0.7048040972865601
67239-04-7,0.35933041360150975,0.6406695863984901
2595-54-2,0.08390355484265631,0.9160964451573439
5137-55-3,0.45999962571715836,0.5400003742828411
1421-14-3,0.4690666115034516,0.5309333884965484
2031-67-6,0.6270629010440096,0.3729370989559898
64036-99-3,0.08028626900300448,0.9197137309969953
26523-78-4,0.6106921059639965,0.3893078940360036
