CASRN,Toxic_RF_ecfp6counts-0,Toxic_RF_ecfp6counts-1
23233-88-7,0.39979096979100354,0.6002090302089965
87-12-7,0.36532608688149926,0.6346739131185003
31810-89-6,0.5272585533297812,0.47274144667021856
60012-87-5,0.5865814668173623,0.4134185331826371
15435-29-7,0.5270164243889788,0.47298357561102117
629-03-8,0.5920927012919017,0.40790729870809916
488-41-5,0.6098973247331857,0.39010267526681436
84-59-3,0.5085148446418151,0.49148515535818477
26846-51-5,0.5059150984983692,0.4940849015016306
55916-20-6,0.5344545917993727,0.46554540820062695
1324-11-4,0.6513503471243549,0.34864965287564464
4228-97-1,0.08234759697730965,0.9176524030226897
41035-29-4,0.07256044916087528,0.9274395508391244
87-10-5,0.3101637617193535,0.6898362382806468
25327-89-3,0.6437200336250937,0.3562799663749055
21466-07-9,0.5591914309123928,0.44080856908760724
25637-99-4,0.47063116303948943,0.5293688369605105
25713-60-4,0.5914182023930505,0.4085817976069487
19186-97-1,0.3908554709807458,0.6091445290192542
63333-35-7,0.3259175921218119,0.6740824078781875
1522-92-5,0.352395533241959,0.6476044667580403
57729-86-9,0.445137236278277,0.554862763721723
118-79-6,0.21990893396964573,0.7800910660303544
25333-96-4,0.3769022717798332,0.6230977282201671
1689-99-2,0.3652692439522889,0.6347307560477112
3562-84-3,0.5421190046477518,0.4578809953522478
611-75-6,0.2874731373113557,0.7125268626886436
3296-90-0,0.7018107688246157,0.2981892311753845
13181-17-4,0.3764288616221421,0.6235711383778576
615-58-7,0.3477249690349371,0.6522750309650628
6609-53-6,0.04459061435011599,0.9554093856498844
53615-23-9,0.04727955064718219,0.9527204493528177
89427-28-1,0.09646467702692217,0.9035353229730781
89427-33-8,0.03720510695429512,0.9627948930457052
14689-56-6,0.05920404474034937,0.9407959552596507
3393-60-0,0.0347088044600406,0.9652911955399592
89427-29-2,0.04399128981095175,0.9560087101890481
15287-51-1,0.4719939057360896,0.5280060942639101
94847-66-2,0.2551960809063167,0.744803919093683
2034-22-2,0.20358669519724162,0.7964133048027584
52907-07-0,0.6132328647379711,0.3867671352620282
50585-41-6,0.4678428948562838,0.5321571051437162
3322-93-8,0.43568725163106015,0.56431274836894
21850-44-2,0.5910497096274632,0.40895029037253683
7682-32-8,0.062094131342912154,0.9379058686570878
89427-35-0,0.062188142299315824,0.9378118577006843
126-72-7,0.5006276257980053,0.4993723742019948
3194-55-6,0.4519359794222457,0.548064020577754
20566-35-2,0.6388981203787067,0.36110187962129364
2338-30-9,0.09785844704852964,0.9021415529514708
87-84-3,0.43357458257887616,0.5664254174211243
608-71-9,0.4576761639043143,0.5423238360956857
32588-76-4,0.7148645029331155,0.28513549706688396
32536-52-0,0.5238630557635566,0.4761369442364433
27858-07-7,0.6194929981785426,0.38050700182145686
61262-53-1,0.49380306074176433,0.5061969392582357
84852-53-9,0.6685602241724834,0.3314397758275164
13654-09-6,0.7708794895692184,0.2291205104307815
3674-13-3,0.39316255925245763,0.6068374407475423
78-75-1,0.29157864645044684,0.7084213535495542
89427-38-3,0.041558165439732134,0.9584418345602678
10474-14-3,0.2385718021489505,0.7614281978510499
300-76-5,0.16368014836771416,0.8363198516322865
2872-96-0,0.32100386273399084,0.6789961372660093
106-93-4,0.16834841442747175,0.8316515855725285
1947-58-6,0.4883185130313298,0.5116814869686701
96-13-9,0.33492386840223026,0.6650761315977707
96-12-8,0.1688926560556968,0.8311073439443053
18791-02-1,0.16598721619961543,0.8340127838003842
75-81-0,0.20232004276817717,0.7976799572318234
590-12-5,0.201822427986384,0.7981775720136164
2302-30-9,0.17417507319399583,0.8258249268060049
14689-59-9,0.04590784233348736,0.9540921576665128
79-27-6,0.3009205903135128,0.6990794096864867
63867-08-3,0.5485170565367877,0.4514829434632126
64047-47-8,0.3446945374355219,0.6553054625644774
63938-47-6,0.3457226709368386,0.654277329063161
613-53-6,0.3645195654853363,0.6354804345146639
115-17-3,0.23694740723543403,0.7630525927645659
75-25-2,0.12146152090298197,0.8785384790970198
42136-31-2,0.09839401464567618,0.9016059853543242
64050-72-2,0.16046663895413138,0.8395333610458685
42136-30-1,0.1549405456926484,0.845059454307352
26637-71-8,0.4701424632822221,0.529857536717778
69094-18-4,0.31351260273766834,0.6864873972623315
74-95-3,0.1804233866813937,0.8195766133186079
3252-43-5,0.1520674484704804,0.8479325515295203
598-91-4,0.10132476624309775,0.8986752337569031
124-48-1,0.13384557469847486,0.8661544253015276
25497-30-7,0.3606485872481025,0.6393514127518979
83447-96-5,0.4418021348855788,0.5581978651144215
473-49-4,0.34219511806689284,0.6578048819331062
117900-35-3,0.47674961965002405,0.5232503803499758
4460-32-6,0.3067528336823901,0.6932471663176104
2260-08-4,0.5018331083090204,0.49816689169097966
386-17-4,0.5526558534058532,0.4473441465941467
67-30-1,0.5360750066310563,0.4639249933689437
16423-68-0,0.49762164246486207,0.5023783575351382
10397-75-8,0.7524891255663569,0.2475108744336434
59017-64-0,0.7055955336281651,0.2944044663718349
79770-24-4,0.659192195186803,0.340807804813197
7246-21-1,0.6842070231424903,0.3157929768575095
96-84-4,0.570055974844713,0.42994402515528674
59939-17-2,0.6394578896722964,0.36054211032770356
16034-77-8,0.5438569065422674,0.4561430934577325
22730-89-8,0.6335469898592425,0.36645301014075754
31112-62-6,0.6484912728773963,0.3515087271226035
440-58-4,0.6981718011214997,0.301828198878501
66108-95-0,0.7540454548896807,0.24595454511031906
3115-05-7,0.5710211347533329,0.428978865246667
111453-32-8,0.7551439106468788,0.2448560893531213
19403-92-0,0.5782922068259726,0.42170779317402685
35453-19-1,0.8385069386869223,0.16149306131307792
37441-29-5,0.5760125209517893,0.42398747904821116
19774-82-4,0.34585865914192465,0.6541413408580746
3861-47-0,0.3670269466306885,0.6329730533693116
57808-65-8,0.5182075518163747,0.48179244818362515
577-91-3,0.3976162603635903,0.6023837396364096
14689-57-7,0.05015764744955104,0.9498423525504494
17601-49-9,0.43722287180664565,0.5627771281933542
1746-25-4,0.25170106964147626,0.7482989303585235
29717-26-8,0.567149903509915,0.43285009649008477
75-47-8,0.25441128019094716,0.7455887198090535
68439-50-9,0.6841224551169057,0.31587754488308556
9004-95-9,0.8643063114226528,0.13569368857734784
65-29-2,0.48003968410499964,0.5199603158950002
63869-27-2,0.25978864383791034,0.740211356162089
3247-33-4,0.12297694824046813,0.8770230517595322
70682-61-0,0.7714177205806425,0.22858227941935771
3319-31-1,0.8208405778938859,0.17915942210611416
301-13-3,0.817852665289717,0.1821473347102837
78-42-2,0.7494425704091304,0.25055742959086935
56706-10-6,0.533208517939315,0.46679148206068505
160194-28-5,0.3943990170033231,0.6056009829966763
15458-87-4,0.4663506625490107,0.5336493374509895
105084-66-0,0.2925138376131952,0.707486162386805
13080-06-3,0.5837974812620009,0.4162025187379987
15180-47-9,0.46395081436520796,0.5360491856347922
35077-00-0,0.6260484132279969,0.3739515867720029
63869-22-7,0.18593240208764986,0.8140675979123501
139-60-6,0.3265302219105841,0.6734697780894155
34206-40-1,0.7037790359344125,0.29622096406558857
752-56-7,0.6860826155326155,0.31391738446738454
74758-25-1,0.2874603623477025,0.712539637652297
23505-41-1,0.06453471669705686,0.9354652833029433
154702-15-5,0.7460527220457558,0.2539472779542439
3857-80-5,0.3096149049772465,0.690385095022754
3687-16-9,0.25217018464982,0.7478298153501799
141-94-6,0.48512964805165987,0.5148703519483401
68289-21-4,0.40510782398429457,0.5948921760157053
67762-53-2,0.7750464442399231,0.22495355576007614
4559-86-8,0.46959709921224574,0.5304029007877542
10254-57-6,0.4057779597086916,0.5942220402913079
53306-54-0,0.8497428359566126,0.15025716404338704
1941-30-6,0.5136246353717471,0.48637536462825326
682-01-9,0.6626981830828271,0.33730181691717204
486455-65-6,0.5729717486571719,0.42702825134282824
126-57-8,0.9864096410287903,0.013590358971210035
11138-60-6,0.9631851675687673,0.0368148324312327
78-16-0,0.8959177529808929,0.10408224701910733
106-20-7,0.4545391789502903,0.5454608210497099
295800-70-3,0.5323665417323992,0.46763345826760094
10143-60-9,0.7827197345800982,0.21728026541990206
22174-70-5,0.7602386601012574,0.23976133989874263
19074-24-9,0.9921080032832663,0.007891996716733556
122-62-3,0.9917980871089692,0.008201912891030538
103-24-2,0.9790467770964909,0.020953222903508827
103-23-1,0.9539534482212989,0.04604655177870048
2915-57-3,0.9612681417719302,0.0387318582280704
84731-70-4,0.8001283560773595,0.19987164392264023
117-81-7,0.920705343555653,0.07929465644434679
14858-73-2,0.8877058714417745,0.11229412855822574
3658-48-8,0.8308167205651347,0.16918327943486597
298-07-7,0.8342972279112543,0.16570277208874484
63449-80-9,0.7157627297370555,0.28423727026294454
7425-14-1,0.778059450115538,0.2219405498844628
18268-70-7,0.9402381731840511,0.05976182681594874
94-28-0,0.9382239406733961,0.061776059326604515
3282-85-7,0.4952295618248476,0.5047704381751524
7790-07-0,0.90514740382118,0.09485259617882034
25724-60-1,0.8962890742939367,0.10371092570606409
10022-60-3,0.8945886016975799,0.10541139830242002
468-61-1,0.32956615666737005,0.6704338433326279
4551-59-1,0.4151888016449781,0.5848111983550215
57647-13-9,0.1757414972082155,0.8242585027917843
27591-69-1,0.34818139743585996,0.6518186025641406
589-32-2,0.3877817069241961,0.6122182930758034
60012-88-6,0.5099342525919041,0.4900657474080959
78-53-5,0.1199742490935825,0.8800257509064168
115-79-7,0.5234069486069485,0.47659305139305164
122-31-6,0.6207631133269309,0.3792368866730693
78-10-4,0.6733599753696228,0.3266400246303783
17356-42-2,0.07770648180643898,0.9222935181935616
3689-24-5,0.21557234903798445,0.7844276509620153
563-12-2,0.04416101295259915,0.955838987047401
6926-73-4,0.08616308678206029,0.913836913217939
78-07-9,0.6295479037285777,0.3704520962714218
20395-17-9,0.16454220118457275,0.8354577988154274
18300-10-2,0.12281564352857866,0.8771843564714215
2667-40-5,0.2196103673022806,0.7803896326977195
55134-13-9,0.6156558559087971,0.38434414409120304
33446-90-1,0.7828208396731131,0.21717916032688664
17980-47-1,0.7694092804140208,0.23059071958598013
27879-29-4,0.3828941099857888,0.617105890014211
35435-21-3,0.7039788448240514,0.2960211551759499
55934-93-5,0.6605880544705796,0.33941194552942117
52030-05-4,0.6475607530596776,0.3524392469403213
74051-80-2,0.3577096244582156,0.6422903755417843
2224-33-1,0.5648776541011412,0.4351223458988586
34036-80-1,0.524219444841984,0.4757805551580162
6104-58-1,0.8133592592592588,0.18664074074074075
77-90-7,0.7227494755898024,0.27725052441019693
21327-31-1,0.34597198048478683,0.6540280195152115
5826-91-5,0.11114452529530265,0.8888554747046971
22787-59-3,0.25963406123050253,0.7403659387694967
22787-58-2,0.0413582697935441,0.9586417302064559
5675-57-0,0.19407925294934708,0.8059207470506526
3730-54-9,0.36921016607376556,0.6307898339262332
655-35-6,0.4076587912317016,0.5923412087682987
77-89-4,0.7483397227023776,0.25166027729762114
24748-23-0,0.4525233317405936,0.5474766682594062
70833-40-8,0.7344265269808835,0.26557347301911616
14504-73-5,0.25206803251215004,0.7479319674878496
67239-04-7,0.41684240722618604,0.5831575927738133
2595-54-2,0.1586157617437029,0.8413842382562965
5137-55-3,0.5481047184002217,0.4518952815997789
1421-14-3,0.502652137728686,0.497347862271314
2031-67-6,0.5302362429214982,0.46976375707850154
64036-99-3,0.08632018507131269,0.9136798149286876
26523-78-4,0.6362624037621889,0.3637375962378111
68814-95-9,0.5455881847943077,0.45441181520569196
538-23-8,0.9425964354335727,0.057403564566427236
68130-53-0,0.9533454975479967,0.04665450245200347
2528-38-3,0.3779624126737425,0.6220375873262561
5343-44-2,0.8428092520588474,0.15719074794115215
5831-80-1,0.7997795789340483,0.20022042106595161
51249-05-9,0.3285775536168293,0.6714224463831693
102-85-2,0.6171971868087196,0.3828028131912809
126-73-8,0.5276284368767665,0.4723715631232332
998-40-3,0.541010308088122,0.4589896919118777
115-78-6,0.33571541866785065,0.6642845813321496
33060-84-3,0.2970287621153954,0.7029712378846049
150-50-5,0.4200888561138001,0.5799111438861994
78-48-8,0.3120926906874694,0.6879073093125291
60-01-5,0.8187963958559044,0.18120360414409664
74125-01-2,0.11151864713628576,0.8884813528637144
1496-94-2,0.4352531561071869,0.5647468438928127
21270-07-5,0.2799721924038062,0.7200278075961932
29806-73-3,0.9046931764855,0.09530682351449996
7346-61-4,0.6153279832951598,0.3846720167048398
59130-69-7,0.865341568313544,0.13465843168645628
63907-12-0,0.7524125899026978,0.2475874100973015
1114-71-2,0.4271373921263314,0.5728626078736689
64058-98-6,0.324515098255469,0.6754849017445317
64059-01-4,0.3484183224564931,0.6515816775435063
13194-48-4,0.07843369385722401,0.9215663061427756
2511-15-1,0.26319237423129516,0.7368076257687044
90220-15-8,0.08144927827955327,0.9185507217204479
759-94-4,0.34574327891105205,0.6542567210889476
23184-66-9,0.3656476993889731,0.6343523006110263
51218-49-6,0.30960724625024477,0.6903927537497543
109965-82-4,0.29492759837371524,0.7050724016262848
20954-13-6,0.429551489469137,0.5704485105308633
102579-43-1,0.5228940771465279,0.4771059228534719
168152-77-0,0.15268448897980869,0.8473155110201913
168152-89-4,0.10351647207568258,0.8964835279243174
92953-10-1,0.3390766488004981,0.6609233511995016
17088-72-1,0.41273196217413805,0.5872680378258621
60763-41-9,0.6749122372207546,0.32508776277924534
35850-79-4,0.5692945595760358,0.43070544042396464
3309-68-0,0.03798480906070067,0.9620151909392997
18109-81-4,0.3242760672338463,0.675723932766153
52736-14-8,0.6098103451625076,0.39018965483749235
3862-08-6,0.49409427725281374,0.5059057227471864
139-45-7,0.7261329687193997,0.2738670312805997
38727-55-8,0.6755666102244268,0.3244333897755721
80472-88-4,0.314678253826783,0.6853217461732165
51356-13-9,0.04878844573130932,0.9512115542686905
33210-44-5,0.09795376611608744,0.9020462338839129
33210-40-1,0.11261384152574033,0.8873861584742604
33210-43-4,0.13808043351161337,0.8619195664883872
1912-26-1,0.16868393546046484,0.8313160645395355
7779-27-3,0.36335136516121125,0.6366486348387894
78816-48-5,0.45638466212436823,0.5436153378756318
2941-55-1,0.3324028384637949,0.6675971615362051
4740-11-8,0.18983371125640744,0.8101662887435923
125-99-5,0.30274514869638697,0.6972548513036123
5957-17-5,0.5521298496483953,0.44787015035160477
2001-81-2,0.43420452801589016,0.56579547198411
56-37-1,0.32194963674644567,0.6780503632535543
9004-57-3,0.6445929310441311,0.3554070689558695
7789-92-6,0.6027133154034007,0.39728668459659844
10140-99-5,0.440618201962853,0.5593817980371468
122-51-0,0.3841095266041108,0.6158904733958885
63869-26-1,0.1692507808325663,0.8307492191674343
2425-25-4,0.12820400560829256,0.8717959943917072
5823-25-6,0.14051138398786545,0.8594886160121353
919-54-0,0.046109042752832674,0.9538909572471681
1067-47-6,0.6727789099798923,0.3272210900201064
919-30-2,0.635183985572646,0.36481601442735373
76524-94-2,0.585965207135842,0.41403479286415773
2602-34-8,0.5344417816587124,0.4655582183412877
14814-09-6,0.633713540865389,0.3662864591346092
34708-08-2,0.6134179683206353,0.3865820316793637
15129-36-9,0.3974991600937355,0.6025008399062649
15267-95-5,0.35138613028973004,0.6486138697102708
122-52-1,0.504196051534677,0.495803948465323
78-40-0,0.11632567983113973,0.8836743201688604
78-38-6,0.11717176502206746,0.8828282349779327
126-75-0,0.03672417432425175,0.9632758256757482
298-03-3,0.06956833781570468,0.9304316621842954
298-04-4,0.030110490641014388,0.9698895093589863
298-02-2,0.018869930803402515,0.9811300691965975
1186-09-0,0.02845033680103211,0.9715496631989675
2524-09-6,0.017763232016537456,0.9822367679834627
2497-07-6,0.043263311218065384,0.9567366887819349
2588-03-6,0.047913111239648656,0.9520868887603511
2496-91-5,0.15985138321716688,0.8401486167828336
4891-54-7,0.10085924992232768,0.8991407500776722
2497-06-5,0.09423605240583928,0.905763947594161
2511-11-7,0.12112618962952625,0.8788738103704735
2404-78-6,0.12522764871418182,0.8747723512858178
688-62-0,0.42346981104029163,0.5765301889597091
1486-39-1,0.22229569086245707,0.7777043091375422
87310-56-3,0.3642434980296832,0.6357565019703155
55881-07-7,0.7925562890812897,0.2074437109187107
2229-55-2,0.7264003543813143,0.27359964561868555
79451-10-8,0.20206409172344048,0.7979359082765596
66996-10-9,0.13765523084140793,0.8623447691585917
30129-29-4,0.47343727584536427,0.5265627241546356
30129-30-7,0.4239754497614891,0.5760245502385112
55297-95-5,0.5303662578162578,0.4696337421837423
3004-70-4,0.31500963881206456,0.6849903611879355
53521-41-8,0.7761214156147548,0.22387858438524483
139-88-8,0.5045393584964206,0.4954606415035793
33820-53-0,0.5900666999639839,0.4099333000360163
5892-41-1,0.4862312350233527,0.5137687649766474
1912-25-0,0.2828064860663862,0.7171935139336137
2275-18-5,0.05932068707057156,0.9406793129294283
87130-20-9,0.4750781829123453,0.5249218170876546
63873-23-4,0.06299389377094616,0.9370061062290541
78-52-4,0.06660553215522776,0.9333944678447724
63873-21-2,0.08310731732086812,0.9168926826791323
68649-11-6,0.8633645421224729,0.1366354578775279
63990-57-8,0.5489637670206649,0.4510362329793353
26818-53-1,0.3922481262194558,0.6077518737805436
27891-14-1,0.457614346142209,0.5423856538577907
36756-79-3,0.29709472767180867,0.702905272328191
19072-57-2,0.5273110817035176,0.4726889182964827
27591-74-8,0.2644123089099869,0.7355876910900124
66734-13-2,0.827680174114384,0.17231982588561534
5593-20-4,0.9524620066982767,0.04753799330172329
5534-09-8,0.8878216111374004,0.11217838886259934
27778-88-7,0.10636052321269712,0.8936394767873033
27778-86-5,0.07902976593596797,0.9209702340640318
27778-84-3,0.1174241420859842,0.8825758579140163
27778-80-9,0.0749599092976931,0.9250400907023076
27778-82-1,0.0759661307646602,0.9240338692353403
27684-92-0,0.05685877069267165,0.9431412293073284
26259-45-0,0.24150438673865088,0.7584956132613488
40618-52-8,0.23376562286440275,0.766234377135597
69-05-6,0.5191156775489041,0.4808843224510959
9050-04-8,0.20792344501330573,0.7920765549866939
60735-64-0,0.6304791049743095,0.3695208950256901
24151-93-7,0.2809937189925954,0.7190062810074043
2109-64-0,0.4294783691626687,0.5705216308373312
22457-23-4,0.33794539791227163,0.6620546020877279
541-85-5,0.6811792355387459,0.31882076446125357
14355-07-8,0.21774227114062888,0.7822577288593714
10032-15-2,0.816960202971795,0.1830397970282047
14355-12-5,0.15788524732523185,0.842114752674768
10024-78-9,0.5188404932281622,0.48115950677183794
32838-28-1,0.6838836984457364,0.31611630155426323
57-33-0,0.17097932113130748,0.8290206788686919
71-73-8,0.24423525463299833,0.7557647453670018
871-22-7,0.7771816398111435,0.22281836018885648
105-82-8,0.7831562958396386,0.21684370416036142
29122-60-9,0.2367026789115023,0.763297321088497
186817-80-1,0.7993322696650705,0.20066773033492977
7452-79-1,0.6246759141665943,0.3753240858334061
7286-69-3,0.316126711699581,0.6838732883004189
98886-44-3,0.245802561732748,0.7541974382672519
125-64-4,0.2900888739298883,0.709911126070112
82834-16-0,0.7231462239680769,0.27685377603192257
730-07-4,0.40907146784802306,0.5909285321519766
33499-11-5,0.32805736995489293,0.6719426300451061
110429-62-4,0.4736264670228293,0.5263735329771712
67050-64-0,0.17725950294889137,0.822740497051109
54-05-7,0.25458668792134276,0.7454133120786574
1094-08-2,0.29151276723817116,0.7084872327618289
30238-41-6,0.41854712703249514,0.5814528729675044
64241-34-5,0.4366941571265145,0.5633058428734853
33499-13-7,0.6302940726033426,0.36970592739665753
63867-07-2,0.4295926015409472,0.5704073984590525
15299-99-7,0.3387211866346908,0.6612788133653082
4630-95-9,0.3921953142960193,0.6078046857039807
66968-39-6,0.2744785442221388,0.7255214557778609
105-57-7,0.6792303712470384,0.32076962875296067
137658-79-8,0.6440247014713678,0.35597529852863163
7492-66-2,0.8024558744994561,0.1975441255005439
87820-88-0,0.547655498644068,0.452344501355932
103890-78-4,0.5460736349689163,0.4539263650310836
52-60-8,0.07082433561570725,0.9291756643842928
50765-73-6,0.17217065274222693,0.8278293472577734
50765-89-4,0.06392509185840826,0.9360749081415914
15763-48-1,0.4891508293445463,0.5108491706554537
22609-73-0,0.5360311063507864,0.4639688936492136
88045-99-2,0.7532156199608204,0.24678438003917863
56358-09-9,0.5064950099851419,0.49350499001485804
17702-79-3,0.19129893695195668,0.8087010630480431
41611-76-1,0.7595213031521859,0.2404786968478143
137-58-6,0.3007268490518254,0.699273150948174
333-40-4,0.12089298743464984,0.8791070125653505
31775-20-9,0.9010812927812929,0.09891870721870724
105779-78-0,0.36412077779274055,0.6358792222072595
23191-75-5,0.4157272450316568,0.5842727549683427
88045-98-1,0.662223904695746,0.33777609530425357
243973-20-8,0.56990387383589,0.43009612616411014
57470-78-7,0.522639801775402,0.47736019822459774
68227-46-3,0.4977995919113564,0.5022004080886436
5221-49-8,0.08085569256564556,0.9191443074343545
72542-60-0,0.2867661306813271,0.7132338693186725
79438-83-8,0.24418376945116063,0.7558162305488392
21409-78-9,0.2467521032881792,0.7532478967118205
40374-14-9,0.15130610680742262,0.8486938931925777
29232-93-7,0.11625325085756705,0.8837467491424331
13171-21-6,0.2666674689312829,0.7333325310687168
73521-00-3,0.1663423594923596,0.8336576405076406
73512-92-2,0.07544579864579866,0.9245542013542015
73520-99-7,0.16018265993265993,0.83981734006734
73512-93-3,0.15361917341917353,0.8463808265808265
73512-94-4,0.1690821844821846,0.830917815517815
128606-48-4,0.13933572442996653,0.8606642755700338
57846-34-1,0.09152924953586711,0.9084707504641332
74639-40-0,0.5405082183086707,0.4594917816913291
1716-09-2,0.04048564756215655,0.9595143524378434
14143-09-0,0.15780301323010687,0.8421969867698929
10097-26-4,0.8455006859213087,0.15449931407869205
688-84-6,0.8330003004875461,0.1669996995124538
105-16-8,0.545752726909871,0.4542472730901296
1918-08-7,0.5479281820682611,0.4520718179317389
14663-66-2,0.20197297383845372,0.7980270261615457
14663-67-3,0.12415288278972503,0.8758471172102757
10137-90-3,0.6599069085435489,0.3400930914564508
78193-97-2,0.460203877391958,0.5397961226080418
