CASRN,Toxic_RF_maccs-0,Toxic_RF_maccs-1
23233-88-7,0.547060377319678,0.4529396226803217
87-12-7,0.37896836591623023,0.6210316340837677
31810-89-6,0.7233073023299729,0.2766926976700274
60012-87-5,0.512168646646489,0.487831353353511
15435-29-7,0.2590376074466914,0.7409623925533071
629-03-8,0.4507319582111285,0.5492680417888719
488-41-5,0.5908525092111668,0.40914749078883283
84-59-3,0.5289633550565149,0.47103664494348496
26846-51-5,0.5479782167404538,0.45202178325954606
55916-20-6,0.3470201446614449,0.6529798553385546
1324-11-4,0.5412092092183577,0.45879079078164287
4228-97-1,0.017807945522834785,0.9821920544771685
41035-29-4,0.019294338880876463,0.9807056611191278
87-10-5,0.39899753995335163,0.6010024600466477
25327-89-3,0.6718031452223626,0.32819685477763544
21466-07-9,0.5722230828354133,0.4277769171645867
25637-99-4,0.3946905044017378,0.6053094955982614
25713-60-4,0.5450518639864633,0.45494813601353684
19186-97-1,0.18041223962511307,0.8195877603748877
63333-35-7,0.16184480028620177,0.8381551997137979
1522-92-5,0.233716088401983,0.7662839115980162
57729-86-9,0.2490198357128194,0.7509801642871792
118-79-6,0.19540909082751545,0.8045909091724832
25333-96-4,0.17980068036185487,0.8201993196381436
1689-99-2,0.3265812737352224,0.6734187262647767
3562-84-3,0.48407304719594185,0.5159269528040583
611-75-6,0.19116225971449155,0.8088377402855083
3296-90-0,0.4834393534824593,0.516560646517541
13181-17-4,0.43760130846245565,0.5623986915375448
615-58-7,0.20086859311447203,0.7991314068855271
6609-53-6,0.009121884407098239,0.9908781155929048
53615-23-9,0.02034736180528166,0.979652638194724
89427-28-1,0.01674131150554336,0.9832586884944623
89427-33-8,0.019294338880876463,0.9807056611191278
14689-56-6,0.019294338880876463,0.9807056611191278
3393-60-0,0.0169548480558376,0.983045151944167
89427-29-2,0.01727209513982712,0.9827279048601777
15287-51-1,0.33298717276243767,0.6670128272375623
94847-66-2,0.23030926613028643,0.7696907338697125
2034-22-2,0.05760540498397614,0.9423945950160248
52907-07-0,0.7849279537935732,0.21507204620642661
50585-41-6,0.1827871591300396,0.817212840869961
3322-93-8,0.5065206333300185,0.4934793666699815
21850-44-2,0.6779738311708857,0.3220261688291136
7682-32-8,0.01674131150554336,0.9832586884944623
89427-35-0,0.019901327250162238,0.9800986727498426
126-72-7,0.2788518739931319,0.7211481260068672
3194-55-6,0.4540055289908266,0.5459944710091732
20566-35-2,0.5299477743892298,0.4700522256107699
2338-30-9,0.014343280871202705,0.9856567191288003
87-84-3,0.38732220360395203,0.6126777963960475
608-71-9,0.2142417196449221,0.7857582803550773
32588-76-4,0.7858010459451469,0.21419895405485287
32536-52-0,0.6303753358160218,0.36962466418397705
27858-07-7,0.7149750531332191,0.28502494686677887
61262-53-1,0.5826584311386598,0.4173415688613397
84852-53-9,0.6925033338728612,0.30749666612713844
13654-09-6,0.7245173751418205,0.2754826248581782
3674-13-3,0.3452469484370183,0.6547530515629801
78-75-1,0.2661571976040364,0.7338428023959632
89427-38-3,0.015619708423105817,0.9843802915768992
10474-14-3,0.2768089176972408,0.7231910823027591
300-76-5,0.10999599500671504,0.8900040049932852
2872-96-0,0.2239660408885469,0.7760339591114531
106-93-4,0.29959897485640824,0.7004010251435913
1947-58-6,0.2533032139993554,0.746696786000644
96-13-9,0.3717274524537582,0.6282725475462416
96-12-8,0.1811341943254256,0.8188658056745755
18791-02-1,0.14263395940521753,0.857366040594783
75-81-0,0.2807664853403038,0.719233514659695
590-12-5,0.18909091624275676,0.8109090837572439
2302-30-9,0.09019346189491542,0.909806538105086
14689-59-9,0.017933621982672007,0.9820663780173312
79-27-6,0.236974219138745,0.7630257808612538
63867-08-3,0.4854383729595728,0.5145616270404267
64047-47-8,0.4001533631671306,0.5998466368328685
63938-47-6,0.4976997550166591,0.502300244983341
613-53-6,0.31801088574428077,0.6819891142557186
115-17-3,0.24488368624633122,0.7551163137536689
75-25-2,0.2301908950305509,0.7698091049694498
42136-31-2,0.038737558167827243,0.9612624418321725
64050-72-2,0.11185459417086686,0.8881454058291335
42136-30-1,0.12736576353534496,0.8726342364646519
26637-71-8,0.6292523759827714,0.37074762401722805
69094-18-4,0.25778111227235406,0.7422188877276458
74-95-3,0.22023241180021091,0.7797675881997878
3252-43-5,0.19102911753584226,0.8089708824641575
598-91-4,0.11721998418176023,0.8827800158182401
124-48-1,0.22504962784998028,0.7749503721500205
25497-30-7,0.48789367566179687,0.512106324338203
83447-96-5,0.4930518790288873,0.5069481209711126
473-49-4,0.22766081096805604,0.7723391890319437
117900-35-3,0.3458978403542513,0.6541021596457484
4460-32-6,0.2421072075380549,0.7578927924619443
2260-08-4,0.3982310318563886,0.601768968143611
386-17-4,0.5466751794359097,0.4533248205640902
