CASRN,Toxic_RF_mordred-0,Toxic_RF_mordred-1
23233-88-7,0.46068888888888865,0.5393111111111113
87-12-7,0.3745158730158732,0.6254841269841266
31810-89-6,0.7003206349206351,0.2996793650793649
60012-87-5,0.3567904761904764,0.6432095238095237
15435-29-7,0.30363015873015875,0.6963698412698411
629-03-8,0.6113238095238092,0.3886761904761904
488-41-5,0.43053174603174604,0.5694682539682534
84-59-3,0.5215190476190477,0.4784809523809523
26846-51-5,0.5412190476190478,0.45878095238095207
55916-20-6,0.5644317460317462,0.4355682539682541
1324-11-4,0.6990047619047612,0.30099523809523787
4228-97-1,0.02591428571428572,0.9740857142857144
41035-29-4,0.008277777777777778,0.9917222222222221
87-10-5,0.34269841269841245,0.6573015873015872
25327-89-3,0.6780682539682535,0.3219317460317458
21466-07-9,0.6211571428571431,0.37884285714285737
25637-99-4,0.6460507936507932,0.35394920634920635
25713-60-4,0.6379825396825403,0.3620174603174599
19186-97-1,0.5108158730158725,0.48918412698412755
63333-35-7,0.24601904761904742,0.7539809523809525
1522-92-5,0.22846031746031756,0.7715396825396827
57729-86-9,0.25878253968253945,0.7412174603174602
118-79-6,0.23455238095238098,0.765447619047619
25333-96-4,0.22964126984127006,0.7703587301587308
1689-99-2,0.2755650793650795,0.7244349206349207
3562-84-3,0.5082523809523806,0.4917476190476193
611-75-6,0.2670809523809523,0.7329190476190476
3296-90-0,0.4024936507936509,0.597506349206349
13181-17-4,0.5239269841269842,0.4760730158730159
615-58-7,0.18586984126984107,0.8141301587301585
6609-53-6,0.00406031746031746,0.9959396825396825
53615-23-9,0.003488888888888889,0.9965111111111109
89427-28-1,0.059803174603174615,0.9401968253968253
89427-33-8,0.01594444444444444,0.9840555555555555
14689-56-6,0.004926984126984127,0.9950730158730159
3393-60-0,0.007844444444444446,0.9921555555555556
89427-29-2,0.020926984126984127,0.9790730158730158
15287-51-1,0.268088888888889,0.7319111111111112
94847-66-2,0.28357460317460315,0.7164253968253963
2034-22-2,0.12487301587301593,0.8751269841269842
52907-07-0,0.6054047619047618,0.39459523809523794
50585-41-6,0.45864126984127024,0.5413587301587298
3322-93-8,0.5493809523809525,0.4506190476190477
21850-44-2,0.690468253968254,0.30953174603174566
7682-32-8,0.008295238095238093,0.9917047619047618
89427-35-0,0.01584285714285714,0.984157142857143
126-72-7,0.4558555555555556,0.5441444444444444
3194-55-6,0.6269492063492059,0.37305079365079397
20566-35-2,0.6217603174603175,0.3782396825396825
2338-30-9,0.06664126984126986,0.93335873015873
87-84-3,0.4604285714285716,0.5395714285714286
608-71-9,0.3720380952380953,0.6279619047619048
32588-76-4,0.7086888888888891,0.2913111111111111
32536-52-0,0.5521206349206349,0.447879365079365
27858-07-7,0.7638476190476191,0.23615238095238097
61262-53-1,0.6204047619047617,0.379595238095238
84852-53-9,0.8294841269841272,0.170515873015873
13654-09-6,0.7174206349206351,0.28257936507936515
3674-13-3,0.12200317460317457,0.8779968253968253
78-75-1,0.15765396825396832,0.8423460317460317
89427-38-3,0.039517460317460326,0.9604825396825395
10474-14-3,0.21819047619047618,0.7818095238095231
300-76-5,0.10680793650793652,0.8931920634920629
2872-96-0,0.1389111111111111,0.8610888888888888
106-93-4,0.09300158730158735,0.9069984126984125
1947-58-6,0.1314222222222222,0.8685777777777774
96-13-9,0.1307111111111111,0.8692888888888892
96-12-8,0.08326190476190483,0.9167380952380956
18791-02-1,0.10640158730158737,0.8935984126984129
75-81-0,0.12176190476190477,0.8782380952380949
590-12-5,0.09200793650793654,0.9079920634920633
2302-30-9,0.13013650793650797,0.8698634920634915
14689-59-9,0.006125396825396823,0.9938746031746032
79-27-6,0.19325238095238081,0.8067476190476195
63867-08-3,0.6218555555555552,0.3781444444444444
64047-47-8,0.45013650793650756,0.5498634920634927
63938-47-6,0.41826825396825396,0.5817317460317462
613-53-6,0.4409761904761903,0.5590238095238095
115-17-3,0.2028634920634921,0.7971365079365078
75-25-2,0.06787936507936507,0.9321206349206355
42136-31-2,0.10291904761904759,0.8970809523809529
64050-72-2,0.13253650793650776,0.8674634920634922
42136-30-1,0.14172857142857134,0.8582714285714286
26637-71-8,0.6031206349206345,0.39687936507936517
69094-18-4,0.3289714285714285,0.671028571428571
74-95-3,0.183674603174603,0.8163253968253958
3252-43-5,0.0792634920634921,0.9207365079365075
598-91-4,0.2064666666666667,0.7935333333333334
124-48-1,0.09290317460317467,0.9070968253968249
25497-30-7,0.6158063492063491,0.38419365079365075
83447-96-5,0.6350507936507939,0.3649492063492066
473-49-4,0.2885761904761904,0.7114238095238099
117900-35-3,0.41738095238095246,0.5826190476190473
4460-32-6,0.34176666666666666,0.6582333333333329
2260-08-4,0.588647619047619,0.41135238095238097
386-17-4,0.5735809523809523,0.42641904761904764
67-30-1,0.5770285714285719,0.4229714285714284
16423-68-0,0.7315952380952376,0.2684047619047621
10397-75-8,0.9035015873015873,0.09649841269841274
59017-64-0,0.9052380952380951,0.0947619047619048
79770-24-4,0.8142523809523814,0.18574761904761888
7246-21-1,0.6568603174603175,0.3431396825396826
96-84-4,0.5389999999999994,0.46100000000000035
59939-17-2,0.6257079365079367,0.3742920634920634
16034-77-8,0.7090587301587294,0.2909412698412696
22730-89-8,0.7077968253968249,0.29220317460317446
31112-62-6,0.8622174603174604,0.13778253968253967
440-58-4,0.8009587301587299,0.1990412698412698
66108-95-0,0.8528777777777773,0.1471222222222222
3115-05-7,0.7213841269841267,0.27861587301587315
111453-32-8,0.8415174603174601,0.1584825396825396
19403-92-0,0.32349047619047594,0.6765095238095233
35453-19-1,0.8042206349206346,0.19577936507936514
37441-29-5,0.6093984126984126,0.3906015873015873
19774-82-4,0.4609920634920632,0.539007936507937
3861-47-0,0.3737142857142857,0.6262857142857141
57808-65-8,0.618639682539682,0.3813603174603173
577-91-3,0.4554888888888889,0.5445111111111111
14689-57-7,0.05347777777777777,0.9465222222222224
17601-49-9,0.45349523809523823,0.5465047619047622
1746-25-4,0.21599523809523793,0.784004761904762
29717-26-8,0.5716412698412694,0.42835873015873016
75-47-8,0.2091746031746033,0.7908253968253974
68439-50-9,0.7370412698412693,0.26295873015872995
9004-95-9,0.8435190476190475,0.15648095238095228
65-29-2,0.4272412698412702,0.5727587301587297
63869-27-2,0.41564285714285704,0.5843571428571427
3247-33-4,0.30518730158730145,0.6948126984126985
70682-61-0,0.7286682539682536,0.27133174603174587
3319-31-1,0.8929809523809528,0.10701904761904762
301-13-3,0.9473349206349204,0.052665079365079366
78-42-2,0.8230095238095239,0.17699047619047617
56706-10-6,0.6425634920634917,0.35743650793650833
160194-28-5,0.6737952380952382,0.32620476190476205
15458-87-4,0.4039015873015872,0.5960984126984131
105084-66-0,0.24110793650793638,0.7588920634920635
13080-06-3,0.6289111111111113,0.37108888888888886
15180-47-9,0.44701428571428553,0.5529857142857143
35077-00-0,0.6791857142857144,0.32081428571428594
63869-22-7,0.3752095238095241,0.6247904761904765
139-60-6,0.3148984126984127,0.6851015873015873
34206-40-1,0.6626412698412695,0.3373587301587301
752-56-7,0.5325206349206347,0.46747936507936544
74758-25-1,0.2310460317460316,0.768953968253968
23505-41-1,0.17642539682539674,0.8235746031746027
154702-15-5,0.5959539682539687,0.4040460317460316
3857-80-5,0.14647301587301578,0.8535269841269844
3687-16-9,0.10675873015873018,0.8932412698412696
141-94-6,0.2104968253968253,0.789503174603174
68289-21-4,0.3070873015873016,0.6929126984126982
67762-53-2,0.8005047619047615,0.1994952380952382
4559-86-8,0.4552761904761906,0.5447238095238097
10254-57-6,0.41859206349206357,0.581407936507937
53306-54-0,0.9740619047619048,0.025938095238095236
1941-30-6,0.32928571428571446,0.6707142857142857
682-01-9,0.7686,0.23140000000000005
486455-65-6,0.7475587301587305,0.2524412698412698
126-57-8,0.9703999999999999,0.029599999999999998
11138-60-6,0.9596587301587298,0.04034126984126985
78-16-0,0.9383841269841269,0.06161587301587303
106-20-7,0.3707857142857144,0.6292142857142858
295800-70-3,0.5914238095238095,0.40857619047619026
10143-60-9,0.8349317460317461,0.16506825396825384
22174-70-5,0.9414174603174609,0.05858253968253966
19074-24-9,0.9931682539682538,0.006831746031746031
122-62-3,0.9975682539682539,0.002431746031746032
103-24-2,0.9959920634920635,0.004007936507936508
103-23-1,0.9961444444444445,0.0038555555555555556
2915-57-3,0.9909158730158729,0.009084126984126983
84731-70-4,0.962620634920635,0.03737936507936509
117-81-7,0.9711174603174606,0.028882539682539687
14858-73-2,0.9564142857142859,0.0435857142857143
3658-48-8,0.9104730158730155,0.08952698412698419
298-07-7,0.7655047619047618,0.2344952380952381
63449-80-9,0.5920888888888888,0.40791111111111106
7425-14-1,0.9893603174603175,0.010639682539682541
18268-70-7,0.9246888888888882,0.07531111111111118
94-28-0,0.9701539682539682,0.029846031746031745
3282-85-7,0.6121825396825393,0.38781746031746045
7790-07-0,0.9583095238095237,0.041690476190476194
25724-60-1,0.9475111111111111,0.0524888888888889
10022-60-3,0.9814603174603176,0.01853968253968254
468-61-1,0.22355079365079358,0.7764492063492067
4551-59-1,0.300131746031746,0.6998682539682538
57647-13-9,0.192947619047619,0.807052380952381
27591-69-1,0.2268698412698414,0.7731301587301592
589-32-2,0.3221571428571431,0.6778428571428572
60012-88-6,0.5005047619047618,0.4994952380952382
78-53-5,0.15362380952380938,0.8463761904761906
115-79-7,0.4567349206349206,0.5432650793650797
122-31-6,0.6833396825396825,0.3166603174603174
78-10-4,0.6313,0.36869999999999997
17356-42-2,0.11348888888888885,0.8865111111111109
3689-24-5,0.1747095238095237,0.8252904761904764
563-12-2,0.09926666666666667,0.9007333333333332
6926-73-4,0.17317619047619046,0.8268238095238101
78-07-9,0.819320634920635,0.18067936507936497
20395-17-9,0.1208492063492063,0.8791507936507937
18300-10-2,0.2252238095238096,0.7747761904761908
2667-40-5,0.10284126984126984,0.8971587301587309
55134-13-9,0.5723269841269844,0.42767301587301587
33446-90-1,0.7648047619047627,0.23519523809523823
17980-47-1,0.8625952380952377,0.13740476190476186
27879-29-4,0.21118730158730156,0.7888126984126985
35435-21-3,0.8483952380952381,0.15160476190476183
55934-93-5,0.8652301587301588,0.1347698412698413
52030-05-4,0.6242698412698416,0.375730158730159
74051-80-2,0.407873015873016,0.5921269841269838
2224-33-1,0.6161349206349206,0.3838650793650794
34036-80-1,0.5669301587301587,0.43306984126984116
6104-58-1,0.8054238095238098,0.19457619047619046
77-90-7,0.809723809523809,0.1902761904761905
21327-31-1,0.2587539682539682,0.7412460317460318
5826-91-5,0.13013174603174593,0.869868253968253
22787-59-3,0.17266984126984114,0.8273301587301585
22787-58-2,0.01821269841269841,0.9817873015873015
5675-57-0,0.13923333333333332,0.8607666666666666
3730-54-9,0.336004761904762,0.6639952380952382
655-35-6,0.40981587301587297,0.5901841269841271
77-89-4,0.7687523809523811,0.2312476190476189
24748-23-0,0.5313603174603174,0.46863968253968247
70833-40-8,0.8466126984126987,0.15338730158730146
14504-73-5,0.3154,0.6845999999999998
67239-04-7,0.5754412698412693,0.4245587301587301
2595-54-2,0.054111111111111124,0.945888888888889
5137-55-3,0.31213015873015887,0.6878698412698415
1421-14-3,0.5221285714285715,0.4778714285714284
2031-67-6,0.7777873015873017,0.22221269841269842
64036-99-3,0.07813809523809524,0.9218619047619047
26523-78-4,0.7905444444444432,0.20945555555555553
68814-95-9,0.5909682539682539,0.40903174603174525
538-23-8,0.987753968253968,0.012246031746031744
68130-53-0,0.9868317460317461,0.013168253968253964
2528-38-3,0.6401634920634912,0.3598365079365079
5343-44-2,0.8808349206349203,0.1191650793650793
5831-80-1,0.8714111111111109,0.12858888888888884
51249-05-9,0.44940793650793665,0.5505920634920632
102-85-2,0.7207555555555554,0.2792444444444444
126-73-8,0.7882730158730157,0.2117269841269842
998-40-3,0.7794349206349209,0.22056507936507935
115-78-6,0.3719285714285716,0.6280714285714292
33060-84-3,0.34970317460317446,0.6502968253968259
150-50-5,0.31114920634920623,0.6888507936507938
78-48-8,0.23844285714285704,0.7615571428571428
60-01-5,0.7268904761904764,0.2731095238095237
74125-01-2,0.048241269841269876,0.9517587301587301
1496-94-2,0.6855396825396829,0.3144603174603175
21270-07-5,0.2114444444444445,0.7885555555555553
29806-73-3,0.9947555555555556,0.005244444444444445
7346-61-4,0.8443238095238099,0.15567619047619044
59130-69-7,0.9910523809523809,0.00894761904761905
63907-12-0,0.8561111111111108,0.14388888888888896
1114-71-2,0.23961269841269836,0.7603873015873018
64058-98-6,0.12479206349206345,0.8752079365079369
64059-01-4,0.12265396825396825,0.8773460317460319
13194-48-4,0.013663492063492065,0.9863365079365081
2511-15-1,0.26243333333333335,0.737566666666667
90220-15-8,0.06733650793650797,0.9326634920634923
759-94-4,0.16153333333333328,0.8384666666666666
23184-66-9,0.4777634920634917,0.5222365079365083
51218-49-6,0.23142857142857137,0.7685714285714288
109965-82-4,0.14828571428571422,0.8517142857142866
20954-13-6,0.337476190476191,0.6625238095238097
102579-43-1,0.44701587301587314,0.552984126984127
168152-77-0,0.11205238095238093,0.8879476190476184
168152-89-4,0.18646031746031747,0.813539682539682
92953-10-1,0.26464920634920636,0.7353507936507937
17088-72-1,0.44841587301587316,0.551584126984127
60763-41-9,0.83215873015873,0.16784126984126976
35850-79-4,0.6806015873015877,0.3193984126984127
3309-68-0,0.003842857142857144,0.9961571428571429
18109-81-4,0.24065714285714282,0.7593428571428569
52736-14-8,0.8758888888888883,0.12411111111111106
3862-08-6,0.8010809523809513,0.19891904761904747
139-45-7,0.8843952380952386,0.11560476190476184
38727-55-8,0.53074126984127,0.4692587301587301
80472-88-4,0.1911253968253968,0.8088746031746034
51356-13-9,0.017625396825396825,0.982374603174603
33210-44-5,0.0430126984126984,0.9569873015873013
33210-40-1,0.06353015873015873,0.9364698412698415
33210-43-4,0.07135396825396825,0.9286460317460319
1912-26-1,0.13384603174603169,0.8661539682539683
7779-27-3,0.3306476190476191,0.6693523809523808
78816-48-5,0.34879841269841244,0.6512015873015873
2941-55-1,0.16727301587301585,0.8327269841269836
4740-11-8,0.17817777777777766,0.8218222222222221
125-99-5,0.20849047619047625,0.7915095238095238
5957-17-5,0.42181746031746026,0.5781825396825394
2001-81-2,0.2953603174603174,0.7046396825396823
56-37-1,0.17652380952380958,0.8234761904761905
9004-57-3,0.760174603174603,0.23982539682539686
7789-92-6,0.7633095238095241,0.23669047619047617
10140-99-5,0.5036523809523815,0.49634761904761854
122-51-0,0.6991095238095237,0.30089047619047654
63869-26-1,0.03932698412698413,0.9606730158730159
2425-25-4,0.03856825396825397,0.9614317460317461
5823-25-6,0.048020634920634936,0.9519793650793651
919-54-0,0.03292063492063493,0.9670793650793653
1067-47-6,0.5585,0.44149999999999995
919-30-2,0.6402317460317463,0.3597682539682538
76524-94-2,0.4433460317460317,0.5566539682539684
2602-34-8,0.7359492063492067,0.2640507936507939
14814-09-6,0.666722222222222,0.33327777777777773
34708-08-2,0.5328063492063491,0.4671936507936509
15129-36-9,0.47231746031745997,0.5276825396825399
15267-95-5,0.5421841269841269,0.45781587301587306
122-52-1,0.48608412698412706,0.513915873015873
78-40-0,0.2849539682539683,0.7150460317460319
78-38-6,0.30411428571428556,0.6958857142857144
126-75-0,0.02013968253968254,0.9798603174603177
298-03-3,0.044547619047619044,0.9554523809523806
298-04-4,0.005971428571428571,0.9940285714285715
298-02-2,0.0033492063492063487,0.9966507936507937
1186-09-0,0.013907936507936505,0.9860920634920637
2524-09-6,0.00386984126984127,0.9961301587301586
2497-07-6,0.005290476190476191,0.9947095238095238
2588-03-6,0.004365079365079364,0.9956349206349207
2496-91-5,0.04058412698412698,0.959415873015873
4891-54-7,0.04649047619047621,0.9535095238095237
2497-06-5,0.03182857142857143,0.9681714285714282
2511-11-7,0.02092063492063492,0.979079365079365
2404-78-6,0.008106349206349207,0.9918936507936507
688-62-0,0.15098412698412694,0.8490158730158734
1486-39-1,0.11869047619047615,0.8813095238095248
87310-56-3,0.3063603174603175,0.6936396825396822
55881-07-7,0.6863158730158732,0.3136841269841272
2229-55-2,0.9330619047619048,0.06693809523809525
79451-10-8,0.1435333333333333,0.8564666666666666
66996-10-9,0.11473333333333331,0.885266666666667
30129-29-4,0.7675873015873019,0.23241269841269857
30129-30-7,0.7594571428571433,0.2405428571428573
55297-95-5,0.5340730158730163,0.4659269841269837
3004-70-4,0.24334126984126972,0.7566587301587301
53521-41-8,0.8743682539682542,0.12563174603174598
139-88-8,0.4441761904761904,0.5558238095238096
33820-53-0,0.6241634920634919,0.3758365079365078
5892-41-1,0.2976428571428572,0.7023571428571428
1912-25-0,0.2502269841269842,0.7497730158730161
2275-18-5,0.03702698412698413,0.962973015873016
87130-20-9,0.4246476190476191,0.5753523809523813
63873-23-4,0.14979047619047597,0.8502095238095236
78-52-4,0.0126015873015873,0.9873984126984127
63873-21-2,0.062449206349206365,0.9375507936507935
68649-11-6,0.9276349206349205,0.07236507936507937
63990-57-8,0.659152380952381,0.34084761904761934
26818-53-1,0.27369523809523827,0.7263047619047619
27891-14-1,0.4260396825396831,0.5739603174603172
36756-79-3,0.4127952380952378,0.5872047619047622
19072-57-2,0.2359333333333335,0.7640666666666664
27591-74-8,0.25850476190476174,0.7414952380952378
66734-13-2,0.9151111111111117,0.08488888888888889
5593-20-4,0.8592238095238093,0.14077619047619044
5534-09-8,0.9053444444444446,0.09465555555555555
27778-88-7,0.05037301587301586,0.9496269841269842
27778-86-5,0.013555555555555555,0.9864444444444442
27778-84-3,0.024139682539682534,0.9758603174603172
27778-80-9,0.014968253968253969,0.985031746031746
27778-82-1,0.08803650793650794,0.9119634920634921
27684-92-0,0.01646190476190476,0.983538095238095
26259-45-0,0.19576507936507906,0.8042349206349207
40618-52-8,0.09176507936507931,0.9082349206349204
69-05-6,0.5857095238095232,0.41429047619047593
9050-04-8,0.08005079365079366,0.9199492063492065
60735-64-0,0.5326539682539678,0.467346031746032
24151-93-7,0.23440158730158714,0.7655984126984124
2109-64-0,0.2843619047619046,0.7156380952380947
22457-23-4,0.2413539682539681,0.7586460317460322
541-85-5,0.8440809523809524,0.1559190476190476
14355-07-8,0.2043714285714285,0.7956285714285716
10032-15-2,0.9956285714285712,0.004371428571428572
14355-12-5,0.17260952380952374,0.8273904761904756
10024-78-9,0.15454920634920633,0.8454507936507939
32838-28-1,0.7652238095238093,0.2347761904761905
57-33-0,0.11963650793650789,0.8803634920634917
71-73-8,0.24020793650793656,0.7597920634920643
871-22-7,0.9286000000000002,0.07140000000000005
105-82-8,0.8335285714285705,0.1664714285714285
