CASRN,Toxic_RF_rdkit2d-0,Toxic_RF_rdkit2d-1
23233-88-7,0.5164411865979612,0.48355881340203877
87-12-7,0.44784973188732397,0.5521502681126756
31810-89-6,0.6462611188920012,0.3537388811079987
60012-87-5,0.40364265480360584,0.5963573451963939
15435-29-7,0.289360650790661,0.7106393492093394
629-03-8,0.6318027096858307,0.3681972903141689
488-41-5,0.46262874043270724,0.5373712595672928
84-59-3,0.5847483753012618,0.4152516246987381
26846-51-5,0.5489489735962398,0.4510510264037601
55916-20-6,0.6309576459458047,0.36904235405419544
1324-11-4,0.7988629399585924,0.2011370600414078
4228-97-1,0.0024266635498685733,0.9975733364501318
41035-29-4,0.009359341380324272,0.9906406586196754
87-10-5,0.3435621236639353,0.656437876336064
25327-89-3,0.6117908227607232,0.3882091772392769
21466-07-9,0.517211865981225,0.4827881340187752
25637-99-4,0.6860287360930553,0.3139712639069451
25713-60-4,0.7260959595959595,0.2739040404040404
19186-97-1,0.4549600228559323,0.5450399771440679
63333-35-7,0.15469146889363683,0.8453085311063631
1522-92-5,0.22495536576308936,0.7750446342369104
57729-86-9,0.19057346279749265,0.809426537202507
118-79-6,0.22351118427516073,0.776488815724839
25333-96-4,0.12258298702690672,0.8774170129730929
1689-99-2,0.2252076227700279,0.7747923772299723
3562-84-3,0.5684559937244879,0.43154400627551254
611-75-6,0.18637629518467433,0.813623704815326
3296-90-0,0.5392070874011826,0.4607929125988177
13181-17-4,0.45806092370789997,0.5419390762920999
615-58-7,0.26060321224985006,0.7393967877501499
6609-53-6,0.002428575307816202,0.9975714246921837
53615-23-9,0.0037218926889270474,0.9962781073110737
89427-28-1,0.0419097891117492,0.9580902108882507
89427-33-8,0.005299700457449978,0.9947002995425496
14689-56-6,0.0070537900240104845,0.9929462099759891
3393-60-0,0.004220555956994139,0.995779444043006
89427-29-2,0.02599938462064558,0.9740006153793551
15287-51-1,0.1963735620997356,0.8036264379002638
94847-66-2,0.22386021247523963,0.776139787524761
2034-22-2,0.11940751194311611,0.880592488056884
52907-07-0,0.6543452455868591,0.345654754413141
50585-41-6,0.3626979187247852,0.6373020812752146
3322-93-8,0.5034955283274127,0.49650447167258704
21850-44-2,0.6449233249791143,0.3550766750208855
7682-32-8,0.004097022120244828,0.995902977879755
