CASRN,Toxic_knn_ecfp6bits-0,Toxic_knn_ecfp6bits-1
23233-88-7,0.41457783650176233,0.5854221634982376
87-12-7,0.5050461237630676,0.4949538762369324
31810-89-6,0.41899600121667624,0.5810039987833238
60012-87-5,0.7656359452938212,0.2343640547061788
15435-29-7,0.31222852967812625,0.6877714703218738
629-03-8,0.6266228845007996,0.3733771154992004
488-41-5,0.41976494220231636,0.5802350577976837
84-59-3,0.357891150531731,0.642108849468269
26846-51-5,0.6320159844583099,0.3679840155416901
55916-20-6,0.6827906887262691,0.3172093112737308
1324-11-4,0.7957776879944489,0.20422231200555105
4228-97-1,0.0,1.0
41035-29-4,0.0,1.0
87-10-5,0.35110270720602754,0.6488972927939726
25327-89-3,0.4005530956933976,0.5994469043066024
21466-07-9,0.5175291452046991,0.48247085479530094
25637-99-4,0.3849988494984101,0.6150011505015898
25713-60-4,0.4052658002670626,0.5947341997329375
19186-97-1,0.3303055277735822,0.6696944722264178
63333-35-7,0.09798295950102032,0.9020170404989797
1522-92-5,0.3239691558441558,0.6760308441558442
57729-86-9,0.19973986952611483,0.8002601304738851
118-79-6,0.46044317665063794,0.5395568233493622
25333-96-4,0.31244230533370365,0.6875576946662963
1689-99-2,0.741828165650142,0.25817183434985796
3562-84-3,0.3630451469784599,0.6369548530215402
611-75-6,0.31688987395212825,0.6831101260478717
3296-90-0,0.6374770940700638,0.3625229059299361
13181-17-4,0.35939691863722883,0.6406030813627712
615-58-7,0.20798550589018544,0.7920144941098145
6609-53-6,0.0,1.0
53615-23-9,0.044248029263394925,0.955751970736605
89427-28-1,0.0,1.0
89427-33-8,0.0,1.0
14689-56-6,0.0,1.0
3393-60-0,0.0,1.0
89427-29-2,0.0,1.0
15287-51-1,0.781352204755412,0.21864779524458794
94847-66-2,0.1592533976850441,0.8407466023149559
2034-22-2,0.051081747718909824,0.9489182522810902
52907-07-0,0.4289031611230674,0.5710968388769325
50585-41-6,0.29643132971791714,0.7035686702820828
3322-93-8,0.362834086981877,0.637165913018123
21850-44-2,0.30488606403460133,0.6951139359653987
7682-32-8,0.0,1.0
89427-35-0,0.0,1.0
126-72-7,0.39208210887527817,0.6079178911247218
3194-55-6,0.4165626676383182,0.5834373323616818
20566-35-2,0.7387365482448389,0.2612634517551611
2338-30-9,0.0,1.0
87-84-3,0.3211773183524969,0.6788226816475031
608-71-9,0.5852359697572087,0.41476403024279135
32588-76-4,0.7447107705423622,0.2552892294576377
32536-52-0,0.4234941391804647,0.5765058608195354
27858-07-7,0.5900619102148602,0.4099380897851398
61262-53-1,0.589447321653432,0.410552678346568
84852-53-9,0.4438770297078332,0.5561229702921667
13654-09-6,0.6132140267425067,0.3867859732574933
3674-13-3,0.5043922190023554,0.4956077809976445
78-75-1,0.3043711818278989,0.6956288181721011
89427-38-3,0.0,1.0
10474-14-3,0.3659463848813551,0.6340536151186449
300-76-5,0.19278273075674754,0.8072172692432525
2872-96-0,0.48632186397027694,0.5136781360297231
106-93-4,0.36277660679079315,0.6372233932092068
1947-58-6,0.47477495513738543,0.5252250448626147
96-13-9,0.46565903168219663,0.5343409683178034
96-12-8,0.1532834648962979,0.846716535103702
18791-02-1,0.04869728246522398,0.951302717534776
75-81-0,0.3117690547808016,0.6882309452191984
590-12-5,0.19570880804300367,0.8042911919569963
2302-30-9,0.2563457066622813,0.7436542933377187
14689-59-9,0.0,1.0
79-27-6,0.1051893669459626,0.8948106330540374
63867-08-3,0.6943654851172872,0.3056345148827128
64047-47-8,0.4355383139252201,0.5644616860747798
63938-47-6,0.5089355430956922,0.4910644569043079
613-53-6,0.3706269775295971,0.6293730224704028
115-17-3,0.3606797646179439,0.6393202353820562
75-25-2,0.15014812314846068,0.8498518768515393
42136-31-2,0.11917581039548536,0.8808241896045147
64050-72-2,0.05514895723814038,0.9448510427618597
42136-30-1,0.2370174402439522,0.7629825597560479
26637-71-8,0.5891742069140969,0.41082579308590306
69094-18-4,0.2531814478766922,0.7468185521233077
74-95-3,0.21533161110059645,0.7846683888994036
3252-43-5,0.10249139293653062,0.8975086070634694
598-91-4,0.10294422352714654,0.8970557764728535
124-48-1,0.18294376934603562,0.8170562306539644
25497-30-7,0.5795171451316442,0.42048285486835574
83447-96-5,0.3589598516064828,0.6410401483935172
473-49-4,0.21017990891724192,0.7898200910827581
117900-35-3,0.5244416912261436,0.47555830877385646
4460-32-6,0.36059828276398154,0.6394017172360185
2260-08-4,0.6149099244287121,0.38509007557128805
386-17-4,0.3233145756110886,0.6766854243889114
67-30-1,0.3771410264418279,0.6228589735581721
16423-68-0,0.4258103866262124,0.5741896133737876
10397-75-8,0.9525840752599231,0.047415924740076866
59017-64-0,0.9031817090670033,0.09681829093299657
79770-24-4,0.7461282947777074,0.25387170522229263
7246-21-1,0.8553029075322383,0.14469709246776172
96-84-4,0.651858225666206,0.34814177433379406
59939-17-2,0.47374974309207457,0.5262502569079254
16034-77-8,0.693778129276678,0.30622187072332185
22730-89-8,0.6372317085539225,0.3627682914460775
31112-62-6,0.750832570435444,0.2491674295645559
440-58-4,0.6499126702238431,0.3500873297761569
66108-95-0,0.8164463038172639,0.18355369618273612
3115-05-7,0.6343890617886102,0.36561093821138985
111453-32-8,0.8664780509184016,0.13352194908159837
19403-92-0,0.32098450046711063,0.6790154995328893
35453-19-1,0.7618603286333527,0.23813967136664735
37441-29-5,0.6138558274391173,0.38614417256088274
19774-82-4,0.3681158790647897,0.6318841209352103
3861-47-0,0.6964725859432663,0.3035274140567337
57808-65-8,0.7438486066439497,0.2561513933560503
577-91-3,0.5841014976261958,0.4158985023738043
14689-57-7,0.04658369839826761,0.9534163016017323
17601-49-9,0.5298550083453001,0.4701449916546999
1746-25-4,0.1048107714661756,0.8951892285338243
29717-26-8,0.59701972833092,0.40298027166907996
75-47-8,0.2065743336946714,0.7934256663053286
68439-50-9,0.6666666666666666,0.3333333333333333
9004-95-9,1.0,0.0
65-29-2,0.3701626929585638,0.6298373070414363
63869-27-2,0.0,1.0
3247-33-4,0.04867742510849222,0.9513225748915077
70682-61-0,0.9577845413691413,0.042215458630858675
3319-31-1,0.8819860468250543,0.11801395317494563
301-13-3,0.8951974439466809,0.10480255605331908
78-42-2,0.9056041793453945,0.09439582065460551
56706-10-6,0.7817218046344911,0.2182781953655088
160194-28-5,0.6316178383946177,0.36838216160538223
15458-87-4,0.31385535431674383,0.6861446456832562
105084-66-0,0.10343017306155158,0.8965698269384484
13080-06-3,0.7093738025932346,0.2906261974067654
15180-47-9,0.5366728773881723,0.4633271226118278
35077-00-0,0.6533136019898578,0.34668639801014217
63869-22-7,0.09849316483771996,0.90150683516228
139-60-6,0.5698847739738864,0.43011522602611363
34206-40-1,0.7548539020838853,0.2451460979161148
752-56-7,0.8535799926978448,0.14642000730215524
74758-25-1,0.14133866414958154,0.8586613358504184
23505-41-1,0.03986512662837611,0.9601348733716238
154702-15-5,0.8972797944646604,0.10272020553533956
3857-80-5,0.6112225414057125,0.3887774585942875
3687-16-9,0.6492617726854392,0.35073822731456084
141-94-6,0.6791470842606591,0.32085291573934094
68289-21-4,0.3304376491214576,0.6695623508785423
67762-53-2,0.7190350880787069,0.2809649119212932
4559-86-8,0.4239288426286375,0.5760711573713624
10254-57-6,0.22244325001238974,0.7775567499876103
53306-54-0,0.9342400756756541,0.06575992432434596
1941-30-6,0.6370575312967676,0.36294246870323243
682-01-9,0.8967637859297976,0.10323621407020245
486455-65-6,0.8959472975566828,0.1040527024433172
126-57-8,1.0,0.0
11138-60-6,1.0,0.0
78-16-0,0.9615177892482997,0.0384822107517004
106-20-7,0.7021597264378767,0.2978402735621233
295800-70-3,0.7213320755485231,0.2786679244514769
10143-60-9,0.8814363078678351,0.11856369213216494
22174-70-5,0.8832800376818817,0.11671996231811828
19074-24-9,1.0,0.0
122-62-3,1.0,0.0
103-24-2,1.0,0.0
103-23-1,0.9539082485026594,0.04609175149734062
2915-57-3,1.0,0.0
84731-70-4,1.0,0.0
117-81-7,0.8077754878097907,0.19222451219020928
14858-73-2,1.0,0.0
3658-48-8,0.8985363771491731,0.10146362285082682
298-07-7,1.0,0.0
63449-80-9,0.9043851836751681,0.09561481632483189
7425-14-1,0.9467002919897106,0.053299708010289375
18268-70-7,1.0,0.0
94-28-0,1.0,0.0
3282-85-7,0.7350573065787547,0.2649426934212453
7790-07-0,0.9121231046427524,0.08787689535724759
25724-60-1,0.9470625427513832,0.05293745724861673
10022-60-3,0.9025575404270898,0.09744245957291013
468-61-1,0.2966239058220678,0.7033760941779321
4551-59-1,0.2641307754878547,0.7358692245121454
57647-13-9,0.1439085720909176,0.8560914279090823
27591-69-1,0.26660202399056454,0.7333979760094353
589-32-2,0.3110498229483529,0.6889501770516471
60012-88-6,0.6720467297187271,0.3279532702812728
78-53-5,0.0,1.0
115-79-7,0.2567753469680398,0.7432246530319603
122-31-6,0.5391246716082939,0.46087532839170614
78-10-4,0.7860131408725051,0.213986859127495
17356-42-2,0.0,1.0
3689-24-5,0.10342063479687345,0.8965793652031265
563-12-2,0.0,1.0
6926-73-4,0.0,1.0
78-07-9,0.6373758001572644,0.3626241998427357
20395-17-9,0.10032827950807018,0.8996717204919298
18300-10-2,0.04767803577336905,0.952321964226631
2667-40-5,0.10179261641181636,0.8982073835881835
55134-13-9,0.6836702535109382,0.3163297464890618
33446-90-1,0.9518393879721664,0.04816061202783369
17980-47-1,0.7976186141122547,0.20238138588774546
27879-29-4,0.4349223164103549,0.565077683589645
35435-21-3,0.7939792617242144,0.20602073827578551
55934-93-5,0.8485682698407758,0.15143173015922415
52030-05-4,0.7874436175612111,0.2125563824387889
74051-80-2,0.5218333355756787,0.47816666442432126
2224-33-1,0.45113206105017967,0.5488679389498203
34036-80-1,0.5884007040302744,0.41159929596972555
6104-58-1,0.6769719347220465,0.32302806527795347
77-90-7,1.0,0.0
21327-31-1,0.1645120981944405,0.8354879018055595
5826-91-5,0.04839666900800239,0.9516033309919977
22787-59-3,0.19770294714286102,0.8022970528571389
22787-58-2,0.0,1.0
5675-57-0,0.16078466934322394,0.8392153306567761
3730-54-9,0.41980590692908315,0.5801940930709168
655-35-6,0.2357935360371152,0.7642064639628848
77-89-4,0.7552881279131742,0.24471187208682588
24748-23-0,0.4877582642230721,0.5122417357769279
70833-40-8,0.9456911896652205,0.05430881033477949
14504-73-5,0.0990064203224651,0.9009935796775349
67239-04-7,0.4109996044598641,0.5890003955401358
2595-54-2,0.0,1.0
5137-55-3,0.5689357958517045,0.43106420414829555
1421-14-3,0.4122737155453906,0.5877262844546094
