CASRN,Toxic_knn_ecfp6counts-0,Toxic_knn_ecfp6counts-1
23233-88-7,0.19953267963675772,0.8004673203632422
87-12-7,0.30597453823542786,0.6940254617645721
31810-89-6,0.34199494978475303,0.658005050215247
60012-87-5,0.5812820793246051,0.418717920675395
15435-29-7,0.32864693565202,0.67135306434798
629-03-8,0.702010790517968,0.297989209482032
488-41-5,0.681698371200924,0.318301628799076
84-59-3,0.5312163305276669,0.4687836694723331
26846-51-5,0.4659528605176006,0.5340471394823995
55916-20-6,0.6662235487968862,0.33377645120311383
1324-11-4,0.7435621413455792,0.2564378586544208
4228-97-1,0.0,1.0
41035-29-4,0.0,1.0
87-10-5,0.2587103004374445,0.7412896995625556
25327-89-3,0.6939358521504494,0.30606414784955055
21466-07-9,0.3949535715275136,0.6050464284724865
25637-99-4,0.5467538972689626,0.45324610273103727
25713-60-4,0.5216392925159979,0.478360707484002
19186-97-1,0.4045524289802458,0.5954475710197541
63333-35-7,0.11851634803031252,0.8814836519696875
1522-92-5,0.37061719802839294,0.6293828019716071
57729-86-9,0.18021333436835008,0.8197866656316499
118-79-6,0.42811936442450144,0.5718806355754986
25333-96-4,0.19780406720308122,0.8021959327969187
1689-99-2,0.6293347712777009,0.37066522872229907
3562-84-3,0.2508347861518999,0.7491652138481001
611-75-6,0.2017079653866558,0.7982920346133442
3296-90-0,0.7659628349536735,0.23403716504632655
13181-17-4,0.2027488339719305,0.7972511660280696
615-58-7,0.12836092258848286,0.8716390774115172
6609-53-6,0.0,1.0
53615-23-9,0.0546002967490707,0.9453997032509293
89427-28-1,0.0,1.0
89427-33-8,0.0,1.0
14689-56-6,0.0,1.0
3393-60-0,0.0,1.0
89427-29-2,0.0,1.0
15287-51-1,0.7820212863356496,0.21797871366435034
94847-66-2,0.06625627352028217,0.9337437264797179
2034-22-2,0.0643460877454018,0.9356539122545982
52907-07-0,0.5332855392467128,0.46671446075328704
50585-41-6,0.45810754961749417,0.5418924503825059
3322-93-8,0.3322722534911,0.6677277465088999
21850-44-2,0.5098939224158323,0.49010607758416763
7682-32-8,0.0,1.0
89427-35-0,0.0,1.0
126-72-7,0.4887467353318844,0.5112532646681156
3194-55-6,0.5337326849327179,0.4662673150672822
20566-35-2,0.46710891848873703,0.532891081511263
2338-30-9,0.0,1.0
87-84-3,0.47176339767305897,0.5282366023269409
608-71-9,0.6086446039373177,0.39135539606268227
32588-76-4,0.6898651178808715,0.3101348821191285
32536-52-0,0.4806602441925209,0.519339755807479
27858-07-7,0.6259594159927647,0.37404058400723533
61262-53-1,0.4961323593709712,0.5038676406290288
84852-53-9,0.5743378572879759,0.42566214271202407
13654-09-6,0.6543335467464378,0.34566645325356204
3674-13-3,0.5056124082421698,0.49438759175783026
78-75-1,0.1783446375587066,0.8216553624412934
89427-38-3,0.0,1.0
10474-14-3,0.4599069681991891,0.5400930318008109
300-76-5,0.05903104060097149,0.9409689593990285
2872-96-0,0.4663346547478785,0.5336653452521216
106-93-4,0.32852904921985915,0.6714709507801407
1947-58-6,0.6077848174566652,0.3922151825433348
96-13-9,0.37501063355220515,0.6249893664477949
96-12-8,0.06868464214160042,0.9313153578583996
18791-02-1,0.06174985494640575,0.9382501450535942
75-81-0,0.4011455768375416,0.5988544231624584
590-12-5,0.12504523563232284,0.8749547643676772
2302-30-9,0.1294607638952829,0.8705392361047172
14689-59-9,0.0,1.0
79-27-6,0.18201377271479308,0.8179862272852069
63867-08-3,0.7355893820359789,0.2644106179640211
64047-47-8,0.4830567076220234,0.5169432923779766
63938-47-6,0.44355808479775555,0.5564419152022445
613-53-6,0.3982239404370905,0.6017760595629095
115-17-3,0.26344745305299705,0.736552546947003
75-25-2,0.11523997504120087,0.8847600249587992
42136-31-2,0.050198009677587134,0.9498019903224129
64050-72-2,0.18463190876676058,0.8153680912332395
42136-30-1,0.1546333449738392,0.8453666550261608
26637-71-8,0.6703668506767141,0.3296331493232859
69094-18-4,0.2021898021536625,0.7978101978463376
74-95-3,0.19921286985017259,0.8007871301498274
3252-43-5,0.18081355879590996,0.81918644120409
598-91-4,0.06069504570572489,0.9393049542942752
124-48-1,0.12051719714332194,0.8794828028566781
25497-30-7,0.5908926699972352,0.4091073300027648
83447-96-5,0.33297881692221354,0.6670211830777866
473-49-4,0.3309799290403489,0.6690200709596511
117900-35-3,0.5315870334862827,0.46841296651371733
4460-32-6,0.3772262971410038,0.6227737028589961
2260-08-4,0.4528549153563804,0.5471450846436196
386-17-4,0.6571925017104445,0.3428074982895555
67-30-1,0.5373914349356277,0.4626085650643723
16423-68-0,0.40844472467894927,0.5915552753210507
10397-75-8,0.8794108886826886,0.12058911131731141
59017-64-0,0.8826582588501589,0.11734174114984106
79770-24-4,0.6841195965355259,0.3158804034644741
7246-21-1,0.8792740563461253,0.12072594365387465
96-84-4,0.6276165660875211,0.3723834339124789
59939-17-2,0.739700305045348,0.26029969495465194
16034-77-8,0.7449433122423788,0.25505668775762125
22730-89-8,0.7514824909743604,0.2485175090256397
31112-62-6,0.7455082333425657,0.25449176665743434
440-58-4,0.6930956651275743,0.30690433487242574
66108-95-0,0.884493775964487,0.11550622403551307
3115-05-7,0.6687606761118018,0.33123932388819827
111453-32-8,0.9416337441615585,0.05836625583844148
19403-92-0,0.6496849463260898,0.3503150536739102
35453-19-1,0.8837148375317422,0.11628516246825782
37441-29-5,0.7606874131417327,0.23931258685826717
19774-82-4,0.32800223555065494,0.6719977644493451
3861-47-0,0.6276097131132028,0.3723902868867972
57808-65-8,0.4801130803175406,0.5198869196824594
577-91-3,0.6054042582630889,0.39459574173691103
14689-57-7,0.0,1.0
17601-49-9,0.5391982835824569,0.46080171641754314
1746-25-4,0.13043000730665352,0.8695699926933464
29717-26-8,0.8624611473001774,0.13753885269982263
75-47-8,0.2686156014543198,0.7313843985456803
68439-50-9,0.787720808992367,0.212279191007633
9004-95-9,0.8960818401884206,0.1039181598115794
65-29-2,0.3995658145691255,0.6004341854308745
63869-27-2,0.05857716147702827,0.9414228385229717
3247-33-4,0.06120842583346358,0.9387915741665365
70682-61-0,1.0,0.0
3319-31-1,0.9381671909666438,0.061832809033356265
301-13-3,0.9420150871760968,0.05798491282390323
78-42-2,0.9455893749724723,0.05441062502752763
56706-10-6,0.7919737972695113,0.20802620273048864
160194-28-5,0.802652849509587,0.19734715049041293
15458-87-4,0.5328858702779641,0.4671141297220359
105084-66-0,0.06877404279069257,0.9312259572093073
13080-06-3,0.5876327556960195,0.4123672443039806
15180-47-9,0.6657631013809232,0.3342368986190768
35077-00-0,0.8177823281832939,0.1822176718167061
63869-22-7,0.06141290860301636,0.9385870913969837
139-60-6,0.6481875471796081,0.35181245282039186
34206-40-1,0.7562085247063115,0.2437914752936885
752-56-7,0.6873757224756437,0.3126242775243562
74758-25-1,0.11448109218289255,0.8855189078171074
23505-41-1,0.0527343274014034,0.9472656725985966
154702-15-5,1.0,0.0
3857-80-5,0.657594639164109,0.34240536083589096
3687-16-9,0.6340427473032287,0.3659572526967713
141-94-6,0.7839925213563107,0.21600747864368927
68289-21-4,0.47229165211563845,0.5277083478843616
67762-53-2,0.7412886192131833,0.25871138078681677
4559-86-8,0.35798347172236356,0.6420165282776364
10254-57-6,0.37044694527902494,0.629553054720975
53306-54-0,0.9354074146782867,0.06459258532171339
1941-30-6,0.5303430817630712,0.46965691823692884
682-01-9,0.7329909747489765,0.26700902525102355
486455-65-6,0.7302636381790905,0.26973636182090965
126-57-8,1.0,0.0
11138-60-6,1.0,0.0
78-16-0,1.0,0.0
106-20-7,0.6867068845137956,0.3132931154862044
295800-70-3,0.5100250343189914,0.48997496568100857
10143-60-9,0.8787197258052496,0.1212802741947503
22174-70-5,0.8830904762271637,0.1169095237728362
19074-24-9,1.0,0.0
122-62-3,1.0,0.0
103-24-2,1.0,0.0
103-23-1,1.0,0.0
2915-57-3,1.0,0.0
84731-70-4,1.0,0.0
117-81-7,0.9185678603007488,0.08143213969925121
14858-73-2,1.0,0.0
3658-48-8,0.9440386308746015,0.05596136912539844
298-07-7,0.9491240971705033,0.05087590282949661
63449-80-9,0.9463284223305537,0.05367157766944621
7425-14-1,0.936216236731051,0.06378376326894904
18268-70-7,0.9804256139978096,0.01957438600219044
94-28-0,0.9626858796075451,0.03731412039245486
3282-85-7,0.803270708789259,0.1967292912107409
7790-07-0,0.9545230415369177,0.045476958463082265
25724-60-1,1.0,0.0
10022-60-3,0.938670868864573,0.06132913113542707
468-61-1,0.1923981778481686,0.8076018221518313
4551-59-1,0.26490055439249915,0.7350994456075008
57647-13-9,0.09198308592930299,0.908016914070697
27591-69-1,0.26214911755725334,0.7378508824427467
589-32-2,0.2696987134040148,0.7303012865959853
60012-88-6,0.6815079517631092,0.31849204823689076
78-53-5,0.0,1.0
115-79-7,0.46680095488973083,0.5331990451102692
122-31-6,0.6627385828961706,0.33726141710382945
