CASRN,Toxic_knn_maccs-0,Toxic_knn_maccs-1
23233-88-7,0.5805272670812399,0.4194727329187601
87-12-7,0.0,1.0
31810-89-6,0.7126965907489076,0.2873034092510924
60012-87-5,0.6301250536593315,0.3698749463406685
15435-29-7,0.180352261613181,0.819647738386819
629-03-8,0.4419018985579866,0.5580981014420133
488-41-5,0.72917632264506,0.27082367735494
84-59-3,0.3484136873382536,0.6515863126617465
26846-51-5,0.5936911763921698,0.4063088236078301
55916-20-6,0.3916599216356688,0.6083400783643311
1324-11-4,0.5106608215904699,0.4893391784095301
4228-97-1,0.0,1.0
41035-29-4,0.0,1.0
87-10-5,0.0,1.0
25327-89-3,0.6799037486751548,0.3200962513248451
21466-07-9,0.5832680988772556,0.4167319011227444
25637-99-4,0.33922030655810376,0.6607796934418962
25713-60-4,0.6360373760698508,0.3639626239301492
19186-97-1,0.15943667113329088,0.8405633288667091
63333-35-7,0.12114413174906966,0.8788558682509303
1522-92-5,0.19077448474005576,0.8092255152599444
57729-86-9,0.09153279485587777,0.9084672051441223
118-79-6,0.0,1.0
25333-96-4,0.08891057673312328,0.9110894232668767
1689-99-2,0.28549329533095097,0.714506704669049
3562-84-3,0.4645947610262296,0.5354052389737706
611-75-6,0.05433057054380216,0.9456694294561978
3296-90-0,0.4678929141864096,0.5321070858135905
13181-17-4,0.4111678656343133,0.5888321343656868
615-58-7,0.0,1.0
6609-53-6,0.0,1.0
53615-23-9,0.0,1.0
89427-28-1,0.0,1.0
89427-33-8,0.0,1.0
14689-56-6,0.0,1.0
3393-60-0,0.0,1.0
89427-29-2,0.0,1.0
15287-51-1,0.4664274267752721,0.5335725732247278
94847-66-2,0.1682074653077246,0.8317925346922753
2034-22-2,0.0,1.0
52907-07-0,0.7506911510565835,0.2493088489434165
50585-41-6,0.10551213054882412,0.8944878694511759
3322-93-8,0.5398318467828029,0.460168153217197
21850-44-2,0.8143955898017914,0.1856044101982086
7682-32-8,0.0,1.0
89427-35-0,0.0,1.0
126-72-7,0.2605306049386205,0.7394693950613795
3194-55-6,0.43523720190454834,0.5647627980954517
20566-35-2,0.6385982577645402,0.3614017422354598
2338-30-9,0.0,1.0
87-84-3,0.4165188251527696,0.5834811748472304
608-71-9,0.0,1.0
32588-76-4,0.7420854973929916,0.25791450260700843
32536-52-0,0.45847607532298884,0.5415239246770113
27858-07-7,1.0,0.0
61262-53-1,0.6856712964065156,0.3143287035934844
84852-53-9,0.4908929364726788,0.509107063527321
13654-09-6,1.0,0.0
3674-13-3,0.4618667232389827,0.5381332767610174
78-75-1,0.13598589775875097,0.8640141022412491
89427-38-3,0.0,1.0
10474-14-3,0.1307589371057159,0.869241062894284
300-76-5,0.0,1.0
2872-96-0,0.4006009290097374,0.5993990709902625
106-93-4,0.23770309370131318,0.7622969062986868
1947-58-6,0.36229125516250676,0.6377087448374933
96-13-9,0.29149583154958664,0.7085041684504133
96-12-8,0.054024457017703954,0.945975542982296
18791-02-1,0.04562155541947336,0.9543784445805267
75-81-0,0.26698197830873355,0.7330180216912664
590-12-5,0.13742717099787294,0.8625728290021271
2302-30-9,0.0336239103362391,0.9663760896637609
14689-59-9,0.0,1.0
79-27-6,0.15398709471839397,0.846012905281606
63867-08-3,0.6059657164993383,0.3940342835006617
64047-47-8,0.4092852584556478,0.5907147415443522
63938-47-6,0.594452271967196,0.40554772803280403
613-53-6,0.19383176835736457,0.8061682316426355
115-17-3,0.3435082584152206,0.6564917415847794
75-25-2,0.22822360596095986,0.7717763940390401
42136-31-2,0.0,1.0
64050-72-2,0.0,1.0
42136-30-1,0.0,1.0
26637-71-8,0.529015499671738,0.470984500328262
69094-18-4,0.04613143436596032,0.9538685656340397
74-95-3,0.22145328719723184,0.7785467128027682
3252-43-5,0.1476510067114094,0.8523489932885906
598-91-4,0.0926568647042309,0.9073431352957692
124-48-1,0.0,1.0
25497-30-7,0.5646877804846776,0.43531221951532245
83447-96-5,0.3681450731920472,0.6318549268079527
473-49-4,0.2510667704382446,0.7489332295617553
117900-35-3,0.24015390010168192,0.759846099898318
4460-32-6,0.1797107695679805,0.8202892304320195
2260-08-4,0.34605844191244617,0.6539415580875538
386-17-4,0.4756012306330287,0.5243987693669713
67-30-1,0.4083852977340594,0.5916147022659407
16423-68-0,0.34456014521208567,0.6554398547879143
10397-75-8,0.7056530036821894,0.2943469963178106
59017-64-0,0.7561475160442062,0.24385248395579384
79770-24-4,0.7678378646016717,0.2321621353983284
7246-21-1,0.8032732994283411,0.19672670057165892
96-84-4,0.30983398820322533,0.6901660117967746
59939-17-2,0.6353144420690131,0.3646855579309869
16034-77-8,0.8012325065006534,0.19876749349934666
22730-89-8,0.6789086974031684,0.32109130259683166
31112-62-6,0.8065792603231621,0.19342073967683787
440-58-4,0.9017729112409149,0.09822708875908519
66108-95-0,0.7882792362272659,0.21172076377273397
3115-05-7,0.693565239951276,0.30643476004872405
111453-32-8,0.8527180070049168,0.14728199299508307
19403-92-0,0.1255391392126273,0.8744608607873726
35453-19-1,0.6942325936122324,0.3057674063877675
37441-29-5,0.2181392508143322,0.7818607491856678
19774-82-4,0.1029950567202783,0.8970049432797217
3861-47-0,0.3697776971498356,0.6302223028501645
57808-65-8,0.5330719519836243,0.46692804801637566
577-91-3,0.40061416773293007,0.5993858322670699
14689-57-7,0.0,1.0
17601-49-9,0.30984548685504,0.69015451314496
1746-25-4,0.0,1.0
29717-26-8,0.46798089451252795,0.5320191054874721
75-47-8,0.3665523502118217,0.6334476497881784
68439-50-9,0.6666666666666666,0.3333333333333333
9004-95-9,1.0,0.0
65-29-2,0.09434989093817796,0.9056501090618221
63869-27-2,0.04504665546458834,0.9549533445354117
3247-33-4,0.11035740335521517,0.8896425966447848
70682-61-0,0.5557338602014334,0.4442661397985666
3319-31-1,1.0,0.0
301-13-3,0.7212496503563953,0.2787503496436047
78-42-2,0.7912929557593469,0.20870704424065306
56706-10-6,0.6566965919287008,0.3433034080712993
160194-28-5,0.7221691526389286,0.27783084736107144
15458-87-4,0.24453916363246261,0.7554608363675374
105084-66-0,0.047812630277123166,0.9521873697228769
13080-06-3,0.7174398147117118,0.282560185288288
15180-47-9,0.8235285682848599,0.1764714317151401
35077-00-0,0.5975623312587126,0.40243766874128745
63869-22-7,0.04293479507350748,0.9570652049264925
139-60-6,0.2175013089888456,0.7824986910111543
34206-40-1,0.6356601338460357,0.3643398661539643
752-56-7,0.5663396677034926,0.4336603322965073
74758-25-1,0.08117957424411161,0.9188204257558884
23505-41-1,0.044344147087441436,0.9556558529125586
154702-15-5,0.32087886498248525,0.6791211350175147
3857-80-5,0.27962244772734723,0.7203775522726529
3687-16-9,0.18157473655451165,0.8184252634454884
141-94-6,0.38143137502067953,0.6185686249793205
68289-21-4,0.22943055684756697,0.770569443152433
67762-53-2,0.846326332311832,0.153673667688168
4559-86-8,0.5100071933082905,0.48999280669170964
10254-57-6,0.2594478029966634,0.7405521970033365
53306-54-0,1.0,0.0
1941-30-6,0.34977066299244003,0.6502293370075599
682-01-9,0.8168155429236307,0.1831844570763693
486455-65-6,0.8074702857615843,0.19252971423841567
126-57-8,1.0,0.0
11138-60-6,1.0,0.0
78-16-0,1.0,0.0
106-20-7,0.2716787350947829,0.728321264905217
295800-70-3,0.6868185097362657,0.3131814902637344
10143-60-9,0.7273850994493763,0.2726149005506237
22174-70-5,0.8434328790953899,0.15656712090461
19074-24-9,1.0,0.0
122-62-3,1.0,0.0
103-24-2,1.0,0.0
103-23-1,1.0,0.0
2915-57-3,1.0,0.0
84731-70-4,1.0,0.0
117-81-7,1.0,0.0
14858-73-2,1.0,0.0
3658-48-8,0.8340543177752481,0.16594568222475203
298-07-7,0.9018566473073557,0.0981433526926442
63449-80-9,0.7020631998772818,0.2979368001227182
7425-14-1,1.0,0.0
18268-70-7,1.0,0.0
94-28-0,1.0,0.0
3282-85-7,0.2510003444111531,0.7489996555888468
7790-07-0,1.0,0.0
25724-60-1,1.0,0.0
10022-60-3,0.9539048508915362,0.04609514910846374
