CASRN,Toxic_knn_mordred-0,Toxic_knn_mordred-1
23233-88-7,0.37940960367832166,0.6205903963216783
87-12-7,0.3610661146653017,0.6389338853346983
31810-89-6,0.4508204080816686,0.5491795919183313
60012-87-5,0.2209893486337919,0.7790106513662082
15435-29-7,0.3574316515817725,0.6425683484182275
629-03-8,0.7015718683333217,0.2984281316666782
488-41-5,0.3471391586275222,0.6528608413724777
84-59-3,0.5333726659693829,0.46662733403061707
26846-51-5,0.535593116410368,0.464406883589632
55916-20-6,0.4405412354323835,0.5594587645676165
1324-11-4,0.671911347073836,0.3280886529261639
4228-97-1,0.0,1.0
41035-29-4,0.0,1.0
87-10-5,0.42142623894895925,0.5785737610510409
25327-89-3,0.7437306359651312,0.25626936403486883
21466-07-9,0.28053244135186983,0.7194675586481301
25637-99-4,0.5464416433228481,0.4535583566771519
25713-60-4,0.6697715614088295,0.33022843859117046
19186-97-1,0.5638587481334132,0.4361412518665868
63333-35-7,0.2989978898872174,0.7010021101127827
1522-92-5,0.1320360859107414,0.8679639140892585
57729-86-9,0.26132690358848565,0.7386730964115142
118-79-6,0.2957106183509945,0.7042893816490056
25333-96-4,0.1296298763588035,0.8703701236411965
1689-99-2,0.12354582146716106,0.8764541785328389
3562-84-3,0.35872235529095614,0.6412776447090438
611-75-6,0.19803128261517966,0.8019687173848203
3296-90-0,0.3438297016316828,0.6561702983683173
13181-17-4,0.6596391550223908,0.3403608449776094
615-58-7,0.16392575196201725,0.8360742480379827
6609-53-6,0.0,1.0
53615-23-9,0.0,1.0
89427-28-1,0.0,1.0
89427-33-8,0.0,1.0
14689-56-6,0.0,1.0
3393-60-0,0.0,1.0
89427-29-2,0.0,1.0
15287-51-1,0.06595917794030019,0.9340408220596998
94847-66-2,0.19932117240789116,0.8006788275921087
2034-22-2,0.11980987400712825,0.8801901259928718
52907-07-0,0.47660981771970223,0.5233901822802978
50585-41-6,0.2579978889865971,0.7420021110134029
3322-93-8,0.36664988195212755,0.6333501180478724
21850-44-2,0.6239575586322362,0.3760424413677637
7682-32-8,0.0,1.0
89427-35-0,0.0,1.0
126-72-7,0.20729195756479454,0.7927080424352054
3194-55-6,0.5516657315550061,0.4483342684449939
20566-35-2,0.3423736687269739,0.657626331273026
2338-30-9,0.0,1.0
87-84-3,0.36314074043736894,0.636859259562631
608-71-9,0.3121361931993372,0.6878638068006627
32588-76-4,0.8684374192574835,0.13156258074251648
32536-52-0,0.5124036495468371,0.4875963504531629
27858-07-7,0.783317535616477,0.21668246438352307
61262-53-1,0.5934619314515529,0.4065380685484471
84852-53-9,0.8464257545407923,0.15357424545920775
13654-09-6,0.8962871758732431,0.10371282412675682
3674-13-3,0.06008080034367166,0.9399191996563283
78-75-1,0.17388495125275583,0.8261150487472442
89427-38-3,0.0,1.0
10474-14-3,0.07183293625205808,0.9281670637479419
300-76-5,0.04071912069173255,0.9592808793082674
2872-96-0,0.11965690352112264,0.8803430964788773
106-93-4,0.12016705958245925,0.8798329404175407
1947-58-6,0.07017049078495513,0.9298295092150448
96-13-9,0.17026500120817017,0.8297349987918298
96-12-8,0.05771824813468064,0.9422817518653194
18791-02-1,0.06309136249235021,0.9369086375076497
75-81-0,0.11954376104558602,0.8804562389544139
590-12-5,0.06397015744906945,0.9360298425509305
2302-30-9,0.18033709837747083,0.8196629016225292
14689-59-9,0.0,1.0
79-27-6,0.11768639301520906,0.8823136069847909
63867-08-3,0.5160600724773909,0.48393992752260906
64047-47-8,0.4922208311295485,0.5077791688704516
63938-47-6,0.48057271974799487,0.5194272802520051
613-53-6,0.25694308052347786,0.7430569194765221
115-17-3,0.11906814495556638,0.8809318550444336
75-25-2,0.057504857112151045,0.942495142887849
42136-31-2,0.08996291142243872,0.9100370885775613
64050-72-2,0.04105141494213297,0.9589485850578671
42136-30-1,0.11138988416211892,0.8886101158378811
26637-71-8,0.8113062603316384,0.1886937396683615
69094-18-4,0.327539555543686,0.6724604444563139
74-95-3,0.10272380301501614,0.8972761969849838
3252-43-5,0.06078453255227424,0.9392154674477258
598-91-4,0.06604826553695296,0.933951734463047
124-48-1,0.0770994577467907,0.9229005422532094
25497-30-7,0.7012176534333784,0.2987823465666216
83447-96-5,0.6286248772222613,0.37137512277773854
473-49-4,0.19608291590435592,0.8039170840956441
117900-35-3,0.14151088146305013,0.8584891185369499
4460-32-6,0.3218123869116885,0.6781876130883114
2260-08-4,0.6087061522044761,0.39129384779552395
386-17-4,0.6306219425173815,0.3693780574826185
67-30-1,0.741315862669947,0.2586841373300531
16423-68-0,0.6755697411037064,0.32443025889629357
10397-75-8,0.901839735080411,0.09816026491958887
59017-64-0,0.9517130764788803,0.048286923521119754
79770-24-4,0.9429413347711167,0.05705866522888319
7246-21-1,0.7189319956489645,0.28106800435103546
96-84-4,0.6459159107085797,0.3540840892914202
59939-17-2,0.7697734612596683,0.23022653874033178
16034-77-8,0.7438885343480062,0.25611146565199383
22730-89-8,0.7875047986614258,0.21249520133857414
31112-62-6,0.8400908179926209,0.15990918200737916
440-58-4,0.787778676198282,0.2122213238017179
66108-95-0,0.8948375993093796,0.10516240069062044
3115-05-7,0.6450474098179857,0.35495259018201436
111453-32-8,0.7883207355072507,0.21167926449274932
19403-92-0,0.2557573254227187,0.7442426745772813
35453-19-1,0.808556235595136,0.19144376440486402
37441-29-5,0.6944825629031491,0.30551743709685086
19774-82-4,0.20083915326773308,0.7991608467322668
3861-47-0,0.4845707453754807,0.5154292546245192
57808-65-8,0.41475762912087777,0.5852423708791222
577-91-3,0.46653610188247624,0.5334638981175238
14689-57-7,0.0,1.0
17601-49-9,0.4204447530101634,0.5795552469898366
1746-25-4,0.24878148066440303,0.751218519335597
29717-26-8,0.6021261851317619,0.39787381486823803
75-47-8,0.05904644768062539,0.9409535523193746
68439-50-9,0.852365663060729,0.14763433693927094
9004-95-9,0.8628129475722304,0.13718705242776966
65-29-2,0.13676618281610026,0.8632338171838998
63869-27-2,0.1818961973318629,0.8181038026681371
3247-33-4,0.11755943194271415,0.8824405680572859
70682-61-0,0.8691843691869803,0.13081563081301964
3319-31-1,1.0,0.0
301-13-3,1.0,0.0
78-42-2,0.702322076581903,0.29767792341809696
56706-10-6,0.801998819510911,0.198001180489089
160194-28-5,0.745665192206713,0.254334807793287
15458-87-4,0.6382724847606883,0.36172751523931174
105084-66-0,0.0,1.0
13080-06-3,0.7847825365258315,0.2152174634741685
15180-47-9,0.7133640762329474,0.28663592376705266
35077-00-0,0.8276191969124246,0.17238080308757542
63869-22-7,0.0,1.0
139-60-6,0.48268952998558895,0.517310470014411
34206-40-1,0.8844031367317498,0.1155968632682502
752-56-7,0.38969321347190355,0.6103067865280963
74758-25-1,0.10844230409096825,0.8915576959090318
23505-41-1,0.08163366332425782,0.9183663366757422
154702-15-5,0.5433377313487666,0.4566622686512334
3857-80-5,0.21420891070028347,0.7857910892997165
3687-16-9,0.28465850183658953,0.7153414981634104
141-94-6,0.34245850806940537,0.6575414919305946
68289-21-4,0.27785405898047677,0.7221459410195232
67762-53-2,0.9367722024758836,0.06322779752411635
4559-86-8,0.8103961934640026,0.1896038065359974
10254-57-6,0.2621297467799399,0.7378702532200602
53306-54-0,1.0,0.0
1941-30-6,0.28434651010562156,0.7156534898943785
682-01-9,0.8008766708630976,0.1991233291369025
486455-65-6,1.0,0.0
126-57-8,1.0,0.0
11138-60-6,1.0,0.0
78-16-0,1.0,0.0
106-20-7,0.5610543435717562,0.4389456564282438
