CASRN,Toxic_knn_rdkit2d-0,Toxic_knn_rdkit2d-1
23233-88-7,0.32184554238228186,0.6781544576177182
87-12-7,0.5247577853685218,0.47524221463147825
31810-89-6,0.6236231135336429,0.37637688646635703
60012-87-5,0.505776165968639,0.4942238340313612
15435-29-7,0.4283360690281783,0.5716639309718217
629-03-8,0.6490637269059337,0.3509362730940662
488-41-5,0.7785260279175681,0.22147397208243186
84-59-3,0.5402085708930773,0.45979142910692267
26846-51-5,0.3996460426322232,0.6003539573677769
55916-20-6,0.5376846177965301,0.46231538220346985
1324-11-4,0.6152819434158733,0.38471805658412667
4228-97-1,0.0,1.0
41035-29-4,0.0,1.0
87-10-5,0.443223841078246,0.556776158921754
25327-89-3,0.5460709407215635,0.45392905927843646
21466-07-9,0.32666300270716486,0.6733369972928351
25637-99-4,0.6823610434809834,0.31763895651901664
25713-60-4,0.5644550551890003,0.43554494481099976
19186-97-1,0.4238961917889787,0.5761038082110214
63333-35-7,0.18615550852177074,0.8138444914782293
1522-92-5,0.2045659699108461,0.7954340300891539
57729-86-9,0.22925624783301096,0.7707437521669891
118-79-6,0.30122714022207436,0.6987728597779256
25333-96-4,0.0,1.0
1689-99-2,0.32414296467107934,0.6758570353289206
3562-84-3,0.572496369845991,0.4275036301540091
611-75-6,0.1903179170328987,0.8096820829671014
3296-90-0,0.6799107448942634,0.32008925510573666
13181-17-4,0.41167085840044115,0.5883291415995588
615-58-7,0.29739165644897114,0.7026083435510289
6609-53-6,0.0,1.0
53615-23-9,0.0,1.0
89427-28-1,0.0,1.0
89427-33-8,0.0,1.0
14689-56-6,0.0,1.0
3393-60-0,0.0,1.0
89427-29-2,0.0,1.0
15287-51-1,0.06706274520170634,0.9329372547982936
94847-66-2,0.12303984192468567,0.8769601580753144
2034-22-2,0.14480343566602505,0.855196564333975
52907-07-0,0.6698845685520011,0.3301154314479989
50585-41-6,0.3464305245535715,0.6535694754464284
3322-93-8,0.47088205495681884,0.5291179450431811
