CASRN,Toxic_svm_ecfp6bits-0,Toxic_svm_ecfp6bits-1
23233-88-7,0.4048767813357137,0.5951232186642862
87-12-7,0.5527717160793102,0.44722828392068986
31810-89-6,0.5248313075540363,0.4751686924459636
60012-87-5,0.5903225989941399,0.4096774010058602
15435-29-7,0.43345887334415256,0.5665411266558475
629-03-8,0.5234576560817734,0.4765423439182268
488-41-5,0.3602007884390479,0.6397992115609522
84-59-3,0.389671480073502,0.610328519926498
26846-51-5,0.6477241242815569,0.35227587571844293
55916-20-6,0.7824580932618764,0.21754190673812368
1324-11-4,0.6127884805671382,0.3872115194328618
4228-97-1,0.06481301099544881,0.9351869890045512
41035-29-4,0.14049278247979877,0.8595072175202011
87-10-5,0.5262884252876187,0.4737115747123814
25327-89-3,0.22076496824753195,0.7792350317524682
21466-07-9,0.8104114104118774,0.18958858958812272
25637-99-4,0.3313770187316585,0.6686229812683416
25713-60-4,0.6468014890389381,0.3531985109610619
19186-97-1,0.2976621928994404,0.7023378071005598
63333-35-7,0.1271636971565756,0.8728363028434243
1522-92-5,0.5314875546228188,0.4685124453771813
57729-86-9,0.1281619682941333,0.8718380317058668
118-79-6,0.45774729635532424,0.5422527036446758
25333-96-4,0.2943972250675543,0.7056027749324458
1689-99-2,0.814830521817354,0.18516947818264576
3562-84-3,0.5434462176332628,0.45655378236673716
611-75-6,0.31661531386130876,0.6833846861386913
3296-90-0,0.6842112160895668,0.315788783910433
13181-17-4,0.25352662079970567,0.7464733792002946
615-58-7,0.31555302904068827,0.6844469709593116
6609-53-6,0.15797958883453175,0.8420204111654682
53615-23-9,0.13658467115776005,0.8634153288422399
89427-28-1,0.17576216355951524,0.8242378364404848
89427-33-8,0.08711092583917852,0.9128890741608213
14689-56-6,0.09319153281895337,0.9068084671810467
3393-60-0,0.08044881447566189,0.9195511855243381
89427-29-2,0.14031509308764903,0.8596849069123511
15287-51-1,0.6479848990900303,0.3520151009099697
94847-66-2,0.22706218317110308,0.7729378168288971
2034-22-2,0.3586516143699733,0.6413483856300266
52907-07-0,0.33360639329618735,0.6663936067038128
50585-41-6,0.41244980409680304,0.5875501959031971
3322-93-8,0.3780454946725379,0.621954505327462
21850-44-2,0.49234493739498875,0.5076550626050113
7682-32-8,0.2765173884640981,0.7234826115359019
89427-35-0,0.09702482122391877,0.9029751787760812
126-72-7,0.32174626746376894,0.678253732536231
3194-55-6,0.30158288667139393,0.698417113328606
20566-35-2,0.9218954070365041,0.07810459296349564
2338-30-9,0.15446418765089304,0.8455358123491069
87-84-3,0.2544406555796599,0.7455593444203402
608-71-9,0.33572747227084704,0.664272527729153
32588-76-4,0.71257734207901,0.28742265792099014
32536-52-0,0.3914193774719048,0.6085806225280952
27858-07-7,0.6077828365382978,0.39221716346170205
61262-53-1,0.3334552964190471,0.6665447035809529
84852-53-9,0.4653094775952824,0.5346905224047175
13654-09-6,0.5939878524860983,0.40601214751390174
3674-13-3,0.6343352995778587,0.3656647004221413
78-75-1,0.23325774674845814,0.766742253251542
89427-38-3,0.07712515942170813,0.9228748405782918
10474-14-3,0.09938482968010631,0.9006151703198936
300-76-5,0.0796397645513351,0.9203602354486649
2872-96-0,0.08815098551317303,0.9118490144868269
106-93-4,0.23752790867550638,0.7624720913244936
1947-58-6,0.6810560124035618,0.31894398759643827
96-13-9,0.6670469260417615,0.33295307395823837
96-12-8,0.07427576436319892,0.9257242356368014
18791-02-1,0.22341554472131284,0.7765844552786874
75-81-0,0.13131212120080604,0.868687878799194
590-12-5,0.24298588447565822,0.7570141155243415
2302-30-9,0.25182887202555815,0.7481711279744421
14689-59-9,0.06910520932561338,0.9308947906743866
79-27-6,0.30687730997594154,0.6931226900240586
63867-08-3,0.6159088412694808,0.3840911587305194
64047-47-8,0.5443285306966966,0.4556714693033035
63938-47-6,0.29669061457768137,0.7033093854223187
613-53-6,0.5938163677981119,0.4061836322018881
115-17-3,0.2536454390298849,0.7463545609701149
