CASRN,Toxic_svm_ecfp6counts-0,Toxic_svm_ecfp6counts-1
23233-88-7,0.30660570273889876,0.6933942972611012
87-12-7,0.4377245270582605,0.5622754729417395
31810-89-6,0.4721783483788864,0.5278216516211134
60012-87-5,0.6491578397192692,0.3508421602807308
15435-29-7,0.5506680148928219,0.44933198510717826
629-03-8,0.5193425742098692,0.4806574257901308
488-41-5,0.6456315294539334,0.3543684705460666
84-59-3,0.44410805487857874,0.5558919451214213
26846-51-5,0.7022750168589522,0.2977249831410477
55916-20-6,0.6940679834250295,0.3059320165749704
1324-11-4,0.554401314847911,0.445598685152089
4228-97-1,0.0664211086698589,0.933578891330141
41035-29-4,0.07351355478865888,0.926486445211341
87-10-5,0.24960229197052755,0.7503977080294726
25327-89-3,0.6306789267764338,0.3693210732235661
21466-07-9,0.7489299099897471,0.25107009001025293
25637-99-4,0.3172511717986963,0.6827488282013038
25713-60-4,0.8237900021911115,0.17620999780888852
19186-97-1,0.444090487329587,0.5559095126704129
63333-35-7,0.2371959436217255,0.7628040563782746
1522-92-5,0.5290137264029918,0.4709862735970082
57729-86-9,0.24585370696045655,0.7541462930395433
118-79-6,0.18674134165695416,0.8132586583430459
25333-96-4,0.35486111478394083,0.6451388852160593
1689-99-2,0.6018945898977615,0.3981054101022384
3562-84-3,0.4916337581653555,0.5083662418346446
611-75-6,0.22348369098857543,0.7765163090114244
3296-90-0,0.8404541202336506,0.15954587976634954
13181-17-4,0.31359073238929697,0.686409267610703
615-58-7,0.3941217395326288,0.6058782604673713
6609-53-6,0.10468865986568468,0.8953113401343153
53615-23-9,0.14339700927297655,0.8566029907270235
89427-28-1,0.115945604956272,0.884054395043728
89427-33-8,0.21042421365002606,0.7895757863499737
14689-56-6,0.16127735762596176,0.8387226423740384
3393-60-0,0.07909555663205237,0.9209044433679476
89427-29-2,0.16563107868920107,0.834368921310799
15287-51-1,0.5418671865901146,0.4581328134098854
94847-66-2,0.22043644751775815,0.7795635524822419
2034-22-2,0.18936097170544572,0.8106390282945543
52907-07-0,0.7626882719681156,0.23731172803188447
50585-41-6,0.5334519092649451,0.4665480907350549
3322-93-8,0.21647125003942647,0.7835287499605735
21850-44-2,0.8292066013461425,0.17079339865385726
7682-32-8,0.24371346299171012,0.75628653700829
89427-35-0,0.14851950316219903,0.8514804968378009
126-72-7,0.34451197141937173,0.655488028580628
3194-55-6,0.4269770679623716,0.5730229320376286
20566-35-2,0.9059434682662948,0.09405653173370494
2338-30-9,0.21003402793763923,0.7899659720623607
87-84-3,0.2865311267778752,0.7134688732221245
608-71-9,0.517533702347446,0.4824662976525539
32588-76-4,0.9422909093969849,0.057709090603014955
32536-52-0,0.2905302384197304,0.7094697615802695
27858-07-7,0.6782278718676041,0.32177212813239614
61262-53-1,0.5528925762770188,0.4471074237229811
84852-53-9,0.797026659793419,0.20297334020658087
13654-09-6,0.8633158772525247,0.13668412274747543
3674-13-3,0.44039043617534973,0.5596095638246504
78-75-1,0.2089489429138149,0.7910510570861852
89427-38-3,0.09259479410986476,0.9074052058901353
10474-14-3,0.14602281777366777,0.8539771822263322
300-76-5,0.1228272686511769,0.8771727313488231
2872-96-0,0.3199126189794867,0.6800873810205132
106-93-4,0.22966433308346676,0.770335666916533
1947-58-6,0.5524897358489699,0.44751026415103007
96-13-9,0.34270883043698247,0.6572911695630174
96-12-8,0.07065799018623795,0.9293420098137621
18791-02-1,0.10427023349027822,0.8957297665097217
75-81-0,0.10229855469555124,0.8977014453044486
590-12-5,0.2530528570269502,0.7469471429730499
2302-30-9,0.12957493802590325,0.8704250619740969
14689-59-9,0.11379688050201231,0.8862031194979878
79-27-6,0.21100679304005834,0.7889932069599417
63867-08-3,0.603988127527021,0.39601187247297914
64047-47-8,0.28450304137315136,0.7154969586268486
63938-47-6,0.2700076387269821,0.7299923612730177
613-53-6,0.4384674900403193,0.5615325099596806
115-17-3,0.3104950051068631,0.6895049948931368
75-25-2,0.14030262226441922,0.8596973777355807
42136-31-2,0.11659333758094055,0.8834066624190594
64050-72-2,0.0859463347893851,0.9140536652106148
42136-30-1,0.11833169227861554,0.8816683077213845
26637-71-8,0.3755344516467626,0.6244655483532374
69094-18-4,0.30207043110049747,0.6979295688995021
74-95-3,0.2102084451531278,0.7897915548468724
3252-43-5,0.07579914873734253,0.9242008512626577
598-91-4,0.09145978306216898,0.908540216937831
124-48-1,0.11406394033158408,0.885936059668416
25497-30-7,0.16084300998651746,0.8391569900134825
83447-96-5,0.3995663171619467,0.6004336828380534
473-49-4,0.2961659799622121,0.7038340200377876
117900-35-3,0.44630127418562876,0.5536987258143713
4460-32-6,0.1900406148041387,0.8099593851958614
2260-08-4,0.6582567246881875,0.3417432753118123
386-17-4,0.6433046849469324,0.3566953150530676
67-30-1,0.7724750390682472,0.22752496093175284
16423-68-0,0.6018815704064643,0.39811842959353555
10397-75-8,0.8780245970438671,0.12197540295613304
59017-64-0,0.7282620812527553,0.27173791874724457
79770-24-4,0.6473238876759496,0.3526761123240504
7246-21-1,0.8983593428455106,0.10164065715448946
96-84-4,0.6332422990367601,0.36675770096323984
59939-17-2,0.657719060421763,0.34228093957823696
16034-77-8,0.6892358094272962,0.3107641905727037
22730-89-8,0.7580178894933398,0.24198211050666
31112-62-6,0.7075844655978746,0.2924155344021255
440-58-4,0.6683979324849675,0.3316020675150325
66108-95-0,0.9232762676656443,0.07672373233435589
3115-05-7,0.41567896579154595,0.584321034208454
111453-32-8,0.7414748018649445,0.2585251981350554
19403-92-0,0.5431363403652556,0.4568636596347444
35453-19-1,0.7716703366053338,0.2283296633946661
37441-29-5,0.5456996570248718,0.4543003429751282
19774-82-4,0.24160054056474678,0.7583994594352531
3861-47-0,0.7791665983820756,0.22083340161792447
57808-65-8,0.5289946746926473,0.47100532530735284
577-91-3,0.34509109197071386,0.6549089080292863
14689-57-7,0.10110842459269345,0.8988915754073065
17601-49-9,0.42120161684504476,0.578798383154955
1746-25-4,0.3103553322886763,0.6896446677113237
29717-26-8,0.8256180792286562,0.17438192077134415
75-47-8,0.22755127414102608,0.7724487258589741
68439-50-9,0.8405021280090875,0.1594978719909127
9004-95-9,0.914147503437448,0.08585249656255203
65-29-2,0.4325799566782311,0.5674200433217688
63869-27-2,0.3307004720204093,0.6692995279795908
3247-33-4,0.295704072958093,0.704295927041907
70682-61-0,0.8681499960283582,0.1318500039716418
3319-31-1,0.8789437630085359,0.12105623699146377
301-13-3,0.8774115740980902,0.12258842590190959
78-42-2,0.7500351692827019,0.24996483071729808
56706-10-6,0.41416695158645245,0.5858330484135474
160194-28-5,0.37848211208088633,0.6215178879191136
15458-87-4,0.4534415668365008,0.5465584331634994
105084-66-0,0.14706220748283352,0.8529377925171666
13080-06-3,0.7035678461588859,0.2964321538411141
15180-47-9,0.35435812231797,0.6456418776820301
35077-00-0,0.7190965503535,0.28090344964650005
63869-22-7,0.1752967304772036,0.8247032695227964
139-60-6,0.2920617090420045,0.7079382909579954
34206-40-1,0.8300643661827883,0.16993563381721175
752-56-7,0.865188615300637,0.13481138469936302
74758-25-1,0.17078152743033712,0.829218472569663
23505-41-1,0.14479716885719904,0.8552028311428009
154702-15-5,0.884195859813781,0.11580414018621886
3857-80-5,0.3524704737959661,0.6475295262040339
3687-16-9,0.5228278340291446,0.47717216597085554
141-94-6,0.751963062306826,0.2480369376931741
68289-21-4,0.3879341617406734,0.6120658382593265
67762-53-2,0.8510159303761211,0.14898406962387892
