CASRN,Toxic_svm_maccs-0,Toxic_svm_maccs-1
23233-88-7,0.7289494830594123,0.2710505169405875
87-12-7,0.41670933206695077,0.5832906679330492
31810-89-6,0.8418642178472785,0.15813578215272148
60012-87-5,0.4423243598305988,0.5576756401694013
15435-29-7,0.19563186539024022,0.8043681346097598
629-03-8,0.39702286886881294,0.602977131131187
488-41-5,0.566422098411537,0.433577901588463
84-59-3,0.583511007748082,0.4164889922519181
26846-51-5,0.5524986062761198,0.4475013937238805
55916-20-6,0.4096238522180899,0.5903761477819102
1324-11-4,0.6846135541623305,0.31538644583766945
4228-97-1,0.07856572328296559,0.9214342767170342
41035-29-4,0.12554337887315392,0.8744566211268462
87-10-5,0.4046351330160604,0.5953648669839396
25327-89-3,0.8009078000960853,0.1990921999039147
21466-07-9,0.7266500459169087,0.27334995408309154
25637-99-4,0.16741738717828253,0.8325826128217175
25713-60-4,0.7775216417302299,0.22247835826977005
19186-97-1,0.1385749980834469,0.861425001916553
63333-35-7,0.12367677611091223,0.8763232238890877
1522-92-5,0.0725345466610808,0.9274654533389192
57729-86-9,0.17177341125458645,0.8282265887454136
118-79-6,0.10783216496222398,0.8921678350377761
25333-96-4,0.11574678802155229,0.8842532119784476
1689-99-2,0.20106262035437716,0.7989373796456227
3562-84-3,0.4349408421227097,0.5650591578772904
611-75-6,0.2111598316278822,0.7888401683721179
3296-90-0,0.3398306151296912,0.6601693848703087
13181-17-4,0.5433017952057791,0.4566982047942209
615-58-7,0.07490702925723303,0.9250929707427672
6609-53-6,0.07095318428130112,0.929046815718699
53615-23-9,0.12607589317587733,0.8739241068241228
89427-28-1,0.099812904124588,0.9001870958754121
89427-33-8,0.12554337887315392,0.8744566211268462
14689-56-6,0.12554337887315392,0.8744566211268462
3393-60-0,0.10953967944554154,0.8904603205544585
89427-29-2,0.10749879393985341,0.8925012060601466
15287-51-1,0.25863469409408485,0.741365305905915
94847-66-2,0.11866244896297273,0.8813375510370272
2034-22-2,0.07021914775011895,0.9297808522498812
52907-07-0,0.8614485852050513,0.13855141479494873
50585-41-6,0.2309949834520437,0.7690050165479562
3322-93-8,0.5,0.5
21850-44-2,0.9121323956667629,0.08786760433323722
7682-32-8,0.099812904124588,0.9001870958754121
89427-35-0,0.1279923274380811,0.872007672561919
126-72-7,0.15716532381558804,0.8428346761844119
3194-55-6,0.391101664414402,0.6088983355855979
20566-35-2,0.5162593087775025,0.4837406912224975
2338-30-9,0.10289461545351779,0.8971053845464825
87-84-3,0.2250481988116197,0.7749518011883803
608-71-9,0.1270091729716268,0.8729908270283732
32588-76-4,0.8873426538808022,0.11265734611919792
32536-52-0,0.8804006623112764,0.11959933768872354
27858-07-7,0.8845895068517319,0.11541049314826818
61262-53-1,0.8101338118592752,0.18986618814072492
84852-53-9,0.9270419366448187,0.07295806335518133
13654-09-6,0.8796786468946521,0.12032135310534792
3674-13-3,0.09400424834155346,0.9059957516584466
78-75-1,0.15153716178469007,0.8484628382153098
89427-38-3,0.10452545863669505,0.8954745413633048
10474-14-3,0.18098942115008754,0.8190105788499126
300-76-5,0.07856139367553426,0.9214386063244657
2872-96-0,0.19627367589437023,0.8037263241056296
106-93-4,0.10166682288863933,0.8983331771113607
1947-58-6,0.08805754785295306,0.911942452147047
96-13-9,0.07577614152150955,0.9242238584784902
96-12-8,0.0573879485863398,0.9426120514136602
18791-02-1,0.02983076974397308,0.970169230256027
75-81-0,0.13079517686531247,0.8692048231346874
590-12-5,0.07714784795084036,0.9228521520491596
2302-30-9,0.08211062713861643,0.9178893728613837
14689-59-9,0.1281581523405168,0.871841847659483
79-27-6,0.12818173575868017,0.8718182642413198
63867-08-3,0.5806860556269465,0.4193139443730535
64047-47-8,0.22139402539982847,0.7786059746001714
63938-47-6,0.4293409549638487,0.5706590450361514
613-53-6,0.29675284031661053,0.7032471596833895
115-17-3,0.12590538462081602,0.8740946153791839
75-25-2,0.14707111993380478,0.8529288800661952
42136-31-2,0.10621724096402119,0.8937827590359787
64050-72-2,0.07779241023615942,0.9222075897638407
42136-30-1,0.12001000173408567,0.8799899982659143
26637-71-8,0.7278978216709255,0.2721021783290743
69094-18-4,0.16913445695831292,0.830865543041687
74-95-3,0.09880797648443353,0.9011920235155664
3252-43-5,0.08758289748767605,0.912417102512324
598-91-4,0.05798517509424479,0.9420148249057552
124-48-1,0.1319224353326425,0.8680775646673576
25497-30-7,0.7104123736555773,0.2895876263444229
83447-96-5,0.5359689635137989,0.4640310364862012
473-49-4,0.14373862167699045,0.8562613783230097
117900-35-3,0.27425891160376475,0.7257410883962354
4460-32-6,0.19920644477090035,0.8007935552290998
2260-08-4,0.40340003280268777,0.5965999671973122
386-17-4,0.5211830543219883,0.47881694567801153
67-30-1,0.452501880650855,0.5474981193491449
16423-68-0,0.532740837295361,0.46725916270463896
10397-75-8,0.8365868709481754,0.16341312905182456
59017-64-0,0.8313936110518948,0.1686063889481053
79770-24-4,0.7792096128609054,0.22079038713909477
7246-21-1,0.860049240351764,0.1399507596482358
96-84-4,0.09399590574550597,0.9060040942544939
59939-17-2,0.6606842458976556,0.3393157541023445
16034-77-8,0.8302722392715817,0.16972776072841836
22730-89-8,0.7836782640002637,0.2163217359997363
31112-62-6,0.8073452594680003,0.1926547405319994
440-58-4,0.8382985651213334,0.16170143487866637
66108-95-0,0.8635966147074067,0.13640338529259308
3115-05-7,0.7980401074822836,0.20195989251771646
111453-32-8,0.8698368288028285,0.13016317119717133
19403-92-0,0.06417454948194919,0.9358254505180509
35453-19-1,0.9306648777759119,0.06933512222408804
37441-29-5,0.7830609408296108,0.21693905917038905
19774-82-4,0.18481357872604776,0.8151864212739524
3861-47-0,0.35519449215187165,0.6448055078481283
57808-65-8,0.6588688812250701,0.34113111877492985
577-91-3,0.25674559427335075,0.7432544057266494
14689-57-7,0.07751156718163227,0.9224884328183677
17601-49-9,0.2988950428592203,0.7011049571407798
1746-25-4,0.09458595155518404,0.9054140484448161
29717-26-8,0.33117069481968564,0.6688293051803144
75-47-8,0.23817519045913546,0.7618248095408643
68439-50-9,0.8896588464291814,0.11034115357081849
9004-95-9,0.9053893490675792,0.09461065093242092
65-29-2,0.17609172080828833,0.8239082791917115
63869-27-2,0.05611518281229019,0.9438848171877098
3247-33-4,0.0741918138619315,0.9258081861380685
70682-61-0,0.6501417364624495,0.34985826353755056
3319-31-1,0.9119305801109018,0.08806941988909804
301-13-3,0.8737708940466266,0.12622910595337347
78-42-2,0.8463862937504091,0.15361370624959075
56706-10-6,0.6287656180070048,0.37123438199299513
160194-28-5,0.792598371466053,0.2074016285339469
15458-87-4,0.2704662608766834,0.7295337391233165
105084-66-0,0.13293913662215046,0.8670608633778496
13080-06-3,0.5922135864777036,0.4077864135222963
15180-47-9,0.441370509464628,0.5586294905353718
35077-00-0,0.5323837524499977,0.46761624755000236
