CASRN,Toxic_svm_mordred-0,Toxic_svm_mordred-1
23233-88-7,0.5098491587433629,0.490150841256637
87-12-7,0.47682053215020676,0.5231794678497932
31810-89-6,0.7033677074627329,0.29663229253726703
60012-87-5,0.35988810680685634,0.6401118931931437
15435-29-7,0.5161471646663904,0.48385283533360973
629-03-8,0.5215797179990537,0.4784202820009463
488-41-5,0.2927677100942876,0.7072322899057127
84-59-3,0.6989940544213825,0.3010059455786175
26846-51-5,0.43575301894521734,0.5642469810547825
55916-20-6,0.4357944487373756,0.5642055512626243
1324-11-4,0.9505595757003342,0.049440424299665726
4228-97-1,0.11790396727543952,0.8820960327245603
41035-29-4,0.1068128541011813,0.8931871458988188
87-10-5,0.5775814335429283,0.4224185664570715
25327-89-3,0.9068594912760981,0.093140508723902
21466-07-9,0.5583428101271263,0.44165718987287383
25637-99-4,0.9074481504425481,0.09255184955745184
25713-60-4,0.8521452207082859,0.14785477929171434
19186-97-1,0.82499383450251,0.17500616549748987
63333-35-7,0.2778998330423442,0.7221001669576557
1522-92-5,0.0674374125627862,0.9325625874372137
57729-86-9,0.10839769085107255,0.8916023091489274
118-79-6,0.13046509398735776,0.8695349060126424
25333-96-4,0.059616881445031536,0.9403831185549684
1689-99-2,0.19841142862420003,0.8015885713758
3562-84-3,0.5230995738917441,0.47690042610825595
611-75-6,0.05987283164614491,0.940127168353855
3296-90-0,0.1565254666385752,0.8434745333614247
13181-17-4,0.47684489744758296,0.523155102552417
615-58-7,0.08486168585410747,0.9151383141458926
6609-53-6,0.11109779846988888,0.8889022015301111
53615-23-9,0.1309709406625896,0.8690290593374105
89427-28-1,0.1342981358220834,0.8657018641779165
89427-33-8,0.09084724245716427,0.9091527575428355
14689-56-6,0.10501882821908305,0.8949811717809171
3393-60-0,0.1115190204878913,0.8884809795121088
89427-29-2,0.12322912607233494,0.876770873927665
15287-51-1,0.08488763058449145,0.9151123694155086
94847-66-2,0.17613973560856905,0.8238602643914307
2034-22-2,0.1133840874371043,0.8866159125628956
52907-07-0,0.9646350545487271,0.035364945451272965
50585-41-6,0.33717899857415573,0.6628210014258443
3322-93-8,0.6518759116143599,0.3481240883856401
21850-44-2,0.42104196645803327,0.5789580335419667
7682-32-8,0.10902023119778906,0.8909797688022111
89427-35-0,0.12868502689751923,0.8713149731024808
126-72-7,0.3369066662582401,0.6630933337417599
3194-55-6,0.925380108629231,0.07461989137076895
20566-35-2,0.1958170828182981,0.8041829171817018
2338-30-9,0.19079218614013463,0.8092078138598653
87-84-3,0.5383962659860486,0.4616037340139513
608-71-9,0.44242655005223,0.55757344994777
32588-76-4,0.9176906001949893,0.08230939980501062
32536-52-0,0.5500493532919066,0.44995064670809315
27858-07-7,0.9526413776453649,0.047358622354635026
61262-53-1,0.8183970128502576,0.18160298714974266
84852-53-9,0.9709183445886893,0.02908165541131069
13654-09-6,0.9522462063476695,0.04775379365233061
3674-13-3,0.06579997709575751,0.9342000229042425
78-75-1,0.35539819708905407,0.6446018029109462
89427-38-3,0.19025903224332338,0.8097409677566767
10474-14-3,0.22981227343783334,0.7701877265621666
300-76-5,0.1912666849844757,0.8087333150155241
2872-96-0,0.08719567522311979,0.9128043247768801
106-93-4,0.1523018711986962,0.8476981288013038
1947-58-6,0.08998619905135696,0.9100138009486429
96-13-9,0.04470170287387876,0.9552982971261212
96-12-8,0.08432667861609314,0.9156733213839068
18791-02-1,0.044297787287191775,0.9557022127128083
75-81-0,0.20400524541976287,0.795994754580237
590-12-5,0.005968967857206778,0.9940310321427931
2302-30-9,0.08886458777102053,0.9111354122289793
14689-59-9,0.10140152564263241,0.8985984743573675
79-27-6,0.3958436559631163,0.6041563440368837
63867-08-3,0.6531244166436537,0.3468755833563463
64047-47-8,0.6611039028048331,0.33889609719516683
63938-47-6,0.562652178592073,0.4373478214079271
613-53-6,0.5218531371967388,0.4781468628032613
115-17-3,0.2933470621571237,0.7066529378428764
75-25-2,0.13374798208574348,0.8662520179142564
42136-31-2,0.13709124641175638,0.8629087535882436
64050-72-2,0.18853667960122464,0.8114633203987754
42136-30-1,0.18580517070723573,0.8141948292927642
26637-71-8,0.884210996646211,0.11578900335378897
69094-18-4,0.5,0.5
74-95-3,0.09345394322399282,0.906546056776007
3252-43-5,0.009059650873435937,0.9909403491265641
598-91-4,0.05626109311626029,0.9437389068837396
124-48-1,0.10935668160362677,0.8906433183963732
25497-30-7,0.9080828789231077,0.09191712107689241
83447-96-5,0.7552788554767823,0.24472114452321778
473-49-4,0.21529407964809152,0.7847059203519083
117900-35-3,0.4512054721036448,0.5487945278963551
4460-32-6,0.25989765847593577,0.7401023415240643
2260-08-4,0.35415835257494027,0.6458416474250597
386-17-4,0.6087223074937022,0.3912776925062978
67-30-1,0.8612224134052702,0.13877758659472972
16423-68-0,0.6784092424131408,0.3215907575868593
10397-75-8,0.9733782336432389,0.0266217663567611
59017-64-0,0.9643577213462484,0.035642278653751566
79770-24-4,0.8058243177001384,0.1941756822998617
7246-21-1,0.8866651145149097,0.1133348854850903
96-84-4,0.6810447997037066,0.31895520029629354
59939-17-2,0.8510432878645362,0.14895671213546408
16034-77-8,0.9215815348332999,0.07841846516670034
22730-89-8,0.5992116256225327,0.40078837437746734
31112-62-6,0.9734965860929505,0.02650341390704935
440-58-4,0.9550769417107434,0.04492305828925671
66108-95-0,0.8929331331197049,0.10706686688029518
3115-05-7,0.7795078433579384,0.22049215664206132
111453-32-8,0.8835566231719142,0.11644337682808574
19403-92-0,0.1451605395282578,0.8548394604717423
35453-19-1,0.9065630785993185,0.09343692140068151
37441-29-5,0.9279094001931991,0.07209059980680112
19774-82-4,0.4562115967161356,0.5437884032838642
3861-47-0,0.4872575384064244,0.5127424615935755
57808-65-8,0.8100638840175539,0.18993611598244609
577-91-3,0.4658587688453093,0.5341412311546906
14689-57-7,0.16069602680458406,0.839303973195416
17601-49-9,0.6658768410338467,0.33412315896615324
1746-25-4,0.294666849281172,0.705333150718828
29717-26-8,0.6072551654060375,0.3927448345939624
75-47-8,0.3580272308127584,0.6419727691872417
68439-50-9,0.8131754444096287,0.18682455559037128
9004-95-9,0.8648945247123172,0.13510547528768288
65-29-2,0.11071171865762465,0.8892882813423754
63869-27-2,0.32129614886494995,0.6787038511350499
3247-33-4,0.19797111984245447,0.8020288801575456
70682-61-0,0.9397911603574682,0.06020883964253154
3319-31-1,0.9399452591254882,0.0600547408745117
301-13-3,0.8799150668995711,0.1200849331004287
78-42-2,0.781680167603255,0.21831983239674502
56706-10-6,0.8862907295469485,0.11370927045305153
160194-28-5,0.7626884860093653,0.23731151399063466
15458-87-4,0.3384451861708458,0.6615548138291539
105084-66-0,0.09654704847729556,0.9034529515227043
13080-06-3,0.3278727428930071,0.6721272571069928
15180-47-9,0.580294576618965,0.41970542338103506
35077-00-0,0.8164138731745507,0.1835861268254495
63869-22-7,0.3123883969440025,0.6876116030559974
139-60-6,0.30777360826143235,0.6922263917385676
34206-40-1,0.9243558930666785,0.07564410693332155
752-56-7,0.8511051075392457,0.14889489246075405
74758-25-1,0.12145385125377643,0.8785461487462235
23505-41-1,0.06647091197590382,0.9335290880240961
154702-15-5,0.9243116482348749,0.0756883517651251
3857-80-5,0.05002731950966719,0.9499726804903328
3687-16-9,0.06813543787971381,0.9318645621202862
141-94-6,0.05334294089481999,0.9466570591051802
68289-21-4,0.3630286616436906,0.6369713383563094
67762-53-2,0.9205463771297709,0.07945362287022911
4559-86-8,0.59633711518315,0.40366288481685
10254-57-6,0.23230594658865714,0.767694053411343
53306-54-0,0.9395848105180636,0.06041518948193635
1941-30-6,0.07881114547769906,0.9211888545223007
682-01-9,0.9610186220681655,0.03898137793183447
486455-65-6,0.8100682076838229,0.18993179231617718
126-57-8,0.9536480635260939,0.046351936473906216
11138-60-6,0.9493633252449543,0.05063667475504582
78-16-0,0.9457418357832551,0.054258164216744884
106-20-7,0.17881336823391625,0.8211866317660835
295800-70-3,0.3676174768834801,0.6323825231165199
10143-60-9,0.8097545332806321,0.19024546671936785
22174-70-5,0.8225112190432593,0.17748878095674078
19074-24-9,0.9441651512653502,0.055834848734649854
122-62-3,0.9502046375640522,0.04979536243594783
103-24-2,0.9445210295151895,0.05547897048481042
103-23-1,0.8966203555985651,0.10337964440143481
2915-57-3,0.9203851625552383,0.07961483744476183
84731-70-4,0.8584112911159338,0.14158870888406627
117-81-7,0.9264614284892507,0.07353857151074922
14858-73-2,0.9051062075871907,0.09489379241280921
3658-48-8,0.7923681566248684,0.2076318433751316
298-07-7,0.7532480859872558,0.24675191401274424
63449-80-9,0.5,0.5
7425-14-1,0.9017669593793007,0.09823304062069901
18268-70-7,0.8850455643549329,0.11495443564506691
94-28-0,0.8730847334877421,0.126915266512258
3282-85-7,0.7449845456961757,0.2550154543038242
7790-07-0,0.8731729987494065,0.12682700125059343
25724-60-1,0.8841412119084026,0.11585878809159755
10022-60-3,0.8737049440646482,0.12629505593535184
468-61-1,0.2404316352805798,0.7595683647194204
4551-59-1,0.15301363002871207,0.8469863699712878
57647-13-9,0.06766009077565657,0.9323399092243433
27591-69-1,0.331189603100089,0.6688103968999111
589-32-2,0.09632870751098052,0.9036712924890195
60012-88-6,0.5087935508683412,0.49120644913165884
78-53-5,0.051908992769880986,0.9480910072301191
115-79-7,0.2125427908867614,0.7874572091132388
122-31-6,0.792826372158127,0.20717362784187307
78-10-4,0.7088369510810856,0.2911630489189145
17356-42-2,0.08025717169083527,0.9197428283091648
