CASRN,Toxic_svm_rdkit2d-0,Toxic_svm_rdkit2d-1
23233-88-7,0.533639744249395,0.4663602557506051
87-12-7,0.7420254238357538,0.2579745761642464
31810-89-6,0.7326846590867137,0.2673153409132864
60012-87-5,0.43582634752621263,0.5641736524737874
15435-29-7,0.5383748749064831,0.46162512509351694
629-03-8,0.4090035998105654,0.5909964001894344
488-41-5,0.5729101499449879,0.4270898500550121
84-59-3,0.6962192374366386,0.3037807625633617
26846-51-5,0.3816972312604043,0.6183027687395958
55916-20-6,0.5323894240748686,0.4676105759251314
1324-11-4,0.845816210693138,0.15418378930686194
4228-97-1,0.05426686467031155,0.9457331353296883
41035-29-4,0.09034382845920622,0.9096561715407937
87-10-5,0.738878350801077,0.26112164919892294
25327-89-3,0.5201303800811694,0.47986961991883054
21466-07-9,0.5854425849654803,0.41455741503451976
25637-99-4,0.8071581553624658,0.1928418446375339
25713-60-4,0.7082422938225346,0.2917577061774653
19186-97-1,0.6012290801937753,0.3987709198062249
63333-35-7,0.17540254526798327,0.8245974547320168
1522-92-5,0.1386842669566508,0.8613157330433493
57729-86-9,0.2117533371564756,0.7882466628435246
118-79-6,0.18254966893201297,0.8174503310679873
25333-96-4,0.05219178438131637,0.9478082156186838
1689-99-2,0.2861094351471086,0.7138905648528915
3562-84-3,0.5,0.5
611-75-6,0.019592184259320584,0.9804078157406795
3296-90-0,0.28773720551589904,0.7122627944841007
13181-17-4,0.4366128076067071,0.563387192393293
615-58-7,0.08458440811470629,0.9154155918852935
6609-53-6,0.06077073566909296,0.939229264330907
53615-23-9,0.07329384141839608,0.9267061585816041
89427-28-1,0.06650941640615776,0.9334905835938424
89427-33-8,0.07065140257988294,0.9293485974201173
14689-56-6,0.08856986689551191,0.9114301331044881
3393-60-0,0.08373459219470622,0.9162654078052938
89427-29-2,0.0942366284638498,0.9057633715361503
15287-51-1,0.1854655265282934,0.8145344734717068
94847-66-2,0.0567529861241018,0.9432470138758982
2034-22-2,0.054876435720911255,0.9451235642790888
52907-07-0,0.657302551615693,0.3426974483843069
50585-41-6,0.4230701775939595,0.5769298224060406
3322-93-8,0.32228771979206394,0.6777122802079361
21850-44-2,0.8189138151792899,0.18108618482071015
7682-32-8,0.08408373661585138,0.9159162633841484
89427-35-0,0.11612355683020496,0.883876443169795
126-72-7,0.7842640606436738,0.21573593935632618
3194-55-6,0.7957723570989738,0.20422764290102624
20566-35-2,0.6325081730716359,0.36749182692836413
2338-30-9,0.2653648416771896,0.7346351583228105
87-84-3,0.5694203915318633,0.4305796084681366
608-71-9,0.545404119971882,0.45459588002811774
32588-76-4,0.8406102503162619,0.15938974968373817
32536-52-0,0.8068520422082427,0.19314795779175722
27858-07-7,0.8795339553879363,0.12046604461206364
61262-53-1,0.8120440561488556,0.1879559438511445
84852-53-9,0.8498634710160106,0.15013652898398952
13654-09-6,0.8282671637204087,0.17173283627959138
3674-13-3,0.1362804265496149,0.863719573450385
78-75-1,0.21180622309646482,0.7881937769035352
89427-38-3,0.08295452532007884,0.9170454746799213
10474-14-3,0.10125261079189496,0.8987473892081049
300-76-5,0.10079750609916811,0.8992024939008316
2872-96-0,0.0892690504283752,0.9107309495716248
106-93-4,0.1971033735447829,0.8028966264552171
1947-58-6,0.11546764989313565,0.8845323501068644
96-13-9,0.11605156033279458,0.8839484396672054
96-12-8,0.08994908016783305,0.9100509198321668
18791-02-1,0.044216871476136656,0.9557831285238634
75-81-0,0.09081775313469591,0.909182246865304
590-12-5,0.08708528118151738,0.9129147188184826
2302-30-9,0.060299875774524545,0.9397001242254754
14689-59-9,0.09982558674336074,0.9001744132566392
79-27-6,0.27566318395494893,0.7243368160450511
63867-08-3,0.2347856725702477,0.7652143274297525
64047-47-8,0.1750026359801845,0.8249973640198155
63938-47-6,0.18090417646136314,0.8190958235386367
613-53-6,0.1509090543036898,0.8490909456963104
115-17-3,0.07769036803809093,0.9223096319619091
75-25-2,0.2170095360337082,0.782990463966292
42136-31-2,0.14246767077289949,0.8575323292271003
64050-72-2,0.1405132996705141,0.8594867003294862
42136-30-1,0.18706494276345806,0.8129350572365419
26637-71-8,0.5402207399363603,0.4597792600636399
69094-18-4,0.1618116720939473,0.8381883279060527
74-95-3,0.1836084899310998,0.8163915100689003
3252-43-5,0.030993722577092583,0.9690062774229073
598-91-4,0.13223430808284084,0.867765691917159
124-48-1,0.13987597098345234,0.8601240290165475
25497-30-7,0.4563532965620688,0.5436467034379312
83447-96-5,0.36134468441257245,0.6386553155874275
473-49-4,0.30671256943084024,0.6932874305691598
117900-35-3,0.15572144218781508,0.844278557812185
4460-32-6,0.16642408881281906,0.833575911187181
2260-08-4,0.5241922107837236,0.4758077892162764
386-17-4,0.7018600642294811,0.2981399357705187
67-30-1,0.687735025571852,0.31226497442814793
16423-68-0,0.7581226815763938,0.2418773184236061
10397-75-8,0.8046272378291983,0.19537276217080182
59017-64-0,0.8563193120691714,0.1436806879308285
79770-24-4,0.6639090736608536,0.33609092633914645
7246-21-1,0.8008342717075977,0.19916572829240223
96-84-4,0.32375143703925613,0.6762485629607438
59939-17-2,0.6124883089598193,0.3875116910401807
16034-77-8,0.8591244933462928,0.14087550665370702
22730-89-8,0.6722831285439478,0.32771687145605205
31112-62-6,0.8420126559182648,0.15798734408173543
440-58-4,0.8794598797618425,0.12054012023815763
66108-95-0,0.8229033026746947,0.17709669732530522
3115-05-7,0.8371135368236872,0.16288646317631295
111453-32-8,0.9008435033383967,0.09915649666160338
19403-92-0,0.23843662492240186,0.7615633750775983
35453-19-1,0.8865504368833996,0.11344956311660008
37441-29-5,0.7987486454513589,0.20125135454864118
19774-82-4,0.22277202079810587,0.7772279792018941
3861-47-0,0.30490419252953044,0.6950958074704695
57808-65-8,0.7105434370119192,0.2894565629880809
577-91-3,0.16485570784141113,0.8351442921585888
14689-57-7,0.09610789306259704,0.9038921069374031
17601-49-9,0.6294613603614928,0.37053863963850725
