CASRN,Toxic_xgboost_ecfp6bits-0,Toxic_xgboost_ecfp6bits-1
23233-88-7,0.33962452,0.6603755
87-12-7,0.50456643,0.49543357
31810-89-6,0.51327956,0.48672047
60012-87-5,0.58507466,0.4149253
15435-29-7,0.471381,0.528619
629-03-8,0.48852414,0.51147586
488-41-5,0.41619426,0.58380574
84-59-3,0.44795763,0.55204237
26846-51-5,0.65979874,0.34020126
55916-20-6,0.80034184,0.19965816
1324-11-4,0.6842617,0.3157383
4228-97-1,0.035200894,0.9647991
41035-29-4,0.12475073,0.87524927
87-10-5,0.4556247,0.5443753
25327-89-3,0.57558155,0.42441845
21466-07-9,0.77669364,0.22330636
25637-99-4,0.45972484,0.54027516
25713-60-4,0.5904527,0.40954736
19186-97-1,0.2913798,0.7086202
63333-35-7,0.12159914,0.87840086
1522-92-5,0.5098691,0.4901309
57729-86-9,0.21096075,0.78903925
118-79-6,0.48411828,0.5158817
25333-96-4,0.27439874,0.72560126
1689-99-2,0.77546585,0.22453418
3562-84-3,0.6661452,0.3338548
611-75-6,0.25623226,0.74376774
3296-90-0,0.6612783,0.3387217
13181-17-4,0.4053877,0.5946123
615-58-7,0.38123703,0.61876297
6609-53-6,0.051644564,0.94835544
53615-23-9,0.067108154,0.93289185
89427-28-1,0.037608445,0.96239156
89427-33-8,0.060732782,0.9392672
14689-56-6,0.06322557,0.93677443
3393-60-0,0.02727133,0.97272867
89427-29-2,0.057872176,0.9421278
15287-51-1,0.48060066,0.51939934
94847-66-2,0.18389654,0.81610346
2034-22-2,0.42529136,0.57470864
52907-07-0,0.37919188,0.6208081
50585-41-6,0.44072264,0.55927736
3322-93-8,0.4053386,0.5946614
21850-44-2,0.66327906,0.3367209
7682-32-8,0.05441594,0.94558406
89427-35-0,0.04706824,0.95293176
126-72-7,0.36805063,0.63194937
3194-55-6,0.42398328,0.5760167
20566-35-2,0.5226642,0.4773358
2338-30-9,0.06715995,0.93284005
87-84-3,0.30358392,0.6964161
608-71-9,0.41617,0.58383
32588-76-4,0.738052,0.26194796
32536-52-0,0.4637221,0.5362779
27858-07-7,0.6031585,0.39684156
61262-53-1,0.43844116,0.56155884
84852-53-9,0.5317821,0.4682179
13654-09-6,0.51295704,0.48704296
3674-13-3,0.47819513,0.52180487
78-75-1,0.3671531,0.6328469
89427-38-3,0.030141711,0.9698583
10474-14-3,0.28059042,0.7194096
300-76-5,0.14102596,0.85897404
2872-96-0,0.12959087,0.87040913
106-93-4,0.36620194,0.63379806
1947-58-6,0.537125,0.462875
96-13-9,0.6402601,0.3597399
96-12-8,0.13906121,0.8609388
18791-02-1,0.18920642,0.8107936
75-81-0,0.2812879,0.7187121
590-12-5,0.39338702,0.606613
2302-30-9,0.32069933,0.67930067
14689-59-9,0.039996028,0.960004
79-27-6,0.37702072,0.6229793
63867-08-3,0.6334042,0.3665958
64047-47-8,0.489375,0.510625
63938-47-6,0.33425438,0.6657456
613-53-6,0.5215732,0.47842678
115-17-3,0.38660246,0.61339754
75-25-2,0.37221384,0.62778616
42136-31-2,0.10697025,0.89302975
64050-72-2,0.14651579,0.8534842
