CASRN,Toxic_xgboost_ecfp6counts-0,Toxic_xgboost_ecfp6counts-1
23233-88-7,0.27828205,0.72171795
87-12-7,0.4142207,0.5857793
31810-89-6,0.69030035,0.30969962
60012-87-5,0.7883687,0.21163128
15435-29-7,0.6963202,0.3036798
629-03-8,0.6139581,0.38604188
488-41-5,0.70153266,0.29846734
84-59-3,0.4404757,0.5595243
26846-51-5,0.6285366,0.37146342
55916-20-6,0.77850115,0.22149885
1324-11-4,0.42721158,0.5727884
4228-97-1,0.018051445,0.98194855
41035-29-4,0.03501445,0.96498555
87-10-5,0.14015293,0.85984707
25327-89-3,0.7677693,0.23223071
21466-07-9,0.9210607,0.07893933
25637-99-4,0.47229695,0.52770305
25713-60-4,0.9490868,0.05091321
19186-97-1,0.43891984,0.56108016
63333-35-7,0.110073924,0.8899261
1522-92-5,0.328812,0.671188
57729-86-9,0.3434714,0.6565286
118-79-6,0.1340881,0.8659119
25333-96-4,0.2904688,0.7095312
1689-99-2,0.40737987,0.59262013
3562-84-3,0.5848236,0.41517642
611-75-6,0.18423468,0.8157653
3296-90-0,0.8200898,0.17991021
13181-17-4,0.21346116,0.78653884
615-58-7,0.51476824,0.48523176
6609-53-6,0.017531455,0.98246855
53615-23-9,0.020463347,0.97953665
89427-28-1,0.04547012,0.9545299
89427-33-8,0.044807553,0.95519245
14689-56-6,0.034614384,0.9653856
3393-60-0,0.014496803,0.9855032
89427-29-2,0.028301299,0.9716987
15287-51-1,0.39103627,0.6089637
94847-66-2,0.13257873,0.86742127
2034-22-2,0.16410655,0.83589345
52907-07-0,0.8900357,0.10996433
50585-41-6,0.63237715,0.36762288
3322-93-8,0.3465631,0.6534369
21850-44-2,0.76368904,0.23631093
7682-32-8,0.030979514,0.9690205
89427-35-0,0.026035964,0.97396404
126-72-7,0.60332716,0.39667284
3194-55-6,0.58120894,0.4187911
20566-35-2,0.8466529,0.15334707
2338-30-9,0.07775903,0.922241
87-84-3,0.5906316,0.40936837
608-71-9,0.63841,0.36159006
32588-76-4,0.94062275,0.05937723
32536-52-0,0.51370263,0.4862974
27858-07-7,0.8555297,0.14447027
61262-53-1,0.6439023,0.3560977
84852-53-9,0.8694596,0.13054036
13654-09-6,0.93455935,0.065440655
3674-13-3,0.4031312,0.5968688
78-75-1,0.22625661,0.7737434
89427-38-3,0.02256459,0.9774354
10474-14-3,0.123732686,0.8762673
300-76-5,0.08120638,0.9187936
2872-96-0,0.22282428,0.7771757
106-93-4,0.26480192,0.7351981
1947-58-6,0.40755498,0.592445
96-13-9,0.27581066,0.72418934
96-12-8,0.040899217,0.9591008
18791-02-1,0.09021187,0.90978813
75-81-0,0.1628651,0.8371349
590-12-5,0.24640977,0.7535902
2302-30-9,0.18610746,0.81389254
14689-59-9,0.024125338,0.97587466
79-27-6,0.5089514,0.49104854
63867-08-3,0.7043477,0.29565227
64047-47-8,0.47630543,0.5236946
63938-47-6,0.21025234,0.78974766
613-53-6,0.39342123,0.60657877
115-17-3,0.3833483,0.6166517
75-25-2,0.20008999,0.79991
42136-31-2,0.08850056,0.91149944
64050-72-2,0.06367046,0.93632954
42136-30-1,0.09648073,0.9035193
26637-71-8,0.4644767,0.5355233
69094-18-4,0.27709723,0.7229028
74-95-3,0.27491862,0.7250814
3252-43-5,0.1035108,0.8964892
598-91-4,0.07723415,0.92276585
124-48-1,0.12954056,0.87045944
25497-30-7,0.30755508,0.6924449
83447-96-5,0.3944053,0.6055947
473-49-4,0.19893825,0.80106175
117900-35-3,0.59542644,0.40457356
4460-32-6,0.16821319,0.8317868
2260-08-4,0.36275905,0.63724095
386-17-4,0.5816598,0.4183402
67-30-1,0.7100189,0.28998113
16423-68-0,0.5799186,0.4200814
10397-75-8,0.9095254,0.09047462
59017-64-0,0.80596954,0.19403048
79770-24-4,0.6632674,0.3367326
7246-21-1,0.9166385,0.08336151
96-84-4,0.68090266,0.31909734
59939-17-2,0.71216017,0.28783983
16034-77-8,0.6615187,0.3384813
22730-89-8,0.7104653,0.28953472
31112-62-6,0.78305,0.21694998
440-58-4,0.6403575,0.35964248
66108-95-0,0.92984796,0.07015205
3115-05-7,0.5407429,0.4592571
111453-32-8,0.8299029,0.17009708
19403-92-0,0.64281,0.35719
35453-19-1,0.78754437,0.21245562
37441-29-5,0.46415025,0.53584975
19774-82-4,0.26702106,0.73297894
3861-47-0,0.4548728,0.5451272
57808-65-8,0.6245556,0.37544438
577-91-3,0.2845713,0.7154287
14689-57-7,0.02131164,0.97868836
17601-49-9,0.52188873,0.4781113
1746-25-4,0.20106351,0.7989365
29717-26-8,0.83876145,0.16123857
75-47-8,0.2862233,0.7137767
68439-50-9,0.79663354,0.20336644
9004-95-9,0.94537455,0.05462547
65-29-2,0.3373009,0.6626991
63869-27-2,0.18963075,0.81036925
3247-33-4,0.092130125,0.9078699
70682-61-0,0.92347634,0.07652367
3319-31-1,0.9510094,0.048990604
301-13-3,0.9103732,0.08962679
78-42-2,0.7905472,0.2094528
56706-10-6,0.514194,0.48580602
160194-28-5,0.23777026,0.76222974
15458-87-4,0.55224216,0.4477578
105084-66-0,0.13314104,0.86685896
13080-06-3,0.70330715,0.29669288
15180-47-9,0.3158639,0.6841361
35077-00-0,0.6626887,0.33731133
63869-22-7,0.058787525,0.9412125
139-60-6,0.16046017,0.8395398
34206-40-1,0.8887534,0.111246556
752-56-7,0.8988838,0.10111616
74758-25-1,0.121072054,0.87892795
23505-41-1,0.024749756,0.97525024
154702-15-5,0.9570699,0.042930145
3857-80-5,0.1696266,0.8303734
3687-16-9,0.20629716,0.79370284
