CASRN,Toxic_xgboost_maccs-0,Toxic_xgboost_maccs-1
23233-88-7,0.701169,0.29883096
87-12-7,0.43310308,0.5668969
31810-89-6,0.8817536,0.118246354
60012-87-5,0.52895015,0.47104985
15435-29-7,0.2941342,0.7058658
629-03-8,0.47081143,0.5291886
488-41-5,0.6373193,0.36268067
84-59-3,0.58350325,0.41649675
26846-51-5,0.53993857,0.46006146
55916-20-6,0.40359735,0.59640265
1324-11-4,0.58840597,0.41159406
4228-97-1,0.027585924,0.9724141
41035-29-4,0.028819561,0.97118044
87-10-5,0.41819108,0.5818089
25327-89-3,0.7071609,0.2928391
21466-07-9,0.6960441,0.3039559
25637-99-4,0.26770592,0.7322941
25713-60-4,0.6476662,0.35233378
19186-97-1,0.14063323,0.8593668
63333-35-7,0.1825484,0.8174516
1522-92-5,0.15091866,0.84908134
57729-86-9,0.23688096,0.76311904
118-79-6,0.16644442,0.8335556
25333-96-4,0.1067754,0.8932246
1689-99-2,0.2450437,0.7549563
3562-84-3,0.46922725,0.53077275
611-75-6,0.11208564,0.88791436
3296-90-0,0.45801055,0.54198945
13181-17-4,0.38491446,0.61508554
615-58-7,0.15994817,0.84005183
6609-53-6,0.022075832,0.97792417
53615-23-9,0.029923022,0.970077
89427-28-1,0.030872107,0.9691279
89427-33-8,0.028819561,0.97118044
14689-56-6,0.028819561,0.97118044
3393-60-0,0.029848397,0.9701516
89427-29-2,0.028419137,0.97158086
15287-51-1,0.22866136,0.77133864
94847-66-2,0.1849544,0.8150456
2034-22-2,0.054109395,0.9458906
52907-07-0,0.9034426,0.096557386
50585-41-6,0.17721981,0.8227802
3322-93-8,0.5391258,0.46087423
21850-44-2,0.76263046,0.23736957
7682-32-8,0.030872107,0.9691279
89427-35-0,0.028577507,0.9714225
126-72-7,0.12943369,0.8705663
3194-55-6,0.4140035,0.5859965
20566-35-2,0.59548026,0.40451974
2338-30-9,0.023465991,0.976534
87-84-3,0.38802832,0.6119717
608-71-9,0.20772946,0.79227054
32588-76-4,0.8796196,0.12038042
32536-52-0,0.77827704,0.22172299
27858-07-7,0.79744476,0.20255525
61262-53-1,0.6882563,0.31174368
84852-53-9,0.79141283,0.20858715
13654-09-6,0.80007404,0.19992596
3674-13-3,0.30569404,0.69430596
78-75-1,0.19292778,0.8070722
89427-38-3,0.031012654,0.96898735
10474-14-3,0.29681987,0.70318013
300-76-5,0.078153074,0.9218469
2872-96-0,0.1294105,0.8705895
106-93-4,0.24146235,0.75853765
1947-58-6,0.18926781,0.8107322
96-13-9,0.21817905,0.78182095
96-12-8,0.12709558,0.8729044
18791-02-1,0.12966043,0.8703396
75-81-0,0.25944275,0.74055725
590-12-5,0.12713736,0.87286264
2302-30-9,0.05605799,0.943942
14689-59-9,0.029325843,0.97067416
79-27-6,0.18806052,0.8119395
63867-08-3,0.57879484,0.42120513
64047-47-8,0.33711177,0.6628882
63938-47-6,0.48318452,0.5168155
613-53-6,0.31717694,0.68282306
115-17-3,0.23764789,0.7623521
75-25-2,0.19075936,0.80924064
42136-31-2,0.052293897,0.9477061
64050-72-2,0.07607174,0.92392826
42136-30-1,0.1340366,0.8659634
26637-71-8,0.668435,0.33156502
69094-18-4,0.21193779,0.7880622
74-95-3,0.18416643,0.81583357
3252-43-5,0.15636015,0.84363985
598-91-4,0.085326195,0.9146738
124-48-1,0.20025426,0.79974574
25497-30-7,0.54212105,0.45787895
83447-96-5,0.5151869,0.48481306
473-49-4,0.16507024,0.83492976
117900-35-3,0.3457998,0.6542002
4460-32-6,0.1353882,0.8646118
2260-08-4,0.45328534,0.54671466
386-17-4,0.60907865,0.39092132
67-30-1,0.55424386,0.44575614
16423-68-0,0.49713653,0.50286347
10397-75-8,0.87409186,0.12590812
59017-64-0,0.8908651,0.109134935
79770-24-4,0.86759543,0.13240458
7246-21-1,0.84886503,0.15113497
96-84-4,0.24312317,0.7568768
59939-17-2,0.7865776,0.21342239
16034-77-8,0.85356385,0.14643614
22730-89-8,0.84546137,0.1545386
31112-62-6,0.91597545,0.084024556
440-58-4,0.932457,0.06754301
66108-95-0,0.9443499,0.05565012
3115-05-7,0.8031027,0.19689734
111453-32-8,0.9379951,0.062004928
19403-92-0,0.17752784,0.82247216
35453-19-1,0.9173796,0.08262036
37441-29-5,0.78895795,0.21104206
19774-82-4,0.20982838,0.7901716
3861-47-0,0.4597904,0.5402096
57808-65-8,0.65004736,0.34995264
577-91-3,0.47894233,0.52105767
14689-57-7,0.03149718,0.9685028
17601-49-9,0.4692583,0.5307417
1746-25-4,0.07424569,0.9257543
29717-26-8,0.46116877,0.53883123
75-47-8,0.22821373,0.7717863
68439-50-9,0.83178824,0.16821176
9004-95-9,0.90932167,0.09067834
65-29-2,0.20635426,0.79364574
63869-27-2,0.026422799,0.9735772
3247-33-4,0.033048272,0.9669517
70682-61-0,0.6913214,0.30867866
3319-31-1,0.95607287,0.04392713
301-13-3,0.92171717,0.07828281
78-42-2,0.8768739,0.12312609
56706-10-6,0.7483943,0.2516057
160194-28-5,0.8218095,0.17819054
15458-87-4,0.22960192,0.7703981
105084-66-0,0.07120204,0.92879796
13080-06-3,0.7745198,0.22548021
15180-47-9,0.38005954,0.61994046
35077-00-0,0.5731579,0.4268421
63869-22-7,0.029514253,0.97048575
139-60-6,0.3712759,0.6287241
34206-40-1,0.5756188,0.4243812
752-56-7,0.48320907,0.5167909
74758-25-1,0.15498418,0.8450158
23505-41-1,0.051944017,0.948056
154702-15-5,0.64414287,0.3558571
3857-80-5,0.22409493,0.7759051
3687-16-9,0.11079204,0.88920796
141-94-6,0.31012607,0.68987393
68289-21-4,0.27919888,0.7208011
67762-53-2,0.9145523,0.08544772
4559-86-8,0.29692382,0.7030762
10254-57-6,0.12041283,0.8795872
53306-54-0,0.95663524,0.04336476
1941-30-6,0.33035135,0.66964865
682-01-9,0.90527976,0.09472026
486455-65-6,0.7123747,0.28762528
126-57-8,0.939484,0.06051599
11138-60-6,0.9328542,0.067145824
78-16-0,0.9328542,0.067145824
106-20-7,0.37869704,0.62130296
