CASRN,Toxic_xgboost_mordred-0,Toxic_xgboost_mordred-1
23233-88-7,0.5153653,0.4846347
87-12-7,0.448377,0.551623
31810-89-6,0.854751,0.145249
60012-87-5,0.33269662,0.6673034
15435-29-7,0.31472665,0.68527335
629-03-8,0.61299616,0.38700384
488-41-5,0.43837655,0.56162345
84-59-3,0.4501571,0.5498429
26846-51-5,0.586583,0.413417
55916-20-6,0.6236003,0.3763997
1324-11-4,0.8316976,0.16830245
4228-97-1,0.01814568,0.9818543
41035-29-4,0.01562655,0.98437345
87-10-5,0.32446426,0.67553574
25327-89-3,0.7812026,0.21879739
21466-07-9,0.65288746,0.34711257
25637-99-4,0.7516005,0.2483995
25713-60-4,0.70814264,0.2918574
19186-97-1,0.5748732,0.4251268
63333-35-7,0.16670662,0.8332934
1522-92-5,0.13802439,0.8619756
57729-86-9,0.18703812,0.8129619
118-79-6,0.17206985,0.82793015
25333-96-4,0.13620657,0.86379343
1689-99-2,0.34676462,0.6532354
3562-84-3,0.5759702,0.42402986
611-75-6,0.1442756,0.8557244
3296-90-0,0.3175376,0.6824624
13181-17-4,0.49168658,0.5083134
615-58-7,0.076981306,0.9230187
6609-53-6,0.014110804,0.9858892
53615-23-9,0.012592077,0.9874079
89427-28-1,0.020593226,0.9794068
89427-33-8,0.016554654,0.98344535
14689-56-6,0.015380681,0.9846193
3393-60-0,0.015318036,0.98468196
89427-29-2,0.016934633,0.98306537
15287-51-1,0.1851989,0.8148011
94847-66-2,0.13409394,0.86590606
2034-22-2,0.07511735,0.92488265
52907-07-0,0.680639,0.319361
50585-41-6,0.42516202,0.574838
3322-93-8,0.5279777,0.47202227
21850-44-2,0.77404606,0.22595392
7682-32-8,0.016018808,0.9839812
89427-35-0,0.020965219,0.9790348
126-72-7,0.38015288,0.6198471
3194-55-6,0.7676264,0.23237358
20566-35-2,0.62718964,0.3728104
2338-30-9,0.023279369,0.97672063
87-84-3,0.32588565,0.67411435
608-71-9,0.3256873,0.6743127
32588-76-4,0.8195933,0.1804067
32536-52-0,0.4982953,0.5017047
27858-07-7,0.8194899,0.18051012
61262-53-1,0.6385631,0.3614369
84852-53-9,0.89700395,0.10299605
13654-09-6,0.7994521,0.20054787
3674-13-3,0.11672562,0.8832744
78-75-1,0.12692142,0.8730786
89427-38-3,0.024994493,0.9750055
10474-14-3,0.12863195,0.87136805
300-76-5,0.095394254,0.90460575
2872-96-0,0.0714435,0.9285565
106-93-4,0.05322677,0.94677323
1947-58-6,0.08332986,0.91667014
96-13-9,0.060862303,0.9391377
96-12-8,0.049794495,0.9502055
18791-02-1,0.07654196,0.92345804
75-81-0,0.079268575,0.9207314
590-12-5,0.04122895,0.95877105
2302-30-9,0.06512022,0.9348798
14689-59-9,0.014745116,0.9852549
79-27-6,0.10227466,0.89772534
63867-08-3,0.7282708,0.27172917
64047-47-8,0.41253787,0.5874621
63938-47-6,0.45002002,0.54998
613-53-6,0.4543969,0.5456031
115-17-3,0.08889091,0.9111091
75-25-2,0.05754459,0.9424554
42136-31-2,0.06480789,0.9351921
64050-72-2,0.0791381,0.9208619
42136-30-1,0.11110008,0.8888999
26637-71-8,0.70076174,0.29923826
69094-18-4,0.21537673,0.78462327
74-95-3,0.10995144,0.89004856
3252-43-5,0.038668573,0.9613314
598-91-4,0.07144314,0.92855686
124-48-1,0.07292569,0.9270743
25497-30-7,0.5943301,0.40566993
83447-96-5,0.7094638,0.29053622
473-49-4,0.23206991,0.7679301
117900-35-3,0.31371886,0.68628114
4460-32-6,0.17823654,0.82176346
2260-08-4,0.6478236,0.35217646
386-17-4,0.69783586,0.30216414
67-30-1,0.5239579,0.4760421
16423-68-0,0.81569254,0.18430747
10397-75-8,0.94153136,0.05846862
59017-64-0,0.9352584,0.0647416
79770-24-4,0.88675636,0.113243654
7246-21-1,0.6953734,0.30462655
96-84-4,0.5399999,0.4600001
59939-17-2,0.7134646,0.2865354
16034-77-8,0.80988145,0.19011852
22730-89-8,0.8171432,0.18285683
31112-62-6,0.9054979,0.094502084
440-58-4,0.91227007,0.08772995
66108-95-0,0.88577485,0.114225134
3115-05-7,0.793687,0.20631301
111453-32-8,0.9087202,0.09127983
19403-92-0,0.20130229,0.7986977
35453-19-1,0.8935573,0.10644271
37441-29-5,0.66292,0.33708
19774-82-4,0.31965506,0.68034494
3861-47-0,0.42803794,0.57196206
57808-65-8,0.7347882,0.26521185
577-91-3,0.40761817,0.59238183
14689-57-7,0.021472514,0.9785275
17601-49-9,0.40722942,0.5927706
1746-25-4,0.08109164,0.91890836
29717-26-8,0.6222638,0.37773624
75-47-8,0.0805195,0.9194805
68439-50-9,0.81632084,0.18367916
9004-95-9,0.9033262,0.0966738
65-29-2,0.42298234,0.57701766
63869-27-2,0.46677303,0.53322697
3247-33-4,0.21425802,0.785742
70682-61-0,0.8706954,0.12930457
3319-31-1,0.9536379,0.046362076
301-13-3,0.955139,0.04486102
78-42-2,0.90234584,0.097654186
56706-10-6,0.7562507,0.24374934
160194-28-5,0.6420742,0.35792574
15458-87-4,0.30627054,0.69372946
105084-66-0,0.165348,0.834652
13080-06-3,0.46171063,0.53828937
15180-47-9,0.38268405,0.61731595
35077-00-0,0.6256062,0.37439382
63869-22-7,0.23235387,0.76764613
139-60-6,0.39412785,0.60587215
34206-40-1,0.74801004,0.25198996
