CASRN,Toxic_xgboost_rdkit2d-0,Toxic_xgboost_rdkit2d-1
23233-88-7,0.7104917,0.28950828
87-12-7,0.5817698,0.4182302
31810-89-6,0.7932689,0.20673108
60012-87-5,0.27350116,0.72649884
15435-29-7,0.2571587,0.7428413
629-03-8,0.700665,0.29933497
488-41-5,0.28517348,0.7148265
84-59-3,0.563679,0.436321
26846-51-5,0.6002081,0.3997919
55916-20-6,0.76437414,0.23562585
1324-11-4,0.97296387,0.027036112
4228-97-1,0.0042185783,0.9957814
41035-29-4,0.0054996014,0.9945004
87-10-5,0.5974068,0.4025932
25327-89-3,0.7336843,0.26631573
21466-07-9,0.755162,0.244838
25637-99-4,0.9185926,0.08140745
25713-60-4,0.9572802,0.0427198
19186-97-1,0.531202,0.46879798
63333-35-7,0.10249758,0.8975024
1522-92-5,0.08605766,0.91394234
57729-86-9,0.12156123,0.8784388
118-79-6,0.10711682,0.8928832
25333-96-4,0.03820318,0.9617968
1689-99-2,0.20463592,0.7953641
3562-84-3,0.6319185,0.3680815
611-75-6,0.10473472,0.8952653
3296-90-0,0.59218246,0.40781754
13181-17-4,0.33478206,0.66521794
615-58-7,0.11065167,0.8893483
6609-53-6,0.006061673,0.9939383
53615-23-9,0.0036099553,0.99639004
89427-28-1,0.008367062,0.99163294
89427-33-8,0.005467415,0.9945326
14689-56-6,0.0047542453,0.99524575
3393-60-0,0.004589021,0.995411
89427-29-2,0.0048758388,0.99512416
15287-51-1,0.07811892,0.9218811
94847-66-2,0.10765082,0.8923492
2034-22-2,0.040587485,0.9594125
52907-07-0,0.8724706,0.12752935
50585-41-6,0.40306997,0.59693
3322-93-8,0.58330214,0.41669786
21850-44-2,0.869504,0.13049603
7682-32-8,0.0038452744,0.9961547
89427-35-0,0.0048594475,0.99514055
126-72-7,0.44873357,0.55126643
3194-55-6,0.925254,0.07474602
20566-35-2,0.7342864,0.26571354
2338-30-9,0.007500112,0.9924999
87-84-3,0.43254036,0.56745964
608-71-9,0.64024174,0.35975823
32588-76-4,0.97013724,0.029862743
32536-52-0,0.8021258,0.19787419
27858-07-7,0.963714,0.03628599
61262-53-1,0.8498395,0.1501605
84852-53-9,0.9725101,0.027489915
13654-09-6,0.9623966,0.037603363
3674-13-3,0.0938558,0.9061442
78-75-1,0.1957944,0.8042056
89427-38-3,0.007470548,0.99252945
10474-14-3,0.062326908,0.9376731
300-76-5,0.036015987,0.963984
2872-96-0,0.046000183,0.9539998
106-93-4,0.045444846,0.95455515
1947-58-6,0.17062438,0.8293756
