CASRN,SMILES,logLD50_mmolkg,verytoxic,toxic,EPA_category,GHS_category
23233-88-7,CC(=O)Oc1c(Br)cc(Cl)cc1C(=S)Nc1ccc(Br)cc1,0.810998437232486,,0.0,3.0,5.0
87-12-7,O=C(Nc1ccc(Br)cc1)c1cc(Br)ccc1O,0.04337717139946266,,1.0,2.0,4.0
31810-89-6,Nc1cc(Br)c(O)c2c(O)c3c(N)cc(Br)c(O)c3c(O)c12,,,0.0,4.0,5.0
60012-87-5,O=C1OC(CBr)CC12CC(CBr)OC2=O,,,0.0,4.0,5.0
15435-29-7,Oc1c(Br)cc(Cl)cc1Cc1cc(Cl)cc(Br)c1O,0.9378562405876322,,0.0,3.0,5.0
629-03-8,BrCCCCCCBr,0.9139106624428742,,0.0,3.0,5.0
488-41-5,OC(CBr)C(O)C(O)C(O)CBr,0.6875884868002106,,1.0,3.0,4.0
84-59-3,Oc1c(Br)ccc2c(O)c(Br)ccc12,,,0.0,3.0,5.0
26846-51-5,N=C1C=C(Br)C(=O)c2c(N)cc(Br)c(O)c21,0.841162757896777,,0.0,3.0,5.0
55916-20-6,O=C1c2ccc(Br)cc2C(=O)C1(Br)c1ccc2ccccc2c1,,,0.0,3.0,5.0
1324-11-4,O=c1c2ccccc2c2ccc3c(=O)c4c(Br)ccc(Br)c4c4ccc1c2c34,0.862339209138224,,0.0,3.0,5.0
4228-97-1,FC(F)(F)c1nc2c(Br)ccc(Br)c2[nH]1,-1.2800143892734472,,1.0,1.0,2.0
41035-29-4,FC(F)(F)c1nc2c(Br)c(Cl)c(Cl)c(Br)c2[nH]1,-2.079958334640778,,1.0,1.0,1.0
87-10-5,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,-0.04035530334862159,,1.0,2.0,4.0
25327-89-3,C=CCOc1c(Br)cc(C(C)(C)c2cc(Br)c(OCC=C)c(Br)c2)cc1Br,,,0.0,4.0,5.0
21466-07-9,O=P(O)(O)Oc1c(Br)cc(Br)cc1-c1cc(Br)cc(Br)c1O,-0.6124652174521727,,1.0,2.0,3.0
25637-99-4,BrC1CC(Br)CC(Br)CC(Br)CC(Br)CC(Br)C1,,,0.0,4.0,5.0
25713-60-4,Brc1cc(Br)c(Oc2nc(Oc3c(Br)cc(Br)cc3Br)nc(Oc3c(Br)cc(Br)cc3Br)n2)c(Br)c1,,,0.0,3.0,5.0
19186-97-1,O=P(OCC(CBr)(CBr)CBr)(OCC(CBr)(CBr)CBr)OCC(CBr)(CBr)CBr,,,0.0,4.0,5.0
63333-35-7,CN(c1c(Br)cc(Br)cc1Br)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1C(F)(F)F,-2.4608474977446484,,1.0,1.0,1.0
1522-92-5,OCC(CBr)(CBr)CBr,,,0.0,3.0,5.0
57729-86-9,O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2c(Br)cc(Br)cc2Br)c(C(F)(F)F)c1,-2.1048029893140843,,1.0,1.0,1.0
118-79-6,Oc1c(Br)cc(Br)cc1Br,0.652451995684841,,1.0,3.0,4.0
25333-96-4,CCN(CC)CCOCc1cc(Br)cc(Br)c1OC,0.1022245043087221,,1.0,2.0,4.0
1689-99-2,CCCCCCCC(=O)Oc1c(Br)cc(C#N)cc1Br,-0.2288509242450513,,1.0,2.0,3.0
3562-84-3,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,-0.233004303004597,,1.0,2.0,3.0
611-75-6,CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1,1.2028063486200309,,0.0,4.0,5.0
3296-90-0,OCC(CO)(CBr)CBr,0.8559543680963775,,1.0,3.0,4.0
13181-17-4,O=[N+]([O-])c1ccc(ON=Cc2cc(Br)c(O)c(Br)c2)c([N+](=O)[O-])c1,0.37767103471298447,,1.0,3.0,4.0
615-58-7,Oc1ccc(Br)cc1Br,-0.7022667834513315,,1.0,1.0,2.0
6609-53-6,FC(F)(F)c1nc2c(Br)cc(Br)cc2[nH]1,-1.7599842783788016,,1.0,1.0,2.0
53615-23-9,FC(F)(F)c1nc2c(Br)c(Cl)c(Br)cc2[nH]1,-1.6499854566403396,,1.0,1.0,2.0
89427-28-1,Fc1c(Br)c(F)c2nc(C(F)(F)F)[nH]c2c1Br,-1.7202999344812488,,1.0,1.0,2.0
89427-33-8,Fc1c(Br)c(Cl)c2nc(C(F)(F)F)[nH]c2c1Br,-1.7999951747855325,,1.0,1.0,2.0
14689-56-6,FC(F)(F)c1nc2c(Cl)c(Br)c(Cl)c(Br)c2[nH]1,-2.079958334640778,,1.0,1.0,1.0
3393-60-0,FC(F)(F)c1nc2c(Br)cc(Br)c(Br)c2[nH]1,-1.52000274344657,,1.0,1.0,2.0
89427-29-2,Fc1c(Br)c(Br)c2nc(C(F)(F)F)[nH]c2c1Br,-1.659998177301187,,1.0,1.0,2.0
15287-51-1,CCCCOC(=O)n1c(Br)nc(Br)c1Br,-0.9638779383928545,,1.0,1.0,2.0
94847-66-2,CN(C)C(=O)n1c(Br)nc(Br)c1Br,-0.876039928223555,,1.0,1.0,2.0
2034-22-2,Brc1nc(Br)c(Br)[nH]1,-0.9524890230078864,,1.0,1.0,2.0
52907-07-0,O=C1C2C3CC(C(Br)C3Br)C2C(=O)N1CCN1C(=O)C2C3CC(C(Br)C3Br)C2C1=O,,,0.0,4.0,5.0
50585-41-6,Brc1cc2c(cc1Br)Oc1cc(Br)c(Br)cc1O2,-3.69877713476584,,1.0,1.0,1.0
3322-93-8,BrCC(Br)C1CCC(Br)C(Br)C1,0.8766150914603217,,0.0,3.0,5.0
21850-44-2,CC(C)(c1cc(Br)c(OCC(Br)CBr)c(Br)c1)c1cc(Br)c(OCC(Br)CBr)c(Br)c1,,,0.0,3.0,5.0
7682-32-8,FC(F)(F)c1nc2c(Br)c(Br)c(Br)cc2[nH]1,-1.7699747036862397,,1.0,1.0,2.0
89427-35-0,FC(F)(F)c1nc2c(Cl)c(Br)c(Br)c(Br)c2[nH]1,-1.940012456502416,,1.0,1.0,2.0
126-72-7,O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,0.0648704538124252,,1.0,3.0,4.0
