name,Accuracy,Accuracy (std),Balance Accuracy,Balance Accuracy (std),MCC,MCC (std),F1_score,F1_score (std),AUROC,AUROC (std)
EPA_knn_Hmodel,0.655,0.013,0.573,0.011,0.447,0.016,0.639,0.015,0.699,0.009
EPA_SVM_Hmodel,0.65,0.012,0.571,0.011,0.441,0.017,0.636,0.014,0.698,0.01
EPA_RF_Hmodel,0.659,0.014,0.588,0.018,0.458,0.023,0.648,0.016,0.708,0.012
EPA_xgboost_Hmodel,0.659,0.013,0.59,0.014,0.458,0.019,0.648,0.015,0.709,0.011
EPA_knn_ecfp6bits,0.605,0.022,0.536,0.023,0.372,0.032,0.594,0.023,0.672,0.017
EPA_svm_ecfp6bits,0.588,0.019,0.522,0.019,0.346,0.031,0.578,0.02,0.66,0.015
EPA_RF_ecfp6bits,0.612,0.019,0.483,0.017,0.368,0.024,0.569,0.021,0.641,0.011
EPA_xgboost_ecfp6bits,0.599,0.013,0.505,0.019,0.35,0.017,0.577,0.015,0.652,0.008
EPA_knn_ecfp6counts,0.605,0.02,0.538,0.019,0.371,0.029,0.593,0.021,0.67,0.015
EPA_svm_ecfp6counts,0.594,0.012,0.528,0.016,0.356,0.025,0.585,0.012,0.664,0.012
EPA_RF_ecfp6counts,0.615,0.019,0.484,0.017,0.372,0.03,0.574,0.022,0.643,0.013
EPA_xgboost_ecfp6counts,0.605,0.011,0.531,0.022,0.369,0.027,0.593,0.014,0.667,0.014
EPA_knn_maccs,0.603,0.012,0.525,0.015,0.367,0.019,0.59,0.015,0.668,0.01
EPA_svm_maccs,0.598,0.008,0.54,0.009,0.37,0.01,0.593,0.008,0.675,0.006
EPA_RF_maccs,0.629,0.013,0.53,0.014,0.401,0.023,0.609,0.014,0.675,0.011
EPA_xgboost_maccs,0.626,0.015,0.532,0.01,0.397,0.018,0.606,0.017,0.675,0.01
EPA_knn_rdkit2d,0.61,0.018,0.542,0.015,0.381,0.02,0.6,0.019,0.677,0.012
EPA_svm_rdkit2d,0.61,0.016,0.55,0.016,0.386,0.019,0.604,0.018,0.681,0.011
EPA_RF_rdkit2d,0.634,0.012,0.533,0.014,0.409,0.013,0.615,0.014,0.677,0.007
EPA_xgboost_rdkit2d,0.626,0.01,0.551,0.013,0.403,0.018,0.616,0.011,0.683,0.009
EPA_knn_mordred,0.615,0.01,0.549,0.012,0.389,0.016,0.605,0.011,0.68,0.008
EPA_svm_mordred,0.605,0.01,0.545,0.015,0.375,0.021,0.597,0.012,0.672,0.01
EPA_RF_mordred,0.635,0.016,0.531,0.013,0.41,0.026,0.614,0.017,0.676,0.012
EPA_xgboost_mordred,0.638,0.012,0.556,0.011,0.42,0.016,0.623,0.013,0.688,0.008
