name,Accuracy,Accuracy (std),Balance Accuracy,Balance Accuracy (std),MCC,MCC (std),F1_score,F1_score (std),AUROC,AUROC (std)
Toxic_knn_Hmodel,0.794,0.016,0.788,0.016,0.58,0.033,0.794,0.016,0.788,0.016
Toxic_SVM_Hmodel,0.799,0.016,0.792,0.016,0.589,0.032,0.798,0.016,0.792,0.016
Toxic_RF_Hmodel,0.798,0.014,0.792,0.014,0.588,0.028,0.798,0.014,0.792,0.014
Toxic_xgboost_Hmodel,0.8,0.013,0.794,0.013,0.592,0.027,0.8,0.013,0.794,0.013
Toxic_knn_ecfp6bits,0.746,0.014,0.738,0.013,0.48,0.028,0.745,0.013,0.738,0.013
Toxic_svm_ecfp6bits,0.742,0.008,0.729,0.008,0.469,0.017,0.739,0.007,0.729,0.008
Toxic_RF_ecfp6bits,0.759,0.013,0.744,0.014,0.504,0.03,0.755,0.013,0.744,0.014
Toxic_xgboost_ecfp6bits,0.753,0.014,0.742,0.014,0.492,0.028,0.751,0.014,0.742,0.014
Toxic_knn_ecfp6counts,0.744,0.008,0.735,0.008,0.475,0.017,0.743,0.008,0.735,0.008
Toxic_svm_ecfp6counts,0.738,0.013,0.723,0.014,0.46,0.029,0.734,0.013,0.723,0.014
Toxic_RF_ecfp6counts,0.766,0.018,0.751,0.017,0.521,0.037,0.762,0.018,0.751,0.017
Toxic_xgboost_ecfp6counts,0.761,0.013,0.75,0.012,0.508,0.026,0.758,0.013,0.75,0.012
Toxic_knn_maccs,0.763,0.016,0.752,0.015,0.513,0.032,0.761,0.015,0.752,0.015
Toxic_svm_maccs,0.781,0.014,0.772,0.014,0.552,0.03,0.78,0.014,0.772,0.014
Toxic_RF_maccs,0.784,0.015,0.775,0.014,0.558,0.03,0.783,0.014,0.775,0.014
Toxic_xgboost_maccs,0.78,0.011,0.77,0.012,0.549,0.024,0.778,0.011,0.77,0.012
Toxic_knn_rdkit2d,0.763,0.014,0.754,0.014,0.515,0.03,0.762,0.014,0.754,0.014
Toxic_svm_rdkit2d,0.768,0.015,0.757,0.015,0.523,0.03,0.766,0.015,0.757,0.015
Toxic_RF_rdkit2d,0.787,0.013,0.776,0.011,0.562,0.024,0.785,0.012,0.776,0.011
Toxic_xgboost_rdkit2d,0.787,0.014,0.779,0.014,0.564,0.029,0.786,0.014,0.779,0.014
Toxic_knn_mordred,0.77,0.017,0.763,0.018,0.529,0.036,0.769,0.017,0.763,0.018
Toxic_svm_mordred,0.778,0.016,0.77,0.016,0.545,0.033,0.777,0.016,0.77,0.016
Toxic_RF_mordred,0.788,0.015,0.778,0.015,0.566,0.03,0.787,0.015,0.778,0.015
Toxic_xgboost_mordred,0.791,0.017,0.781,0.017,0.572,0.035,0.789,0.017,0.781,0.017
